தெரிந்தது	conegut
சொர்க்கம்	cel
சொர்க்கம்	heaven
சொர்க்கம்	paradís
சொர்க்கம்	paradise
வேடிக்கை	fun
வேடிக்கை	divertit
வேடிக்கை	diversió
வேடிக்கை	funny
எதிர்பார்த்த	esperada
எதிர்பார்த்த	esperats
வடிகட்டி	filtre
நுட்பங்களை	tècniques
சூத்திரங்கள்	fórmules
புனல்	embut
துவங்குகிறது	començant
தீவிரவாதி	terrorista
பிளாக்பெர்ரி	blackberry
பிளாக்பெர்ரி	móra
தந்தைக்கு	pare
மதியம்	migdia
மதியம்	tarda
அனந்தபூர்	anantapur
இம்மானுவேல்	immanuel
இம்மானுவேல்	emmanuel
தஞ்சோங்	tanjung
லோபஸ்	lópez
லோபஸ்	lopez
ஹாலே	halle
வலைப்பூ	blog
வலைப்பூ	bloc
காதர்	kader
அத்தி	figues
காற்றியக்கவியல்	aerodinàmica
படகில்	ferry
படகில்	transbordador
படகில்	ferri
சுரங்கங்கள்	túnels
அழுத்தி	compressor
பழுது	reparacions
பழுது	reparació
மௌலானா	maulana
அறுகோண	hexagonal
ஊஞ்சல்	swing
பைபிள்	bíblia
அடியார்கள்	servents
ஹம்	hum
தோற்றங்கள்	imatges
புன்னகை	somriure
புன்னகை	somrient
சைரஸ்	cyrus
கால்களை	cames
பரிமாணம்	dimensió
இவான்	ivan
லில்லி	lilly
லில்லி	lily
வார்த்தைகளை	paraules
முன்பதிவு	reserva
குறிப்பிடவில்லை	especificat
குறிப்பிடவில்லை	especificats
எடையை	pes
கியூரி	curie
கட்டமைக்கப்பட்ட	estructurada
கட்டமைக்கப்பட்ட	estructurat
பிரெட்	brett
பிரெட்	fred
பாரா	bara
பாரா	para
திறந்தவெளி	firaires
அவளின்	ella
அவளின்	her
சுறா	tauró
செமிடிக்	semítiques
கொம்புகள்	banyes
அகராதிகள்	diccionaris
அணிய	desgast
ராஞ்சி	ranchi
உருகுவே	uruguai
சோப்ரா	chopra
நிபந்தனை	condició
அச்சுப்பொறிகள்	impressores
பின்னம்	fracció
மீட்டரில்	challenger
மீட்டரில்	aspirant
போராடினார்	lluitat
டேல்	dale
பாண்டு	pandu
ஓடை	riera
எந்திர	mecanització
விளையாடுபவர்	reproductor
விளையாடுபவர்	jugador
விளையாடுபவர்	jugadors
விமானத்தை	plànol
விமானத்தை	avió
வெங்காயம்	cebes
வெங்காயம்	ceba
விசைகள்	claus
விசைகள்	tecles
விசைகள்	activador
விசைகள்	gallet
விளையாடுகிறார்	jugant
பலரை	triat
நுண்ணுயிரியல்	microbiologia
மஞ்சு	manxú
அன்றாடம்	daily
சக்கரங்கள்	rodes
நிவாரணம்	socors
நிவாரணம்	relleu
நாடா	cinta
பூச்சு	guix
குறைந்துள்ளது	disminució
மாலிப்டினம்	molibdè
தீர்ப்பை	fallada
வைத்திருந்தது	guardava
வைத்திருந்தது	mantingut
வைத்திருந்தது	guardats
தோ	toa
அங்க	anga
முகவரியை	adreça
வோல்ட்	volt
பைன்	pi
பைன்	pine
வாரன்	warren
டவர்	torre
டவர்	tower
தனியுரிமை	privadesa
தனியுரிமை	privacitat
அணிவகுப்பு	desfilada
அணிவகுப்பு	rua
ஆன்டர்சன்	anderson
கேமரா	càmera
போக்குகள்	tendències
உணரப்பட்டது	adonar
சாலமன்	salomó
சாலமன்	solomon
மட்டை	bat
மங்கள	mangala
திரௌபதி	draupadi
வெளியேற்றி	expulsa
