மற்றும்	og
ஒரு	et
ஒரு	en
ஒரு	én
இந்த	dette
இந்த	denne
இந்த	disse
ஆம்	ja
இது	dette
இது	denne
மக்கள்	folkeslag
மக்கள்	befolkninger
மக்கள்	mennesker
மக்கள்	personer
மக்கள்	folk
மக்கள்	people
என்ற	de
என்ற	den
என்ற	afledt
என்ற	afledte
ஆண்டு	aars
ஆண்டு	året
ஆண்டு	år
தமிழ்	tamilske
இந்திய	indianer
இந்திய	indiske
இந்திய	inder
இந்திய	indisk
இந்திய	indian
இருந்து	fra
பல	mange
பல	adskillige
பல	flere
முதல்	fra
முதல்	første
முதல்	først
மேலும்	mere
மேலும்	flere
தொகை	beløb
தொகை	mængde
சில	få
சில	nogle
உள்ளது	tilgængeligt
உள்ளது	tilgængelige
உள்ளது	tilgængelig
உள்ளது	ledige
உள்ளது	disponible
உள்ளது	eksisterer
உள்ளது	eksistere
உள்ளது	findes
அவர்	ham
அவர்	hende
அவர்	hendes
இருக்கும்	bestående
இருக்கும்	eksisterende
வெளி	udlicitering
வெளி	outsourcing
வெளி	rummet
வெளி	mellemrum
வெளி	plads
வெளி	rumforskning
வெளி	rum
அமைந்துள்ளது	beliggende
அமைந்துள்ளது	lokaliseret
அமைந்துள்ளது	placeret
மூலம்	kilde
மூலம்	originalt
மூலம்	oprindelige
மூலம்	oprindelig
மூலம்	originale
மூலம்	oprindeligt
மூலம்	original
கொண்ட	indeholdte
கொண்ட	indesluttet
கொண்ட	indeholdt
வரை	træk
வரை	uafgjort
வரை	tegne
வரை	tegn
வரை	henlede
வரை	indtil
பின்னர்	derefter
பின்னர்	så
பின்னர்	senere
ஆனால்	men
வேண்டும்	behov
வேண்டும்	ønsker
வேண்டும்	vil
வேண்டும்	sku
வேண்டும்	skulle
வேண்டும்	bør
வேண்டும்	skal
வேண்டும்	burde
கொண்டு	bragt
கொண்டு	bragte
கொண்டு	medbragte
கொண்டு	bring
கொண்டு	medbring
கொண்டு	med
பட்டியல்	liste
பட்டியல்	list
அமைந்துள்ள	beliggende
அமைந்துள்ள	lokaliseret
அமைந்துள்ள	placeret
அதன்	dens
அதன்	dets
அதன்	its
பெண்கள்	hunkøn
பெண்கள்	hunner
பெண்கள்	kvinder
பெண்கள்	girls
பெண்கள்	piger
பெண்கள்	pigerne
பெண்கள்	tøser
பெண்கள்	kvinderne
பெண்கள்	kvinder
கொண்டுள்ளது	har
கொண்டுள்ளது	indholder
கொண்டுள்ளது	indeholder
போது	da
போது	når
போது	hvornår
இணைப்புகள்	tilslutninger
இணைப்புகள்	forbindelser
இணைப்புகள்	beslag
இணைப்புகள்	bilag
இணைப்புகள்	link
இணைப்புகள்	links
இரண்டு	to
தகவல்	info
தகவல்	oplysninger
தகவல்	oplysning
தகவல்	information
தகவல்	oplysninger
தகவல்	underretning
தகவல்	meddelelse
தகவல்	budskab
தகவல்	besked
தகவல்	beskeden
மாவட்ட	distriktet
மாவட்ட	district
மாவட்ட	distrikt
மொத்த	samlet
வளர்ச்சி	udviklingen
வளர்ச்சி	udvikling
வளர்ச்சி	vækstrate
வளர்ச்சி	vækst
வளர்ச்சி	væksten
வளர்ச்சி	tilvækst
மாவட்டம்	distriktet
மாவட்டம்	district
மாவட்டம்	distrikt
மிகவும்	meget
திட்டம்	projekt
திட்டம்	project
திட்டம்	projektet
திட்டம்	plan
தேசிய	nationale
தேசிய	nationalt
தேசிய	national
தேசிய	landsdækkende
கலந்து	deltager
இலங்கை	ceylon
இலங்கை	srilankan
இங்கு	her
கி	kyi
அமெரிக்க	amerikaner
அமெரிக்க	american
அமெரிக்க	amerikanske
அமெரிக்க	amerikansk
அடிப்படை	grundlaget
அடிப்படை	grundlag
அடிப்படை	basis
அடிப்படை	base
அடிப்படை	basen
அடிப்படை	basis
அடிப்படை	basal
அடிப்படை	basic
அடிப்படை	grundlæggende
பெயர்	betegnelse
பெயர்	navn
பெயர்	mærke
பெயர்	etikette
பெயர்	etiket
பெயர்	label
மூன்று	tre
மூன்று	three
ஆண்கள்	hannerne
ஆண்கள்	hanner
ஆண்கள்	mænd
ஆண்கள்	mændene
ஆண்கள்	mænd
ஒன்று	samle
ஒன்று	saml
ஒன்று	enten
ஒன்று	et
ஒன்று	en
ஒன்று	én
ஐக்கிய	forenet
ஐக்கிய	united
ஐக்கிய	forenede
புதிய	ny
புதிய	nyt
புதிய	nye
புதிய	fresh
புதிய	friske
புதிய	friskt
புதிய	frisk
அவரது	hans
அவரது	hende
அவரது	hendes
மொத்தம்	samlet
இவை	disse
சிறந்த	fantastisk
சிறந்த	fedt
சிறந்த	stor
சிறந்த	skønt
சிறந்த	herligt
சிறந்த	beste
சிறந்த	bedste
சிறந்த	bedst
சிறந்த	best
சிறந்த	glimrende
சிறந்த	fremragende
சிறந்த	excellent
அரசு	regering
அரசு	regeringen
வசதிகள்	faciliteter
இந்தியா	india
இந்தியா	indien
பெரிய	fantastisk
பெரிய	fedt
பெரிய	stor
பெரிய	skønt
பெரிய	herligt
பெரிய	big
பெரிய	store
பெரிய	stor
பெரிய	stort
பெரிய	large
பெரிய	store
பெரிய	stor
பெரிய	stort
ஊரக	landdistrikt
ஊரக	landdistrikter
ஊரக	landdistrikterne
நாள்	dag
நாள்	dagen
நாள்	kampdag
பிறப்பு	generiske
பிறப்பு	generisk
பிறப்பு	born
பிறப்பு	fødte
பிறப்பு	født
பிறப்பு	fødsler
பிறப்பு	fødsel
பிறப்பு	fødslen
பிறப்பு	lugen
பிறப்பு	luge
பிறப்பு	hatch
இருந்தது	var
இருந்தது	blev
முக்கிய	vigtigste
முக்கிய	main
முக்கிய	vigtig
முக்கிய	vigtigt
முக்கிய	vigtige
பல்வேறு	sort
பல்வேறு	forskelligartethed
பல்வேறு	variation
பல்வேறு	forskellige
இருந்த	var
திரைப்படங்கள்	film
பிற	andre
பிற	andet
அவர்கள்	them
அவர்கள்	dem
அவர்கள்	de
மொழி	sprog
மொழி	sproget
