மற்றும்	un
ஒரு	viens
ஒரு	viena
ஒரு	vienu
இந்த	šī
இந்த	šo
இந்த	šis
இந்த	tas
இந்த	šīs
இந்த	šie
ஆம்	jā
இது	šī
இது	šo
இது	šis
இது	tas
மக்கள்	tautas
மக்கள்	tautām
மக்கள்	tautu
மக்கள்	cilveki
மக்கள்	cilvēki
மக்கள்	tauta
மக்கள்	cilvēkiem
என்ற	atvasināta
என்ற	atvasināti
என்ற	atvasināts
ஆண்டு	gadu
ஆண்டு	gads
என்று	ka
என்று	tas
தமிழ்	tamilu
இந்திய	indiešu
இந்திய	indijas
இருந்து	no
பல	daudziem
பல	daudz
பல	daudzi
பல	daudzus
பல	daudzas
பல	vairāku
பல	vairāki
முதல்	no
முதல்	pirmais
முதல்	pirmā
முதல்	pirmās
முதல்	pirmie
முதல்	pirma
முதல்	vispirms
மேலும்	vairāk
மேலும்	vairak
தொகை	apjoms
தொகை	apmērs
தொகை	summa
சில	maz
சில	dažas
சில	dažiem
சில	daži
உள்ளது	pieejams
உள்ளது	pieejami
உள்ளது	pieejamas
உள்ளது	pieejama
உள்ளது	pieejamie
உள்ளது	pastāv
உள்ளது	eksistē
அவர்	viņam
அவர்	viņu
அவர்	viņai
அவர்	viņas
இருக்கும்	esošie
இருக்கும்	esošo
இருக்கும்	esošā
இருக்கும்	esošās
வெளி	ārpakalpojumu
வெளி	ārējais
வெளி	ārējs
வெளி	ārējā
வெளி	telpa
வெளி	kosmoss
அமைந்துள்ளது	atrodas
மூலம்	avots
மூலம்	oriģināls
மூலம்	sākotnējais
மூலம்	oriģinālā
மூலம்	sākotnējā
மூலம்	oriģināli
மூலம்	oriģināla
கொண்ட	saturēja
வரை	zīmēt
வரை	līdz
பின்னர்	tad
பின்னர்	vēlāk
பின்னர்	vēlākā
ஆனால்	bet
ஆனால்	taču
வேண்டும்	vajag
வேண்டும்	vajadzība
வேண்டும்	nepieciešams
வேண்டும்	nepieciešamība
வேண்டும்	gribu
வேண்டும்	gribam
வேண்டும்	gribi
வேண்டும்	grib
வேண்டும்	būtu
வேண்டும்	vajadzētu
கொண்டு	atnesa
கொண்டு	atvedis
கொண்டு	atveda
கொண்டு	atved
கொண்டு	ar
பட்டியல்	repertuāru
பட்டியல்	sarakstu
பட்டியல்	saraksta
பட்டியல்	uzskaitījums
பட்டியல்	saraksts
அமைந்துள்ள	atrodas
அதன்	tās
பெண்கள்	mātītes
பெண்கள்	meitenes
பெண்கள்	meitenēm
பெண்கள்	sievietes
கொண்டுள்ளது	satur
போது	laikā
போது	kad
இணைப்புகள்	savienojumi
இணைப்புகள்	pielikumi
இணைப்புகள்	pielikumus
இணைப்புகள்	saites
இணைப்புகள்	links
இரண்டு	divas
இரண்டு	divus
இரண்டு	divi
தகவல்	info
தகவல்	informācija
தகவல்	ziņojums
தகவல்	vēstule
தகவல்	ziņu
தகவல்	vēstījums
தகவல்	ziņa
மாவட்ட	rajons
மாவட்ட	apgabals
மொத்த	kopā
வளர்ச்சி	attīstība
வளர்ச்சி	izstrāde
வளர்ச்சி	attīstīšana
வளர்ச்சி	pieaugums
வளர்ச்சி	augšana
வளர்ச்சி	izaugsme
மாவட்டம்	rajons
மாவட்டம்	apgabals
அந்த	ka
அந்த	tas
மிகவும்	ļoti
மிகவும்	loti
திட்டம்	projekta
திட்டம்	projekts
திட்டம்	plāna
திட்டம்	plāns
திட்டம்	plānā
தேசிய	nacionālais
கலந்து	apmeklē
இங்கு	šeit
இங்கு	te
அமெரிக்க	american
அமெரிக்க	amerikāņu
அமெரிக்க	amerikas
அடிப்படை	pamats
அடிப்படை	bāze
அடிப்படை	pamatne
அடிப்படை	pamats
அடிப்படை	bāze
அடிப்படை	pamata
பெயர்	vārds
பெயர்	nosaukums
பெயர்	etiķetes
பெயர்	marķējums
பெயர்	etiķete
மூன்று	trim
மூன்று	trīs
ஆண்கள்	tēviņi
ஆண்கள்	vīrieši
ஆண்கள்	vīriešiem
ஆண்கள்	vīri
ஆண்கள்	vīrieši
ஆண்கள்	mens
ஒன்று	savāktu
ஒன்று	viens
ஒன்று	viena
ஒன்று	vienu
ஐக்கிய	united
ஐக்கிய	apvienotā
ஐக்கிய	apvienoto
ஐக்கிய	vienoti
புதிய	jauna
புதிய	jaunums
புதிய	jauni
புதிய	jauns
புதிய	jaunais
புதிய	jaunas
புதிய	svaiga
புதிய	svaigas
புதிய	svaigs
புதிய	svaigi
அவரது	viņa
அவரது	viņai
அவரது	viņas
மொத்தம்	kopā
மொத்தம்	kopsummas
இவை	šīs
இவை	šie
சிறந்த	liels
சிறந்த	liela
சிறந்த	lieliska
சிறந்த	lieliski
சிறந்த	labākie
சிறந்த	vislabāk
சிறந்த	labākās
சிறந்த	labākais
சிறந்த	lielisks
சிறந்த	izcila
சிறந்த	izcili
சிறந்த	izcils
அரசு	valdība
அரசு	valdības
இந்தியா	indija
இந்தியா	indijā
இந்தியா	indijas
பெரிய	liels
பெரிய	liela
பெரிய	lieliska
பெரிய	lieliski
பெரிய	liels
பெரிய	lielais
பெரிய	lieli
பெரிய	liela
பெரிய	lielā
பெரிய	lielie
பெரிய	liels
பெரிய	lielas
பெரிய	lieli
பெரிய	liela
பெரிய	lielā
ஊரக	lauku
நாள்	dienu
நாள்	dienā
நாள்	diena
பிறப்பு	vispārīgs
பிறப்பு	vispārējs
பிறப்பு	dzimuši
பிறப்பு	dzimis
பிறப்பு	dzimusi
பிறப்பு	dzimšanas
பிறப்பு	dzemdības
பிறப்பு	lūku
பிறப்பு	lūkas
இருந்தது	bija
இருந்தது	tika
முக்கிய	galvenais
முக்கிய	galvenās
முக்கிய	galvenā
முக்கிய	svarīgs
முக்கிய	svarīga
முக்கிய	svarīgas
முக்கிய	svarīgi
முக்கிய	nozīmīgs
பல்வேறு	šķirne
