வலைப்பூக்கள்	tinklaraščių
குடும்பத்தார்	šeima
குடும்பத்தார்	šeimos
குடும்பத்தார்	šeimyna
உரி	uri
ஹாப்கின்ஸ்	hopkins
உருவவியல்	morfologija
ஆதிசேஷன்	šeša
இலந்தனம்	lantano
அனோ	anno
கருத்துக்களில்	komentarai
கருத்துக்களில்	pastabas
கருத்துக்களில்	pastabos
கருத்துக்களில்	komentaruose
வரைப்படம்	diagramos
வரைப்படம்	diagrama
குடுவை	kolba
நெகாரா	negara
மனதைக்	protas
பேய்கள்	vaiduokliai
பேய்கள்	demonai
திருத்தப்பட்டது	redaguota
ரென்	ren
பெய்ன்	payne
செண்ட்	kvapas
செண்ட்	kvapą
லயனல்	lionel
மறுபிறப்பு	atgimsta
மறுபிறப்பு	reinkarnacija
ப்ரீ	bri
ரிப்பன்	ribbon
வேடமிட்டு	užmaskuotas
விருந்தினர்கள்	svečiai
விளையாடுபவர்கள்	žaidėjai
விளையாடுபவர்கள்	žaidėjų
ஜுவான்	juan
கரண்டி	šaukštai
கரண்டி	šaukštu
வேட்	veidai
வேட்	veidas
சுத்தி	plaktuką
விசுவாசம்	lojalumo
அலங்காரங்கள்	dekoracijos
அலங்காரங்கள்	filtrai
பெரிங்	beringo
நூலகர்	bibliotekininkas
ஆக்கபூர்வமான	konstruktyvi
லோடி	lodi
மார்கஸ்	markusas
கைப்பந்து	tinklinis
புஸ்ஸிகேட்	pussycat
திட்டப்பணி	projekto
திட்டப்பணி	projektas
வினைல்	vinilo
ஹோகன்	hogan
கைப்பிடி	rankena
கைப்பிடி	tvarkyti
இடஒதுக்கீடு	išlygų
இடஒதுக்கீடு	rezervacija
மரணமும்	mirti
மரணமும்	miršta
கருத்துக்கணிப்பு	apklausa
ஊடு	zigzago
லென்ஸ்	lęšiai
எக்ஸ்போ	expo
வாங்குபவர்	pirkėjai
வாங்குபவர்	pirkėjas
ஹூட்	spinta
சாகசங்கள்	nuotykiai
சாகசங்கள்	nuotykių
சுவடு	pėdsakai
சுவடு	pėdsakų
சுவடு	sekti
அங்காரா	ankaros
இன்னிங்ஸ்	praėjimai
லட்சக்கணக்கான	milijonus
லட்சக்கணக்கான	milijonų
லட்சக்கணக்கான	milijonai
மார்ஷ்	marsh
பெட்டகம்	konteineris
செனட்டர்	fantastika
செனட்டர்	senatorius
சூடாக	karšti
சூடாக	karšto
சூடாக	karšta
சூடாக	karštas
அருகிவரும்	nykstančių
வெளியீட்டுக்	leidyba
வெளியீட்டுக்	leidybos
கண்களும்	akimis
கண்களும்	akys
கண்களும்	akis
இவா	ieva
செயல்படுத்தப்பட்டது	įjungtas
கைவினை	amatų
பெருநகரம்	borough
ஓரினச்சேர்க்கை	homoseksualumas
ஓரினச்சேர்க்கை	gėjai
ஓரினச்சேர்க்கை	gėjų
ஓரினச்சேர்க்கை	gėjus
புரோ	pro
ஹமீது	hamid
மேய	ganosi
குழப்ப	painioti
மில்ஸ்	gamyklų
அவா	ava
இலிங்கம்	linga
வருந்துகிறேன்	gaila
மீன்களில்	žuvys
தாய்நாடு	tėvynę
நண்பரே	draugė
நண்பரே	draugo
நண்பரே	drauge
நண்பரே	draugas
மந்திரங்களை	mantras
டிரக்	sunkvežimis
அழுது	verkia
சூது	lošimai
சூது	lošimų
ருசி	skanus
நாளம்	kraujagyslių
ஜீன்ஸ்	džinsai
சாகி	sakis
ஏமி	eimė
தேசியவாதிகள்	nacionalistai
கமில்	kamil
அசிட்டோன்	acetono
நோர்டிக்	šiaurės
பசியின்மை	apetito
போர்ட்டர்	porter
மூக்கில்	nosis
கதகளி	kathakali
வலிகள்	skausmas
கேக்	pyragas
கேக்	tortas
நிற்கிறார்	nuolatinio
ஹரே	hara
யூதேயா	judėją
ஊகங்கள்	spėjimai
ஸ்விஸ்	šveicarijos
ஸ்விஸ்	šveicarija
ஆட்டோகேட்	autocad
எதிர்பாராதவிதமாக	deja
பாங்	pang
மார்லன்	marlon
திருடர்கள்	vagys
தோடா	toda
சிறந்தவை	geriausi
சிறந்தவை	geriausia
சிறந்தவை	aukščiausia
சிறந்தவை	geriausios
சிறந்தவை	geriausias
லிஞ்ச்	lynch
உடையை	apranga
மல்லையா	mallya
டிரம்மர்	būgnininkas
சாகசம்	nuotykiai
சாகசம்	nuotykis
சாகசம்	nuotykių
அச்சுகள்	ašys
பழச்சாறு	sultys
பழச்சாறு	sulčių
சரம்	filtravimo
சரம்	filtruoti
சரம்	griežtas
பகடி	parodija
அலங்காரத்	dekoratyvinių
அலங்காரத்	dekoratyviniai
பிரண்டன்	brendon
முடக்கு	išjungti
மால்ட்	salyklas
மால்ட்	salyklo
உதடுகள்	lūpų
உதடுகள்	lūpos
பூட்	įkrovos
ஆய்வறிக்கை	disertaciją
மியா	mia
பாட்டீல்	patil
பாவா	bhava
ஸ்மிருதி	smriti
உருண்டையான	kamuolinis
பரேலி	bareli
நன்கொடைகள்	donorystės
லியு	leu
வறுத்த	kepti
அழுக்கு	purvinas
ஊமை	kvailas
தொண்ணூறு	devyniasdešimt
பச்சையம்	chlorofilo
இத்தாலியா	italia
பேதை	žolė
பேதை	žolės
வகுப்பறை	klasėje
படிப்பினை	moralinę
மகலன்	magelanas
அழைத்தல்	ragina
மூடநம்பிக்கை	prietarus
ஹக்கீம்	hakeem
லுமும்பா	lumumba
கிளியோபாட்ரா	kleopatra
லூதரனியம்	liuteronybė
உள்ளமை	vidaus
நல்லிணக்க	susitaikymo
நல்லிணக்க	susitaikymas
நல்லிணக்க	suderinimas
நல்லிணக்க	derinimas
இசுப்புட்னிக்	sputnik
நிக்கோலா	nicola
சக்ரா	čakra
வில்லியம்சன்	williamson
சிட்டகாங்	čitagongas
செங்கற்கள்	plytų
செங்கற்கள்	plytos
கண்புரை	katarakta
பிக்சர்	pixar
மார்க்கெட்டிங்	rinkodara
மார்க்கெட்டிங்	prekybos
பொழில்	teritorijoms
கன்பூசியம்	konfucianizmas
பதிலடி	keršto
எரிந்த	sudegintas
ராண்டி	rendis
தியோ	teo
மயானம்	kapinės
விவாதித்து	aptarti
ஃபிஷர்	fišeris
நீர்க்காகம்	kormoranas
சோரி	chori
வடித்த	skulptorius
கவனி	saugok
கவனி	prižiūrėti
ஒன்றுமில்லை	nieko
உருவாக்குநர்கள்	kūrėjai
மாரா	mara
கம்யூனிஸ்டுகள்	komunistai
பேரழிவுகள்	nelaimių
கவிஞன்	poetas
கோமா	koma
கோமா	komos
விபத்துக்குள்ளானது	okinavos
கோமாளி	klounas
கிர்கிஸ்தான்	kirgizija
துணையை	mate
கீரி	mangusta
சுருக்கப்பட்ட	sutrumpintas
அழுத்தவும்	spaudos
பாதிக்கப்பட்டவர்	aukai
பாதிக்கப்பட்டவர்	auka
கண்ணியம்	orumą
கண்ணியம்	orumo
கண்ணியம்	orumas
கிடங்குகள்	sandėlių
கிடங்குகள்	sandėliai
பியா	pia
பியா	biya
ஃபால்	krenta
அர்ஜுனா	ardžuna
சிரி	juoktis
மொசில்லா	mozilla
சுகர்	cukrų
சுகர்	cukrus
சுகர்	cukraus
வருண	varuna
ரெய்க்	reicho
கிமி	kimi
துடிப்பான	energinga
சுவரொட்டிகள்	plakatai
டையர்	dyer
மாயம்	magija
கோயா	goja
மூதாதையர்கள்	tėvai
துரு	rūdžių
லாப்ரடோர்	labradoras
வால்கிரி	valkirija
மின்ஸ்க்	minsko
பூம்	bum
நங்கூரம்	inkaro
ஜித்தா	džida
செறிவூட்டப்பட்ட	prisodrintas
ஜெசிக்கா	džesika
ஜெசிக்கா	jessica
ஆதாரமற்ற	prielaidos
பாசாங்கு	apsimesti
பாசாங்கு	apsimeta
மிட்டாய்	saldainis
கொண்டாடுகிறது	švenčia
நியூமன்	newman
கடித்து	bite
தாய்மார்கள்	motinoms
தாய்மார்கள்	motinos
தாய்மார்கள்	motina
இதமான	kreta
ஏக்கம்	nostalgija
முளை	daigai
ஆர்ப்பாட்டத்தில்	protestuoja
சவுல்	saulius
திருநங்கை	transseksualų
ஜான்ஸ்டன்	johnston
சரியானதாக	tobulos
சரியானதாக	tobulas
சரியானதாக	tobula
ஜனநாயகம்	demokratija
ஜனநாயகம்	demokratijos
ஆரோக்கியமாக	ekonomiką
தீத்து	titas
ஏற்றத்தாழ்வு	nelygybė
ரோந்து	patruliavimo
படகோட்டம்	plaukia
தளவாடங்களை	logistika
தளவாடங்களை	logistikos
மெழுகுவர்த்தி	žvakė
டேவிட்சன்	davidson
கிண்ணத்தில்	dubenį
சொத்தாக	relikvija
ராக்ஸ்டார்	rockstar
ஜமைக்கா	jamaika
அதிகாரங்களைக்	militarizmą
புயல்கள்	audros
புயல்கள்	audrų
ஸ்டில்	dar
இண்டர்	inter
சூதாட்டம்	lošimai
சூதாட்டம்	lošimų
சூதாட்டம்	kazino
திமீத்ரி	dmitri
மின்னும்	putojantis
சீழ்	pūliai
திமில்	kupra
சேறு	purvo
கான்பரா	kanbera
சோகம்	liūdesys
சோகம்	tragiška
சோகம்	tragiškas
இயக்கவும்	žaisti
இயக்கவும்	groti
ஆர்கானிக்	ekologinio
நிமி	min
குவா	kua
முழுமையற்ற	išsamūs
