சுந்தரி	sundari
தன்னிச்சையான	spontana
தன்னிச்சையான	spontan
தன்னிச்சையான	spontant
எறும்பு	myra
அல்லாஹ்	gud
அல்லாஹ்	allah
ஒப்லாஸ்து	oblast
ஜேசன்	jason
செபம்	liturgi
பாட்னா	patna
திருப்தி	tillfredsställa
திருப்தி	uppfylla
திருப்தி	tillfreds
திருப்தி	nöjd
திருப்தி	nöjda
கன்	gan
இமாம்	imam
பாம்	bam
பாம்	palm
பாம்	handflata
பட்டறைகள்	verkstäder
பட்டறைகள்	seminarier
பட்டறைகள்	workshops
இறங்கும்	landar
இறங்கும்	landning
இறங்கும்	landing
இணக்கம்	uppfyllande
இணக்கம்	överensstämmelse
இணக்கம்	efterlevnad
ஹதீஸ்	hadith
நிரந்தரமான	evigt
நிரந்தரமான	evighet
மரணத்தை	död
மரணத்தை	döden
மரணத்தை	death
மரணத்தை	dödsfall
காசா	casa
காசா	gaza
பயிற்சியை	utbildning
பயிற்சியை	träning
மாயை	vanföreställning
மாயை	vanföreställningar
மாயை	illusion
விற்பனையாளர்கள்	säljare
அமைப்பாளர்	administrera
அமைப்பாளர்	arrangör
அமைப்பாளர்	kompositör
கண்களை	ögon
கண்களை	eyes
செர்பியா	serbien
வேண்டுதல்	begäran
வேண்டுதல்	begära
வேண்டுதல்	förfrågan
வேண்டுதல்	begär
ஓய்வுபெற்ற	pensionär
ஓய்வுபெற்ற	pensionerade
ஓய்வுபெற்ற	pensionerad
நம்ப	tror
நம்ப	tro
பியானோ	piano
தட்டை	platt
தட்டை	platta
தட்டை	lägenhet
தட்டை	flat
மறுசுழற்சி	återvinna
மறுசுழற்சி	återvunna
மறுசுழற்சி	återvinnas
கலந்துரையாடல்	diskussioner
கலந்துரையாடல்	diskussion
விரிவுரை	föredrag
விரிவுரை	föreläsning
வென்	wen
பாதுகாப்பில்	vårdnad
பாதுகாப்பில்	förvar
பாதுகாப்பில்	vårdnaden
சங்கீதம்	psalm
ஹிந்து	hindu
உறவுமுறை	relation
உறவுமுறை	förhållande
உறவுமுறை	förhållandet
உறவுமுறை	släktskap
சூரத்	surat
சேர்க்கப்பட்டார்	tillagda
சேர்க்கப்பட்டார்	tillagt
சேர்க்கப்பட்டார்	tillagd
சேர்க்கப்பட்டார்	tillsatt
அரக்கன்	monstret
அரக்கன்	monster
சமுத்திரம்	oceanen
சமுத்திரம்	havet
சமுத்திரம்	hav
சமுத்திரம்	ocean
முக்கோணங்கள்	trianglar
சொந்தமானது	ägt
சொந்தமானது	ägd
சொந்தமானது	ägda
சொந்தமானது	ägde
சொந்தமானது	ägs
பாராட்டு	uppskattning
பாராட்டு	applåder
அச்சிட்டு	avtryck
அச்சிட்டு	fingeravtryck
பின்பும்	efteråt
பின்பும்	after
பின்பும்	efter
தோழர்	kamrat
தோழர்	kompanjon
தோழர்	följeslagare
போராடும்	slåss
போராடும்	kämpa
போராடும்	fighting
போராடும்	slagsmål
போராடும்	kämpar
போராடும்	kämpande
விலகல்	avvikelse
அர்ஜென்டினா	argentina
அர்ஜென்டினா	argentinska
ரத்தம்	blodet
ரத்தம்	blod
ரத்தம்	blood
தாமான்	taman
வெடி	explosionen
வெடி	explosion
வெடி	explosioner
பழமொழி	ordspråk
கற்பனைக்	fantasi
கற்பனைக்	fantasy
கம்	tuggummi
மெசியா	messias
ஹெப்பர்ன்	hepburn
குட்டை	kort
குட்டை	korta
குட்டை	short
காதலர்	älskarinna
காதலர்	älskare
யூரியா	urea
மீறல்	kränkning
மீறல்	överträdelse
குப்தா	gupta
மாணவன்	studenten
மாணவன்	elev
மாணவன்	studerande
மாணவன்	student
டானியல்	daniel
டானியல்	danne
கனரக	heavy
கனரக	tungt
கனரக	tung
கனரக	tunga
சந்தா	prenumerera
சந்தா	teckna
சந்தா	tecknande
சந்தா	abonnemang
சந்தா	prenumeration
தொங்கும்	hängande
தொங்கும்	hängning
தொங்கும்	hänger
தொங்கும்	hänga
ஒருமை	singular
கொண்டாடுகின்றனர்	fira
கொண்டாடுகின்றனர்	firar
வாங்குதல்	köpa
வாங்குதல்	inköp
வாங்குதல்	köp
வாங்குதல்	köpet
வாங்குதல்	köper
வாங்குதல்	inköp
வாங்குதல்	köper
வாங்குதல்	köpa
நதிகள்	floder
நதிகள்	vattendrag
நதிகள்	floderna
நதிகள்	rivers
ஊடுருவல்	genomskinligt
ஊடுருவல்	transparenta
ஊடுருவல்	öppet
ஊடுருவல்	transparent
ஊடுருவல்	genomskinlig
ஊடுருவல்	transparens
ஊடுருவல்	insyn
ஊடுருவல்	öppenhet
ஏர்பஸ்	airbus
தவளை	groda
கரம்	karam
பிரடெரிக்	frederick
பிரடெரிக்	fredrik
வேலைவாய்ப்பின்மை	arbetslösheten
வேலைவாய்ப்பின்மை	arbetslöshet
டில்லி	delhi
துளு	tulu
நான்சி	nancy
இரண்டரை	eliminera
இரண்டரை	eliminerar
ஹார்மோன்	hormonella
ஆறுதல்	bekvämlighet
ஆறுதல்	komfort
ஆறுதல்	tröst
ஆறுதல்	comfort
சுங்	chung
பலவீனமான	svagt
பலவீனமான	klen
பலவீனமான	svaga
பலவீனமான	svag
தகடுகள்	plåtar
தகடுகள்	tallrikar
தகடுகள்	plattor
வலியை	smärta
வலியை	pain
வலியை	smärtor
வலியை	värk
விதிமுறைகளை	termer
விதிமுறைகளை	begrepp
விதிமுறைகளை	villkor
தாள்கள்	tabeller
தாள்கள்	plåt
தாள்கள்	lakan
தாள்கள்	blad
கல்வியாளர்கள்	akademiker
கல்வியாளர்கள்	utbildare
கிரீஸ்	grekland
உதயம்	soluppgång
உதயம்	soluppgången
மேத்தா	mehta
தோமா	thoma
கரீபியன்	karibiska
கரீபியன்	västindien
கரீபியன்	karibien
ஹோலி	holly
சண்டைகள்	slagsmål
பானம்	dryck
பானம்	drick
பானம்	dricker
பானம்	supa
பானம்	dricka
நித்திய	evigheten
நித்திய	evighet
நித்திய	evigt
நித்திய	evig
நித்திய	eviga
மடத்தில்	klostret
மடத்தில்	kloster
மண்டை	skallen
மண்டை	skalle
சிபிஐ	kpi
பெய்யும்	pei
மாலி	mali
டைலர்	tyler
பேபி	bebis
பேபி	älskling
புகழை	rykte
புகழை	anseende
குயின்ஸ்லாந்து	queensland
எத்தனால்	etanol
சீக்ரெட்	hemlighet
சீக்ரெட்	hemliga
சீக்ரெட்	secret
சீக்ரெட்	hemlig
சீக்ரெட்	hemligt
ஓட்டோமான்	ottomanska
தொப்பி	cap
தொப்பி	mössa
தொப்பி	keps
தொப்பி	hatten
தொப்பி	keps
தொப்பி	mössa
தொப்பி	hatt
ஒத்ததாக	synonymt
ஈதர்	etern
ஈதர்	eter
சிக்மா	sigma
இழக்க	förlorar
இழக்க	förlora
இழக்க	mista
துப்பறியும்	kriminalinspektör
துப்பறியும்	detektiv
கம்பிகள்	kablar
கம்பிகள்	sladdar
உபகரணம்	utrustning
உபகரணம்	apparatur
உபகரணம்	apparat
உபகரணம்	apparater
வண்ணங்கள்	färgämnen
வண்ணங்கள்	färger
வண்ணங்கள்	färger
கோலி	kohli
கடினமானது	svår
கடினமானது	svårt
நுனி	spets
நுனி	tips
நுனி	tip
நுனி	dricks
நுனி	tipsa
படவில்லை	glida
படவில்லை	glid
பெண்ணுக்கு	flicka
பெண்ணுக்கு	tjej
கதாநாயகன்	hjälten
கதாநாயகன்	hero
கதாநாயகன்	hjälte
பீரங்கிகள்	granatkastare
பீரங்கிகள்	stridsvagnar
பீரங்கிகள்	tanks
பீரங்கிகள்	tankar
