மெத்தை	ที่นอน
லியு	หลิว
ரிஸ்	ris
வறுத்த	ผัด
வறுத்த	ทอด
அழுக்கு	สกปรก
சாய்ந்து	เพรียว
ஊரடங்கு	เคอร์ฟิว
பேதை	วัชพืช
பேதை	กัญชา
அதிர்ஷ்டம்	โชค
முட்டி	เข่า
மேலோடு	เปลือก
வகுப்பறை	ห้องเรียน
படிப்பினை	คุณธรรม
ரிமோட்	รีโมท
மூடநம்பிக்கை	ไสยศาสตร์
ஹக்கீம்	hakeem
சீஸ்	ชีส
சீஸ்	cheese
உள்ளமை	ภายใน
செங்கற்கள்	อิฐ
கண்புரை	ต้อกระจก
பொழில்	ป่าดิบ
எரிந்த	ไหม้
ராண்டி	randy
அழுத்தமாக	หดหู่
மயானம்	สุสาน
மயானம்	ป่าช้า
சிக்ரி	sikri
கவனி	นาฬิกา
கவனி	ชม
கவனி	ดู
கவனி	แจ้ง
கவனி	ฟัง
ஊறுகாய்	ดอง
கோருகிறது	ลาก
உள்ளங்கை	palm
உள்ளங்கை	ฝ่ามือ
உள்ளங்கை	ปาล์ม
கம்யூனிஸ்டுகள்	คอมมิวนิสต์
கவிஞன்	กวี
கோமா	โคม่า
கீரி	พังพอน
அழுத்தவும்	สื่อ
அழுத்தவும்	กด
பாதிக்கப்பட்டவர்	เหยื่อ
தொலைநிலை	รีโมท
கண்ணியம்	ศักดิ์ศรี
உண்ணிகள்	หูด
வாளி	ถัง
பியா	เพียร์
ஃபால்	ล้ม
ஃபால்	หล่น
ஃபால்	ตก
ஃபால்	ร่วง
குறிச்சொல்	วาระ
சிரி	หัวเราะ
சுகர்	น้ำตาล
கிமி	kimi
சுவரொட்டிகள்	โปสเตอร์
விட்டும்	จาก
மாயம்	เวทมนตร์
மாயம்	มนตร์
கிரெடிட்	credit
கிரெடிட்	เครดิต
பியூரின்	purine
சுருக்கமாகவும்	กระชับ
பிரச்சாரங்கள்	แคมเปญ
துரு	สนิม
பூம்	ตูม
பூம்	บูม
நங்கூரம்	สมอ
நங்கூரம்	สม
ஜித்தா	jeddah
செறிவூட்டப்பட்ட	อุดม
உத்தமன்	utama
மிட்டாய்	ลูกอม
மிட்டாய்	candy
மிட்டாய்	ขนม
டாக்சி	taxi
டாக்சி	แท็กซี่
கடித்து	กัด
தாய்மார்கள்	มารดา
முளை	ถั่วงอก
ஆர்ப்பாட்டத்தில்	ประท้วง
தொட்டது	สัมผัส
சவுல்	โซล
சவுல்	ซอล
ஜனநாயகம்	ประชาธิปไตย
ஆரோக்கியமாக	สุขภาพ
ஐந்தாக்சைடு	pentoxide
மெழுகுவர்த்தி	เทียน
மெழுகுவர்த்தி	เทียนไข
வெய்ன்	เวย์น
கிண்ணத்தில்	ชาม
புயல்கள்	วายุ
புயல்கள்	พายุ
ஸ்டில்	ยัง
இண்டர்	inter
இண்டர்	อินเตอร์
சீழ்	หนอง
பிரா	บรา
டென்வர்	เดนเวอร์
சேறு	โคลน
சர்வே	สำรวจ
சோகம்	สลด
சோகம்	เศร้าๆ
சோகம்	เศร้า
இயக்கவும்	เล่น
நிமி	min
நிமி	มิน
குவா	kua
சவாலான	ท้าทาย
பதிலளிப்பு	ปฏิกิริยา
அன்பளிப்பு	พรสวรรค์
மண்ணெண்ணெய்	ก๊าด
அல்ட்ரா	ultra
அழுகிய	เน่า
கொய்யா	ฝรั่ง
கூல்	เท่ห์
கூல்	เท่
கூல்	เจ๋ง
கூல்	เย็น
பவுண்டேஷன்	รากฐาน
பவுண்டேஷன்	foundation
பவுண்டேஷன்	มูลนิธิ
பிரமிடுகள்	พีระมิด
பெருமையுடன்	ภูมิใจ
இரேனியம்	rhenium
பீல்	เปลือก
பீல்	ปลอก
சுசி	ซูชิ
லேகர்ஸ்	lakers
குலுக்கல்	สุ่ม
சுவிச்சர்லாந்து	สวิสเซอร์แลนด์
பழக்கமான	คุ้นๆ
பழக்கமான	คุ้น
வண்ணமயமான	สีสัน
லெக்	lek
லெக்	เหล็ก
குர்	gur
ஓத	tidal
சிறுநீரகங்கள்	ไต
ஜாம்	แยม
ஜாம்	แจม
நைஜீரிய	ไนจีเรีย
டூன்	toon
ரேங்கின்	rankine
சூனியம்	เวทมนตร์
சூனியம்	มนตร์
தேள்	แมงป่อง
ஃபில்	ฟิลล์
ஃபில்	ฟิล
புத்ரா	putra
வசிப்பிடம்	ที่พัก
சர்வாதிகாரம்	เผด็จการ
விளையாட்டைப்	เล่น
சண்டையிடும்	สู้
மென்மை	นิ่ม
மென்மை	อ่อน
மென்மை	นุ่ม
மென்மை	ไฟแช็ก
யுன்	ยุน
கொட்டாவி	หาว
மறைத்தல்	ซ่อน
பெறுநர்	ผู้รับ
பெறுநர்	ผู้รับ
தவணை	pmt
மரியாதையை	เคารพ
மரியாதையை	นับถือ
மடக்கு	ลูป
மடக்கு	วน
மேன்மையான	super
கவலைகள்	ห่วง
காயங்களை	แผล
காயங்களை	บาดแผล
மூடுபனி	หมอก
இளமையான	ยัง
பற்பசை	ยาสีฟัน
ஒன்றிணைப்பு	concatenation
தைலம்	balm
தற்பெருமை	โม้
தாய்பெய்	ไทเป
நொந்து	ไหม้
வெப்பமானி	เทอร์โมมิเตอร์
டோகோ	โตโก
புதியது	นิว
புதியது	ใหม่
அன்போடு	หมกมุ่น
அன்போடு	หลงใหล
ஒலிம்பிக்ஸ்	โอลิมปิก
பொருளாளர்	เหรัญญิก
பொருளாளர்	เลขา
பொருளாளர்	รัฐมนตรี
பொருளாளர்	เลขาฯ
பொருளாளர்	เลขาธิการ
பொருளாளர்	เลขานุการ
தடுக்கப்பட்டது	บล็อก
தடுக்கப்பட்டது	บล็อค
உள்ளிடு	ป้อน
பேஸ்புக்	facebook
சியன்	ฌอน
சியன்	ชอน
கியான்	gyan
கம்பளம்	พรม
படிக்கட்டு	บันได
தீமைகள்	cons
நாஸ்	nas
நாஸ்	นาส
ஓமன்	โอมาน
இரவல்	ยืม
நைலான்	nylon
நைலான்	ไนลอน
அவுன்ஸ்	ออนซ์
பம்ப்	ปั๊ม
எளிமையானது	ง่าย
எளிமையானது	ง่ายๆ
துன்புறுத்தல்	ก่อกวน
வேலைநிறுத்தம்	strike
கத்திகள்	มีด
இம்சை	ทรมาน
கணி	คำนวณ
ஊழியர்களும்	ลูกจ้าง
ஊழியர்களும்	พนักงาน
லூகாஸ்	ลูคัส
கங்காரு	จิงโจ้
டார்	tar
ஏமாற்றும்	cheat
ஏமாற்றும்	โกง
ஏமாற்றும்	โกง
ஏமாற்றும்	นอกใจ
அழுகை	ร้องไห้
அழுகை	ร้องไห้
தப்பு	ธรรม
தப்பு	ผิด
டொமினிக்கா	โดมินิกา
தொகுப்பி	assembler
பைக்	ไพก์
பைக்	ไพค์
பைக்	จักรยาน
பன்	ขนมปัง
யென்	เยน
பீடி	pete
பீடி	พีท
ருத்தேனியம்	ruthenium
இனிமையாக	หวานๆ
இனிமையாக	หวาน
சாப்பாடு	อาหาร
சாப்பாடு	อาหาร
சாப்பாடு	มื้อ
விவாதிக்க	อภิปราย
கட்டுக்கதை	ตำนาน
தகர	tin
தகர	ทิน
லென்	len
லென்	เลน
கேமராக்கள்	กล้อง
கர்டிஸ்	ติส
கீரைகள்	เขียว
டொயோட்டா	toyota
வளமை	สดชื่น
தூக்கும்	ยก
போடு	วาง
போடு	ใส่
யவ்	yau
கருத்துகளில்	หมายเหตุ
கருத்துகளில்	คอมเมนท์
மெரீனா	ท่าเรือ
ஏணி	บันได
சோதிக்கப்பட்டது	ทดสอบ
சாட்டை	แส้
சாட்டை	แสด
சாட்டை	หวด
பொப்பர்	popper
சூசி	susie
ஆண்மகன்	danilo
விழுதல்	ล้ม
விழுதல்	หล่น
விழுதல்	ตก
விழுதல்	ร่วง
பர்ட்டன்	burton
போஸ்டர்	โปสเตอร์
எச்ச	ตกค้าง
சாக்ஸ்	sox
மனைவிக்கும்	ภริยา
மனைவிக்கும்	ภรรยา
மனைவிக்கும்	เมีย
அவமானம்	ละอาย
அவமானம்	เสียดาย
அவமானம்	ละอาย
அவமானம்	อาย
அவமானம்	ดูถูก
அமைடு	amide
பஹ்ரைன்	บาห์เรน
வீடியோவை	วีดีโอ
வீடியோவை	วิดีโอ
செனகல்	เซเนกัล
டானி	เดนี
மாடல்கள்	รุ่น
சரளமாக	คล่อง
அறையை	ห้อง
மணப்பெண்	bride
சைபர்	ไซเบอร์
பட்டன்	กระดุม
பட்டன்	ปุ่ม
கிராம்பு	กานพลู
ஸ்பிரிங்	spring
ஸ்பிரிங்	สปริง
புறக்கணிக்கப்பட்ட	ละเว้น
காசுப்பியன்	แคสเปียน
மனிதம்	มนุษยชาติ
மனிதம்	มนุษยธรรม
கிட்டி	kitty
சீரியஸ்	จริงจัง
லக்	โชค
பாண்	บอ
பாண்	บอน
பாண்	bon
வேலைக்காரி	คนใช้
இழு	ลาก
ஆர்க்கிட்	กล้วยไม้
டெர்பியம்	terbium
போக்கர்	โป๊กเกอร์
டெக்னீசியம்	technetium
பீனால்	phenol
ஒத்திருக்கின்றன	สอดคล้อง
பல்ஸ்	ชีพจร
போர்க்களம்	ศึก
போர்க்களம்	รบ
போர்க்களம்	สงคราม
ஸின்	ซิน
தர்மா	ธรรมะ
பிளாஷ்	flash
பிளாஷ்	แฟลช
குணமாக்கும்	หาย
குணமாக்கும்	รักษา
குணமாக்கும்	เยียวยา
எலக்ட்ரானிக்ஸ்	อิเล็กทรอนิกส์
தரகர்கள்	โบรกเกอร์
சுமத்ரா	สุมาตรา
கண்டுபிடிக்கவும்	สำรวจ
வாட்ஸ்	วัตต์
மாலா	mala
மூடப்பட்டுள்ளது	ปิด
நிர்வாணமாக	เปลือย
நட	เดิน
முறிந்த	แตก
முறிந்த	แตกหัก
முறிந்த	พัง
முறிந்த	ชำรุด
முறிந்த	สลาย
முறிந்த	หัก
பெண்ணே	สาว
புல்லட்	ลูกปืน
புல்லட்	กระสุน
தார்மீக	คุณธรรม
நல்லிணக்கம்	ปรองดอง
ஏறுதல்	ปีน
மாலத்தீவு	มัลดีฟ
க்ரூப்	krupp
உண்	ทาน
உண்	กิน
அழுகல்	เน่า
டெபாசிட்	มัดจำ
பாண்டா	แพนด้า
நீட்டிக்க	ขยาย
வெளிப்படையாகவே	เห็นๆ
டிக்சன்	dickson
எழுத்துப்பிழை	สะกด
பதுங்கு	บังเกอร์
வார்ட்	ward
வார்ட்	วอร์ด
