மற்றும்	ve
ஒரு	biri
ஒரு	bir
இந்த	bu
இந்த	bunu
இந்த	bunlar
இந்த	bunları
இந்த	şunlar
ஆம்	evet
ஆம்	yes
இது	bu
இது	bunu
மக்கள்	halkları
மக்கள்	halk
மக்கள்	halk
மக்கள்	kişiler
மக்கள்	insanlar
மக்கள்	millet
என்ற	başlıklı
ஆண்டு	yıl
ஆண்டு	yılı
ஆண்டு	sene
என்று	bu
என்று	bunu
தமிழ்	tamil
இந்திய	yerli
இந்திய	kızılderili
இந்திய	hintli
இந்திய	hint
இருந்து	from
பல	birçok
பல	çoklu
முதல்	from
முதல்	öncelikle
முதல்	önce
முதல்	ilk
முதல்	once
மேலும்	daha
மேலும்	devamı
மேலும்	more
தொகை	miktarı
தொகை	tutar
தொகை	miktar
சில	birkaç
சில	bazı
சில	bazıları
சில	bazılarını
சில	kimisi
உள்ளது	mevcuttur
உள்ளது	müsait
உள்ளது	mevcut
உள்ளது	kullanılabilir
அவர்	onu
அவர்	onun
அவர்	onu
இருக்கும்	mevcut
வெளி	harici
வெளி	boşluk
வெளி	space
வெளி	uzayı
வெளி	uzay
அமைந்துள்ளது	bulunan
மூலம்	kaynağı
மூலம்	kaynak
மூலம்	orijinal
மூலம்	özgün
மூலம்	orjinal
மூலம்	aslı
பின்னர்	öyleyse
பின்னர்	ozaman
பின்னர்	sonra
பின்னர்	sonradan
பின்னர்	sonra
ஆனால்	ama
ஆனால்	fakat
வேண்டும்	ihtiyaç
வேண்டும்	lazım
வேண்டும்	ihtiyacım
வேண்டும்	gerek
வேண்டும்	istiyorum
கொண்டு	getirilmiş
கொண்டு	getirildi
கொண்டு	getirdi
கொண்டு	getir
கொண்டு	getirin
கொண்டு	with
கொண்டு	ile
பட்டியல்	liste
பட்டியல்	listesi
பட்டியல்	listeyi
அமைந்துள்ள	bulunan
பெண்கள்	dişiler
பெண்கள்	kadınlar
பெண்கள்	dişi
பெண்கள்	kızlar
பெண்கள்	girls
பெண்கள்	kadınları
பெண்கள்	kadın
பெண்கள்	kadinlar
பெண்கள்	kadınlar
