ve	un
bir	viens
bir	viena
bir	vienu
bu	šī
bu	šo
bu	šis
bu	tas
bu	ka
bu	tas
de	pateikt
de	saki
de	teikt
ile	ar
için	par
için	priekš
için	for
en	mīlulis
daha	vairāk
daha	vairak
sonra	tad
sonra	pēc
sonra	vēlāk
sonra	vēlākā
ilk	pirmais
ilk	pirmā
ilk	pirmās
ilk	pirmie
ilk	pirma
ilk	vispirms
utc	utc
çok	ļoti
çok	loti
çok	daudz
yer	vieta
yer	vieta
yer	vieta
yer	novietojums
gibi	patīk
gibi	like
dış	ārējais
dış	ārējā
dış	dis
büyük	lielie
büyük	liels
büyük	lielas
büyük	lieli
büyük	liela
büyük	lielā
büyük	liels
büyük	lielais
büyük	lieli
büyük	liela
büyük	lielā
büyük	milzīgi
büyük	milzīgas
büyük	milzīga
büyük	milzīgs
bağlantılar	savienojumi
bağlantılar	saites
bağlantılar	links
bağlantılar	kontakti
bağlantılar	kontaktus
türkiye	turciju
türkiye	turcijā
türkiye	tītara
türkiye	turcija
türkiye	turcijas
iki	iki
iki	divas
iki	divus
iki	divi
ancak	tomēr
center	centrs
center	centrā
arasında	starp
ayrıca	arī
ayrıca	turklāt
istanbul	stambulas
istanbul	stambulā
türk	turk
türk	turku
türk	turcijas
diğer	pārējie
diğer	citi
diğer	cits
diğer	citādi
diğer	citas
yeni	jauna
yeni	jaunums
yeni	jauni
yeni	jauns
yeni	jaunais
yeni	jaunas
un	milti
aynı	pašas
aynı	pašu
kulüp	klubā
kulüp	club
kulüp	klubs
kulüp	kluba
bağlı	pievienoti
bağlı	pievienotie
bağlı	pievienota
bağlı	pievienots
bağlı	pievienotas
bağlı	piesaistīta
bağlı	piesaistīti
bağlı	piesaistīts
bağlı	pieslēdzies
bağlı	savienota
iyi	laba
iyi	labas
iyi	labi
iyi	labs
iyi	labais
iyi	smalki
iyi	skaistie
iyi	smalks
iyi	smalka
ne	kas
ne	kāda
ne	kāds
ne	ko
ilgili	attiecīgais
ilgili	ieinteresēts
ilgili	interesē
ilgili	interesenti
ilgili	ieinteresēti
ilgili	ieinteresēta
ilgili	saistīts
son	pēdējo
son	pēdējais
son	pēdējā
son	pēdējās
son	pēdējoreiz
son	beigas
alan	lauks
alan	lauka
alan	laukā
alan	sfēra
alan	domēna
alan	joma
alan	alan
alan	teritorija
alan	platība
alan	apgabals
alan	laukums
dünya	pasaule
dünya	pasaulē
dünya	zemi
dünya	zeme
dünya	zemes
abd	asv
abd	usa
birlikte	kopā
bulunan	atrodas
eski	vecā
eski	veca
eski	veci
eski	vecs
and	andu
önemli	uzsver
önemli	izceļ
önemli	svarīgs
önemli	svarīga
önemli	svarīgas
önemli	svarīgi
önemli	nozīmīgs
önemli	nozīmīga
önemli	nozīmīgs
önemli	ievērojams
önemli	nozīmīgas
madde	vielai
madde	viela
madde	materiāli
madde	materiāls
madde	raksts
madde	izstrādājums
madde	pants
sağlık	medicīnas
sağlık	medicīniskā
sağlık	veselības
sağlık	veselību
sağlık	veselība
genel	vispārīgs
genel	vispārējs
genel	vispārējais
genel	kopumā
genel	vispārējā
genel	vispārējais
genel	vispārīgi
genel	vispārēji
mart	mart
mart	marta
mart	martā
mart	marts
adı	vārds
adı	nosaukums
film	filmas
film	filma
film	filmu
film	plēve
film	filma
film	plēves
film	filmas
film	kino
