ve	in
bir	enga
bir	ena
bir	en
bir	eden
bir	eno
bu	to
bu	ta
bu	tole
bu	tega
bu	to
bu	tisto
de	povej
için	za
en	priljubljene
en	najljubših
en	najljubše
daha	več
daha	bolj
sonra	potem
sonra	po
sonra	pozneje
sonra	kasneje
ilk	prva
ilk	prvo
ilk	prvi
ilk	najprej
utc	utc
çok	zelo
çok	much
çok	veliko
yer	prizorišče
yer	plac
yer	kraj
yer	lokacija
yer	lokacijo
gibi	kot
dış	zunanji
dış	zunanja
dış	dis
büyük	velika
büyük	velike
büyük	velika
büyük	veliki
büyük	velike
büyük	velik
büyük	ogromen
büyük	ogromno
büyük	ogromna
büyük	ogromne
bağlantılar	povezave
bağlantılar	priključki
bağlantılar	povezave
bağlantılar	stike
bağlantılar	stiki
türkiye	turčija
iki	iki
iki	dve
iki	dva
ancak	kakorkoli
center	središče
center	center
arasında	med
ayrıca	tudi
ayrıca	nadalje
istanbul	istanbulu
istanbul	istanbul
türk	turek
türk	turka
türk	turk
türk	turška
türk	turški
türk	turško
diğer	drugi
diğer	drugo
diğer	druga
diğer	druge
yeni	novo
yeni	nov
yeni	novi
yeni	nove
yeni	nova
un	moke
un	moko
un	moka
her	vsak
her	vsaka
her	vsako
aynı	ista
aynı	enaka
aynı	enako
aynı	isto
kulüp	klub
kulüp	club
bağlı	pritrjen
bağlı	pritrjeno
bağlı	priloženo
bağlı	pritrjena
bağlı	priloženi
bağlı	vezan
bağlı	vezani
bağlı	vezani
bağlı	zavezal
bağlı	izenačeno
bağlı	zvezan
bağlı	vezano
bağlı	odvisno
bağlı	povezana
bağlı	povezani
bağlı	povezano
bağlı	povezana
bağlı	povezano
bağlı	povezani
iyi	pridni
iyi	pridna
iyi	dober
ne	kaj
ilgili	ustrezni
ilgili	ustrezna
ilgili	zanima
ilgili	zainteresirani
ilgili	zainteresirana
ilgili	zainteresirane
ilgili	povezano
ilgili	povezani
son	zadnji
son	nazadnje
son	poslednje
son	zadnje
son	zadnja
son	konec
alan	field
alan	polje
alan	področje
alan	alan
alan	območje
alan	površina
alan	področje
dünya	svet
dünya	svetovna
dünya	svetovno
dünya	world
dünya	zemeljska
dünya	zemlja
dünya	zemlje
dünya	zemljo
abd	zda
abd	usa
birlikte	skupaj
bulunan	nahaja
eski	stare
eski	star
eski	staro
eski	stara
eski	stari
önemli	povzetki
önemli	poudarja
önemli	pomembno
önemli	pomemben
önemli	pomembna
önemli	precejšnje
madde	snov
madde	določba
madde	klavzula
madde	materialno
madde	material
madde	gradivo
madde	članek
madde	člena
madde	člen
madde	izdelek
sağlık	wellness
sağlık	medicinski
sağlık	medicinsko
sağlık	zdravje
sağlık	zdravja
sağlık	zdravstvo
genel	splošno
genel	splošno
genel	splošni
genel	splošna
mart	mart
mart	marec
mart	marca
mart	pohod
adı	ime
film	filmi
film	film
film	film
film	kino
film	filmi
film	filme
haziran	junij
haziran	june
haziran	junija
mayıs	maj
mayıs	maja
dosya	datotek
dosya	datoteke
dosya	datoteka
dosya	datoteko
ocak	jan
ocak	januar
ocak	januarja
ocak	štedilnik
yıl	leto
yıl	letnica
dan	dan
kasım	november
kasım	novembra
kasım	qasim
kasım	november
avrupa	europe
avrupa	evropa
avrupa	evropo
avrupa	evropi
avrupa	europa
avrupa	evropski
avrupa	evropska
avrupa	evropsko
ama	toda
ama	ampak
ama	vendar
karşı	števec
karşı	proti
karşı	zoper
toplam	doživljenjsko
toplam	vsota
toplam	seštevek
toplam	skupaj
toplam	skupno
toplam	splošno
jpg	jpg
eylül	september
eylül	septembra
ağustos	avgusta
ağustos	august
ağustos	avgust
içinde	znotraj
içinde	notri
içinde	znotraj
temmuz	julij
temmuz	julija
önce	pred
önce	preden
önce	prej
önce	prva
önce	prvo
önce	prvi
önce	najprej
tüm	cele
tüm	cel
tüm	cela
tüm	celotno
den	den
den	brlog
nisan	april
nisan	aprila
resim	sliko
resim	slika
resim	sliko
resim	podoba
resim	slika
resim	sliko
resim	slikanje
resim	barvanje
resim	slika
resim	risba
resim	risanje
üniversitesi	univerza
ye	jej
ye	jest
ye	jejte
ekim	oktobra
ekim	oktober
şehir	mestu
şehir	mesto
şehir	city
şehir	mesto
şehir	mestu
şehir	urban
şehir	mestna
şehir	urbana
şehir	mestne
ptt	ptt
zaman	čas
zaman	časa
bazı	nekatere
bazı	nekaterim
bazı	nekateri
bazı	nekaj
bazı	neki
aralık	december
aralık	decembra
aralık	dec
aralık	interval
köy	vasi
köy	vasica
yüksek	visoko
yüksek	visoka
yüksek	višja
yüksek	višji
yüksek	višje
birçok	številni
birçok	mnogi
birçok	veliko
şubat	februarja
şubat	februar
şubat	feb
sadece	le
sadece	samo
sadece	le
sadece	samo
yol	pot
yol	pot
yol	pot
yol	način
yol	pot
yol	cesta
fakat	toda
fakat	ampak
fakat	vendar
grup	band
grup	bend
grup	ansambel
grup	skupino
grup	skupinsko
grup	skupinski
grup	skupinska
grup	skupina
takım	vod
takım	ekipno
takım	ekipa
takım	team
kendi	lastno
kendi	lastne
kendi	lastna
kendi	lastni
şekilde	pot
şekilde	način
tek	samske
tek	enotnega
tek	single
tek	samski
tek	samska
bilgi	info
bilgi	informacije
bilgi	obveščanje
bilgi	podatki
bilgi	informacija
bilgi	informacije
bilgi	podatek
bilgi	znanja
bilgi	poznavanje
bilgi	znanje
kez	krat
kez	časi
kez	times
hakkında	glede
latns	latns
longew	longew
latd	latd
osmanlı	otomanskih
longd	longd
longm	longm
latm	latm
devlet	stanje
devlet	država
devlet	državno
devlet	vladne
devlet	vladni
devlet	vladna
devlet	vlado
devlet	vladno
devlet	vlada
devlet	vladni
devlet	vlade
ankara	ankari
lats	lats
colspan	colspan
üç	tri
üç	trije
üç	tremi
üç	three
tarihi	zmenek
tarihi	datum
tarihi	zgodovinski
tarihi	zgodovinsko
tarihi	zgodovinska
tarihi	zgodovinske
tarihi	zgodovina
tarihi	zgodovino
başladı	začel
başladı	začela
başladı	začeto
başladı	začet
küçük	majhno
küçük	majhni
küçük	majhen
küçük	majhne
küçük	majhna
küçük	lil
küçük	male
küçük	mali
müzik	glasba
müzik	muzika
müzik	glasbo
gelen	prihajajoči
gelen	prihajajoče
resmi	formalno
resmi	formalnega
resmi	sliko
resmi	slika
resmi	uradnik
resmi	uradna
resmi	uradno
resmi	uradni
kabul	dogovorjena
kabul	dogovorjeni
kabul	dogovorjeno
kabul	sprejemanje
kabul	sprejetje
kabul	sprejem
kabul	sprejme
kabul	sprejema
kabul	sprejeti
kabul	sprejmi
kabul	sprejeta
kabul	sprejete
kabul	sprejet
kabul	sprejeto
devam	obdrži
devam	ohrani
kupası	pokal
kupası	skodelico
kupası	skodelica
kupası	lonček
fazla	presežek
okulu	šole
okulu	šolo
okulu	šola
aldı	slikano
aldı	vzet
aldı	vzela
aldı	vzel
aldı	prejeto
aldı	prejeti
aldı	prejeta
em	zanič
sahip	dominus
farklı	drugačna
farklı	drugačen
farklı	drugačni
farklı	drugačno
futbol	nogomet
futbol	football
futbol	nogomet
futbol	fuzbal
ileti	sporočilo
doğru	točen
doğru	natančen
doğru	natančni
doğru	natančna
doğru	desno
doğru	right
doğru	pravica
doğru	prav
doğru	res
doğru	resnično
doğru	true
doğru	resnična
doğru	resnica
doğru	pravilno
doğru	pravilna
doğru	pravilen
doğru	pravilni
tarım	kmetijska
tarım	kmetijske
tarım	kmetijsko
tarım	kmetijski
tarım	kmetovanje
tarım	kmetovanja
tarım	kmetijstvo
tarım	gojenje
tarım	kmetijstvo
on	ten
özel	izključno
özel	izključna
özel	ekskluzivno
özel	zasebno
özel	privat
özel	zasebna
özel	zasebnega
özel	zasebni
özel	specialno
özel	posebna
özel	posebne
özel	poseben
özel	posebno
özel	običaj
biri	nekdo
biri	nekdo
biri	enga
biri	ena
biri	en
biri	eden
biri	eno
alanı	field
alanı	polje
alanı	območje
alanı	površina
alanı	področje
vikipedi	wikipedia
uzun	visoki
uzun	visok
uzun	visoka
uzun	razširjeni
uzun	razširjeno
uzun	podaljšana
uzun	podaljšano
uzun	razširjena
uzun	podaljšan
uzun	višji
uzun	višja
uzun	dolge
uzun	dolg
uzun	dolgo
uzun	dolgi
uzun	dolga
şarkı	pojem
şarkı	petje
şarkı	poje
şarkı	petja
şarkı	pesmi
şarkı	pesem
eden	eden
lig	league
lig	ligo
lig	liga
orta	sredina
orta	srednji
orta	srednja
orta	srednje
orta	srednja
orta	gojišče
orta	središče
orta	center
orta	središče
orta	center
oyuncu	igralec
oyuncu	predvajalnik
oyuncu	igralca
oyuncu	igralec
oyuncu	igralka
oyuncu	igralke
geri	zadaj
geri	hrbet
geri	nazaj
geri	vzvratno
mesaj	besedilo
mesaj	sporočilo
mesaj	sporočil
mesaj	sporočila
elektrik	elektrike
elektrik	elektrika
elektrik	električno
elektrik	električni
elektrik	električno
elektrik	električna
elektrik	električni
ardından	po
merkezi	osrednje
merkezi	centralne
merkezi	centralno
merkezi	osrednji
merkezi	centralni
merkezi	središče
merkezi	center
merkezi	središče
merkezi	center
kısa	krajša
kısa	krajšo
kısa	krajši
kısa	krajše
kısa	kratki
kısa	kratko
kısa	kratek
kısa	kratka
kısa	kratke
kısa	kratek
güney	južna
güney	južno
güney	južni
güney	južno
güney	jug
güney	južna
almanya	nemčija
kişi	oseba
kişi	osebi
kişi	osebo
değil	ni
değil	ne
kuzey	severna
kuzey	severni
kuzey	severno
kuzey	sever
kuzey	severna
kuzey	severno
kuzey	severni
kuzey	severne
çeşitli	raznolike
çeşitli	sorta
çeşitli	sorte
çeşitli	raznolikost
çeşitli	razno
çeşitli	razni
çeşitli	različni
çeşitli	različne
çeşitli	razne
açıklama	napis
açıklama	pojasnilo
açıklama	obrazložitev
açıklama	razlaga
açıklama	opis
açıklama	poimenovanje
team	ekipno
team	ekipa
team	team
ortaya	razkril
ortaya	razkrili
ortaya	razkriti
bilgileri	info
bilgileri	informacije
fransa	francijo
fransa	francija
fransa	france
ingilizce	angleško
ingilizce	angleščina
ingilizce	angleži
ingilizce	angleški
olmak	počutje
amerika	ameriki
amerika	amerika
amerika	ameriko
amerika	america
amerika	zda
amerika	usa
el	roki
el	roka
burada	tukaj
yok	nobene
yok	nobenega
yok	noben
yok	nobena
gol	jezero
gol	lake
gol	jezera
gol	gol
gol	cilj
gol	cilji
sağlayan	omogočanje
ana	glavne
ana	main
ana	glavni
ana	glavno
ana	glavna
ana	ane
ana	ano
ana	ana
ana	mater
ana	mamo
ana	mati
suyu	juice
suyu	sok
suyu	soka
özellikle	posebej
özellikle	zlasti
özellikle	specifično
özellikle	izrecno
özellikle	posebej
özellikle	specialno
özellikle	posebej
ilköğretim	osnovno
ilköğretim	osnovni
birleşik	enotno
birleşik	enotna
birleşik	združeni
birleşik	združena
birleşik	združene
birleşik	united
birleşik	združeno
ödülü	nagrada
ödülü	nagrado
ödülü	nagrada
ödülü	nagrado
ödülü	nagrada
ödülü	nagrado
altyapı	infrastrukturo
altyapı	infrastruktura
altyapı	infrastrukture
altyapı	infrastruktura
yerine	namesto
yerine	nadomesti
yerine	zamenjaj
gün	dan
gün	day
doğu	vzhodni
doğu	vzhod
doğu	vzhodna
doğu	vzhodno
doğu	oriental
doğu	orient
doğu	vzhodni
doğu	vzhodna
doğu	vzhodno
süre	čas
süre	časa
süre	trajanje
sabit	popravljeno
sabit	fiksno
sabit	popravil
sabit	fiksna
sabit	konstanta
sabit	stalno
sabit	stabilni
sabit	hlev
sabit	stabilen
sabit	stabilno
eğitim	trening
eğitim	usposabljanja
eğitim	treningi
eğitim	usposabljanje
eğitim	izobrazba
eğitim	izobraževanja
eğitim	izobraževanje
eğitim	izobraževalnih
eğitim	izobraževalno
eğitim	izobraževalni
eğitim	izobraževanje
eğitim	vodnik
eğitim	tutorial
su	vode
su	vodo
su	voda
sırasında	med
uluslararası	mednarodne
uluslararası	mednarodni
uluslararası	mednarodna
uluslararası	mednarodno
yaklaşık	glede
yaklaşık	približno
yaklaşık	približno
alman	nemško
alman	nemec
alman	nemška
alman	nemščina
alman	nemški
alman	nemce
alman	nemci
az	male
az	mali
az	manj
millî	nacionalna
millî	nacionalno
millî	nacionalni
kaynak	vir
kaynak	vir
kaynak	vire
kaynak	sredstva
kaynak	viri
kaynak	varjenje
kullanılan	uporabljen
kullanılan	uporabljena
kullanılan	uporabljeno
kullanılan	uporabljene
kullanılan	uporabljeni
paşa	paša
ligi	league
ligi	ligo
ligi	liga
görev	dajatev
görev	dolžnost
görev	dolžnosti
görev	naloga
görev	opravilo
görev	dodeljevanje
görev	naloga
görev	dodelitev
görev	misija
görev	misijo
görev	poslanstvo
görev	naloga
halk	narode
halk	narodi
halk	javnosti
halk	javna
halk	javnost
halk	javno
halk	ljudje
halk	ljudstvo
halk	osebe
halk	ljudi
tv	televizijo
tv	televizija
onun	njegovo
onun	njegove
onun	njegov
onun	njegova
onun	njej
onun	njo
onun	njen
onun	her
onun	njena
yine	spet
yine	znova
yine	ponovno
ekonomisi	ekonomija
ekonomisi	gospodarstvo
yılı	leto
yılı	letnica
telefon	telefon
