категорія	categoria
від	from
від	vid
для	per
також	també
про	about
його	ell
був	fou
був	estat
населення	demografia
населення	població
було	fou
було	estat
він	wien
під	arres
після	after
після	després
час	vegades
час	temps
час	time
але	però
області	zones
області	àrees
області	àmbits
які	qual
при	pri
який	qual
була	fou
були	estat
були	eren
міста	ciutats
міста	caprici
див	veure
село	seló
село	poble
село	aldea
район	raion
район	districte
через	via
через	venciment
через	mitjançant
села	viles
так	yes
так	sí
рік	rick
рік	any
відстань	distància
ради	consell
сша	usa
має	té
область	àmbit
область	àrea
того	togo
яка	quins
яка	quina
яка	quin
яка	què
яка	qual
близько	tanca
війни	guerres
файл	arxiu
файл	fitxer
між	entre
роки	anys
обговорення	debat
обговорення	discussió
обговорення	discussions
обговорення	debats
обговорення	debatre
коли	quan
вона	ella
лише	només
список	llista
вересня	setembre
цей	això
цей	aquesta
цей	aquest
березня	març
березня	march
місце	spot
місце	lloc
місце	place
місце	localització
місце	ubicació
місце	emplaçament
місце	seat
місце	seient
муніципалітет	municipi
україні	ucraïna
серпня	agost
січня	gener
травня	maig
грудня	desembre
інших	altres
інших	altres
жовтня	octubre
жовтня	oct
один	one
липня	juliol
участь	implicació
участь	participació
участь	participeu
участь	participar
вид	espècies
вид	espècie
вид	vista
вид	visualitza
вид	visualització
можна	can
червня	juny
місто	ciutat
вже	ja
життя	vida
життя	life
срср	urss
квітня	abril
листопада	novembre
лютого	febrer
лютого	feb
опис	descripció
центр	ops
центр	centra
центр	center
центр	centre
центр	centre
захід	oest
тільки	només
франції	frança
століття	segles
століття	segle
рада	consell
рада	rada
відстані	distàncies
схід	est
статті	articles
склад	magatzem
міні	mini
особи	persona
історія	història
історія	història
зображення	imatges
зображення	imatge
зображення	fotografies
пункти	elements
пункти	punts
пункти	calçots
пункти	opcions
код	codi
разом	junts
інші	altres
інші	altres
проти	versus
проти	contra
проти	against
тут	aquí
тут	aqui
тут	ací
український	ucraïnès
мова	idioma
мова	llenguatge
мова	llengua
історії	històries
історії	relats
історії	història
всі	tots
всі	totes
багато	lots
багато	moltes
багато	molts
більше	més
кількість	comte
кількість	número
кількість	nombre
кількість	quantitat
шаблони	plantilles
шаблони	pautes
шаблони	patrons
дуже	molt
два	dos
два	dues
перший	primer
перший	primera
перший	primers
площа	plaça
площа	quadrat
площа	plaça
площа	àmbit
площа	àrea
країни	país
країни	països
назва	nom
назва	denominació
назва	títol
без	sense
голова	head
голова	capçal
народився	nascut
народився	born
щодо	about
сторінка	pàgina
той	aixo
той	que
росії	rússia
все	everything
все	tot
все	tots
все	totes
київ	kíev
зокрема	inclòs
роботи	treball
веб	web
статтю	article
праворуч	dret
праворуч	dreta
потім	aleshores
потім	llavors
землі	earth
землі	terra
армії	exèrcits
армії	batallons
армії	exèrcit
однак	tanmateix
саме	precisament
саме	samer
саме	exactament
північний	nord
північний	northern
день	jornada
день	dia
частина	part
південний	sud
смерті	defunció
смерті	mort
період	període
перша	primer
перша	primera
перша	primers
такі	seguint
такі	següents
двох	dos
двох	dues
навіть	inclús
розташування	emplaçament
розташування	posicionament
розташування	ubicacions
розташування	localitzacions
розташування	localització
розташування	ubicació
розташування	emplaçament
розташування	posició
кар	carrera
три	valldoreix
три	tres
отримав	cobrant
працював	treballat
працював	treballats
висота	altitud
висота	elevació
висота	alçada
висота	alçària
висота	altura
входить	inclou
різних	diferent
різних	diferents
фільми	films
сільська	rurals
церква	església
створення	creant
створення	generació
створення	crear
створення	crea
створення	creació
значення	significat
значення	valors
значення	valor
вул	str
системи	system
системи	sistema
йому	ell
крім	excepte
тоді	aleshores
тоді	llavors
ніж	ganivet
адреса	adreça
член	membre
франція	frança
адміністративний	administratiu
адміністративний	administratius
групи	grups
буде	will
буде	voluntat
буде	bodø
там	hi
там	allà
національний	national
національний	nacional
управління	governança
управління	gestió
всіх	tots
всіх	totes
всіх	tothom
нього	ell
річки	rius
дата	data
тим	tym
людей	gent
людей	persones
мови	llengües
мови	idiomes
мови	idioma
мови	llenguatge
мови	llengua
українська	ucraïnès
поселення	assentament
розподіл	distribució
розвитку	desenvolupament
вулиця	carrer
кілька	pocs
кілька	poques
хімічно	químicament
провінції	províncies
картка	targeta
часто	freqüentment
часто	sovint
олександр	alexandre
олександр	alexander
офіційний	official
тис	taxus
департамент	departament
віком	envellit
тощо	etc
майже	gairebé
права	dret
права	dreta
права	drets
стала	constant
стала	constants
голови	caps
голови	trasplantament
південь	sud
вулиці	carrers
перед	prior
перед	abans
сім	set
мав	havien
яке	qual
автор	creador
автор	autor
володимир	wladimir
володимир	volodímir
володимир	vladímir
володимир	vladimir
типу	tipus
академії	academy
академії	academia
академії	acadèmia
фільм	film
карта	mapa
команди	ordres
команди	equips
іван	ivan
іван	john
іван	joan
використання	ús
використання	utilitzant
використання	usant
використання	usa
використання	utilització
використання	ús
використання	usos
головний	main
головний	principals
головний	principal
зоря	zarià
зоря	estel
зоря	estrella
деякі	alguns
деякі	algunes
музей	museum
музей	museu
діяльність	activitats
діяльність	activitat
частини	parts
закінчив	acabada
закінчив	finalitzat
закінчив	acabat
джерела	fonts
джерела	proveïdors
джерела	font
кам	campaments
честь	honor
організації	organitzacions
організації	organitzant
сил	forces
померли	defuncions
дві	dos
дві	dues
діяльності	activitats
діяльності	activitat
клуб	club
ігор	jocs
ігор	ígor
ігор	igor
партії	party
партії	partit
партії	festa
перелік	llista
перелік	enumeració
роль	rol
складається	consta
усі	tots
усі	totes
усі	tothom
україна	ucraïna
університет	universitat
відомий	famós
відомий	famosos
микола	nikolai
микола	mikołaj
микола	nicolai
микола	nikolai
микола	mikola
італії	itàlia
спочатку	inicialment
школа	escola
право	jus
право	dret
право	dreta
право	llei
євро	euro
далі	pròxima
далі	següent
далі	propera
далі	next
одна	one
хто	qui
хто	who
моря	seas
стаття	article
стаття	paràgraf
звання	files
звання	escalafó
звання	rang
помер	morts
помер	dead
помер	morí
родини	famílies
польщі	polònia
львів	lviv
група	grup
новий	nova
новий	nou
новий	noves
зір	visió
великий	gran
назви	noms
залізниця	ferrocarril
залізниця	ferrocarrils
залізниця	ferrocarril
система	system
система	sistema
північ	midnight
північ	mitjanit
північ	nord
більшість	majoria
особливо	particularment
особливо	sobretot
особливо	especialment
народження	nascut
народження	born
народження	naixement
інформація	info
інформація	informació
влади	autoritats
округ	sotsprefectura
округ	ókrug
округ	districte
інститут	institut
інститут	institució
будинок	casa
дослідження	recerca
дослідження	investigació
дослідження	exploració
дослідження	estudis
війна	guerra
комуни	comuna
приблизно	aprox
приблизно	about
приблизно	aproximadament
багатьох	moltes
багатьох	molts
відповідно	respectivament
війська	efectius
війська	tropes
регіон	regió
людини	humans
рід	clan
рід	reid
рід	reed
дітей	fills
дітей	infants
дітей	nens
міст	pont
міст	bridge
міст	anzac
міст	ciutats
мала	malaya
генерал	general
мали	havien
доходів	igualtat
основі	feixos
статей	articles
статей	sexes
навчання	estudiant
навчання	estudi
навчання	aprenentatge
навчання	tutorial
син	fill
фізична	físic
рішення	decisió
рішення	decisions
рішення	solucions
питання	pregunta
питання	qüestions
питання	preguntes
досить	prou
досить	suficient
люди	humans
люди	gent
люди	persones
тепер	ara
ним	ell
компанії	empreses
компанії	companyies
іншими	altres
походження	origen
дані	dades
дані	dani
раніше	anteriorment
раніше	prèviament
румунії	romania
зазвичай	normalment
зазвичай	habitualment
зазвичай	normalment
зазвичай	típicament
сан	sens
сан	san
використовується	emprat
використовується	utilitzat
використовується	utilitzats
використовується	usat
команда	ordre
команда	comandament
команда	equip
всього	total
таблиці	quadres
таблиці	taules
таблиці	taula
таблиці	quadre
