вінок	vainikas
демонстрація	demonstravimo
материка	žemyninės
заплава	salpa
рама	rama
макет	manekenas
оточує	uždarytos
глюкози	disbalansas
толстой	tolstojus
гість	lankytojų
гість	svečias
юліана	juliana
встановленого	įrenginiai
встановленого	įrengimai
доповідей	pasisakymai
світле	blonde
світле	blondinė
священна	šventa
священна	švento
йорданії	jordan
йорданії	jordanija
йорданії	jordanijos
сімейний	šeima
сімейний	šeimos
сімейний	šeimyna
стать	lytis
стать	lytis
самостійні	izoliuota
поправки	pakeitimai
раса	rasa
співчуття	užuojauta
співчуття	užuojautą
сава	saba
сава	sava
відзначає	švenčia
чола	čola
затримання	sulaikymo
затримання	sulaikymas
ніколь	nicole
макдональд	macdonald
беррі	uoga
рут	rūta
болонья	bolonijos
кузьма	kuzma
джордан	jordan
джордан	jordanija
джордан	jordanijos
успішне	sėkmingai
успішне	pavyko
привид	vaiduoklis
критичний	esminė
суспільством	patys
шмідт	schmidt
сорочки	marškiniai
арабський	arabų
халіфа	khalifa
стійкі	atsparus
стійкі	atsparių
розвідувальний	žvalgybos
нафту	benzinas
призи	apdovanojimai
призи	prizų
індію	indija
індію	indijos
ціллю	tikslas
стела	stela
карен	karen
ушкоджень	traumos
ушкоджень	žala
ушкоджень	trauma
ушкоджень	žalos
ушкоджень	sužalojimas
бела	bela
бела	béla
елеонора	eleonora
жуан	joão
гени	genai
ядерний	branduolinės
ядерний	branduolinis
сідні	sidney
зборами	pridėtiniai
уран	uranas
галерею	galerija
галерею	galerijoje
словацька	slovakijos
болеслав	boleslovas
маніфест	manifesto
надходять	skundžiasi
стен	stan
барабан	būgno
барабан	būgnas
випаровування	garavimo
луна	luna
бенуа	benoît
цигани	čigonai
фразу	frazė
скала	skala
скіфи	skitai
слідів	pluoštai
слідів	pluoštų
ніші	niši
штучне	celiuliozė
штучне	dirbtinių
штучне	dirbtinis
штучне	dirbtinė
тобаго	tobago
кеті	cathy
кеті	keite
мюзикл	muzikos
швидка	greitas
швидка	greita
швидка	greitai
швидка	greitas
швидка	greita
швидка	greiti
швидка	greitai
швидка	greit
орландо	orlando
верба	willow
вчителька	mokytoja
переносити	wrap
мотоцикл	motociklo
какао	kakavos
какао	kakava
індо	indo
вивітрювання	dūlėjimas
еліс	alisa
еліс	elidė
варвара	varvara
інтерпретація	išaiškinimas
інтерпретація	aiškinimo
інтерпретація	aiškinimas
гарі	gari
гарі	haris
гарі	hari
гарі	harry
зчеплення	gniaužtuose
пристрасть	aistra
копенгаген	kopenhagos
копенгаген	kopenhaga
гинуть	triukas
виборчий	rinkimų
тунелі	tunelių
тунелі	tuneliuose
записувати	rekordas
родовий	genitive
баскетбол	krepšinio
спільними	bendras
спільними	dažni
артіль	artelė
сподівання	lūkesčius
краєвид	peizažo
краєвид	kraštovaizdžio
краєвид	kraštovaizdis
суперечка	ginčas
суперечка	ginčai
виселення	išsiuntimas
виселення	poslinkio
виселення	namelių
чайка	žuvėdra
передбачення	prognozė
передбачення	prognozuoja
рауль	raoul
рауль	raul
рауль	raúl
ящірки	driežas
вісконсин	viskonsino
заборонений	draudžiama
ірландська	airių
ірландська	airijos
ірландська	airiai
бесіди	pokalbiai
матки	gimdos
біологічна	biologinė
бунт	maišto
відчувається	jaučiasi
тканинах	audinių
тканинах	audiniai
підлога	grindys
підлога	grindų
цитата	citatą
цитата	citata
реагування	reaktyvumas
виводу	išėjimo
михайлов	mikhaylov
орбіта	orbitą
сарагоса	saragosos
малому	cub
прекрасно	nuostabaus
прекрасно	nuostabu
прекрасно	nuostabios
прекрасно	nuostabus
прекрасно	nuostabi
вішну	višnaus
тяга	traukos
середньовічна	viduramžių
настанови	instrukcijos
настанови	nurodymai
настанови	instrukcija
онука	anūkė
бонус	bonus
бонус	premija
десна	desna
белла	bella
сполученням	concatenation
зіл	zil
мисливець	medžiotojas
порятунок	gelbėjimo
порятунок	gelbėjimas
речень	sakiniai
франконія	frankonija
заявою	įtarimai
поліклініка	klinika
поліклініка	klinikos
поліклініка	klinikoje
бай	bai
міграція	migracijos
міграція	migracija
слабкий	silpnas
безсумнівно	besąlygiškai
безсумнівно	neabejotinai
помсти	keršto
помсти	kerštas
метеорит	meteoritas
обі	obi
шукали	truko
давід	david
давід	deividas
давід	dovydas
літати	skristi
запустити	vykdyti
духовно	dvasiškai
зібраних	surinkti
караш	karašo
візантійська	bizantijos
вбивають	žudo
вбивають	žudymas
насильство	smurto
пошкоджений	korumpuotas
денніс	deni
стефано	stefano
аудиторія	auditorijoje
орлов	orlov
викуп	išpirkos
чаес	černobylio
дискримінації	diskriminaciją
дискримінації	diskriminacija
дивні	keistas
дивні	keista
кемерон	cameron
рея	rea
живу	gyva
живу	live
живу	gyvi
живу	gyventi
живу	gyvos
становищі	aklavietės
соль	sol
хасан	hasan
будівельників	aukomis
відмінно	puikiai
відмінно	puiki
відмінно	puikų
відмінно	puikaus
відмінно	puikus
валуа	valua
горизонтально	horizontalus
горизонтально	horizontali
горизонтально	horizontaliai
сусіди	kaimynai
сусіди	kaimynų
сусіди	kaimynai
сусіди	kaimynės
захищають	gintis
захищають	ginti
захищають	apsiginti
северина	severina
пірс	pyrsas
брно	brno
бендер	bender
борги	skolos
пропорції	santykis
пороху	parako
дивна	keistas
дивна	keistai
дивна	keista
дивна	keistas
дивна	keista
документом	dokumentas
досліджено	jaunųjų
послаблення	slopinimas
макаров	makarovas
синоніми	sinonimai
патріот	patriotas
локомотив	lokomotyvų
локомотив	lokomotiv
домінування	dominavimo
перенесені	suvynioti
олень	elk
олень	elniai
чистоти	grynumas
сімейні	šeima
сімейні	šeimos
сімейні	šeimyna
стійкий	stabilus
подібність	panašumas
подібність	panašumo
