категорія	kategori
від	dari
від	daripada
від	vid
для	untuk
також	juga
про	tentang
про	perihal
його	its
його	him
був	ws
був	been
населення	demografi
населення	penduduk
населення	populasi
було	ws
було	been
він	wien
під	bawah
під	dibawah
під	under
після	selepas
або	either
час	times
час	waktu
час	masa
час	time
але	tapi
але	tetapi
при	pri
була	ws
були	been
були	were
міста	bandaraya
міста	bandar
міста	tingkah
див	lihat
село	selo
село	kampung
район	raion
район	daerah
через	via
через	melalui
через	menerusi
через	menerusi
через	melalui
так	yeah
так	ya
так	yes
так	iya
тому	silam
рік	rick
рік	tahun
відстань	jarak
ради	majlis
ради	dewan
сша	usa
має	telah
має	mempunyai
має	has
має	mesti
область	oblast
область	keluasan
область	kawasan
область	area
того	togo
яка	alahai
яка	ape
вони	mereka
сайті	website
близько	dekat
близько	tutup
близько	berhampiran
близько	near
близько	dekat
війни	peperangan
війни	wars
війни	perang
файл	fail
між	antara
роки	tahun
обговорення	perbincangan
обговорення	diskusi
обговорення	perbincangan
обговорення	bincangkan
коли	bila
коли	apabila
вона	she
лише	sahaja
список	senarai
вересня	september
цей	ni
березня	mac
березня	march
місце	spot
місце	place
місце	tempat
місце	lokasi
місце	location
місце	kerusi
місце	seat
муніципалітет	munisipaliti
муніципалітет	perbandaran
україні	ukraine
серпня	ogos
січня	januari
травня	may
травня	mei
грудня	disember
інших	lain
інших	lain
жовтня	oktober
жовтня	october
жовтня	oct
один	satu
один	one
липня	julai
участь	penglibatan
участь	penyertaan
вид	kind
вид	spesis
вид	spesies
вид	species
вид	view
можна	mampukah
можна	boleh
червня	june
червня	jun
місто	bandar
місто	city
місто	bandaraya
місто	bandar
місто	kota
вже	sudah
вже	sudahpun
життя	life
життя	hidup
життя	kehidupan
життя	hidupan
життя	lifestyle
срср	soviet
квітня	april
листопада	november
лютого	februari
лютого	feb
опис	description
центр	ops
центр	pusat
центр	centre
центр	pusat
захід	west
захід	barat
тільки	sahaja
франції	france
франції	perancis
століття	berkurun
століття	abad
століття	century
рада	majlis
рада	dewan
рада	rada
схід	timur
статті	artikel
склад	gudang
міні	mini
особи	individu
особи	orang
особи	person
над	over
історія	cerita
історія	story
історія	sejarah
зображення	imej
зображення	picture
зображення	gambar
зображення	imej
зображення	pictures
зображення	gambar
пункти	barangan
пункти	item
пункти	opsyen
пункти	penyertaan
код	code
код	kode
код	kod
сайт	website
сайт	tapak
разом	bersama
інші	lain
інші	lain
проти	terhadap
тут	disini
тут	sini
український	ukraine
початку	inception
мова	bahasa
історії	cerita
історії	sejarah
всі	semua
багато	lots
багато	banyak
більше	greater
більше	lebih
більше	lagi
більше	more
кількість	kiraan
кількість	nombor
кількість	kuantiti
кількість	ikhtiar
шаблони	corak
шаблони	pola
дуже	sangat
два	dua
перший	pertama
перший	first
перший	dulu
перший	dahulu
площа	plaza
площа	persegi
площа	square
площа	segiempat
площа	keluasan
площа	kawasan
площа	area
країни	country
країни	negara
країни	negara
назва	nama
назва	tajuk
назва	gelaran
наук	sains
розташований	bertempat
без	tanpa
голова	kepala
голова	ketua
голова	pengerusi
народився	lahir
народився	dilahirkan
народився	born
щодо	tentang
щодо	perihal
сторінка	page
сторінка	mukasurat
сторінка	halaman
той	bahawa
росії	rusia
росії	russia
все	semuanya
все	segalanya
все	semua
київ	kiev
зокрема	termasuk
роботи	kerja
роботи	bekerja
біля	berhampiran
біля	near
біля	dekat
веб	web
веб	sesawang
статтю	artikel
праворуч	kanan
праворуч	kan
потім	barulah
потім	then
потім	kemudiannya
потім	kemudian
землі	bumi
армії	tentera
армії	army
однак	namun
однак	bagaimanapun
саме	samer
саме	tepat
саме	accurate
саме	exactly
саме	persis
північний	utara
північний	north
північний	utara
північний	northern
день	hari
частина	bahagian
південний	selatan
південний	selatan
смерті	kematian
смерті	death
смерті	maut
смерті	ajal
період	tempoh
перша	pertama
перша	first
перша	dulu
перша	dahulu
такі	mengikuti
такі	following
двох	dua
навіть	genap
розташування	penempatan
розташування	perletakan
розташування	kedudukan
розташування	lokasi
розташування	susunan
розташування	lokasi
розташування	location
розташування	posisi
розташування	kedudukan
розташування	jawatan
кар	kerjaya
три	tiga
отримав	memperolehi
висота	altitud
висота	ketinggian
висота	ketinggian
висота	ketinggian
висота	tinggi
висота	height
входить	memasuki
входить	termasuk
входить	merangkumi
себе	diriku
себе	diri
себе	dirinya
себе	diri
шаблонів	stensil
шаблонів	stensil
різних	berbeza
фільми	filem
фільми	movies
фільми	cereka
фільми	filem
сільська	pedalaman
церква	gereja
церква	church
створення	mencipta
створення	janaan
створення	mencipta
створення	penciptaan
створення	menggubah
значення	erti
значення	makna
значення	meaning
значення	nilai
значення	nilai
вул	str
системи	system
системи	sistem
йому	him
крім	kecuali
тоді	barulah
тоді	then
тоді	kemudiannya
тоді	kemudian
ніж	pisau
адреса	alamat
член	member
член	ahli
член	cock
член	kec
член	zakar
франція	france
франція	perancis
групи	berkumpulan
групи	kumpulan
групи	groups
буде	will
буде	akan
там	ada
динаміка	dinamik
національний	national
національний	kebangsaan
управління	tadbir
управління	pengurusan
управління	management
всіх	semua
всіх	semuanya
нього	him
річки	sungai
дата	date
дата	tarikh
тим	tym
людей	people
людей	orang
людей	rakyat
людей	orng
хоча	sungguhpun
хоча	walaupun
хоча	walau
хоча	though
хоча	meskipun
хоча	walaupun
хоча	walau
мови	bahasa
мови	bahasa
українська	ukraine
поселення	penyelesaian
розподіл	agihan
розподіл	pengagihan
розподіл	pengedaran
знаходиться	bertempat
пізніше	later
пізніше	kemudiannya
пізніше	nanti
розвитку	perkembangan
розвитку	pembangunan
вулиця	jln
вулиця	street
кілька	few
згодом	later
згодом	kemudiannya
згодом	nanti
провінції	provinces
провінції	provinsi
картка	card
картка	kad
часто	kerap
часто	sering
часто	kerap
олександр	alexander
офіційний	rasmi
офіційний	official
тис	taxus
департамент	jabatan
віком	berumur
тощо	dsb
тощо	dll
майже	almost
майже	hampir
права	kanan
права	kan
права	hak
муніципалітетів	komun
церкви	gereja
стала	pemalar
голови	heads
південь	selatan
перед	prior
перед	sebelum
сім	seven
сім	tujuh
автор	pencipta
автор	pengarang
автор	penulis
автор	author
володимир	wladimir
володимир	volodymyr
володимир	vladimir
типу	jenis
типу	taipkan
типу	type
типу	taip
академії	akademi
академії	academy
фільм	movie
фільм	cereka
фільм	filem
фільм	filem
карта	peta
команди	arahan
команди	pasukan
команди	teams
іван	ivan
іван	john
використання	penggunaan
використання	kegunaan
використання	menggunakan
використання	guna
використання	kegunaan
головний	chief
головний	ketua
головний	kepala
головний	utama
зоря	zarya
зоря	zorya
зоря	star
зоря	bintang
деякі	sesetengahnya
деякі	sesetengah
музей	muzium
діяльність	aktiviti
діяльність	aktiviti
частини	bahagian
закінчив	selesai
закінчив	tamat
джерела	sumber
джерела	pembekal
джерела	sumber
кам	kem
кам	perkhemahan
честь	kehormatan
честь	honour
честь	maruah
честь	maruah
честь	kehormatan
організації	organisasi
організації	pertubuhan
своїх	their
померли	kematian
дві	dua
діяльності	aktiviti
діяльності	aktiviti
клуб	club
клуб	kelab
ігор	permainan
ігор	games
ігор	game
ігор	igor
партії	parti
перелік	senarai
роль	peranan
складається	terdiri
усі	everybody
усі	semua
усі	semuanya
україна	ukraine
свої	their
свої	its
університет	universiti
відомий	famous
микола	nikolai
микола	mikołaj
микола	nicolai
микола	nikolai
микола	mykola
італії	itali
спочатку	awalnya
школа	sekolah
право	kanan
право	kan
право	perundangan
право	law
євро	euro
далі	next
далі	selanjutnya
далі	seterusnya
знову	lagi
знову	semula
одна	satu
одна	one
хто	sape
стаття	artikel
стаття	perenggan
звання	peringkat
звання	darjat
звання	pangkat
звання	rank
статус	status
помер	dead
помер	mati
помер	died
родини	families
родини	keluaga
родини	keluarga
польщі	poland
група	berkumpulan
група	group
група	kumpulan
новий	new
новий	baharu
новий	baru
зір	penglihatan
зір	visi
великий	besar
великий	hebat
назви	nama
назви	names
залізниця	railways
система	system
система	sistem
північ	midnight
північ	utara
північ	north
більшість	most
більшість	paling
більшість	kebanyakan
більшість	terbanyak
більшість	majoriti
більшість	majority
особливо	terutamanya
особливо	terutamanya
особливо	especially
народження	lahir
народження	dilahirkan
народження	born
народження	lahir
народження	melahirkan
народження	birth
народження	kelahiran
народження	beranak
інформація	info
інформація	maklumat
інформація	maklumat
влади	berwajib
округ	daerah
інститут	institute
інститут	institut
інститут	institusi
інститут	lembaga
будинок	rumah
дослідження	research
дослідження	kajian
дослідження	penyelidikan
