پیامی	messenger
پِیانا	ūdeni
پِیانا	ūdenī
پِیانا	ūdens
پِیپ	limfātisko
پِیپ	strutas
پِیپا	aptaukošanās
پِیپا	dibens
پِیپا	barelu
پِیت	laimi
پِیت	laime
پِیت	laimes
پِیت	mīlestība
پِیت	mīli
پِیت	love
پِیت	mīla
پِیت	mīlu
پِیت	dzeltens
پِیت	dzeltena
پِیت	dzeltenas
پِیت	dzeltenais
پِیت	pieķeršanās
پِیتامبر	aktieris
پِیتامبر	dejotāja
پِیتامبر	dejotāju
پَیتاوہ	ganāmpulka
پِیتل	misiņa
پِیتم	mīļākais
پِیٹ	sodīt
پِیٹ	jāsoda
پِیٹ	pārspēt
پیٹ	kuņģī
پیٹ	kuņģa
پیٹ	vēders
پیٹ	ēstgriba
پیٹ	apetīte
پیٹ	bads
پیٹ	bada
پیٹ	grūtniecība
پیٹ	grūtniecības
پیٹ	jauda
پیٹ	ietilpība
پیٹ	spēja
پیٹ	kapacitāte
پیٹ	dobumā
پیٹ	alkatība
پیٹ	iztiku
پیٹ	kuņģī
پیٹ	kuņģa
پیٹ	vēders
پیٹ	ēstgriba
پیٹ	apetīte
پیٹ	bads
پیٹ	bada
پیٹ	grūtniecība
پیٹ	grūtniecības
پیٹ	jauda
پیٹ	ietilpība
پیٹ	spēja
پیٹ	kapacitāte
پیٹ	dobumā
پیٹ	alkatība
پیٹ	iztiku
پیٹ	vēdera
پیٹ	vēders
پیٹا	diametrs
پیٹا	apkārtmērs
پیٹا	elpa
پِیٹنا	pārspēt
پِیٹنا	lāsts
پِیٹنا	sodīt
پِیٹنا	jāsoda
پِیٹنا	pelnīt
پِیٹنا	pelna
پِیٹنا	nopelnīt
پِیٹنا	nopelna
پِیٹنا	slīpuma
پِیٹنا	slīpums
پیٹی	kaste
پیٹی	aile
پیٹی	kārba
پیٹی	gadījums
پیٹی	lieta
پیٹی	soma
پیٹی	josta
پیٹی	jostu
پَیٹھ	ieeja
پَیٹھ	iekļūšanai
پَیٹھ	iekļūšanu
پَیٹھ	ieraksts
پَیٹھ	uzņemšana
پَیٹھ	uzņemšanas
پِیٹھ	palīdzība
پِیٹھ	atbalsts
پِیٹھ	paaudze
پِیٹھ	paaudzes
پِیٹھ	ģenealoģijas
پِیٹھ	atbalstīt
پِیٹھ	atbalstu
پِیٹھ	atbalsts
پِیٹھ	atbalsta
پَیٹھانا	steigas
پَیٹھانا	ievadīt
پَیٹھانا	ievadi
پَیٹھانا	ieiet
پَیٹھنا	ievadīt
پَیٹھنا	ievadi
پَیٹھنا	ieiet
پیچ	neskaidrību
پیچ	reizes
پیچ	kārtīga
پیچ	nepatikšanas
پیچ	taktiku
پیچ	taktika
پیچ	viltu
پیچ	novirzes
پیچ	kārta
پیچا	kārta
پیچاک	komplekss
پیچاک	sarežģīts
پیچاک	kompleksā
پیچاک	sarežģīti
پیچاک	sarežģīta
پیچاک	gliemezis
پیچاک	kārta
پیچاں	vītā
پیچاں	vītā
پیچِش	loks
پیچِش	apļa
پیچِش	aplis
پیچِش	dizentērijas
پیچِش	kārta
پیچیا	krāpj
پیچیدگی	komplikācijas
پیچیدگی	komplikācija
پیچیدگی	kārta
پیچیدگی	sarežģītība
پیچیدگی	sarežģītības
پیچیدگی	sarežģītību
پیچیدگی	komplikācijas
پیچیدگی	komplikācija
پیچیدگی	kārta
پیچیدہ	neskaidra
پیچیدہ	iesaistītas
پیچیدہ	iesaistīts
پیچیدہ	iesaistīta
پیچیدہ	vītā
پیچیدہ	grūti
پیچیدہ	grūta
پیچیدہ	sarežģīta
پیچیدہ	apgrūtināta
پیچیدہ	sarežģīti
پیچیدہ	sarežģīts
پیچیدہ	sarežģīti
پیچیدہ	sarežģīta
پیچیدہ	neskaidra
پیچیدہ	iesaistītas
پیچیدہ	iesaistīts
پیچیدہ	iesaistīta
پیچیدہ	komplekss
پیچیدہ	sarežģīts
پیچیدہ	kompleksā
پیچیدہ	sarežģīti
پیچیدہ	sarežģīta
پیچیدہ	vītā
پیچیدہ	grūti
پیچیدہ	grūta
پیچیدہ	sarežģīta
پیچیدہ	apgrūtināta
پیچیدہ	sarežģīti
پیچیدہ	sarežģīts
پیچیدہ	sarežģīti
