莖	stem
廢棄	napušten
廢棄	napustio
廢棄	napuštena
廢棄	napuštene
檢視	smatrajući
檢視	pogled
學說	doktrina
大提琴	violončelo
加熱	toplota
加熱	zagrijava
還原	vraćanje
還原	vratit
暴風	oluja
巴頓	patton
華沙	varšava
誘惑	iskušenja
掃描	mikroskopija
法典	zbornik
壺	pot
壺	jug
電報	telegraph
升降機	lift
城牆	zidova
城牆	zidine
城牆	zidovi
城牆	zidinama
城牆	zidovima
芭蕾舞	balet
諾曼	norman
諾曼	normana
環礁	atol
斐濟	fidži
潛在	potencijal
呼叫	call
呼叫	poziv
呼叫	nazivajući
呼叫	zovem
呼叫	nazivaju
呼叫	nazvavši
呼叫	pozivajući
硝酸	nitrat
出血	krvarenje
口腔	usta
口腔	usmena
時鐘	satova
時鐘	sahat
時鐘	sat
論點	argumente
論點	argumenti
論點	argument
左邊	lijevo
勇氣	hrabrost
天線	antenna
絕望	očajne
絕望	očaja
摩納哥	monako
格言	moto
格言	maksim
伏特	volt
敵對	neprijateljstvo
敵對	neprijateljski
敵對	neprijateljskog
卡賓槍	carbine
出處	porijekla
出處	porijeklo
電磁	elektromagnetno
電磁	elektromagnetne
電磁	elektromagnetni
電磁	elektromagnetna
瘋	ludi
瘋	lude
瘋	lud
瘋	ludo
金子	zlato
贏	pobjeda
贏	pobijedi
贏	osvoji
災害	katastrofe
災害	katastrofa
持久	trajnog
持久	trajnu
字元	karaktera
字元	karakter
字元	lik
字元	likovi
晚餐	večera
晚餐	večeru
晚餐	večere
捐助	donacija
捐助	donacije
濕地	močvara
濕地	wetland
獵物	plen
東正教	pravoslavna
東正教	pravoslavni
燕子	gutanja
鄰居	susjedima
鄰居	susjeda
鄰居	susjedi
鄰居	susjedima
鄰居	susjeda
會計師	računovođa
橢圓	ovalna
橢圓	elipsa
橢圓	eliptična
追逐	chase
君士坦丁	konstantin
美式足球	nogomet
美式足球	fudbala
美式足球	fudbalu
美式足球	football
美式足球	fudbal
天然氣	plin
方塊	kocka
方塊	kvadrat
方塊	kvadrata
均衡	uravnotežen
均衡	mjerilo
均衡	bilans
均衡	ravnoteža
叢林	džungla
慶典	proslava
慶典	proslave
慶典	slavlje
慶典	proslavu
藏文	tibetanski
色素	pigmenata
色素	pigment
宣教	dawa
膝	knee
保管	staranje
保管	pritvoru
省長	prefekt
省長	guverner
粗糙	gruba
粗糙	oštrodlaki
激情	strast
珍貴	plemenite
河床	korita
門票	ulaznice
門票	karte
門票	ulaznica
門票	karta
通航	plovna
毒素	toksin
毒素	otrovi
毒素	toksina
轎車	sedan
俄亥俄	ohio
獅子座	lav
獅子座	leo
經濟學家	ekonomista
經濟學家	ekonomista
經濟學家	ekonomisti
夔	kui
約瑟	joseph
約旦	jordan
性行為	seksualnost
性行為	spol
昨天	jučer
昨天	juče
詳情	detalj
詳情	opširnije
詳情	detalje
詳情	detalji
生殖	reproduktivni
生殖	razmnožavanje
十個	deset
金石	lazuli
交配	mate
交配	mat
交配	parenje
冰球	hokej
投射	projekcija
漢城	seulu
藥用	medicinska
藥用	ljekovito
酸性	kiseline
展望	prognoza
展望	vid
週年紀念	godišnjica
世系	lineage
世系	spuštanje
猴子	majmun
抬	lift
抬	podići
抬	podigne
可信	vjerodostojnim
可信	vjerodostojan
歐文	owen
歐文	irving
俄文	ruski
揭示	otkrivaju
揭示	otkriti
揭示	otkrije
揭示	otkriva
前景	izgledi
前景	foreground
前景	izgledi
妄想	paranoidna
妄想	paranoja
妄想	poremećaji
成年人	odraslih
成年人	odrasle
冬青	holly
大炮	top
大炮	artiljerija
明智	mudra
椅	stolac
椅	stolica
聖人	svetaca
聖人	saints
聖人	sveti
聖人	saint
阿瑟	arthur
阿瑟	artur
蒜	lukom
居所	boravka
優點	prednosti
優點	prednost
思維	misleći
計程車	taksi
布魯塞爾	brisel
失業	nezaposlenih
失業	nezaposleni
失業	nezaposlenost
砷	arsen
天花	boginje
昂貴	skup
大麻	marihuana
可疑	sumnjivim
小丑	joker
小丑	klovn
抗生素	antibiotik
專營	franšizu
關島	guama
字面	doslovno
自轉	rotacija
大通	chase
破碎	razbijen
語氣	ton
老年	starije
老年	starija
老年	stariji
隔離	izolacija
隔離	izolaciju
隔離	izolacije
隔離	karantena
隔離	segregacija
隔離	izolovano
隔離	izolirani
隔離	izolovana
生病	oboljele
摔跤	hrvanje
高爾夫球	golf
證書	potvrde
證書	certifikat
山脊	greben
佈局	raspored
日產	nissan
拳擊	boks
青蛙	žaba
面板	ploča
面板	panel
高效	efikasno
高效	efikasnom
高效	efikasan
高效	efikasna
高效	efikasno
探險家	istraživač
探險家	explorer
探險家	istraživači
探險家	istraživača
拖延	odlaganje
拖延	odlaganja
拖延	odlažu
伴隨	pratnji
骨灰	pepeo
安息	rip
預留	rezervisan
商家	trgovački
商家	trgovci
執照	dozvole
執照	licence
執照	dozvola
執照	licenca
執照	dozvolu
執照	licencu
鮑威爾	powell
粉紅色	ružičasta
軍營	kasarnu
軍營	kasarne
軍營	kasarni
軍營	kasarna
頸部	vrat
脆弱	ranjive
脆弱	ugrožene
定制	običaj
火花	iskra
脈衝	impulse
莽	mang
電器	aparata
客房	sobe
協和	concord
伸展	trase
餐飲	ugostiteljskih
