大主教	aartsbisschop
量化	kwantitatief
量化	kwantitatieve
量化	kwantificeren
量化	meetbaar
量化	kwantificeren
量化	gekwantificeerd
量化	kwantificeren
鯉魚	karper
鯉魚	karpers
有時候	soms
曼哈頓	manhattan
植被	vegetatie
老大	baas
老大	boss
解答	antwoorden
同居	samenwonen
大象	olifanten
大象	olifant
大象	olifanten
大象	olifant
遊樂場	speelveld
遊樂場	speeltuin
遊樂場	speelplaats
遊樂場	speeltuinen
閻	yan
回覆	beantwoorden
回覆	antwoord
回覆	antwoorden
回覆	antwoorden
衰變	verval
感應	vibe
感應	inductie
塑膠	kunststoffen
塑膠	plastics
塑膠	kunststof
塑膠	plastiek
塑膠	kunststof
塑膠	plastic
排斥	uitsluiting
排斥	uitsluiten
連鎖	ketting
連鎖	keten
企鵝	pinguïns
企鵝	pinguïn
企鵝	penguin
賓夕法尼亞	pennsylvania
騎師	jockey
高棉	khmer
懸	ophanging
懸	rondhangen
懸	ophangen
懸	hangen
頒布	afgekondigd
浪潮	getij
浪潮	tij
浪潮	vloed
浪潮	zwaaien
浪潮	wave
浪潮	golf
盈利	winsten
盈利	winst
盈利	winstgevend
盈利	winstgevende
盈利	rendabel
盈利	rentabiliteit
盈利	winstgevendheid
過渡	overgang
過渡	overgangen
傳教士	missionarissen
傳教士	missionaris
表揚	loof
表揚	lof
每個人	iedereen
每個人	iedereen
辜	koo
濕	natte
濕	nat
獲准	toegestaan
獲准	toegelaten
獲准	toegestane
摩西	moses
摩西	mozes
降級	gedegradeerd
網際網路	internet
遠藤	endo
戶外	buiten
戶外	buiten
戶外	buitenshuis
文憑	diploma
脊椎	ruggengraat
脊椎	wervelkolom
空缺	vacature
空缺	vacatures
空缺	vrijgekomen
空缺	vacant
阻擋	blokkering
阻擋	blokkeren
巡邏	patrouilleren
巡邏	patrouilleren
巡邏	patrouilles
巡邏	patrol
巡邏	patrouilleren
巡邏	patrouille
睡	slapen
睡	slaap
睡	slapen
睡	slapend
扭力	koppel
蛋糕	cake
蛋糕	taart
蛋糕	taarten
蛋糕	gebak
蛋糕	cakes
流出	uitstroom
沙巴	sabah
對待	traktatie
對待	behandelen
對待	behandel
鑲嵌	betegeling
持股	participaties
崇德	virgil
過期	aflopen
過期	verlopen
過期	vervallen
過期	verlopen
過期	vervalt
過期	verloopt
庇護	asiel
恐慌	paniek
前輩	oudere
前輩	elder
海嘯	tsunami
旋風	ozon
旋風	cycloon
旋風	wervelwind
殘疾	gehandicapten
殘疾	uitgeschakeld
殘疾	gehandicapte
殘疾	invalide
殘疾	gehandicapt
殘疾	handicaps
殘疾	invaliditeit
殘疾	handicap
殘疾	handicaps
殘疾	arbeidsongeschiktheid
推定	vermoeden
推定	veronderstelling
推定	verondersteld
推定	veronderstelde
推定	vermoedelijke
處決	uitvoering
處決	terechtstelling
處決	executie
處決	executies
處決	terechtstellingen
自傳	autobiografie
自傳	biografie
哇	wauw
哇	wow
哇	amai
病患	patiënten
病患	patienten
病患	geduldig
病患	patiënt
病患	patient
碳酸	carbonaat
漁業	visserij
漁業	visserij
漁業	visvangst
漁業	visserij
漁業	vissen
硼	boor
命中	hits
命中	treffers
命中	hit
命中	treffer
命中	geraakt
大野	ono
杜鵑	rhododendron
杜鵑	koekoek
大理石	knikker
大理石	marmer
大理石	marble
大理石	marmeren
撥款	toewijzing
撥款	allocatie
撥款	toewijzingen
炭	houtskool
炭	carbon
炭	koolstof
特效	effect
特效	uitwerkingen
特效	effecten
特效	gevolgen
疑問	twijfelen
疑問	twijfel
步驟	step
步驟	stap
步驟	stapje
步驟	treden
步驟	stappen
步驟	stapjes
大洲	werelddelen
大洲	continenten
大洲	continent
織	weven
救助	berging
縮小	krimpen
縮小	krimp
縮小	smalle
縮小	smal
縮小	psychiater
縮小	psych
縮小	krimpen
衡量	meting
衡量	meten
衡量	opmeten
衡量	meting
衡量	meten
衡量	metingen
衡量	opmeten
衡量	meet
衡量	meten
衡量	maatstaf
衡量	maatregel
內陸	binnenland
高興	vrolijk
高興	happy
高興	blij
高興	tevreden
高興	gelukkig
電路	circuits
電路	schakelingen
電路	circuit
墓園	kerkhof
墓園	begraafplaats
間隔	intervallen
間隔	interval
海岸線	kust
海岸線	kustlijn
海岸線	kustlijn
海岸線	kusten
擢	mew
詩歌	gedichten
詩歌	poëzie
詩歌	gedichten
善良	soort
善良	vriendelijkheid
流失	drain
流失	afvoer
氧化物	oxiden
氧化物	oxide
正方形	vierkante
正方形	vierkant
正方形	plein
保守派	conservatieven
保守派	conservatief
保守派	conservatieve
判刑	veroordeling
判刑	veroordeeld
判刑	zinnen
判刑	vonnissen
判刑	zin
判刑	straf
判刑	vonnis
剪輯	bewerken
剪輯	fragment
剪輯	clip
灶	kachels
灶	kachel
灶	fornuis
灶	haard
複數	meervoud
英勇	dapperheid
英勇	moed
氯化	chloride
氯化	chlorering
印度教	hindoeïsme
印度教	hindoe
會所	clubhuis
外貌	verschijning
外貌	uiterlijk
短缺	tekorten
短缺	schaarste
短缺	schaarste
短缺	tekort
音節	lettergreep
音節	lettergrepen
傻	stom
傻	onnozel
跳躍	jump
跳躍	spring
跳躍	springen
跳躍	sprong
跳躍	sprong
跳躍	jumping
跳躍	springende
跳躍	springen
測驗	test
測驗	testen
測驗	proeven
測驗	testen
測驗	tests
測驗	tests
測驗	testen
測驗	quiz
伯德	vogeltje
伯德	vogels
伯德	vogel
峽谷	ravijnen
峽谷	kloof
峽谷	canyon
峽谷	kloof
峽谷	ravijn
傳聞	gerucht
傳聞	geruchten
飼養	fokken
飼養	fokkerij
飼養	fok
吞吐量	verwerkingscapaciteit
氣壓	druk
戰區	theater
微波	magnetron
液體	vloeistoffen
液體	vloeistof
液體	vloeistof
液體	vloeibaar
液體	vloeibare
回顧	herinnerend
住宿	accommodatie
信念	faith
信念	geloof
信念	vertrouwen
信念	veroordeling
信念	overtuiging
槍擊	schieten
槍擊	schietpartij
槍擊	schoten
荷馬	homer
落地	aanvoer
落地	aanlanding
落地	landing
墓碑	grafsteen
墓碑	grafsteen
國歌	volkslied
國歌	hymne
彈頭	kernkop
彈頭	bullet
彈頭	kogel
彈頭	kernkoppen
內心	binnen
內心	binnenkant
內心	binnenste
內心	innerlijke
內心	innerlijk
新鮮	vers
新鮮	fris
新鮮	verse
沼澤	moeras
沼澤	marsh
沼澤	moeras
沼澤	veen
沼澤	moeras
直立	rechtop
圍攻	belegering
圍攻	beleg
表情	uitdrukking
表情	expressie
幻影	phantom
幻影	fantoom
幻影	spook
幻影	mirage
氟化	fluoride
遙遠	faraway
遙遠	afstandelijk
遙遠	verre
各式	assortiment
各式	gesorteerd
塑像	standbeelden
塑像	beeldje
塑像	standbeeld
牛肉	rundvlees
樓梯	trappen
樓梯	trap
樓梯	trappenhuis
樓梯	trap
狩獵	hunt
狩獵	jagen
狩獵	jacht
專科	specialiteiten
穩	stabiel
穩	gestaag
等候	wachtende
等候	afwachten
等候	wachten
下屬	ondergeschikten
末日	doomsday
動機	motief
動機	motivatie
動機	motieven
軌跡	track
軌跡	spoor
軌跡	traject
軌跡	trail
軌跡	spoor
軌跡	locus
風景	landschap
滴	drop
滴	infuus
滴	druppelen
滴	druppels
昏迷	coma
微型	miniatuur
微型	micro
海豹	robben
海豹	zeehonden
海豹	zegels
海豹	seals
海豹	verzegelen
海豹	zegel
海豹	zeehond
海豹	verzegeling
樓上	boven
大廳	hal
大廳	zaal
大廳	hall
大廳	lobby
大廳	lobbyen
神廟	tempel
界限	grenzen
斯德哥爾摩	stockholm
岩手	iwate
日誌	tijdschrift
日誌	journal
日誌	dagboek
日誌	logboek
日誌	log
喊	schreeuw
喊	schreeuwen
喊	schreeuw
基準	basislijn
基準	baseline
基準	uitgangssituatie
基準	benchmark
基準	benchmarking
