彈劾	імпічмент
坐標	координат
坐標	керував
坐標	координати
永恆	вічність
永恆	вічності
永恆	нескінченний
永恆	вічна
永恆	вічне
永恆	вічні
永恆	вічна
永恆	безсмертні
永恆	вічний
甲殼類	ракоподібних
捲	рол
捲	roll
捲	кинути
卡車	вантажівка
卡車	вантажівки
麻雀	горобці
麻雀	горобець
阻力	перетягування
阻力	тягнути
阻力	перетягнути
阻力	опору
阻力	опір
關懷	плювати
沙拉	салат
沙拉	салату
耳朵	слуху
耳朵	вухо
耳朵	вуха
熔岩	лави
熔岩	лава
啟發	натхненно
啟發	надихали
盧森堡	люксембургу
盧森堡	люксембург
疼痛	біль
鷗	мартин
佔有	зберігання
佔有	одержимість
佔有	володіння
獨家	ексклюзивний
獨家	ексклюзив
獨家	ексклюзивні
冥王星	плутон
掩護	обкладинку
掩護	cover
掩護	обкладинка
掩護	обкладинки
鈍	висловився
復原	відновлення
復原	реставрація
復原	відновленню
復原	відновлення
真主	аллах
清潔	прибирання
清潔	очищення
清潔	очистити
清潔	прибрати
清潔	почистити
清潔	чистий
長壽	довголіття
友誼	дружби
友誼	дружба
友誼	дружбу
多元化	диверсифікації
多元化	різноманітність
多元化	diversity
多元化	різноманітності
多元化	різноманіття
多元化	плюралізм
友善	дружній
友善	friendly
甜蜜	солодка
甜蜜	солодкі
甜蜜	солодкий
瘦	slim
瘦	струнка
瘦	тримайте
瘦	тонка
瘦	тонкі
瘦	тонкий
學界	академія
學界	academia
甲烷	метан
優質	якість
書法	каліграфія
船員	екіпаж
前衛	венгард
稀少	рідше
稀少	розріджена
山羊	коза
山羊	цап
山羊	козу
山羊	козел
山羊	кози
丟	викидати
丟	молота
丟	кинути
雪梨	сідні
財團	консорціум
批量	місткий
鳳蝶	papilio
消化	травлення
消化	травні
消化	дайджест
成效	ефективність
成效	результативність
樹木	дерево
樹木	ялинки
樹木	дерев
樹木	дерева
陶器	кераміка
租賃	лізинг
租賃	автомобілів
租賃	лізинг
租賃	ліз
凱撒	цезар
馬達加斯加	мадагаскар
告別	прощавай
告別	прощай
告別	прощання
胖	жирний
胖	жиру
胖	жирна
胖	жири
狹窄	стеноз
狹窄	вузький
狹窄	вузькі
裁決	вердикт
無力	безсилий
節省	заощадження
節省	зберігається
節省	заощадження
節省	збереження
磚	блоки
磚	цегла
磚	цеглу
磚	цегла
利率	оцінити
利率	частота
利率	швидкість
利率	оцініть
利率	ставка
高大	високий
水下	підводна
水下	підводного
意向	наміри
意向	орбіти
意向	намір
壓制	репресії
壓制	блокувати
壓制	придушення
進度	прогрес
進度	поступ
重溫	пережити
指稱	заявою
哺乳動物	ссавці
哺乳動物	ссавців
爺爺	дідусь
突襲	рейд
突襲	ред
情侶	пари
情侶	звернення
情侶	пара
情侶	парочка
情侶	коханих
情侶	коханці
情侶	закоханих
示範	модель
示範	моделі
示範	продемонструвати
示範	демонстрація
示範	демонстрацію
示範	демонстрація
示範	демо
保全	зберігати
保全	консервація
宮殿	палац
智力	інтелект
智力	розвідка
智力	інтелектуальна
智力	інтелектуальної
爆破	нищівний
渡口	пором
糾紛	суперечки
糾紛	суперечка
發光	світяться
發光	блиск
發光	світить
發光	світиться
發光	світловий
發光	напруження
發光	сяйво
結盟	альянс
阿拉伯語	арабські
阿拉伯語	арабська
異議	протест
異議	заперечую
係數	коефіцієнт
係數	коефіцієнти
抱怨	скаржитися
窮	бідними
窮	бідна
窮	бідний
窮	бідні
投球	pitch
投球	тону
銀色	срібла
銀色	срібло
銀色	silver
銀色	срібний
小牛	теля
小牛	дитинча
口味	різновидів
揚州	янчжоу
就職	інавгурація
人性	людство
人性	людяності
噴發	виверження
饒	рао
失誤	помилки
公報	комюніке
天平	машинок
外國人	чужинців
外國人	прибульці
外國人	прибульців
外國人	іноземець
外國人	іноземців
外國人	іноземці
神仙	фея
李子	слива
李子	ягоди
腸	сосиски
腸	ковбаса
腸	кишечник
鹼	лужні
鹼	лужний
石板	аркуша
石板	таблички
石板	планшет
秋山	акіяма
液晶	рк
福爾摩斯	холмс
君主制	монархія
野心	прагнення
野心	амбіції
野心	амбіції
別墅	вілла
幅度	діапазон
幅度	діапазони
印地安人	індіанці
籠	клітку
籠	клітка
籠	клітки
籠	кейдж
監管	нагляду
監管	опіки
監管	нагляд
顯示器	відображення
顯示器	дисплей
顯示器	показати
顯示器	показ
顯示器	показувати
顯示器	стежить
顯示器	монітори
有害	шкідливі
有害	шкідливий
銀河系	галактика
罰款	ефіроолійні
葡萄糖	глюкоза
鋰	літію
劍橋	cambridge
詛咒	прокляття
達拉斯	даллас
徒步	мандрівку
草莓	полуниця
草莓	ягоди
奶奶	бабуся
蚊	комар
蚊	комарів
補償	компенсація
教父	хрещеним
蝙蝠俠	бетмен
輕微	невеликими
輕微	легке
肽	пептиди
廁所	туалет
廁所	унітаз
廁所	туалет
葉子	листочки
葉子	листя
葉子	лист
葉子	листок
葉子	leaf
葉子	йоко
激進	ключ
激進	радикальні
激進	радикальна
乙醇	етанол
有罪	винен
有罪	винним
有罪	винний
禮拜	поклоніння
禮拜	служать
樣式	стилів
樣式	стилі
樣式	стиль
遷徙	міграцією
遷徙	міграція
遷徙	міграції
遷徙	міграцій
交響樂團	симфонічний
交響樂團	симфонія
抄襲	плагіат
海倫	гелен
海倫	хелен
螢	ін
讀音	вимова
聖殿	базиліка
聖殿	храму
聖殿	храм
空格	простори
空格	пробіли
郵票	штамп
郵票	марку
郵票	марка
郵票	штампи
郵票	марки
多瑙河	дунай
阿爾及利亞	алжиру
阿爾及利亞	алжир
騷擾	переслідування
騷擾	принижує
冷卻	охолодження
攝影機	камера
攝影機	фотоапарат
攝影機	камери
拜訪	відвідати
皇宮	палац
法老	фараон
微小	маленькі
出版商	видавець
出版商	видавців
溫和	ніжний
公升	літр
公升	літри
公升	літрів
公升	літр
公升	літри
公升	літрів
相對論	відносність
對面	протилежність
對面	відміну
對面	протилежний
對面	навпаки
香料	спеції
香料	spice
悼念	траур
辣椒	перець
賭場	казино
賭場	казино
國徽	емблема
悲劇	трагічний
悲劇	трагедія
悲劇	трагедія
鎖定	блокування
鎖定	зафіксувати
鎖定	замкнути
鎖定	заблокувати
鎖定	заблоковано
鎖定	зафіксовано
租金	автомобілів
租金	оренду
光輝	світило
光輝	сяйво
喀麥隆	камеруну
誤解	непорозуміння
誤解	порозуміння
彎曲	групі
溫暖	тепло
溫暖	теплі
溫暖	тепла
溫暖	тепло
解剖	анатомія
解剖	аорти
解剖	розтин
手套	рукавички
手套	рукавиці
硬幣	монет
硬幣	монети
硬幣	монета
硬幣	фішка
硬幣	монету
朝代	династія
皂	мило
承包商	центрі
草坪	газон
方舟	ark
方舟	ковчег
編譯	зібрані
編譯	зібрано
編譯	збірник
編譯	збирання
編譯	збирання
鉛	лід
鉛	свинець
鉛	ведучий
鉛	ліда
鞭	батіг
錐	конус
界定	вказати
界定	визначати
界定	визначити
界定	визначення
氣溫	температура
氣溫	температури
氣溫	температура
概括	узагальнення
馬賽	марсель
彈性	гнучкий
彈性	гнучка
彈性	гнучкість
彈性	еластичність
彈性	flex
長老	старший
長老	старша
野牛	buffalo
野牛	бізон
特許	поступки
特許	виголосив
盾牌	щит
盾牌	щити
走私	контрабанда
走私	контрабанду
紀念館	меморіал
戒指	кільце
戒指	перстень
戒指	каблучка
戒指	кільцева
戒指	кільця
戒指	обручки
祭司	священик
握手	рукостискання
酒井	сакаї
乘法	множення
繪圖	відображення
繪圖	креслення
繪圖	малюнки
繪圖	графіки
繪圖	графіка
繪圖	графічні
繪圖	графіку
繪圖	креслення
繪圖	малюнок
繪圖	малювання
乙酸	ацетат
大屠殺	злочини
大屠殺	голокосту
食堂	їдальні
劫持	погоня
誓	обітниця
誓	присягу
誓	присягнувся
損壞	пошкоджено
損壞	пошкоджений
損壞	обстрілів
損壞	пошкоджені
損壞	ламати
損壞	пошкодження
損壞	сутичка
損壞	збитки
專長	ніша
專長	specialty
專長	воїну
羅素	расселл
羅素	рассел
基底	субстрат
基底	підвал
骨架	основу
更正	виправлення
更正	корекція
特種部隊	swat
音速	sonic
叻	lat
密西西比州	міссісіпі
標語	слоган
標語	гасло
摩天大樓	хмарочос
摩天大樓	хмарочосів
雙邊	двосторонньої
迷失	втрачений
迷失	програв
迷失	lost
警務	поліція
仙女座	андромеди
仙女座	андромеда
橘子	апельсин
橘子	помаранчевий
橘子	апельсини
死亡率	смертності
歌聲	спів
歌聲	співати
歌聲	співає
散射	розсіяння
散射	розсіювання
散射	розсіювання
症候群	синдром
布加勒斯特	бухарест
存款	депозит
存款	скидає
獨裁	диктатура
朝倉	асакура
宮廷	палац
想象	уява
想象	уявити
想象	уявіть
想象	уяви
想象	уявляю
想象	уявляти
祈禱	молитися
祈禱	молись
祈禱	молитва
祈禱	молитовне
祈禱	молитву
祈禱	молитви
相容	сумісний
相容	сумісні
相容	сумісна
相容	сумісність
廚師	шеф
廚師	готувати
廚師	кухаря
廚師	кук
廚師	повар
廚師	кухар
天王星	уран
王冠	корону
王冠	корона
王冠	корони
王冠	крон
王冠	крони
營養	харчові
營養	поживними
橡膠	гумові
教義	creed
教義	доктрина
扳機	гачок
扳機	задіяти
扳機	прицілом
探險	кошмарів
探險	пригодницький
探險	adventure
探險	пригоди
探險	пригода
探險	мкс
探險	експедиція
區塊	блоки
區塊	блоків
區塊	блокувати
區塊	блок
區塊	заблокувати
亞熱帶	субтропічний
地道	тунель
地道	тунелів
地道	тунелі
所羅門	соломон
所羅門	соломона
附上	долучити
附上	долучення
附上	приєднати
附上	взяті
附上	вкладені
機長	капітан
聲援	солідарності
聲援	солідарність
核子	ядерної
核子	ядерні
核子	ядерна
核子	ядерний
殘餘	наднової
殘餘	залишки
莖	stem
廢棄	покинуті
廢棄	відмовилися
檢視	перегляд
檢視	вигляд
檢視	view
檢視	вид
檢視	переглянути
學說	доктрина
大提琴	віолончель
加熱	теплом
加熱	спека
加熱	опалення
還原	відновлення
還原	відновити
還原	відновити
還原	повернути
暴風	шторм
暴風	буря
巴頓	паттон
華沙	варшавський
華沙	варшава
華沙	варшавська
誘惑	спокуса
誘惑	спокуси
掃描	сканування
掃描	сканування
掃描	сканування
掃描	сканувати
法典	кодекс
壺	горщик
壺	чайник
壺	по
壺	горщиках
壺	юг
電報	телеграму
電報	telegraph
升降機	ліфті
升降機	ліфт
城牆	стіни
城牆	мури
芭蕾舞	балет
諾曼	норман
環礁	атол
散布	розсіювання
斐濟	фіджі
潛在	потенціал
呼叫	дзвінок
呼叫	зателефонувати
呼叫	виклик
呼叫	дзвонить
呼叫	покликання
呼叫	викликає
呼叫	звертаюсь
硝酸	нітрат
嵌入	вбудований
嵌入	вбудована
嵌入	вбудованим
嵌入	вбудовані
嵌入	вбудовування
嵌入	вкладення
出血	bleed
烤	пекти
口腔	рот
口腔	рота
口腔	оральний
港灣	бухта
港灣	бухті
港灣	гавань
港灣	гавань
時鐘	годинники
時鐘	годинник
牽引	тяга
滑翔	літає
論點	аргументи
論點	аргументів
論點	аргументом
論點	аргумент
左邊	ліворуч
左邊	ліва
左邊	лівий
左邊	зліва
勇氣	мужність
喵	мяу
天線	вусиками
天線	антени
天線	антена
絕望	розпач
絕望	розпачі
絕望	відчайдушні
絕望	відчай
絕望	розпачі
絕望	розпач
摩納哥	монако
格言	девіз
格言	максим
格言	maxim
格言	максім
腐	рот
腐	гниль
伏特	volt
敵對	ворожість
敵對	ворожих
卡賓槍	carbine
出處	джерело
出處	походження
瘋	шалено
瘋	шалені
瘋	скажений
瘋	шалений
金子	золота
金子	gold
金子	золоті
金子	золото
贏	win
贏	переможе
災害	катастрофи
災害	катастрофа
持久	витримавши
持久	тривала
字元	характер
字元	символів
字元	персонаж
字元	символ
字元	символів
字元	персонажі
字元	ієрогліфи
字元	літери
字元	символи
晚餐	обід
晚餐	вечеря
晚餐	вечерю
晚餐	вечеря
晚餐	вечерю
豆腐	тофу
捐助	пожертви
山茶	camellia
獵物	здобич
東正教	православний
東正教	православної
東正教	orthodox
東正教	православна
東正教	православні
燕子	ластівка
鄰居	сусіди
鄰居	сусіди
鄰居	сусід
會計師	бухгалтерів
會計師	бухгалтер
橢圓	овал
橢圓	еліпс
橢圓	еліптичні
追逐	переслідування
追逐	гонитві
君士坦丁	костянтин
美式足球	футбол
天然氣	газова
天然氣	газу
天然氣	газ
方塊	кубики
方塊	кубик
方塊	куб
方塊	квадратний
方塊	площа
方塊	квадрат
方塊	клітинки
方塊	клітинок
方塊	квадрати
均衡	збалансований
均衡	баланс
均衡	рівноваги
均衡	рівновага
掃	заполонили
叢林	джунглі
慶典	святкування
藏文	тибетська
色素	пігмент
膝	коліно
膝	колінах
膝	суглоби
膝	коліна
保管	затриманий
省長	префекта
省長	губернатора
省長	губернатор
粗糙	шалена
粗糙	суворий
粗糙	важкий
粗糙	rough
粗糙	грубою
激情	гарячим
激情	passion
激情	пристрасті
激情	пристрасть
擦音	фрикативний
珍貴	дорогоцінний
珍貴	дорогоцінні
導引	свійський
嚴厲	круті
嚴厲	примхи
嚴厲	жорсткі
嚴厲	суворий
門票	квитки
門票	квиток
門票	квитків
長春	чанчунь
毒素	токсини
轎車	седан
轎車	лімузин
轎車	лімузин
俄亥俄	огайо
獅子座	лео
獅子座	лев
經濟學家	economist
夔	kui
輸送	конвеєр
約瑟	джозеф
約瑟	йосип
約瑟	жозеф
約瑟	йозеф
愛心	плювати
約旦	йорданії
約旦	джордан
性行為	сексуальність
性行為	стать
性行為	секс
