van	مخرج	van	مخرج		
dit	اس	dit	یہ	PRO;NOM;SG;3	PRO;NOM;SG;3
dit	اتنا	dit	اتنا	PRO;NOM;SG;3	PRO;NOM;MASC;SG
jaar	زمانہ	jaar	زمانہ	N;SG	N;NOM;MASC;SG;3
jaar	برس	jaar	برس	N;SG	N;NOM;MASC;SG;3
eerste	بنیادی	eerste	بنیادی	ADJ;NOM	ADJ
eerste	سابق	eerste	سابق	ADJ;NOM	ADJ
maar	لیکن	maar	لیکن	CONJ	CONJ
soos	یعنی	soos	یعنی	CONJ	CONJ
soos	یعنی	soos	یعنی	CONJ	CONJ
baie	بہت	baie	بہت	DET	DET
baie	کئی	baie	کئی	DET	DET
sien	پانا	sien	پانا	V;PRS	V;SG;NFIN;ACT
sien	سوچنا	sien	سوچ	V;PRS	V;MASC;SG;NFIN;ACT
sien	ملنا	sien	مل	V;PRS	V;MASC;SG;NFIN;ACT
nuwe	جدید	nuut	جدید	ADJ;NOM	ADJ
nuwe	جدید	nuut	جدید	ADJ;NOM	ADJ
leë	تہی	leë	تہی		
hom	وہ	hom	وہ	PRO;NOM;SG;3	PRO;NOM;SG;3
stad	بلدیہ	stad	بلدیہ	N;SG	N;NOM;MASC;SG;3
land	ملک	land	ملک	N;SG	N;NOM;MASC;SG;3
land	ملک	land	ملک	N;SG	N;NOM;MASC;SG;3
naam	شہرت	naam	شہرت	N;SG	N;NOM;FEM;SG;3
naam	افکار	naam	فکر	N;SG	N;NOM;MASC;SG;3
naam	جگہ	naam	جگہ	N;SG	N;NOM;MASC;SG;3
nasionale	قومی	nasionaal	قومی	ADJ;NOM	ADJ
maak	پکانا	maak	پکانا	V;PRS	V;MASC;SG;V.PTCP;ACT
maak	سمجھنا	maak	سمجھ	V;PRS	V;MASC;SG;NFIN;ACT
maak	پکانا	maak	پکانا	V;PRS	V;MASC;SG;V.PTCP;ACT
maak	سمجھنا	maak	سمجھ	V;PRS	V;MASC;SG;NFIN;ACT
maak	بنانا	maak	بنا	V;PRS	V;MASC;SG;NFIN;ACT
kom	آنا	kom	آ	V;PRS	V;MASC;SG;NFIN;ACT
terwyl	اگرچہ	terwyl	اگرچہ	CONJ	CONJ
werk	کوٹنا	werk	کوٹنا	V;PRS	V;SG;NFIN;ACT
werk	پھڑکنا	werk	پھڑک	V;PRS	V;SG;NFIN;ACT
werk	سنبھالنا	werk	سنبھال	V;PRS	V;MASC;SG;NFIN;ACT
werk	چلانا	werk	چلا	V;PRS	V;MASC;SG;NFIN;ACT
werk	کوٹنا	werk	کوٹنا	V;PRS	V;SG;NFIN;ACT
werk	پھڑکنا	werk	پھڑک	V;PRS	V;SG;NFIN;ACT
