من	от	مِن	от	ADP	ADP
تصنيف	рейтинг	تَصنِيف	рейтинг	N;NOM;INDF;SG	N;INDF;MASC;SG
تصنيف	квалификация	تَصنِيف	квалификация	N;NOM;INDF;SG	N;INDF;FEM;SG
تصنيف	класифициране	تَصنِيف	класифициране	N;NOM;INDF;SG	N;INDF;NEUT;SG
تصنيف	класиране	تَصنِيف	класиране	N;NOM;INDF;SG	N;INDF;NEUT;SG
تصنيف	класификация	تَصنِيف	класификация	N;NOM;INDF;SG	N;INDF;FEM;SG
عن	относно	عَن	относно	ADP	ADP
عام	година	عَام	година	N;NOM;INDF;SG	N;INDF;FEM;SG
عام	генерал	عَام	генерал	N;NOM;INDF;SG	N;INDF;MASC;SG
اسم	наименование	اِسم	наименование	N;NOM;INDF;SG	N;INDF;NEUT;SG
اسم	име	اِسم	име	N;NOM;INDF;SG	N;INDF;NEUT;SG
مع	със	مَعَ	със	ADP;ACC	ADP
هي	тя	هُوَ	аз	PRO;NOM;FEM;SG;3	PRO;NOM;FEM;SG;3
سنة	година	سَنَة	година	N;NOM;INDF;SG	N;INDF;FEM;SG
ما	какво	مَا	какъв	DET	DET;NEUT;SG
عدد	брой	عَدَد	брой	N;NOM;INDF;SG	N;INDF;MASC;SG
عدد	число	عَدَد	число	N;NOM;INDF;SG	N;INDF;NEUT;SG
عدد	номер	عَدَد	номер	N;NOM;INDF;SG	N;INDF;MASC;SG
بعد	след	بَعدَ	след	ADP;NOM	ADP
بين	между	بَينَ	между	ADP;ACC	ADP
تعليق	коментар	تَعلِيق	коментар	N;NOM;INDF;SG	N;INDF;MASC;SG
تاريخ	среща	تَارِيخ	среща	N;NOM;INDF;SG	N;INDF;FEM;SG
تاريخ	дата	تَارِيخ	дата	N;NOM;INDF;SG	N;INDF;FEM;SG
تاريخ	история	تَارِيخ	история	N;NOM;INDF;SG	N;INDF;FEM;SG
نوع	сортиране	نَوع	сортиране	N;NOM;INDF;SG	N;INDF;NEUT;SG
نوع	вид	نَوع	вид	N;NOM;INDF;SG	N;INDF;MASC;SG
نوع	тип	نَوع	тип	N;NOM;INDF;SG	N;INDF;MASC;SG
