الاكتئاب	depresión	اِكتِئَاب	depresión	N;NOM;DEF;SG	N;FEM;SG
رقيقة	delgado	رَقِيقَة	delgado	ADJ;NOM;INDF;FEM;SG	ADJ;MASC;SG
رقيقة	delgada	رَقِيقَة	delgada	ADJ;NOM;INDF;FEM;SG	ADJ;FEM;SG
الفنادق	hoteles	فُندُق	hotel	N;NOM;DEF;PL	N;MASC;PL
الامبراطور	emperador	أَمبِرَاطُور	emperador	N;NOM;DEF;SG	N;MASC;SG
هبوط	desembarco	هُبُوط	desembarco	N;NOM;INDF;SG	N;MASC;SG
هبوط	desembarque	هُبُوط	desembarque	N;NOM;INDF;SG	N;MASC;SG
هبوط	aterrizaje	هُبُوط	aterrizaje	N;NOM;INDF;SG	N;MASC;SG
قطاعات	sectores	قِطَاع	sector	N;NOM;INDF;PL	N;MASC;PL
الشحن	cargo	شَحن	cargo	N;NOM;DEF;SG	N;MASC;SG
الشحن	cargamento	شَحن	cargamento	N;NOM;DEF;SG	N;MASC;SG
الشحن	carga	شَحن	carga	N;NOM;DEF;SG	N;FEM;SG
الشحن	tarificación	شَحن	tarificación	N;NOM;DEF;SG	N;FEM;SG
الشحن	envío	شَحن	envío	N;NOM;DEF;SG	N;MASC;SG
ثروة	fortuna	ثَروَة	fortuna	N;NOM;INDF;SG	N;FEM;SG
ثروة	fortune	ثَروَة	fortune	N;NOM;INDF;SG	N;SG
ثروة	riqueza	ثَروَة	riqueza	N;NOM;INDF;SG	N;FEM;SG
المربع	cuadrado	مُرَبَّع	cuadrado	N;NOM;DEF;SG	N;MASC;SG
المربع	square	مُرَبَّع	square	N;NOM;DEF;SG	N;MASC;SG
المربع	plaza	مُرَبَّع	plaza	N;NOM;DEF;SG	N;FEM;SG
اللهجات	dialectos	لَهجَة	dialecto	N;NOM;DEF;PL	N;MASC;PL
اللهجات	acentos	لَهجَة	acento	N;NOM;DEF;PL	N;MASC;PL
الخيار	pepino	خِيَار	pepino	N;NOM;DEF;SG	N;MASC;SG
الخيار	opcion	خِيَار	opcion	N;NOM;DEF;SG	N;FEM;SG
الخيار	opción	خِيَار	opción	N;NOM;DEF;SG	N;FEM;SG
الخيار	elección	خِيَار	elección	N;NOM;DEF;SG	N;FEM;SG
الخيار	opción	خِيَار	opción	N;NOM;DEF;SG	N;FEM;SG
الخيار	choice	خِيَار	choice	N;NOM;DEF;SG	N
كواكب	planetas	كَاكِب	planeta	N;NOM;INDF;PL	N;MASC;PL
سنوية	anual	سَنَوِيّ	anual	ADJ;NOM;INDF;FEM;SG	ADJ;SG
سنوية	anual	سَنَوِيّ	anual	ADJ;NOM;INDF;FEM;SG	ADJ;SG
شعارات	logos	شِعَار	logo	N;NOM;INDF;PL	N;MASC;PL
شعارات	logotipos	شِعَار	logotipo	N;NOM;INDF;PL	N;MASC;PL
شعارات	eslóganes	شِعَار	eslógan	N;NOM;INDF;PL	N;MASC;PL
شعارات	consignas	شِعَار	consigna	N;NOM;INDF;PL	N;FEM;PL
شعارات	lemas	شِعَار	lema	N;NOM;INDF;PL	N;MASC;PL
شعارات	banners	شِعَار	banner	N;NOM;INDF;PL	N;MASC;PL
شعارات	banderas	شِعَار	bandera	N;NOM;INDF;PL	N;FEM;PL
شعارات	pancartas	شِعَار	pancarta	N;NOM;INDF;PL	N;FEM;PL
السمع	audición	سَمعَة	audición	N;NOM;DEF;SG	N;FEM;SG
الهزيمة	derrota	هَزِيمَة	derrota	N;NOM;DEF;SG	N;FEM;SG
مرتفعات	heights	مُرتَفَع	height	N;NOM;INDF;PL	N;MASC;PL
مرتفعات	alturas	مُرتَفَع	altura	N;NOM;INDF;PL	N;FEM;PL
الصعود	embarque	صُعُود	embarque	N;NOM;DEF;SG	N;MASC;SG
الصعود	abordaje	صُعُود	abordaje	N;NOM;DEF;SG	N;MASC;SG
مفصل	detallada	مُفَصَّل	detallado	ADJ;NOM;INDF;MASC;SG	ADJ;FEM;SG;V.PTCP
مفصل	detallado	مُفَصَّل	detallado	ADJ;NOM;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
المرشحين	candidatas	مُرَشَّح	candidata	N;NOM;DEF;PL	N;FEM;PL
المرشحين	candidaturas	مُرَشَّح	candidatura	N;NOM;DEF;PL	N;FEM;PL
المرشحين	candidatos	مُرَشَّح	candidato	N;NOM;DEF;PL	N;MASC;PL
المغناطيسية	magnetismo	مَغطَاطِيسِيَّة	magnetismo	N;NOM;DEF;SG	N;MASC;SG
الحبل	cuerda	حَبل	cuerda	N;NOM;DEF;SG	N;FEM;SG
الحبل	soga	حَبل	sogar	N;NOM;DEF;SG	N;FEM;SG
المقارنة	comparativa	مُقَارَنَة	comparativo	N;NOM;DEF;SG	N;FEM;SG
المقارنة	comparación	مُقَارَنَة	comparación	N;NOM;DEF;SG	N;FEM;SG
الدب	osa	دَبّ	osar	N;NOM;DEF;SG	N;FEM;SG
الدب	bear	دَبّ	bear	N;NOM;DEF;SG	N
الدب	oso	دَبّ	oso	N;NOM;DEF;SG	N;MASC;SG
الدب	osito	دَبّ	osito	N;NOM;DEF;SG	N;MASC;SG
اعداد	configuración	إِعدَاد	configuración	N;NOM;INDF;SG	N;FEM;SG
اعداد	preparación	إِعدَاد	preparación	N;NOM;INDF;SG	N;FEM;SG
حجرة	sala	حُجرَة	sala	N;NOM;INDF;SG	N;FEM;SG
حجرة	habitación	حُجرَة	habitación	N;NOM;INDF;SG	N;FEM;SG
غشاء	chapa	غِشَاء	chapa	N;NOM;INDF;SG	N;FEM;SG
غشاء	membrana	غِشَاء	membrana	N;NOM;INDF;SG	N;FEM;SG
المعابد	templos	مَعبَد	templo	N;NOM;DEF;PL	N;MASC;PL
النطق	pronunciación	نَطَق	pronunciación	N;NOM;DEF;SG	N;FEM;SG
تهمة	cargo	تُهمَة	cargo	N;NOM;INDF;SG	N;MASC;SG
تهمة	carga	تُهمَة	carga	N;NOM;INDF;SG	N;FEM;SG
الناخبين	votantes	نَاخِب	votante	N;NOM;DEF;PL	N;PL
الناخبين	electores	نَاخِب	elector	N;NOM;DEF;PL	N;MASC;PL
النقوش	inscripciones	نَقوَش	inscripción	N;NOM;DEF;PL	N;FEM;PL
الصنع	manufactura	صَنع	manufactura	N;NOM;DEF;SG	N;FEM;SG
الصنع	fabricación	صَنع	fabricación	N;NOM;DEF;SG	N;FEM;SG
ملحمة	epic	مَلحَمَة	epic	N;NOM;INDF;SG	N
جلد	cuero	جَلَد	cuero	N;NOM;INDF;SG	N;MASC;SG
جلد	piel	جَلَد	piel	N;NOM;INDF;SG	N;FEM;SG
جلد	piel	جَلَد	piel	N;NOM;INDF;SG	N;FEM;SG
جلد	cutis	جَلَد	cuti	N;NOM;INDF;SG	N;MASC;SG
جلد	skin	جَلَد	skin	N;NOM;INDF;SG	N
الاعتداء	agresión	اِعتِدَاء	agresión	N;NOM;DEF;SG	N;FEM;SG
الاعتداء	asalto	اِعتِدَاء	asalto	N;NOM;DEF;SG	N;MASC;SG
الجفاف	sequía	جَفّ	sequía	N;NOM;DEF;SG	N;FEM;SG
الجفاف	deshidratación	جَفّ	deshidratación	N;NOM;DEF;SG	N;FEM;SG
نافذة	ventana	نَافِذ	ventana	N;NOM;INDF;SG	N;FEM;SG
نافذة	ventanilla	نَافِذ	ventanilla	N;NOM;INDF;SG	N;FEM;SG
نافذة	window	نَافِذ	window	N;NOM;INDF;SG	N
نافذة	escaparate	نَافِذ	escaparate	N;NOM;INDF;SG	N;MASC;SG
العنب	uva	عُنب	uvar	N;NOM;DEF;SG	N;FEM;SG
تحسن	mejoría	تَحَسُّن	mejoría	N;NOM;INDF;SG	N;FEM;SG
تحسن	mejoramiento	تَحَسُّن	mejoramiento	N;NOM;INDF;SG	N;MASC;SG
تحسن	perfeccionamiento	تَحَسُّن	perfeccionamiento	N;NOM;INDF;SG	N;MASC;SG
تحسن	mejora	تَحَسُّن	mejora	N;NOM;INDF;SG	N;FEM;SG
يوافق	acuerda	وَافَق	acordar	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;IND;SG;3;PRS;FIN
الصدمة	conmoción	صَدمَة	conmoción	N;NOM;DEF;SG	N;FEM;SG
الصدمة	shock	صَدمَة	shock	N;NOM;DEF;SG	N;MASC;SG
الصدمة	choque	صَدمَة	choque	N;NOM;DEF;SG	N;MASC;SG
الصدمة	traumatismo	صَدمَة	traumatismo	N;NOM;DEF;SG	N;MASC;SG
الصدمة	trauma	صَدمَة	trauma	N;NOM;DEF;SG	N;MASC;SG
المسافرين	pasajeros	مُسَافِر	pasajero	N;NOM;DEF;PL	N;MASC;PL
المسافرين	viajeros	مُسَافِر	viajero	N;NOM;DEF;PL	N;MASC;PL
المسافرين	nómadas	مُسَافِر	nómada	N;NOM;DEF;PL	N;PL
المسافرين	viajeros	مُسَافِر	viajero	N;NOM;DEF;PL	N;MASC;PL
ابرز	destacado	أَبرَز	destacado	ADJ;NOM;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
ابرز	resaltado	أَبرَز	resaltar	ADJ;NOM;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
ابرز	subrayado	أَبرَز	subrayar	ADJ;NOM;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
ابرز	resaltado	أَبرَز	resaltar	ADJ;NOM;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
ابرز	destacado	أَبرَز	destacado	ADJ;NOM;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
سرقة	robo	سَرِقَة	robo	N;NOM;INDF;SG	N;MASC;SG
سرقة	atraco	سَرِقَة	atraco	N;NOM;INDF;SG	N;MASC;SG
سرقة	robo	سَرِقَة	robo	N;NOM;INDF;SG	N;MASC;SG
سرقة	hurto	سَرِقَة	hurto	N;NOM;INDF;SG	N;MASC;SG
الروحية	espiritual	رُوحِيَّة	espiritual	ADJ;NOM;DEF;FEM;SG	ADJ;SG
الرومانسية	romance	رُومَانسِيَّة	romance	N;NOM;DEF;SG	N;MASC;SG
الرومانسية	romanticismo	رُومَانسِيَّة	romanticismo	N;NOM;DEF;SG	N;MASC;SG
الغوص	buceo	غَوص	buceo	N;NOM;DEF;SG	N;MASC;SG
الغوص	submarinismo	غَوص	submarinismo	N;NOM;DEF;SG	N;MASC;SG
الغوص	picada	غَوص	picada	N;NOM;DEF;SG	N;FEM;SG
الغوص	buceo	غَوص	buceo	N;NOM;DEF;SG	N;MASC;SG
الغوص	inmersión	غَوص	inmersión	N;NOM;DEF;SG	N;FEM;SG
ذرية	atómica	ذُرِّيَّة	atómico	ADJ;NOM;INDF;FEM;SG	ADJ;FEM;SG
ذرية	atómico	ذُرِّيَّة	atómico	ADJ;NOM;INDF;FEM;SG	ADJ;MASC;SG
البني	brown	بَنِّيّ	brown	N;NOM;DEF;SG	N;MASC;SG
البني	moreno	بَنِّيّ	moreno	N;NOM;DEF;SG	N;MASC;SG
مدفع	cañón	مُدفَع	cañón	N;NOM;INDF;SG	N;MASC;SG
مدفع	cañon	مُدفَع	cañon	N;NOM;INDF;SG	N;MASC;SG
شحن	cargo	شَحن	cargo	N;NOM;INDF;SG	N;MASC;SG
شحن	cargamento	شَحن	cargamento	N;NOM;INDF;SG	N;MASC;SG
شحن	carga	شَحن	carga	N;NOM;INDF;SG	N;FEM;SG
شحن	tarificación	شَحن	tarificación	N;NOM;INDF;SG	N;FEM;SG
شحن	envío	شَحن	envío	N;NOM;INDF;SG	N;MASC;SG
الرمل	arena	رَمل	arena	N;NOM;DEF;SG	N;FEM;SG
الرمل	sand	رَمل	sand	N;NOM;DEF;SG	N
مانع	mente	مَانِع	mente	N;NOM;INDF;SG	N;FEM;SG
القاعة	vestíbulo	قَاعَة	vestíbulo	N;NOM;DEF;SG	N;MASC;SG
القاعة	pasillo	قَاعَة	pasillo	N;NOM;DEF;SG	N;MASC;SG
القاعة	hall	قَاعَة	hall	N;NOM;DEF;SG	N;MASC;SG
القاعة	salón	قَاعَة	salón	N;NOM;DEF;SG	N;MASC;SG
المميز	destacada	مُمَيَّز	destacado	ADJ;NOM;DEF;MASC;SG	ADJ;FEM;SG;V.PTCP
المميز	destacado	مُمَيَّز	destacado	ADJ;NOM;DEF;MASC;SG	ADJ;MASC;SG;V.PTCP
القنابل	bombas	قُنبُلَة	bomba	N;NOM;DEF;PL	N;FEM;PL
وسائط	modos	وَسِيطَة	modos	N;NOM;INDF;PL	N;MASC;PL
جراحية	quirúrgico	جِرَاحِيّ	quirúrgico	ADJ;NOM;INDF;FEM;SG	ADJ;MASC;SG
جراحية	quirúrgica	جِرَاحِيّ	quirúrgico	ADJ;NOM;INDF;FEM;SG	ADJ;FEM;SG
استعمار	colonización	اِستِعمَار	colonización	N;NOM;INDF;SG	N;FEM;SG
الملاعب	estadios	مَلعَب	estadio	N;NOM;DEF;PL	N;MASC;PL
ينمو	crecer	نَمَا	crecer	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;NFIN
ينمو	creciendo	نَمَا	crecer	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;V.MSDR
ينمو	crecer	نَمَا	crecer	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;NFIN
ينمو	crece	نَمَا	crecer	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;IND;SG;3;PRS;FIN
ينمو	crece	نَمَا	crecer	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;IND;SG;3;PRS;FIN
النواحي	aspectos	نَاحِيَة	aspecto	N;NOM;DEF;PL	N;MASC;PL
يسجل	grabando	سَجَّل	grabar	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;V.MSDR
يسجل	grabar	سَجَّل	grabar	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;NFIN
الفيل	elefante	فِيل	elefante	N;NOM;DEF;SG	N;MASC;SG
البيانو	piano	بِيَانُو	piano	N;NOM;DEF;SG	N;MASC;SG
التلفاز	televisor	تَلَفُّز	televisor	N;NOM;DEF;SG	N;MASC;SG
التلفاز	television	تَلَفُّز	television	N;NOM;DEF;SG	N;FEM;SG
التلفاز	televisión	تَلَفُّز	televisión	N;NOM;DEF;SG	N;FEM;SG
المتحدث	altavoz	مُتَحَدِّث	altavoz	N;NOM;DEF;SG	N;MASC;SG
المتحدث	orador	مُتَحَدِّث	orador	N;NOM;DEF;SG	N;MASC;SG
المتحدث	parlante	مُتَحَدِّث	parlante	N;NOM;DEF;SG	N;SG
