novak	novak	novak	novak	N;ANIM;NOM;MASC;SG;POS	N;MASC;SG
starosti	inquiétudes	starost	inquiétude	N;NOM;FEM;PL;POS	N;FEM;PL
dorazil	arrivé	dorazit	arriver	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;MASC;SG;PST;V.PTCP
poskytnout	fournir	poskytnout	fournir	V;PFV;POS;NFIN	V;NFIN
poskytnout	fournissent	poskytnout	fournir	V;PFV;POS;NFIN	V;IND;PL;3;PRS;FIN
masivní	massive	masivní	massif	ADJ;NOM;MASC;SG;POS	ADJ;FEM;SG
zachránil	secouru	zachránit	secourir	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;MASC;SG;PST;V.PTCP
zachránil	sauvée	zachránit	sauver	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;FEM;SG;PST;V.PTCP
zachránil	sauvé	zachránit	sauver	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;MASC;SG;PST;V.PTCP
zachránil	enregistré	zachránit	enregistrer	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;MASC;SG;PST;V.PTCP
zachránil	enregistrée	zachránit	enregistrer	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;FEM;SG;PST;V.PTCP
zachránil	sauvé	zachránit	sauver	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;MASC;SG;PST;V.PTCP
zachránil	sauvegardé	zachránit	sauvegarder	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;MASC;SG;PST;V.PTCP
guvernér	gouverneure	guvernér	gouverneur	N;ANIM;NOM;MASC;SG;POS	N;FEM;SG
guvernér	gouverneur	guvernér	gouverneur	N;ANIM;NOM;MASC;SG;POS	N;MASC;SG
autorství	paternité	autorství	paternité	N;NOM;NEUT;SG;POS	N;FEM;SG
předpokládat	présumer	předpokládat	présumer	V;IPFV;POS;NFIN	V;NFIN
předpokládat	supposer	předpokládat	supposer	V;IPFV;POS;NFIN	V;NFIN
předpokládat	supposez	předpokládat	supposer	V;IPFV;POS;NFIN	V;IMP;PL;2;PRS;FIN
předpokládat	présume	předpokládat	présumer	V;IPFV;POS;NFIN	V;IND;SG;3;PRS;FIN
předpokládat	présumer	předpokládat	présumer	V;IPFV;POS;NFIN	V;NFIN
demokracii	démocratie	demokracie	démocratie	N;ACC;FEM;SG;POS	N;FEM;SG
řetězce	chaines	řetězec	chaine	N;INAN;NOM;MASC;PL;POS	N;FEM;PL
řetězce	chaînes	řetězec	chaîne	N;INAN;NOM;MASC;PL;POS	N;FEM;PL
řetězce	chaînes	řetězec	chaîne	N;INAN;NOM;MASC;PL;POS	N;FEM;PL
řetězce	cordes	řetězec	corde	N;INAN;NOM;MASC;PL;POS	N;FEM;PL
posádku	équipage	posádka	équipage	N;ACC;FEM;SG;POS	N;MASC;SG
úvahu	considération	úvaha	considération	N;ACC;FEM;SG;POS	N;FEM;SG
vložit	insérer	vložit	insérer	V;PFV;POS;NFIN	V;NFIN
vložit	insérez	vložit	insérer	V;PFV;POS;NFIN	V;IMP;PL;2;PRS;FIN
vložit	coller	vložit	coller	V;PFV;POS;NFIN	V;NFIN
konečný	finie	konečný	fini	ADJ;INAN;NOM;MASC;SG;POS	ADJ;FEM;SG
konečný	définitif	konečný	définitif	ADJ;INAN;NOM;MASC;SG;POS	ADJ;MASC;SG
konečný	final	konečný	final	ADJ;INAN;NOM;MASC;SG;POS	ADJ;MASC;SG
konečný	définitive	konečný	définitif	ADJ;INAN;NOM;MASC;SG;POS	ADJ;FEM;SG
karta	tabulation	karta	tabulation	N;NOM;FEM;SG;POS	N;FEM;SG
karta	tab	karta	tab	N;NOM;FEM;SG;POS	N;FEM;SG
karta	onglet	karta	onglet	N;NOM;FEM;SG;POS	N;MASC;SG
robot	robot	robot	robot	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
kilometr	kilomètre	kilometr	kilomètre	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
kilometr	kilomètre	kilometr	kilomètre	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
provizorní	provisoire	provizorní	provisoire	ADJ;NOM;MASC;SG;POS	ADJ;MASC;SG
psycholog	psychologue	psycholog	psychologue	N;ANIM;NOM;MASC;SG;POS	N;MASC;SG
převzetí	rachat	převzetí	rachat	N;NOM;NEUT;SG;POS	N;MASC;SG
tanku	réservoir	tank	réservoir	N;INAN;DAT;MASC;SG;POS	N;MASC;SG
tanku	tank	tank	tank	N;INAN;DAT;MASC;SG;POS	N;MASC;SG
tanku	citerne	tank	citerne	N;INAN;DAT;MASC;SG;POS	N;FEM;SG
tanku	cuve	tank	cuve	N;INAN;DAT;MASC;SG;POS	N;FEM;SG
likvidaci	élimination	likvidace	élimination	N;ACC;FEM;SG;POS	N;FEM;SG
likvidaci	liquidation	likvidace	liquidation	N;ACC;FEM;SG;POS	N;FEM;SG
gen	gène	gen	gène	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
protest	protestation	protest	protestation	N;INAN;NOM;MASC;SG;POS	N;FEM;SG
protest	contestation	protest	contestation	N;INAN;NOM;MASC;SG;POS	N;FEM;SG
protest	manifestation	protest	manifestation	N;INAN;NOM;MASC;SG;POS	N;FEM;SG
kvete	fleurit	kvést	fleurir	V;IND;SG;3;POS;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
pasivní	passif	pasivní	passif	ADJ;NOM;MASC;SG;POS	ADJ;MASC;SG
pasivní	passive	pasivní	passif	ADJ;NOM;MASC;SG;POS	ADJ;FEM;SG
fotky	photos	fotka	photo	N;NOM;FEM;PL;POS	N;FEM;PL
fotky	photographies	fotka	photographie	N;NOM;FEM;PL;POS	N;FEM;PL
fotky	images	fotka	image	N;NOM;FEM;PL;POS	N;FEM;PL
fotky	photos	fotka	photo	N;NOM;FEM;PL;POS	N;FEM;PL
výrobci	producteurs	výrobce	producteur	N;ANIM;NOM;MASC;PL;POS	N;MASC;PL
výrobci	constructeurs	výrobce	constructeur	N;ANIM;NOM;MASC;PL;POS	N;MASC;PL
výrobci	fabricants	výrobce	fabricant	N;ANIM;NOM;MASC;PL;POS	N;MASC;PL
graf	graphe	graf	graphe	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
graf	diagramme	graf	diagramme	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
jedenáct	onze	jedenáct	onze	NUM;NOM;SG	NUM
kůži	peau	kůže	peau	N;ACC;FEM;SG;POS	N;FEM;SG
léčba	traitement	léčba	traitement	N;NOM;FEM;SG;POS	N;MASC;SG
prefektura	préfecture	prefektura	préfecture	N;NOM;FEM;SG;POS	N;FEM;SG
playoff	playoff	playoff	playoff	N;NOM;NEUT;SG;POS	N;MASC;SG
zkušenost	expérience	zkušenost	expérience	N;NOM;FEM;SG;POS	N;FEM;SG
pátá	cinquième	pátý	cinquième	ADJ;NOM;FEM;SG	ADJ;MASC;SG
husa	oie	husa	oie	N;NOM;FEM;SG;POS	N;FEM;SG
svědomí	conscience	svědomí	conscience	N;NOM;NEUT;SG;POS	N;FEM;SG
cítí	ressent	cítit	ressentir	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
učit	enseigner	učit	enseigner	V;IPFV;POS;NFIN	V;NFIN
uzavřít	fermer	uzavřít	fermer	V;POS;NFIN	V;NFIN
houby	champignons	houba	champignon	N;NOM;FEM;PL;POS	N;MASC;PL
houby	éponges	houba	éponge	N;NOM;FEM;PL;POS	N;FEM;PL
houby	champignons	houba	champignon	N;NOM;FEM;PL;POS	N;MASC;PL
houby	champignons	houba	champignon	N;NOM;FEM;PL;POS	N;MASC;PL
vzorec	formule	vzorec	formule	N;INAN;NOM;MASC;SG;POS	N;FEM;SG
vzorec	motif	vzorec	motif	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
vzorec	schéma	vzorec	schéma	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
sigma	sigma	sigma	sigmer	N;NOM;FEM;SG;POS	N;MASC;SG
listina	affrètement	listina	affrètement	N;NOM;FEM;SG;POS	N;MASC;SG
listina	charter	listina	charter	N;NOM;FEM;SG;POS	N;MASC;SG
listina	charte	listina	charte	N;NOM;FEM;SG;POS	N;FEM;SG
spravedlnost	justice	spravedlnost	justice	N;NOM;FEM;SG;POS	N;FEM;SG
milion	million	milión	million	N;INAN;NOM;MASC;SG;POS	N;MASC;SG
slabě	faiblement	slabě	faiblement	ADV;POS	ADV
saxofon	saxophone	saxofon	saxophone	N;ANIM;NOM;MASC;SG;POS	N;MASC;SG
saxofon	saxophone	saxofon	saxophone	N;ANIM;NOM;MASC;SG;POS	N;MASC;SG
zabije	tue	zabít	tuer	V;IND;SG;3;POS;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
řidič	pilote	řidič	pilote	N;ANIM;NOM;MASC;SG;POS	N;MASC;SG
řidič	conducteur	řidič	conducteur	N;ANIM;NOM;MASC;SG;POS	N;MASC;SG
čtenáři	lecteurs	čtenář	lecteur	N;ANIM;NOM;MASC;PL;POS	N;MASC;PL
kristus	christ	kristus	christ	N;ANIM;NOM;MASC;SG;POS	N;MASC;SG
varování	alerte	varování	alerte	N;NOM;NEUT;SG;POS	N;FEM;SG
varování	avertissement	varování	avertissement	N;NOM;NEUT;SG;POS	N;MASC;SG
