hostince	herbergen	hostinec	herbergen	N;INAN;NOM;MASC;PL;POS	N;PL
matematické	wiskundige	matematický	wiskundig	ADJ;NOM;NEUT;SG;POS	ADJ
matematické	wiskundig	matematický	wiskundig	ADJ;NOM;NEUT;SG;POS	ADJ
matematické	mathematische	matematický	mathematisch	ADJ;NOM;NEUT;SG;POS	ADJ
žlutý	gele	žlutý	geel	ADJ;INAN;NOM;MASC;SG;POS	ADJ
žlutý	geel	žlutý	geel	ADJ;INAN;NOM;MASC;SG;POS	ADJ
rusi	rus	rus	rus	N;NOM;FEM;SG;POS	N;MASC+FEM;SG
oleje	oliën	olej	oliën	N;INAN;NOM;MASC;PL;POS	N;PL
přáteli	vrienden	přítel	vriend	N;ANIM;INS;MASC;PL;POS	N;PL
dopad	impact	dopad	impact	N;INAN;NOM;MASC;SG;POS	N;MASC+FEM;SG
dopad	inslag	dopad	inslag	N;INAN;NOM;MASC;SG;POS	N;MASC+FEM;SG
dopad	effect	dopad	effect	N;INAN;NOM;MASC;SG;POS	N;NEUT;SG
dopad	botsing	dopad	botsing	N;INAN;NOM;MASC;SG;POS	N;MASC+FEM;SG
grant	subsidie	grant	subsidie	N;INAN;NOM;MASC;SG;POS	N;MASC+FEM;SG
grant	grant	grant	grant	N;INAN;NOM;MASC;SG;POS	N;MASC+FEM;SG
časy	tijden	čas	tijd	N;INAN;NOM;MASC;PL;POS	N;PL
panna	virgo	panna	virgo	N;NOM;FEM;SG;POS	N;MASC+FEM;SG
panna	maagd	panna	maagd	N;NOM;FEM;SG;POS	N;MASC+FEM;SG
panna	virgin	panna	virgin	N;NOM;FEM;SG;POS	N;MASC+FEM;SG
panna	maagd	panna	maagd	N;NOM;FEM;SG;POS	N;MASC+FEM;SG
audio	audio	audio	audio	N;NOM;NEUT;SG;POS	N;MASC+FEM;SG
audio	geluid	audio	geluid	N;NOM;NEUT;SG;POS	N;NEUT;SG
cestoval	gereisd	cestovat	reizen	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT	V;V.PTCP
cestoval	reisde	cestovat	reizen	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT	V;SG;PST;FIN
cestoval	gereisd	cestovat	reizen	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT	V;V.PTCP
cestoval	reisde	cestovat	reizen	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT	V;SG;PST;FIN
turisty	toeristen	turista	toerist	N;ANIM;ACC;MASC;PL;POS	N;PL
končetiny	ledematen	končetina	ledematen	N;NOM;FEM;PL;POS	N;PL
končetiny	ledematen	končetina	ledematen	N;NOM;FEM;PL;POS	N;PL
akademické	academisch	akademický	academisch	ADJ;NOM;NEUT;SG;POS	ADJ
akademické	academische	akademický	academisch	ADJ;NOM;NEUT;SG;POS	ADJ
kaplan	kapelaan	kaplan	kapelaan	N;ANIM;NOM;MASC;SG;POS	N;MASC+FEM;SG
kaplan	kapelaan	kaplan	kapelaan	N;ANIM;NOM;MASC;SG;POS	N;MASC+FEM;SG
kaplan	kaplan	kaplan	kaplan	N;ANIM;NOM;MASC;SG;POS	N;MASC+FEM;SG
nárůst	verhoging	nárůst	verhoging	N;INAN;NOM;MASC;SG;POS	N;MASC+FEM;SG
nárůst	stijging	nárůst	stijging	N;INAN;NOM;MASC;SG;POS	N;MASC+FEM;SG
poezii	poëzie	poezie	poëzie	N;ACC;FEM;SG;POS	N;MASC+FEM;SG
pozor	aandacht	pozor	aandacht	N;INAN;NOM;MASC;SG;POS	N;MASC+FEM;SG
pozor	attentie	pozor	attentie	N;INAN;NOM;MASC;SG;POS	N;MASC+FEM;SG
kino	kino	kino	kino	N;NOM;NEUT;SG;POS	N;MASC+FEM;SG
kino	bioscoop	kino	bioscoop	N;NOM;NEUT;SG;POS	N;MASC+FEM;SG
kino	cinema	kino	cinema	N;NOM;NEUT;SG;POS	N;MASC+FEM;SG
sester	sisters	sestra	sister	N;GEN;FEM;PL;POS	N;PL
sester	zusters	sestra	zuster	N;GEN;FEM;PL;POS	N;PL
sester	zussen	sestra	zussen	N;GEN;FEM;PL;POS	N;PL
sester	zusjes	sestra	zus	N;GEN;FEM;PL;POS	N;PL
relevantní	relevant	relevantní	relevant	ADJ;NOM;MASC;SG;POS	ADJ
relevantní	relevante	relevantní	relevant	ADJ;NOM;MASC;SG;POS	ADJ
novak	novak	novak	novak	N;ANIM;NOM;MASC;SG;POS	N;MASC+FEM;SG
dorazil	gearriveerd	dorazit	arriveren	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;V.PTCP
dorazil	aangekomen	dorazit	aankomen	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;V.PTCP
léčbě	traktatie	léčba	traktatie	N;DAT;FEM;SG;POS	N;MASC+FEM;SG
masivní	massief	masivní	massief	ADJ;NOM;MASC;SG;POS	ADJ
masivní	enorme	masivní	enorm	ADJ;NOM;MASC;SG;POS	ADJ
masivní	massaal	masivní	massaal	ADJ;NOM;MASC;SG;POS	ADJ
masivní	massale	masivní	massaal	ADJ;NOM;MASC;SG;POS	ADJ
zachránil	gered	zachránit	redden	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;V.PTCP
zachránil	gered	zachránit	redden	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;V.PTCP
zachránil	bewaard	zachránit	bewaren	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;V.PTCP
zachránil	opgeslagen	zachránit	opslaan	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT	V;V.PTCP
guvernér	gouverneur	guvernér	gouverneur	N;ANIM;NOM;MASC;SG;POS	N;MASC+FEM;SG
autorství	auteurschap	autorství	auteurschap	N;NOM;NEUT;SG;POS	N;NEUT;SG
demokracii	democratie	demokracie	democratie	N;ACC;FEM;SG;POS	N;MASC+FEM;SG
celoživotní	levenslang	celoživotní	levenslang	ADJ;NOM;MASC;SG;POS	ADJ
řetězce	kettingen	řetězec	ketting	N;INAN;NOM;MASC;PL;POS	N;PL
řetězce	ketens	řetězec	keten	N;INAN;NOM;MASC;PL;POS	N;PL
řetězce	koorden	řetězec	koord	N;INAN;NOM;MASC;PL;POS	N;PL
řetězce	touwtjes	řetězec	touw	N;INAN;NOM;MASC;PL;POS	N;PL
řetězce	snaren	řetězec	snaar	N;INAN;NOM;MASC;PL;POS	N;PL
řetězce	strings	řetězec	string	N;INAN;NOM;MASC;PL;POS	N;PL
posádku	bemanning	posádka	bemanning	N;ACC;FEM;SG;POS	N;MASC+FEM;SG
posádku	crew	posádka	crew	N;ACC;FEM;SG;POS	N;MASC+FEM;SG
úvahu	overweging	úvaha	overweging	N;ACC;FEM;SG;POS	N;MASC+FEM;SG
vložit	invoegen	vložit	invoegen	V;PFV;POS;NFIN	V;NFIN
vložit	plak	vložit	plak	V;PFV;POS;NFIN	V;SG;PRS;FIN
vložit	plakken	vložit	plak	V;PFV;POS;NFIN	V;NFIN
věděl	wist	vědět	weten	V;MASC;SG;POS;PST;V.PTCP;ACT	V;SG;PST;FIN
konečný	eindig	konečný	eindig	ADJ;INAN;NOM;MASC;SG;POS	ADJ
konečný	eindige	konečný	eindig	ADJ;INAN;NOM;MASC;SG;POS	ADJ
konečný	definitief	konečný	definitief	ADJ;INAN;NOM;MASC;SG;POS	ADJ
vědců	wetenschappers	vědec	wetenschapper	N;ANIM;GEN;MASC;PL;POS	N;PL
karta	tabblad	karta	tabblad	N;NOM;FEM;SG;POS	N;NEUT;SG
karta	tab	karta	tab	N;NOM;FEM;SG;POS	N;MASC+FEM;SG
robot	robot	robot	robot	N;INAN;NOM;MASC;SG;POS	N;MASC+FEM;SG
výchozí	standaard	výchozí	standaard	ADJ;NOM;MASC;SG;POS	ADJ
kilometr	kilometer	kilometr	kilometer	N;INAN;NOM;MASC;SG;POS	N;MASC+FEM;SG
provizorní	voorlopige	provizorní	voorlopig	ADJ;NOM;MASC;SG;POS	ADJ
provizorní	voorlopig	provizorní	voorlopig	ADJ;NOM;MASC;SG;POS	ADJ
psycholog	psycholoog	psycholog	psycholoog	N;ANIM;NOM;MASC;SG;POS	N;MASC+FEM;SG
převzetí	overname	převzetí	overname	N;NOM;NEUT;SG;POS	N;MASC+FEM;SG
nález	ontdekking	nález	ontdekking	N;INAN;NOM;MASC;SG;POS	N;MASC+FEM;SG
nález	discovery	nález	discovery	N;INAN;NOM;MASC;SG;POS	N;MASC+FEM;SG
