sloučit	合併	sloučit	合併	V;PFV;POS;NFIN	V
proteiny	蛋白質	protein	蛋白質	N;INAN;NOM;MASC;PL;POS	N
proteiny	蛋白	protein	蛋白	N;INAN;NOM;MASC;PL;POS	N
proteiny	蛋白質	protein	蛋白質	N;INAN;NOM;MASC;PL;POS	N
proteiny	蛋白	protein	蛋白	N;INAN;NOM;MASC;PL;POS	N
hlášení	報告	hlášení	報告	N;NOM;NEUT;SG;POS	N
hlášení	報告	hlášení	報告	N;NOM;NEUT;SG;POS	N
hlášení	報告	hlášení	報告	N;NOM;NEUT;SG;POS	N
raketoplán	太空	raketoplán	太空	N;INAN;NOM;MASC;SG;POS	N
přesnost	精度	přesnost	精度	N;NOM;FEM;SG;POS	N
přesnost	精准	přesnost	精准	N;NOM;FEM;SG;POS	N
přesnost	精確	přesnost	精確	N;NOM;FEM;SG;POS	N
přesnost	精密	přesnost	精密	N;NOM;FEM;SG;POS	N
přesnost	精度	přesnost	精度	N;NOM;FEM;SG;POS	N
podnět	申訴	podnět	申訴	N;INAN;NOM;MASC;SG;POS	N
podnět	激勵	podnět	激勵	N;INAN;NOM;MASC;SG;POS	N
podnět	倡議	podnět	倡議	N;INAN;NOM;MASC;SG;POS	N
popularitu	人氣	popularita	人氣	N;ACC;FEM;SG;POS	N
zabití	殺戮	zabití	殺戮	N;NOM;NEUT;SG;POS	N
čistá	乾淨	čistý	乾淨	ADJ;NOM;FEM;SG;POS	ADJ
čistá	純潔	čistý	純潔	ADJ;NOM;FEM;SG;POS	ADJ
dialog	對話	dialog	對話	N;INAN;NOM;MASC;SG;POS	N
dialog	對話	dialog	對話	N;INAN;NOM;MASC;SG;POS	N
příkop	壕溝	příkop	壕溝	N;INAN;NOM;MASC;SG;POS	N
příkop	海溝	příkop	海溝	N;INAN;NOM;MASC;SG;POS	N
příkop	戰壕	příkop	戰壕	N;INAN;NOM;MASC;SG;POS	N
příkop	溝	příkop	溝	N;INAN;NOM;MASC;SG;POS	N
příkop	溝渠	příkop	溝渠	N;INAN;NOM;MASC;SG;POS	N
životnost	終身	životnost	終身	N;NOM;FEM;SG;POS	N
