den	den	den	den	PRO;ACC;MASC+FEM;SG;3	PRO;SG;3
for	for	for	for	ADP	ADP
der	der	der	der	ADV	ADV
han	han	han	han	PRO;NOM;MASC+FEM;SG;3	PRO;NOM;MASC;SG;3
har	har	have	ha	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
har	har	have	ha	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
har	har	have	ha	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
ved	vet	vide	vet	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
ved	kjenner	vide	kjenne	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
men	men	men	men	CONJ	CONJ
også	òg	også	òg	ADV	ADV
også	også	også	også	ADV	ADV
også	óg	også	òg	ADV	ADV
også	også	også	også	ADV	ADV
efter	etterpå	efter	etterpå	ADV	ADV
sig	si	sig	sin	PRO;ACC;3;REFL	PRO;FEM;SG
kan	kan	kunne	kunne	V;IND;PRS;FIN;ACT	V;IND;PRS;FIN
havde	hadde	have	ha	V;IND;PST;FIN;ACT	V;IND;PST;FIN
havde	hatt	have	ha	V;IND;PST;FIN;ACT	V;V.PTCP
første	første	første	første	ADJ	ADJ;DEF;SG
henvisninger	henvisninger	henvisning	henvisninger	N;INDF;MASC+FEM;PL	N;INDF;FEM;PL
mod	mod	mod	mod	N;INDF;NEUT;SG	N;INDF;MASC;SG
fik	fikk	få	fikk	V;IND;PST;FIN;ACT	V;IND;PST;FIN
del	andel	del	andel	N;INDF;MASC+FEM;SG	N;INDF;MASC;SG
mellem	mellom	mellem	mellom	ADP	ADP
flere	fleire	mange	mange	ADJ;CMPR;PL	ADJ;CMPR
flere	meir	mange	mykje	ADJ;CMPR;PL	ADJ;CMPR
mange	mange	mange	mange	ADJ;PL	ADJ;PL
team	lag	team	lag	N;INDF;NEUT;SG	N;INDF;NEUT;SG
team	team	team	team	N;INDF;NEUT;SG	N;INDF;NEUT;SG
kunne	kunne	kunne	kunne	V;IND;PST;FIN;ACT	V;IND;PST;FIN
danske	danske	dansk	dansk	ADJ;PL	ADJ;PL
kun	berre	kun	berre	ADV	ADV
kun	bare	kun	bare	ADV	ADV
