for	для	for	для	ADP	ADP;GEN
der	туди	der	туди	ADV	ADV
der	там	der	там	ADV	ADV
var	був	være	бути	V;IND;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN
var	була	være	бути	V;IND;PST;FIN;ACT	V;IPFV;FEM;IND;SG;PST;FIN
var	було	være	бути	V;IND;PST;FIN;ACT	V;IPFV;NEUT;IND;SG;PST;FIN
var	були	være	бути	V;IND;PST;FIN;ACT	V;IPFV;IND;PL;PST;FIN
blev	став	blive	стати	V;IND;PST;FIN;ACT	V;PFV;MASC;IND;SG;PST;FIN
blev	стали	blive	стати	V;IND;PST;FIN;ACT	V;PFV;IND;PL;PST;FIN
blev	стало	blive	стати	V;IND;PST;FIN;ACT	V;PFV;NEUT;IND;SG;PST;FIN
blev	був	blive	бути	V;IND;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN
blev	була	blive	бути	V;IND;PST;FIN;ACT	V;IPFV;FEM;IND;SG;PST;FIN
blev	було	blive	бути	V;IND;PST;FIN;ACT	V;IPFV;NEUT;IND;SG;PST;FIN
blev	зупинилась	blive	зупинитися	V;IND;PST;FIN;ACT	V;PFV;FEM;IND;SG;PST;FIN
blev	залишився	blive	залишитися	V;IND;PST;FIN;ACT	V;PFV;MASC;IND;SG;PST;FIN
har	має	have	мати	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
har	маю	have	мати	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;1;PRS;FIN
har	маєш	have	мати	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;2;PRS;FIN
ved	знаю	vide	знати	V;IND;PRS;FIN;ACT	V;IPFV;IND;SG;1;PRS;FIN
ved	знати	vide	знати	V;IND;PRS;FIN;ACT	V;IPFV;NFIN
men	але	men	але	CONJ	CONJ
også	також	også	також	ADV	ADV
også	теж	også	теж	ADV	ADV
også	надто	også	надто	ADV	ADV
også	занадто	også	занадто	ADV	ADV
hvor	звідки	hvor	звідки	ADV	ADV
hvor	де	hvor	де	ADV	ADV
hvor	куди	hvor	куди	ADV	ADV
havde	мали	have	мати	V;IND;PST;FIN;ACT	V;IPFV;IND;PL;PST;FIN
