studieren	študuje	studieren	študovať	V;NFIN	V;IPFV;IND;SG;3;POS;PRS;FIN
annähernd	približné	annähernd	približný	ADJ	ADJ;NOM;NEUT;SG
annähernd	približný	annähernd	približný	ADJ	ADJ;INAN;NOM;MASC;SG
vierter	štvrtá	viert	štvrť	ADJ	ADJ;NOM;FEM;SG
vierter	štvrté	viert	štvrť	ADJ	ADJ;NOM;NEUT;SG
vierter	štvrtý	viert	štvrtý	ADJ	ADJ;ANIM;NOM;MASC;SG
vierter	štvrtého	viert	štvrtý	ADJ	ADJ;GEN;MASC;SG
fordert	vyzýva	fordern	vyzývať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
fordert	vyzýva	fordern	vyzývať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
kleidung	oblečenie	kleidung	oblečenie	N;NOM;FEM;SG	N;NOM;NEUT;SG
kleidung	odev	kleidung	odev	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG
kleidung	oblečenie	kleidung	oblečenie	N;NOM;FEM;SG	N;NOM;NEUT;SG
kleidung	oblečenie	kleidung	oblečenie	N;NOM;FEM;SG	N;NOM;NEUT;SG
eingeschränkt	obmedzený	einschränken	obmedzený	ADJ	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
eingeschränkt	obmedzená	einschränken	obmedzený	ADJ	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
eingeschränkt	obmedzené	einschränken	obmedzený	ADJ	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
eingeschränkt	obmedzený	einschränken	obmedzený	ADJ	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
eingeschränkt	limitované	einschränken	limitovaný	ADJ	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
eingeschränkt	obmedzené	einschränken	obmedzený	ADJ	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
eingeschränkt	limitovaná	einschränken	limitovaný	ADJ	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
eingeschränkt	obmedzená	einschränken	obmedzený	ADJ	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
unterhält	udržiava	unterhalten	udržiav	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
unterhält	zachováva	unterhalten	zachovávať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
unterhält	udržuje	unterhalten	udržovať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
atmosphäre	okolité	atmosphäre	okolitý	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
bestattet	pochovali	bestatten	pochovať	V;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
geprüft	skúša	prüfen	skúša	V;V.PTCP	V;IPFV;IND;SG;3;POS;PRS;FIN
geprüft	skontroloval	prüfen	skontrolovať	V;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
geprüft	skontrolovať	prüfen	skontrolovať	V;V.PTCP	V;PFV;POS;NFIN
rückseite	reverznej	rückseite	reverzný	ADJ	ADJ;GEN;FEM;SG
rückseite	spätný	rückseite	spätný	ADJ	ADJ;ANIM;NOM;MASC;SG
rückseite	zadné	rückseite	zadný	ADJ	ADJ;NOM;NEUT;SG
rückseite	zadná	rückseite	zadný	ADJ	ADJ;NOM;FEM;SG
rückseite	zadný	rückseite	zadný	ADJ	ADJ;ANIM;NOM;MASC;SG
geheimen	tajný	geheimen	tajný	ADJ	ADJ;ANIM;NOM;MASC;SG
geheimen	tajná	geheimen	tajný	ADJ	ADJ;NOM;FEM;SG
geheimen	tajné	geheimen	tajný	ADJ	ADJ;NOM;NEUT;SG
teilung	delenie	teilung	delenie	N;NOM;FEM;SG	N;NOM;NEUT;SG
verschwinden	mizne	verschwinden	miznúť	V;NFIN	V;IPFV;IND;SG;3;POS;PRS;FIN
verschwinden	miznú	verschwinden	miznúť	V;NFIN	V;IPFV;IND;PL;3;POS;PRS;FIN
verschwinden	zmiznú	verschwinden	zmiznúť	V;NFIN	V;PFV;IND;PL;3;POS;PRS;FIN
verschwinden	zmizne	verschwinden	zmiznúť	V;NFIN	V;PFV;IND;SG;3;POS;PRS;FIN
verschwinden	zmiznúť	verschwinden	zmiznúť	V;NFIN	V;PFV;POS;NFIN
magdalena	magdaléna	magdalena	magdalén	N;NOM;FEM;SG	N;NOM;FEM;SG
magdalena	magdaléna	magdalena	magdalén	N;NOM;FEM;SG	N;NOM;FEM;SG
magdalena	magdalena	magdalena	magdalena	N;NOM;FEM;SG	N;NOM;FEM;SG
spenden	darovať	spenden	darovať	V;NFIN	V;POS;NFIN
spenden	prispieť	spenden	prispieť	V;NFIN	V;PFV;POS;NFIN
bestätigen	overte	bestätigen	overiť	V;NFIN	V;PFV;IMP;PL;2;POS;FIN
bestätigen	overiť	bestätigen	overiť	V;NFIN	V;PFV;POS;NFIN
bestätigen	overuje	bestätigen	overovať	V;NFIN	V;IPFV;IND;SG;3;POS;PRS;FIN
bestätigen	overiť	bestätigen	overiť	V;NFIN	V;PFV;POS;NFIN
bestätigen	priznať	bestätigen	priznať	V;NFIN	V;PFV;POS;NFIN
bestätigen	uznať	bestätigen	uznať	V;NFIN	V;PFV;POS;NFIN
bestätigen	potvrdiť	bestätigen	potvrdiť	V;NFIN	V;PFV;POS;NFIN
scharf	ostrý	scharf	ostrý	ADJ	ADJ;INAN;NOM;MASC;SG
scharf	ostré	scharf	ostrý	ADJ	ADJ;NOM;NEUT;SG
scharf	ostrá	scharf	ostrať	ADJ	ADJ;NOM;FEM;SG
vermittelt	sprostredkoval	vermitteln	sprostredkovať	V;V.PTCP	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
frisch	čerstvé	frisch	čerstvý	ADJ	ADJ;NOM;NEUT;SG
frisch	čerstvá	frisch	čerstvý	ADJ	ADJ;NOM;FEM;SG
frisch	čerstvý	frisch	čerstvý	ADJ	ADJ;ANIM;NOM;MASC;SG
dokument	doklad	dokument	doklad	N;NOM;NEUT;SG	N;INAN;NOM;MASC;SG
