gefasst	抓到	fassen	抓到	V;V.PTCP	V
störung	干擾	störung	干擾	N;FEM;SG	N
störung	擾動	störung	擾動	N;FEM;SG	N
störung	失調	störung	失調	N;FEM;SG	N
administratoren	署長	administratoren	署長	N;NOM;PL	N
schöner	很好	schön	很好	ADJ	ADJ
speichern	節省	speichern	節省	V;NFIN	V
reduzieren	減少	reduzieren	減少	V;NFIN	V
reduzieren	減少	reduzieren	減少	V;NFIN	V
filmmusik	配樂	filmmusik	配樂	N	N
filmmusik	分數	filmmusik	分數	N	N
filmmusik	得分	filmmusik	得分	N	N
wände	牆壁	wanden	牆壁	N;NOM;PL	N
wände	城牆	wanden	城牆	N;NOM;PL	N
wände	牆	wanden	牆	N;NOM;PL	N
begleitung	護航	begleitung	護航	N;NOM;FEM;SG	N
abwehr	辯護	abwehr	辯護	N;SG	N
abwehr	國防	abwehr	國防	N;SG	N
abwehr	防禦	abwehr	防禦	N;SG	N
abwehr	防守	abwehr	防守	N;SG	N
abwehr	抗辯	abwehr	抗辯	N;SG	N
abwehr	國防	abwehr	國防	N;SG	N
abwehr	防禦	abwehr	防禦	N;SG	N
genres	類型	gen	類型	N;NOM;NEUT;PL	N
genres	流派	gen	流派	N;NOM;NEUT;PL	N
genres	流派	gen	流派	N;NOM;NEUT;PL	N
landstraße	公路	landstraße	公路	N;NOM;FEM;SG	N
wünschen	祝願	wünschen	祝願	V;NFIN	V
wünschen	祝願	wünschen	祝願	V;NFIN	V
wünschen	許願	wünschen	許願	V;NFIN	V
unruhen	騷亂	unruh	騷亂	V;NFIN	V
unruhen	騷動	unruh	騷動	V;NFIN	V
unruhen	騷亂	unruh	騷亂	V;NFIN	V
unruhen	騷亂	unruh	騷亂	V;NFIN	V
rosen	玫瑰	rosen	玫瑰	N;NOM;PL	N
rosen	玫瑰	rosen	玫瑰	N;NOM;PL	N
rosen	玫瑰	rosen	玫瑰	N;NOM;PL	N
einstellungen	招聘	einstellingen	招聘	V;NFIN	V
einstellungen	招募	einstellingen	招募	V;NFIN	V
einstellungen	設定	einstellingen	設定	V;NFIN	V
meisterin	情婦	meisterin	情婦	N;NOM;FEM;SG	N
meisterin	女	meisterin	女	N;NOM;FEM;SG	N
jüngsten	最小	jung	最小	ADJ;PL	ADJ
nase	鼻	nase	鼻	N;SG	N
nase	鼻子	nase	鼻子	N;SG	N
fresken	壁畫	fresken	壁畫	N;NOM;PL	N
sauer	憤怒	sauer	憤怒	ADJ	ADJ
entfernte	遙控	entfernen	遙控	V;IND;SG;3;PST;FIN	V
betreten	輸入	betreten	輸入	V;NFIN	V
inspiriert	啟發	inspirieren	啟發	V;V.PTCP	V
inspiriert	激發	inspirieren	激發	V;V.PTCP	V
anatomie	解剖	anatomie	解剖		
raketen	導彈	raket	導彈	N;PL	N
raketen	火箭	raket	火箭	N;PL	N
raketen	火箭	raket	火箭	N;PL	N
aussterben	滅絕	aussterben	滅絕	V;NFIN	V
aussterben	滅絕	aussterben	滅絕	V;NFIN	V
synthese	合成	synthese	合成	N;NOM;FEM;SG	N
holen	獲取	holen	獲取	V;NFIN	V
holen	獲得	holen	獲得	V;NFIN	V
holen	得到	holen	得到	V;NFIN	V
demokraten	民主	demokraten	民主	N;NOM;PL	N
termin	限期	termin	限期	N;SG	N
termin	期限	termin	期限	N;SG	N
schnellste	最快	schnell	最快	ADJ;NOM;FEM;SG	ADJ
verwechselt	困惑	verwechseln	困惑	V;V.PTCP	V
verlegung	轉帳	verlegung	轉帳	V	V
verlegung	轉讓	verlegung	轉讓	V	V
verlegung	轉移	verlegung	轉移	V	V
verlegung	搬遷	verlegung	搬遷	V	V
verlegung	遷移	verlegung	遷移	V	V
argumenten	爭論	argument	爭論	V;NFIN	V
bemerkungen	評論	bemerkungen	評論	V;NFIN	V
kanonen	槍支	kanon	槍支	N;NOM;FEM;PL	N
kanonen	槍械	kanon	槍械	N;NOM;FEM;PL	N
kanonen	大炮	kanon	大炮	N;NOM;FEM;PL	N
kanonen	砲	kanon	砲	N;NOM;FEM;PL	N
kanonen	炮	kanon	炮	N;NOM;FEM;PL	N
streitigkeiten	訴訟	streitigkeit	訴訟	N;NOM;FEM;PL	N
streitigkeiten	爭端	streitigkeit	爭端	N;NOM;FEM;PL	N
streitigkeiten	糾紛	streitigkeit	糾紛	N;NOM;FEM;PL	N
streitigkeiten	爭議	streitigkeit	爭議	N;NOM;FEM;PL	N
streitigkeiten	爭端	streitigkeit	爭端	N;NOM;FEM;PL	N
streitigkeiten	糾紛	streitigkeit	糾紛	N;NOM;FEM;PL	N
streitigkeiten	爭議	streitigkeit	爭議	N;NOM;FEM;PL	N
katastrophe	災害	katastrophe	災害	N;NOM;FEM;SG	N
katastrophe	災難	katastrophe	災難	N;NOM;FEM;SG	N
katastrophe	災害	katastrophe	災害	N;NOM;FEM;SG	N
katastrophe	災難	katastrophe	災難	N;NOM;FEM;SG	N
katastrophe	災難	katastrophe	災難	N;NOM;FEM;SG	N
formulierungen	措辭	formulierung	措辭	N;NOM;FEM;PL	N
formulierungen	措詞	formulierung	措詞	N;NOM;FEM;PL	N
formulierungen	措辭	formulierung	措辭	N;NOM;FEM;PL	N
formulierungen	措詞	formulierung	措詞	N;NOM;FEM;PL	N
bergwerk	礦山	bergwerk	礦山	N;NOM;NEUT;SG	N
bergwerk	地雷	bergwerk	地雷	N;NOM;NEUT;SG	N
verteilen	傳播	verteilen	傳播	V;NFIN	V
verteilen	散播	verteilen	散播	V;NFIN	V
verteilen	分布	verteilen	分布	V;NFIN	V
sauber	乾淨	sauber	乾淨	ADJ	ADJ
flöte	笛	flöt	笛	N;NOM;FEM;PL	N
flöte	笛子	flöt	笛子	N;NOM;FEM;PL	N
mehrzahl	多數	mehrzahl	多數	ADJ	ADJ
heilig	神聖	heilig	神聖	ADJ	ADJ
heilig	神聖	heilig	神聖	ADJ	ADJ
geholfen	協助	helfen	協助	V;V.PTCP	V
sorge	關切	sorgen	關切		
ohren	耳	ohr	耳	N;NOM;NEUT;PL	N
ohren	耳朵	ohr	耳朵	N;NOM;NEUT;PL	N
ohren	耳	ohr	耳	N;NOM;NEUT;PL	N
ohren	耳朵	ohr	耳朵	N;NOM;NEUT;PL	N
ruft	呼喊	rufen	呼喊	V;IND;SG;3;PRS;FIN	V
ruft	呼叫	rufen	呼叫	V;IND;SG;3;PRS;FIN	V
trennt	分居	trennen	分居	V;IND;SG;3;PRS;FIN	V
realen	真實	real	真實	ADJ;SG	ADJ
vertraut	熟悉	vertraut	熟悉	ADJ	ADJ
bibliographie	書目	bibliographie	書目	N;NOM;FEM;SG	N
bezahlen	付費	bezahlen	付費	V;NFIN	V
bezahlen	付款	bezahlen	付款	V;NFIN	V
bezahlen	支付	bezahlen	支付	V;NFIN	V
ausgegeben	花費	ausgeben	花費	V;V.PTCP	V
gewährt	准予	gewähren|währen	准予	V;V.PTCP	V
entzogen	撤回	entziehen	撤回	V;V.PTCP	V
kombiniert	結合	kombinieren	結合	V;V.PTCP	V
