και	og	και	og	CONJ	CONJ
για	for	για	for	ADP	ADP
κατηγορία	kategori	κατηγορία	kategori	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
έχει	har	έχω	have	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
αλλά	men	αλλά	men	CONJ	CONJ
μετά	derefter	μετά	derefter	ADV	ADV
μετά	så	μετά	så	ADV	ADV
μετά	efter	μετά	efter	ADV	ADV
επίσης	også	επίσης	også	ADV	ADV
όπως	gerne	όπως	gerne	ADV	ADV
είχε	havde	έχω	have	V;IPFV;IND;SG;3;PST;FIN;ACT	V;IND;PST;FIN;ACT
είχε	haft	έχω	have	V;IPFV;IND;SG;3;PST;FIN;ACT	V;INDF;SG;PST;V.PTCP
ενώ	mens	ενώ	mens	CONJ	CONJ
δύο	to	δύο	to	NUM;NOM;MASC;PL	NUM
αυτό	dette	αυτός	denne	PRO;NOM;NEUT;SG;3	PRO;NEUT;SG
αυτό	denne	αυτός	denne	PRO;NOM;NEUT;SG;3	PRO;MASC+FEM;SG
όπου	hvor	όπου	hvor	ADV	ADV
όταν	når	όταν	når	CONJ	CONJ
μπορεί	kan	μπορώ	kunne	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
ομάδα	trup	ομάδα	trup	N;ACC;FEM;SG	N;INDF;MASC+FEM;SG
ομάδα	gruppe	ομάδα	gruppe	N;ACC;FEM;SG	N;INDF;MASC+FEM;SG
ομάδα	group	ομάδα	group	N;ACC;FEM;SG	N;INDF;MASC+FEM;SG
ομάδα	gruppen	ομάδα	gruppe	N;ACC;FEM;SG	N;DEF;MASC+FEM;SG
ομάδα	holdet	ομάδα	hold	N;ACC;FEM;SG	N;DEF;NEUT;SG
ομάδα	teamet	ομάδα	team	N;ACC;FEM;SG	N;DEF;NEUT;SG
ομάδα	team	ομάδα	team	N;ACC;FEM;SG	N;INDF;NEUT;SG
θέση	position	θέση	position	N;ACC;FEM;SG	N;INDF;MASC+FEM;SG
θέση	stilling	θέση	stilling	N;ACC;FEM;SG	N;INDF;MASC+FEM;SG
θέση	holdning	θέση	holdning	N;ACC;FEM;SG	N;INDF;MASC+FEM;SG
μεταξύ	mellem	μεταξύ	mellem	ADP	ADP
πιο	mere	πιο	mere	ADV	ADV;CMPR
πόλη	town	πόλη	town	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
πόλη	byen	πόλη	by	N;NOM;FEM;SG	N;DEF;MASC+FEM;SG
πόλη	by	πόλη	by	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
πόλη	byen	πόλη	by	N;NOM;FEM;SG	N;DEF;MASC+FEM;SG
πόλη	storby	πόλη	storby	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
πόλη	by	πόλη	by	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
σύνδεσμοι	link	σύνδεσμος	link	N;ACC;MASC;SG	N;INDF;NEUT;SG
σύνδεσμοι	links	σύνδεσμος	links	N;ACC;MASC;SG	N;INDF;NEUT;SG
μόνο	kun	μόνο	kun	ADV	ADV
έγινε	udfærdiget	γίνομαι	udfærdige	V;PFV;IND;SG;3;PST;FIN;PASS	V;INDF;SG;PST;V.PTCP
έγινε	udført	γίνομαι	udføre	V;PFV;IND;SG;3;PST;FIN;PASS	V;INDF;SG;PST;V.PTCP
έγινε	gjort	γίνομαι	gøre	V;PFV;IND;SG;3;PST;FIN;PASS	V;INDF;SG;PST;V.PTCP
κάθε	hver	κάθε	hver	PRO;ACC;FEM;SG;3	PRO;MASC+FEM;SG
κάθε	hver	κάθε	hver	PRO;ACC;FEM;SG;3	PRO;MASC+FEM;SG
περιοχή	region	περιοχή	region	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
περιοχή	areal	περιοχή	areal	N;NOM;FEM;SG	N;INDF;NEUT;SG
περιοχή	område	περιοχή	område	N;NOM;FEM;SG	N;INDF;NEUT;SG
αιώνα	århundrede	αιώνας	århundrede	N;ACC;MASC;SG	N;INDF;NEUT;SG
περίοδο	tidsrum	περίοδος	tidsrum	N;ACC;FEM;SG	N;INDF;NEUT;SG
περίοδο	periode	περίοδος	periode	N;ACC;FEM;SG	N;INDF;MASC+FEM;SG
περίοδο	perioden	περίοδος	periode	N;ACC;FEM;SG	N;DEF;MASC+FEM;SG
τότε	derefter	τότε	derefter	ADV	ADV
τότε	så	τότε	så	ADV	ADV
όνομα	betegnelse	όνομα	betegnelse	N;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
όνομα	navn	όνομα	navn	N;NOM;NEUT;SG	N;INDF;NEUT;SG
μέρος	del	μέρος	del	N;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
μέρος	stedet	μέρος	sted	N;NOM;NEUT;SG	N;DEF;NEUT;SG
μέρος	sted	μέρος	sted	N;NOM;NEUT;SG	N;INDF;NEUT;SG
μέρος	plads	μέρος	plads	N;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
σήμερα	idag	σήμερα	idag	ADV	ADV
μέσα	indvendigt	μέσα	indvendig	ADV	ADV
μέσα	indenfor	μέσα	indenfor	ADV	ADV
μέσα	inde	μέσα	inde	ADV	ADV
μαζί	sammen	μαζί	sammen	ADV	ADV
διάρκεια	varighed	διάρκεια	varighed	N;ACC;FEM;SG	N;INDF;MASC+FEM;SG
διάρκεια	løbetid	διάρκεια	løbetid	N;ACC;FEM;SG	N;INDF;MASC+FEM;SG
ιστορία	historien	ιστορία	historie	N;NOM;FEM;SG	N;DEF;MASC+FEM;SG
ιστορία	historie	ιστορία	historie	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
ιστορία	historik	ιστορία	historik	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
ιστορία	historie	ιστορία	historie	N;NOM;FEM;SG	N;INDF;MASC+FEM;SG
πρωτάθλημα	league	πρωτάθλημα	league	N;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
πρωτάθλημα	ligaen	πρωτάθλημα	liga	N;NOM;NEUT;SG	N;DEF;MASC+FEM;SG
πρωτάθλημα	liga	πρωτάθλημα	liga	N;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
πρωτάθλημα	mesterskabet	πρωτάθλημα	mesterskab	N;NOM;NEUT;SG	N;DEF;NEUT;SG
πρωτάθλημα	mesterskab	πρωτάθλημα	mesterskab	N;NOM;NEUT;SG	N;INDF;NEUT;SG
πρωτάθλημα	championship	πρωτάθλημα	championship	N;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
αργότερα	senere	αργά	senere	ADV;CMPR	ADV;CMPR
νέα	nye	νέος	ny	ADJ;NOM;NEUT;PL	ADJ;PL
περίπου	omkring	περίπου	omkring	ADV	ADV
αυτά	disse	αυτός	denne	PRO;NOM;NEUT;PL;3	PRO;PL
πριν	inden	πριν	inden	ADV	ADV
πριν	før	πριν	før	ADV	ADV
εθνική	landsdækkende	εθνικός	landsdækkende	ADJ;NOM;FEM;SG	ADJ
συζήτηση	samtalen	συζήτηση	samtale	N;ACC;FEM;SG	N;DEF;MASC+FEM;SG
συζήτηση	samtale	συζήτηση	samtale	N;ACC;FEM;SG	N;INDF;MASC+FEM;SG
συζήτηση	konversation	συζήτηση	konversation	N;ACC;FEM;SG	N;INDF;MASC+FEM;SG
συζήτηση	diskussion	συζήτηση	diskussion	N;ACC;FEM;SG	N;INDF;MASC+FEM;SG
συζήτηση	drøftelse	συζήτηση	drøftelse	N;ACC;FEM;SG	N;INDF;MASC+FEM;SG
συζήτηση	debat	συζήτηση	debat	N;ACC;FEM;SG	N;INDF;MASC+FEM;SG
συζήτηση	debatten	συζήτηση	debat	N;ACC;FEM;SG	N;DEF;MASC+FEM;SG
συζήτηση	forhandling	συζήτηση	forhandling	N;ACC;FEM;SG	N;INDF;MASC+FEM;SG
συζήτηση	debat	συζήτηση	debat	N;ACC;FEM;SG	N;INDF;MASC+FEM;SG
αρχείο	arkiv	αρχείο	arkiv	N;NOM;NEUT;SG	N;INDF;NEUT;SG
αρχείο	arkivet	αρχείο	arkive	N;NOM;NEUT;SG	N;DEF;NEUT;SG
αρχείο	file	αρχείο	file	N;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
αρχείο	filen	αρχείο	fil	N;NOM;NEUT;SG	N;DEF;MASC+FEM;SG
αρχείο	fil	αρχείο	fil	N;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
πρέπει	må	πρέπει	måtte	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
πρέπει	skal	πρέπει	skulle	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;PRS;FIN;ACT
φορά	tid	φορά	tid	N;ACC;FEM;SG	N;INDF;MASC+FEM;SG
φορά	tidspunkt	φορά	tidspunkt	N;ACC;FEM;SG	N;INDF;NEUT;SG
φορά	gang	φορά	gang	N;ACC;FEM;SG	N;INDF;MASC+FEM;SG
