võtmine	braní	võtmine	braní	N;NOM;SG	N;NOM;NEUT;SG;POS
kultuuriline	kulturní	kultuuriline	kulturní	ADJ;NOM;SG	ADJ;NOM;FEM;SG;POS
kohtumised	schůzky	kohtumine	schůzka	N;NOM;PL	N;NOM;FEM;PL;POS
vastupidine	inverzní	vastu_pidine	inverzní	ADJ;NOM;SG	ADJ;NOM;FEM;SG;POS
vastupidine	reverzní	vastu_pidine	reverzní	ADJ;NOM;SG	ADJ;NOM;MASC;SG;POS
vastupidine	zpětný	vastu_pidine	zpětný	ADJ;NOM;SG	ADJ;INAN;NOM;MASC;SG;POS
kilp	štít	kilp	štít	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
kilp	shield	kilp	shield	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
tähelepanuväärne	nevšední	tähele_panu_väärne	všední	ADJ;NOM;SG	ADJ;NOM;MASC;SG;NEG
tähelepanuväärne	pozoruhodný	tähele_panu_väärne	pozoruhodný	ADJ;NOM;SG	ADJ;INAN;NOM;MASC;SG;POS
tähelepanuväärne	pozoruhodná	tähele_panu_väärne	pozoruhodný	ADJ;NOM;SG	ADJ;NOM;FEM;SG;POS
tähelepanuväärne	pozoruhodné	tähele_panu_väärne	pozoruhodný	ADJ;NOM;SG	ADJ;NOM;NEUT;SG;POS
magic	magie	magic	magie	N;NOM;SG	N;NOM;FEM;SG;POS
magic	kouzlo	magic	kouzlo	N;NOM;SG	N;NOM;NEUT;SG;POS
vali	vybrat	valima	vybrat	V;IMP;SG;2;PRS;FIN;ACT	V;POS;NFIN
vali	vybrat	valima	vybrat	V;IMP;SG;2;PRS;FIN;ACT	V;POS;NFIN
hubble	hubble	hubblema	hubble	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
osalus	účast	osalus	účast	N;NOM;SG	N;NOM;FEM;SG;POS
osalus	účasti	osalus	účast	N;NOM;SG	N;NOM;FEM;SG;POS
modifitseeritud	upravený	modifitseeri=tud	upravený	ADJ;PST;V.PTCP;PASS	ADJ;INAN;NOM;MASC;SG;POS
modifitseeritud	změněno	modifitseeri=tud	změněný	ADJ;PST;V.PTCP;PASS	ADJ;NEUT;SG;POS;V.PTCP;PASS
modifitseeritud	modifikované	modifitseeri=tud	modifikovaný	ADJ;PST;V.PTCP;PASS	ADJ;NOM;NEUT;SG;POS
modifitseeritud	upraveno	modifitseeri=tud	upravený	ADJ;PST;V.PTCP;PASS	ADJ;NEUT;SG;POS;V.PTCP;PASS
modifitseeritud	upravené	modifitseeri=tud	upravený	ADJ;PST;V.PTCP;PASS	ADJ;NOM;MASC;PL;POS
modifitseeritud	upravená	modifitseeri=tud	upravený	ADJ;PST;V.PTCP;PASS	ADJ;NOM;FEM;SG;POS
patricia	patricie	patricia	patricie	N;NOM;SG	N;NOM;FEM;SG;POS
patricia	patricia	patricia	patricium	N;NOM;SG	N;NOM;FEM;SG;POS
quercus	quercus	quercus	quercus	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
quercus	dub	quercus	dub	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
vahemaa	vzdálenost	vahe_maa	vzdálenost	N;NOM;SG	N;NOM;FEM;SG;POS
vahemaa	odstup	vahe_maa	odstup	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
karm	drsná	karm	drsný	ADJ;NOM;SG	ADJ;NOM;FEM;SG;POS
karm	hrubý	karm	hrubý	ADJ;NOM;SG	ADJ;INAN;NOM;MASC;SG;POS
karm	drsné	karm	drsný	ADJ;NOM;SG	ADJ;NOM;NEUT;SG;POS
karm	drsný	karm	drsný	ADJ;NOM;SG	ADJ;INAN;NOM;MASC;SG;POS
karm	tvrdý	karm	tvrdý	ADJ;NOM;SG	ADJ;INAN;NOM;MASC;SG;POS
karm	tvrdá	karm	tvrdý	ADJ;NOM;SG	ADJ;NOM;FEM;SG;POS
karm	drsné	karm	drsný	ADJ;NOM;SG	ADJ;NOM;NEUT;SG;POS
kauplus	shop	kauplus	shop	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
kauplus	obchod	kauplus	obchod	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
kauplus	prodejna	kauplus	prodejna	N;NOM;SG	N;NOM;FEM;SG;POS
lähemale	blíž	lähemale	blízko	ADV	ADV
lähemale	blíže	lähemale	blízko	ADV	ADV;CMPR;POS
sektsioon	úsek	sektsioon	úsek	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
sektsioon	oddíl	sektsioon	oddíl	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
sektsioon	sekce	sektsioon	sekce	N;NOM;SG	N;NOM;FEM;SG;POS
huvid	zájmy	huvi	zájem	N;NOM;PL	N;INAN;NOM;MASC;PL;POS
huvid	úroky	huvi	úrok	N;NOM;PL	N;INAN;NOM;MASC;PL;POS
mõõk	meč	mõõk	meč	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
ensüüm	enzym	ensüüm	enzym	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
retseptorid	receptory	retseptor	receptor	N;NOM;PL	N;INAN;NOM;MASC;PL;POS
ülemineku	přechod	üle_minek	přechod	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
föderatsioon	federace	föderatsioon	federace	N;NOM;SG	N;NOM;FEM;SG;POS
pronks	bronz	pronks	bronz	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
laager	kemp	laager	kemp	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
laager	camp	laager	camp	N;NOM;SG	N;INAN;NOM;MASC;SG;POS
