culto	kult	culto	kult	N	N;NOM;MASC;SG
irlandesa	irske	irlandesa	irski	ADJ	ADJ;NOM;FEM;PL
irlandesa	irsko	irlandesa	irski	ADJ	ADJ;NOM;NEUT;SG
irlandesa	irski	irlandesa	irska	ADJ	ADJ;NOM;DEF;MASC;SG
déronme	so	déronme	biti	V	V;IND;PL;3;POS;PRS;FIN
déronme	dal	déronme	dati	V	V;PFV;MASC;SG;V.PTCP
déronme	dau	déronme	dau	V	V;PFV;MASC;SG;V.PTCP
déronme	dala	déronme	dati	V	V;PFV;FEM;SG;V.PTCP
lagoa	lagune	lagoa	laguna	N	N;NOM;FEM;PL
meniña	punca	meniña	punca	N	N;NOM;FEM;SG
meniña	deklica	meniña	deklica	N	N;NOM;FEM;SG
meniña	dekle	meniña	dekle	N	N;NOM;NEUT;SG
meniña	punco	meniña	punca	N	N;ACC;FEM;SG
católicos	katoliško	católico	katoliški	ADJ	ADJ;NOM;NEUT;SG
católicos	katoliški	católico	katoliški	ADJ	ADJ;NOM;MASC;SG
católicos	katoliška	católico	katoliški	ADJ	ADJ;NOM;FEM;SG
pasear	hodi	pasear	hoditi	V	V;IPFV;IND;SG;3;PRS;FIN
clans	klan	clan	klan	N	N;NOM;MASC;SG
clans	klani	clan	klan	N	N;NOM;MASC;PL
marquesa	markiza	marquesa	markiz	N	N;NOM;MASC;SG
nomura	nomura	nomura	nomura	N	N;NOM;MASC;SG
cuarteto	kvartet	cuarteto	kvartet	N	N;NOM;MASC;SG
estivesen	so	estar	biti	V	V;IND;PL;3;POS;PRS;FIN
estivesen	bili	estar	biti	V	V;MASC;PL;V.PTCP
corría	teče	corría	teči	V	V;IPFV;IND;SG;3;PRS;FIN
corría	teči	corría	teči	V	V;IPFV;NFIN
corría	bil	corría	biti	V	V;MASC;SG;V.PTCP
corría	bila	corría	biti	V	V;FEM;SG;V.PTCP
ensino	poučevanje	ensino	poučevanje	N	N;NOM;NEUT;SG
informática	računalnik	informática	računalnik	N	N;NOM;MASC;SG
técnicas	tehnik	técnica	tehnika	N	N;NOM;MASC;SG
técnicas	tehnikami	técnica	tehnika	N	N;DAT;FEM;PL
técnicas	tehnike	técnica	tehnika	N	N;NOM;FEM;PL
veterinarios	veterinarji	veterinario	veterinar	N	N;NOM;MASC;PL
confesión	izpoved	confesión	izpoved	N	N;NOM;FEM;SG
confesión	spovedi	confesión	spoved	N	N;NOM;FEM;SG
confesión	spoved	confesión	spoved	N	N;NOM;FEM;SG
confesión	priznanje	confesión	priznanje	N	N;NOM;NEUT;SG
loitan	so	loitar	biti	V	V;IND;PL;3;POS;PRS;FIN
medicinas	zdravilo	medicina	zdravilo	N	N;NOM;NEUT;SG
medicinas	medicino	medicina	medicina	N	N;ACC;FEM;SG
medicinas	medicina	medicina	medicina	N	N;NOM;FEM;SG
perden	izgubi	perder	izgubiti	V	V;PFV;IND;SG;3;PRS;FIN
culturas	kulture	cultura	kultura	N	N;NOM;FEM;PL
culturas	kultur	cultura	kultura	N	N;GEN;FEM;PL
interpretación	razlago	interpretación	razlaga	N	N;ACC;FEM;SG
interpretación	tolmačenje	interpretación	tolmačenje	N	N;NOM;NEUT;SG
interpretación	razlaga	interpretación	razlagati	N	N;NOM;FEM;SG
escoitan	poslušamo	escoitar	poslušati	V	V;IPFV;IND;PL;1;PRS;FIN
escoitan	poslušam	escoitar	poslušati	V	V;IPFV;IND;SG;1;PRS;FIN
escoitan	poslušal	escoitar	poslušati	V	V;IPFV;MASC;SG;V.PTCP
dinámica	dinamika	dinámica	dinamik	N	N;NOM;FEM;SG
dinámica	dinamika	dinámica	dinamik	N	N;NOM;FEM;SG
dinámica	dinamike	dinámica	dinamik	N	N;NOM;FEM;PL
dinámica	dinamiko	dinámica	dinamika	N	N;ACC;FEM;SG
populares	priljubljene	popular	priljubljen	ADJ	ADJ;NOM;FEM;PL
populares	priljubljena	popular	priljubljen	ADJ	ADJ;NOM;FEM;SG
populares	priljubljeni	popular	priljubljen	ADJ	ADJ;NOM;MASC;PL
populares	priljubljen	popular	priljubljen	ADJ	ADJ;NOM;INDF;MASC;SG
aumenta	bo	aumentar	biti	V	V;IND;SG;3;POS;FUT;FIN
sida	aids	sida	aids	N	N;NOM;MASC;SG
sida	pripomočki	sida	pripomoček	N	N;NOM;MASC;PL
similar	podobni	similar	podoben	ADJ	ADJ;NOM;MASC;PL
similar	podoben	similar	podoben	ADJ	ADJ;NOM;INDF;MASC;SG
similar	podobna	similar	podoben	ADJ	ADJ;NOM;FEM;SG
similar	podobne	similar	podoben	ADJ	ADJ;NOM;FEM;PL
similar	podobnih	similar	podoben	ADJ	ADJ;GEN;MASC;PL
similar	podobno	similar	podoben	ADJ	ADJ;NOM;NEUT;SG
espectadores	gledalce	espectador	gledalec	N	N;ACC;MASC;PL
espectadores	gledalci	espectador	gledalec	N	N;NOM;MASC;PL
espectadores	gledalcem	espectador	gledalec	N	N;DAT;MASC;PL
saibas	si	saber	biti	V	V;IND;SG;2;POS;PRS;FIN
garantía	poroštvo	garantía	poroštvo	N	N;NOM;NEUT;SG
garantía	garancija	garantía	garancija	N	N;NOM;FEM;SG
garantía	jamstvo	garantía	jamstvo	N	N;NOM;NEUT;SG
garantía	zagotovilo	garantía	zagotovilo	N	N;NOM;NEUT;SG
bambú	bambusa	bambú	bambus	N	N;ACC;MASC;SG
falsos	lažno	falso	lažen	ADJ	ADJ;NOM;NEUT;SG
sexades	si	sexade	biti	V	V;IND;SG;2;POS;PRS;FIN
pensaban	so	pensabar	biti	V	V;IND;PL;3;POS;PRS;FIN
xulgado	sodišče	xulgado	sodišče	N	N;NOM;NEUT;SG
xulgado	dvor	xulgado	dvor	N	N;NOM;MASC;SG
extensión	razširitev	extensión	razširitev	N	N;NOM;FEM;SG
extensión	podaljšek	extensión	podaljšek	N	N;NOM;MASC;SG
extensión	podaljšanje	extensión	podaljšanje	N	N;NOM;NEUT;SG
expansión	razširitev	expansión	razširitev	N	N;NOM;FEM;SG
expansión	širjenje	expansión	širjenje	N	N;NOM;NEUT;SG
expansión	širitev	expansión	širitev	N	N;NOM;FEM;SG
azar	priložnost	azar	priložnost	N	N;NOM;FEM;SG
azar	možnost	azar	možnost	N	N;NOM;FEM;SG
necesitan	so	necesitar	biti	V	V;IND;PL;3;POS;PRS;FIN
organizacións	organizacije	organización	organizacija	N	N;NOM;FEM;PL
organizacións	organizacijami	organización	organizacija	N	N;DAT;FEM;PL
organizacións	organizacij	organización	organizacija	N	N;GEN;FEM;PL
individual	individualna	individual	individualen	ADJ	ADJ;NOM;FEM;SG
individual	posamezna	individual	posamezen	ADJ	ADJ;NOM;FEM;SG
individual	posamezno	individual	posamezno	ADJ	ADJ;NOM;NEUT;SG
individual	posamezni	individual	posamezen	ADJ	ADJ;NOM;MASC;PL
web	web	web	web	N	N;NOM;MASC;SG
novamente	spet	novamente	spet	ADV	ADV
novamente	znova	novamente	znova	ADV	ADV
novamente	ponovno	novamente	ponovno	ADV	ADV
intres	trenutki	intres	trenutek	N	N;NOM;MASC;PL
específico	specifični	específico	specifičen	ADJ	ADJ;NOM;MASC;PL
ordenadores	računalniki	ordenador	računalnik	N	N;NOM;MASC;PL
ordenadores	računalnike	ordenador	računalnik	N	N;ACC;MASC;PL
ordenadores	računalnik	ordenador	računalnik	N	N;NOM;MASC;SG
estatísticas	statistika	estatística	statistika	N	N;NOM;FEM;SG
estatísticas	statistike	estatística	statistika	N	N;NOM;FEM;PL
estatísticas	statistiko	estatística	statistika	N	N;ACC;FEM;SG
fiel	zvesta	fiel	zvest	N	N;NOM;FEM;SG
capturado	ujeli	capturado	ujeti	V	V;PFV;MASC;PL;V.PTCP
capturado	zajeti	capturado	zajeti	V	V;PFV;NFIN
trece	thirteen	trecer	thirteen	N	N;NOM;MASC;SG
lémbrame	spominja	lémbrame	spominjati	V	V;IPFV;IND;SG;3;PRS;FIN
características	lastnosti	característica	lastnost	N	N;NOM;FEM;PL
características	značilnosti	característica	značilnost	N	N;NOM;FEM;PL
características	lastnosti	característica	lastnost	N	N;NOM;FEM;PL
características	značilnosti	característica	značilnost	N	N;NOM;FEM;PL
residencia	prebivanje	residencia	prebivanje	N	N;NOM;NEUT;SG
residencia	bivališče	residencia	bivališče	N	N;NOM;NEUT;SG
residencia	bivanje	residencia	bivanje	N	N;NOM;NEUT;SG
residencia	rezidenca	residencia	rezidenca	N	N;NOM;FEM;SG
residencia	prebivališče	residencia	prebivališče	N	N;NOM;NEUT;SG
paran	ustavi	parar	ustaviti	V	V;PFV;IND;SG;3;PRS;FIN
paran	so	parar	biti	V	V;IND;PL;3;POS;PRS;FIN
pensara	misli	pensar	misliti	V	V;IPFV;IND;SG;3;PRS;FIN
calefacción	vročina	calefacción	vročina	N	N;NOM;FEM;SG
calefacción	toplota	calefacción	toplota	N	N;NOM;FEM;SG
calefacción	toplote	calefacción	toplota	N	N;NOM;FEM;PL
calefacción	gretje	calefacción	gretje	N	N;NOM;NEUT;SG
calefacción	segrevanje	calefacción	segrevanje	N	N;NOM;NEUT;SG
calefacción	ogrevanje	calefacción	ogrevanje	N	N;NOM;NEUT;SG
respondeu	odgovoril	responder	odgovoriti	V	V;PFV;MASC;SG;V.PTCP
décadas	desetletji	década	desetletje	N	N;NOM;NEUT;PL
décadas	desetletjih	década	desetletje	N	N;ESS;NEUT;PL
décadas	desetletij	década	desetletje	N	N;GEN;NEUT;PL
décadas	desetletja	década	desetletje	N	N;NOM;NEUT;PL
compartimos	delimo	compartir	deliti	V	V;IPFV;IND;PL;1;PRS;FIN
compartimos	delim	compartir	del	V	V;IPFV;IND;SG;1;PRS;FIN
redución	zmanjšanje	redución	zmanjšanje	N	N;NOM;NEUT;SG
redución	znižanje	redución	znižanje	N	N;NOM;NEUT;SG
arder	gorela	arder	gorel	V	V;IPFV;FEM;SG;V.PTCP
arder	zažgal	arder	zažgati	V	V;PFV;MASC;SG;V.PTCP
arder	zgori	arder	zgoriti	V	V;PFV;IND;SG;3;PRS;FIN
volcán	vulkan	volcán	vulkan	N	N;NOM;MASC;SG
kg	funtov	kg	funt	N	N;GEN;MASC;PL
kg	kilogramov	kg	kilogram	N	N;GEN;MASC;PL
oriental	vzhodni	oriental	vzhoden	ADJ	ADJ;NOM;DEF;MASC;SG
oriental	vzhodna	oriental	vzhoden	ADJ	ADJ;NOM;FEM;SG
violín	violina	violín	violina	N	N;NOM;FEM;SG
violín	violino	violín	violina	N	N;ACC;FEM;SG
sufriu	trpel	sufrir	trpeti	V	V;IPFV;MASC;SG;V.PTCP
sufriu	trpela	sufrir	trpeti	V	V;IPFV;FEM;SG;V.PTCP
explorar	raziskati	explorar	raziskati	V	V;PFV;NFIN
explorar	raziskuje	explorar	raziskovati	V	V;IPFV;IND;SG;3;PRS;FIN
teléfonos	telefoni	teléfono	telefon	N	N;NOM;MASC;PL
teléfonos	telefone	teléfono	telefon	N	N;ACC;MASC;PL
estruturas	konstrukcije	estrutura	konstrukcija	N	N;NOM;FEM;PL
estruturas	strukture	estrutura	struktura	N	N;NOM;FEM;PL
suma	vsota	suma	vsota	N	N;NOM;FEM;SG
suma	seštevek	suma	seštevek	N	N;NOM;MASC;SG
tanque	rezervoar	tanque	rezervoar	N	N;NOM;MASC;SG
tanque	tank	tanque	tanka	N	N;NOM;MASC;SG
eventos	dogodki	evento	dogodek	N	N;NOM;MASC;PL
eventos	prireditve	evento	prireditev	N	N;NOM;FEM;PL
eventos	dogodke	evento	dogodek	N	N;ACC;MASC;PL
eventos	dogodkov	evento	dogodek	N	N;GEN;MASC;PL
axenda	agenda	axenda	agenda	N	N;NOM;FEM;SG
bancos	bankam	banco	banka	N	N;DAT;FEM;PL
bancos	bankah	banco	banka	N	N;ESS;FEM;PL
bancos	bankami	banco	banka	N	N;NOM;FEM;PL
bancos	banke	banco	banka	N	N;NOM;FEM;PL
pensaron	so	pensar	biti	V	V;IND;PL;3;POS;PRS;FIN
instrucións	navodila	instrución	navodilo	N	N;NOM;NEUT;PL
chamábase	bil	chamábase	biti	V	V;MASC;SG;V.PTCP
chamábase	bila	chamábase	biti	V	V;FEM;SG;V.PTCP
chamábase	poklical	chamábase	poklicati	V	V;PFV;MASC;SG;V.PTCP
pluma	pen	plumo	pen	N	N;NOM;MASC;SG
pluma	pero	plumo	peri	N	N;NOM;MASC;SG
pluma	pero	plumo	peri	N	N;NOM;MASC;SG
espido	nag	espido	nag	N	N;NOM;MASC;SG
técnicos	tehniki	técnico	tehnika	N	N;NOM;FEM;SG
verbas	besed	verba	beseda	N	N;GEN;FEM;PL
verbas	besede	verba	beseda	N	N;NOM;FEM;PL
deixalos	dopust	deixalo	dopust	N	N;NOM;MASC;SG
vanme	so	vanme	biti	V	V;IND;PL;3;POS;PRS;FIN
conclusión	zaključek	conclusión	zaključek	N	N;NOM;MASC;SG
conclusión	sklep	conclusión	sklep	N	N;NOM;MASC;SG
conclusión	ugotovitev	conclusión	ugotovitev	N	N;NOM;FEM;SG
orgullosos	ponosna	orgulloso	ponosen	ADJ	ADJ;NOM;FEM;SG
orgullosos	ponosen	orgulloso	ponosen	ADJ	ADJ;NOM;INDF;MASC;SG
orgullosos	ponosni	orgulloso	ponosen	ADJ	ADJ;NOM;MASC;PL
chegarán	bo	chegar	biti	V	V;IND;SG;3;POS;FUT;FIN
chegarán	so	chegar	biti	V	V;IND;PL;3;POS;PRS;FIN
