על	om	על	om	ADP	ADP
קטגוריה	kategori	קטגוריה	kategori	N;FEM;SG	N;INDF;MASC+FEM;SG
גם	også	גם	også	ADV	ADV
גם	også	גם	også	ADV	ADV
זה	dette	זה	denne	PRO;MASC;SG;3	PRO;NEUT;SG
זה	denne	זה	denne	PRO;MASC;SG;3	PRO;MASC+FEM;SG
היא	hun	הוא	hun	PRO;FEM;SG;3	PRO;NOM;MASC+FEM;SG;3
היה	var	היה	være	V;MASC;SG;3;POS;PST	V;IND;PST;FIN;ACT
היה	blev	היה	blive	V;MASC;SG;3;POS;PST	V;IND;PST;FIN;ACT
שיחה	samtalen	שיחה	samtale	N;FEM;SG	N;DEF;MASC+FEM;SG
שיחה	samtale	שיחה	samtale	N;FEM;SG	N;INDF;MASC+FEM;SG
שיחה	konversation	שיחה	konversation	N;FEM;SG	N;INDF;MASC+FEM;SG
שיחה	call	שיחה	call	N;FEM;SG	N;INDF;NEUT;SG
שיחה	opkald	שיחה	opkald	N;FEM;SG	N;INDF;NEUT;SG
שיחה	kald	שיחה	kald	N;FEM;SG	N;INDF;NEUT;SG
בין	mellem	בין	mellem	ADP	ADP
כי	fordi	כי	fordi	CONJ	CONJ
יותר	mere	יותר	mere	ADV	ADV;CMPR
אך	men	אך	men	CONJ	CONJ
שם	der	שם	der	ADV	ADV
בית	startside	בית	startside	N;MASC;SG	N;INDF;MASC+FEM;SG
בית	house	בית	house	N;MASC;SG	N;INDF;MASC+FEM;SG
בית	huset	בית	hus	N;MASC;SG	N;DEF;NEUT;SG
בית	hus	בית	hus	N;MASC;SG	N;INDF;NEUT;SG
הם	de	הוא	de	PRO;MASC;PL;3	PRO;NOM;PL;3
הייתה	var	היה	være	V;FEM;SG;3;POS;PST	V;IND;PST;FIN;ACT
הייתה	blev	היה	blive	V;FEM;SG;3;POS;PST	V;IND;PST;FIN;ACT
מספר	antal	מספר	antal	N;MASC;SG	N;INDF;NEUT;SG
מספר	nummer	מספר	nummer	N;MASC;SG	N;INDF;NEUT;SG
היו	var	היה	være	V;PL;3;POS;PST	V;IND;PST;FIN;ACT
רק	kun	רק	kun	ADV	ADV
רק	bare	רק	bare	ADV	ADV
כאשר	når	כאשר	når	CONJ	CONJ
אותו	ham	None	han	PRO;ACC;MASC;SG;3	PRO;ACC;MASC+FEM;SG;3
שני	to	שני	to	NUM;MASC;PL	NUM
אבל	men	אבל	men	CONJ	CONJ
אביב	foråret	אביב	forår	N;MASC;SG	N;DEF;NEUT;SG
אביב	forår	אביב	forår	N;MASC;SG	N;INDF;NEUT;SG
אביב	fjeder	אביב	fjed	N;MASC;SG	N;INDF;MASC+FEM;SG
במאי	maj	במאי	maj	N;MASC;SG	N;INDF;MASC+FEM;SG
במאי	direktør	במאי	direktør	N;MASC;SG	N;INDF;MASC+FEM;SG
במאי	instruktør	במאי	instruktør	N;MASC;SG	N;INDF;MASC+FEM;SG
במאי	direktøren	במאי	direktør	N;MASC;SG	N;DEF;MASC+FEM;SG
במאי	bestyrelsesmedlem	במאי	bestyrelsesmedlem	N;MASC;SG	N;INDF;NEUT;SG
שנה	aars	שנה	aars	N;FEM;SG	N;INDF;MASC+FEM;SG
שנה	året	שנה	år	N;FEM;SG	N;DEF;NEUT;SG
שנה	år	שנה	år	N;FEM;SG	N;INDF;NEUT;SG
שנה	år	שנה	år	N;FEM;SG	N;INDF;NEUT;SG
נולד	født	נולד	føde	V;MASC;SG;3;PST;MID	V;INDF;SG;PST;V.PTCP
הערות	noter	הערה	note	N;FEM;PL	N;INDF;MASC+FEM;PL
הערות	sedler	הערה	sedle	N;FEM;PL	N;INDF;MASC+FEM;PL
הערות	bemærkninger	הערה	bemærkning	N;FEM;PL	N;INDF;MASC+FEM;PL
הערות	kommentarer	הערה	kommentar	N;FEM;PL	N;INDF;MASC+FEM;PL
חלק	del	חלק	del	N;MASC;SG	N;INDF;MASC+FEM;SG
אותה	hende	None	hun	PRO;ACC;FEM;SG;3	PRO;ACC;MASC+FEM;SG;3
ארצות	landene	ארץ	land	N;FEM;PL	N;DEF;NEUT;PL
ארצות	lande	ארץ	land	N;FEM;PL	N;INDF;NEUT;PL
ראש	hovede	ראש	hove	N;MASC;SG	N;INDF;NEUT;SG
ראש	hovedet	ראש	hoved	N;MASC;SG	N;DEF;NEUT;SG
ראש	hoved	ראש	hoved	N;MASC;SG	N;INDF;NEUT;SG
ראש	rus	ראש	rus	N;MASC;SG	N;INDF;MASC+FEM;SG
תל	tlf	תל	tlf	N;MASC;SG	N;INDF;MASC+FEM;SG
ערך	værdien	ערך	værdi	N;MASC;SG	N;DEF;MASC+FEM;SG
ערך	værdi	ערך	værdi	N;MASC;SG	N;INDF;MASC+FEM;SG
אלו	disse	אלו	denne	PRO;PL;3	PRO;PL
זמן	tid	זמן	tid	N;MASC;SG	N;INDF;MASC+FEM;SG
זמן	tidspunkt	זמן	tidspunkt	N;MASC;SG	N;INDF;NEUT;SG
זמן	gang	זמן	gang	N;MASC;SG	N;INDF;MASC+FEM;SG
זמן	klokkeslæt	זמן	klokkeslæt	N;MASC;SG	N;INDF;NEUT;SG
זמן	tiden	זמן	tid	N;MASC;SG	N;DEF;MASC+FEM;SG
בעיקר	hovedsageligt	בעיקר	hovedsageligt	ADV	ADV
בעיקר	primært	בעיקר	primært	ADV	ADV
בעיקר	hovedsagelig	בעיקר	hovedsagelig	ADV	ADV
אתר	website	אתר	website	N;MASC;SG	N;INDF;NEUT;SG
אתר	hjemmeside	אתר	hjemmeside	N;MASC;SG	N;INDF;MASC+FEM;SG
אתר	webside	אתר	webside	N;MASC;SG	N;INDF;MASC+FEM;SG
אתר	hjemmesiden	אתר	hjemmeside	N;MASC;SG	N;DEF;MASC+FEM;SG
אתר	websted	אתר	websted	N;MASC;SG	N;INDF;MASC+FEM;SG
אתר	site	אתר	site	N;MASC;SG	N;INDF;NEUT;SG
אתר	æter	אתר	æte	N;MASC;SG	N;INDF;MASC+FEM;SG
שונים	forskellige	שונה	forskellig	ADJ;MASC;PL	ADJ;PL
