על	despre	על	despre	ADP	ADP;ACC
קטגוריה	categoria	קטגוריה	categorie	N;FEM;SG	N;DEF;FEM;SG
קטגוריה	categorie	קטגוריה	categorie	N;FEM;SG	N;INDF;FEM;SG
עם	cu	עם	cu	ADP	ADP;ACC
גם	prea	גם	prea	ADV	ADV
זה	asta	זה	acesta	PRO;MASC;SG;3	PRO;FEM;SG;3
זה	aceasta	זה	acesta	PRO;MASC;SG;3	PRO;FEM;SG;3
זה	asta	זה	acesta	PRO;MASC;SG;3	PRO;FEM;SG;3
זה	aia	זה	acela	PRO;MASC;SG;3	PRO;FEM;SG;3
היא	ea	הוא	el	PRO;FEM;SG;3	PRO;FEM;SG;3
שיחה	conversatie	שיחה	conversatie	N;FEM;SG	N;INDF;FEM;SG
שיחה	conversație	שיחה	conversație	N;FEM;SG	N;INDF;FEM;SG
שיחה	apel	שיחה	apel	N;FEM;SG	N;INDF;MASC;SG
שיחה	call	שיחה	call	N;FEM;SG	N;INDF;MASC;SG
לאחר	după	לאחר	după	ADP	ADP;ACC
בין	între	בין	între	ADP	ADP;ACC
כי	deoarece	כי	deoarece	CONJ	CONJ;POS
יותר	mai	יותר	mai	ADV	ADV
אך	dar	אך	dar	CONJ	CONJ;POS
עד	până	עד	până	ADP	ADP;ACC
עד	până	עד	până	ADP	ADP;ACC
שם	acolo	שם	acolo	ADV	ADV
בית	beit	בית	beit	N;MASC;SG	N;INDF;MASC;SG
בית	casă	בית	casă	N;MASC;SG	N;INDF;FEM;SG
בית	house	בית	hou	N;MASC;SG	N;INDF;MASC;SG
בית	casa	בית	casă	N;MASC;SG	N;DEF;FEM;SG
בית	casă	בית	casă	N;MASC;SG	N;INDF;FEM;SG
הם	ei	הוא	el	PRO;MASC;PL;3	PRO;MASC;PL;3
הם	ele	הוא	el	PRO;MASC;PL;3	PRO;FEM;PL;3
אחד	unu	אחד	unu	NUM;MASC;SG	NUM;MASC;SG
שמאל	stâng	שמאל	stâng	N;MASC;SG	N;INDF;MASC;SG
שמאל	stânga	שמאל	stângă	N;MASC;SG	N;DEF;FEM;SG
שמאל	stanga	שמאל	stanga	N;MASC;SG	N;DEF;FEM;SG
שמאל	stînga	שמאל	stângă	N;MASC;SG	N;DEF;FEM;SG
קישורים	linkuri	קישורים	link	N;MASC;PL	N;INDF;FEM;PL
קישורים	legaturi	קישורים	legatură	N;MASC;PL	N;INDF;FEM;PL
קישורים	linkurile	קישורים	link	N;MASC;PL	N;DEF;FEM;PL
קישורים	legături	קישורים	legătură	N;MASC;PL	N;INDF;FEM;PL
חיצוניים	externe	חיצוני	extern	ADJ;MASC;PL	ADJ;INDF;FEM;PL
חיצוניים	externi	חיצוני	extern	ADJ;MASC;PL	ADJ;INDF;MASC;PL
מספר	numar	מספר	numar	N;MASC;SG	N;INDF;MASC;SG
מספר	număr	מספר	număr	N;MASC;SG	N;INDF;MASC;SG
מספר	numărul	מספר	număr	N;MASC;SG	N;DEF;MASC;SG
רק	doar	רק	doar	ADV	ADV
רק	numai	רק	numai	ADV	ADV
רק	doar	רק	doar	ADV	ADV
שני	doi	שני	doi	NUM;MASC;PL	NUM;MASC;PL
שני	două	שני	doi	NUM;MASC;PL	NUM;FEM;PL
כן	da	כן	da	ADV	ADV
כן	da	כן	da	ADV	ADV
שנים	ani	שנה	an	N;FEM;PL	N;INDF;MASC;PL
שנים	anii	שנה	an	N;FEM;PL	N;DEF;MASC;PL
אבל	dar	אבל	dar	CONJ	CONJ;POS
אביב	primavara	אביב	primavară	N;MASC;SG	N;DEF;FEM;SG
אביב	primăvară	אביב	primăvară	N;MASC;SG	N;INDF;FEM;SG
אביב	primăvara	אביב	primăvară	N;MASC;SG	N;DEF;FEM;SG
אביב	izvor	אביב	izvor	N;MASC;SG	N;INDF;MASC;SG
אביב	spring	אביב	springe	N;MASC;SG	N;INDF;MASC;SG
במאי	director	במאי	director	N;MASC;SG	N;INDF;MASC;SG
במאי	regizor	במאי	regizor	N;MASC;SG	N;INDF;MASC;SG
שנה	anul	שנה	an	N;FEM;SG	N;DEF;MASC;SG
שנה	an	שנה	an	N;FEM;SG	N;INDF;MASC;SG
הערות	note	הערה	notă	N;FEM;PL	N;INDF;FEM;PL
הערות	comentarii	הערה	comentariu	N;FEM;PL	N;INDF;FEM;PL
הערות	comentariile	הערה	comentariu	N;FEM;PL	N;DEF;FEM;PL
הערות	observații	הערה	observație	N;FEM;PL	N;INDF;FEM;PL
חלק	parte	חלק	parte	N;MASC;SG	N;INDF;FEM;SG
חלק	partea	חלק	parte	N;MASC;SG	N;DEF;FEM;SG
אחת	unu	אחת	unu	NUM;FEM;SG	NUM;MASC;SG
שוליים	margini	שול	margine	N;MASC;PL	N;INDF;FEM;PL
ארצות	țări	ארץ	țară	N;FEM;PL	N;INDF;FEM;PL
ארצות	ţările	ארץ	gară	N;FEM;PL	N;DEF;FEM;PL
ארצות	țările	ארץ	țară	N;FEM;PL	N;DEF;FEM;PL
ארצות	ţări	ארץ	gară	N;FEM;PL	N;INDF;FEM;PL
ראש	cap	ראש	cap	N;MASC;SG	N;INDF;MASC;SG
ראש	capul	ראש	cap	N;MASC;SG	N;DEF;MASC;SG
ראש	rush	ראש	rush	N;MASC;SG	N;INDF;MASC;SG
תל	tel	תל	tel	N;MASC;SG	N;INDF;MASC;SG
בבית	acasa	בבית	acasa		
בבית	home	בבית	homă		
ערך	valoare	ערך	valoare	N;MASC;SG	N;INDF;FEM;SG
ערך	valoarea	ערך	valoare	N;MASC;SG	N;DEF;FEM;SG
אלו	acestea	אלו	acesta	PRO;PL;3	PRO;FEM;PL;3
אלו	astea	אלו	acesta	PRO;PL;3	PRO;FEM;PL;3
זמן	timp	זמן	timp	N;MASC;SG	N;INDF;MASC;SG
זמן	ora	זמן	oră	N;MASC;SG	N;DEF;FEM;SG
זמן	timpul	זמן	timp	N;MASC;SG	N;DEF;MASC;SG
אתר	situl	אתר	sit	N;MASC;SG	N;DEF;MASC;SG
אתר	sit	אתר	sit	N;MASC;SG	N;INDF;MASC;SG
ללא	fără	ללא	fără	ADP	ADP;ACC
שונים	diferite	שונה	diferit	ADJ;MASC;PL	ADJ;INDF;FEM;PL
שונים	diverse	שונה	divers	ADJ;MASC;PL	ADJ;INDF;FEM;PL
רב	rav	רב	rav		
אדם	persoană	אדם	persoană	N;MASC;SG	N;INDF;FEM;SG
אדם	persoana	אדם	persoană	N;MASC;SG	N;DEF;FEM;SG
אדם	om	אדם	om	N;MASC;SG	N;INDF;MASC;SG
אדם	bărbat	אדם	bărbat	N;MASC;SG	N;INDF;MASC;SG
אדם	om	אדם	om	N;MASC;SG	N;INDF;MASC;SG
אדם	omul	אדם	om	N;MASC;SG	N;DEF;MASC;SG
אדם	barbat	אדם	barbat	N;MASC;SG	N;INDF;MASC;SG
עוד	mai	עוד	mai	ADV	ADV
דבר	lucru	דבר	lucru	N;MASC;SG	N;INDF;MASC;SG
ספר	cartii	ספר	carte	N;MASC;SG	N;DEF;FEM;SG
ספר	cartea	ספר	carte	N;MASC;SG	N;DEF;FEM;SG
ספר	carte	ספר	carte	N;MASC;SG	N;INDF;FEM;SG
ספר	barber	ספר	barber	N;MASC;SG	N;INDF;MASC;SG
ספר	frizer	ספר	frizer	N;MASC;SG	N;INDF;MASC;SG
נגד	împotriva	נגד	împotriva	ADP	ADP;GEN
אחרי	după	אחרי	după	ADP	ADP;ACC
הן	ei	הוא	el	PRO;FEM;PL;3	PRO;MASC;PL;3
הן	ele	הוא	el	PRO;FEM;PL;3	PRO;FEM;PL;3
יום	zi	יום	zi	N;MASC;SG	N;INDF;FEM;SG
יום	ziua	יום	zi	N;MASC;SG	N;DEF;FEM;SG
אלה	acestea	אלה	acesta	PRO;MASC;PL;3	PRO;FEM;PL;3
אלה	astea	אלה	acesta	PRO;MASC;PL;3	PRO;FEM;PL;3
כבר	deja	כבר	deja	ADV	ADV
כיום	momentan	כיום	momentan	ADV	ADV
מקום	locul	מקום	loc	N;MASC;SG	N;DEF;MASC;SG
מקום	loc	מקום	loc	N;MASC;SG	N;INDF;MASC;SG
מאוד	foarte	מאוד	foarte	ADV	ADV
יהודים	evreilor	יהודי	evreu	N;MASC;PL	N;DEF;MASC;PL
יהודים	evreii	יהודי	evreu	N;MASC;PL	N;DEF;MASC;PL
יהודים	evrei	יהודי	evreu	N;MASC;PL	N;INDF;MASC;PL
דרך	via	דרך	via		
יחד	împreună	יחד	împreună	ADV	ADV
בעל	soț	בעל	soț	N;MASC;SG	N;INDF;MASC;SG
בעל	soțul	בעל	soț	N;MASC;SG	N;DEF;MASC;SG
בעל	sotul	בעל	sot	N;MASC;SG	N;DEF;MASC;SG
בנוסף	plus	בנוסף	plus	ADV	ADV
תחת	sub	תחת	sub	ADP	ADP;ACC
תמונה	fotografie	תמונה	fotografie	N;FEM;SG	N;INDF;FEM;SG
תמונה	fotografia	תמונה	fotografie	N;FEM;SG	N;DEF;FEM;SG
תמונה	poză	תמונה	poză	N;FEM;SG	N;INDF;FEM;SG
תמונה	imaginea	תמונה	imagine	N;FEM;SG	N;DEF;FEM;SG
תמונה	imagine	תמונה	imagine	N;FEM;SG	N;INDF;FEM;SG
תמונה	poza	תמונה	poză	N;FEM;SG	N;DEF;FEM;SG
תמונה	poză	תמונה	poză	N;FEM;SG	N;INDF;FEM;SG
תמונה	imagine	תמונה	imagine	N;FEM;SG	N;INDF;FEM;SG
כתב	reporterul	כתב	reporter	N;MASC;SG	N;DEF;MASC;SG
כתב	reporter	כתב	reporter	N;MASC;SG	N;INDF;MASC;SG
היום	azi	היום	azi	ADV	ADV
היום	astăzi	היום	astăzi	ADV	ADV
החברה	societatea	החברה	societate	N;FEM;SG	N;DEF;FEM;SG
החברה	societate	החברה	societate	N;FEM;SG	N;INDF;FEM;SG
החברה	companie	החברה	companie	N;FEM;SG	N;INDF;FEM;SG
החברה	compania	החברה	companie	N;FEM;SG	N;DEF;FEM;SG
שונות	diferite	שונה	diferit	ADJ;FEM;PL	ADJ;INDF;FEM;PL
שונות	diverse	שונה	divers	ADJ;FEM;PL	ADJ;INDF;FEM;PL
הארץ	pamant	הארץ	pamant		
מערכת	sistemul	מערכת	sistem	N;FEM;SG	N;DEF;MASC;SG
