המשלוח	expediere	המשלוח	expediere	N;MASC;SG	N;INDF;FEM;SG
פורמלי	formală	פורמאלי	formal	ADJ;MASC;SG	ADJ;INDF;FEM;SG
סיפון	punte	סיפון	punte	N;MASC;SG	N;INDF;FEM;SG
סיפון	puntea	סיפון	puntea	N;MASC;SG	N;DEF;FEM;SG
הש	hesh	הש	hesh		
כותבת	scriind	כתב	scrie	V;FEM;SG;V.PTCP;ACT	V;V.MSDR
חיתוך	tăiere	חיתוך	tăiere	N;MASC;SG	N;INDF;FEM;SG
פסוקים	versuri	פסוק	vers	N;MASC;PL	N;INDF;FEM;PL
הנאה	plăcerea	הנאה	plăcere	N;FEM;SG	N;DEF;FEM;SG
הנאה	placere	הנאה	placere	N;FEM;SG	N;INDF;FEM;SG
הנאה	placerea	הנאה	placere	N;FEM;SG	N;DEF;FEM;SG
הנאה	plăcere	הנאה	plăcere	N;FEM;SG	N;INDF;FEM;SG
קודמת	precedentă	קודם	precedent	ADJ;FEM;SG	ADJ;INDF;FEM;SG
חסד	mercy	חסד	mercy		
אתגר	provocare	אתגר	provocare	N;MASC;SG	N;INDF;FEM;SG
אתגר	provocarea	אתגר	provocare	N;MASC;SG	N;DEF;FEM;SG
נערים	băieți	נער	băiat	N;MASC;PL	N;INDF;MASC;PL
נערים	adolescenti	נער	adolescenti	N;MASC;PL	N;INDF;MASC;PL
נערים	flăcăi	נער	flăcău	N;MASC;PL	N;INDF;MASC;PL
ליישם	implementează	נישם	implementa	V;NFIN;ACT	V;IND;3;PRS;FIN
ליישם	implementeze	נישם	implementa	V;NFIN;ACT	V;SBJV;3;PRS;FIN
צריכת	aportul	צריך	aport	N;FEM;SG	N;DEF;MASC;SG
צריכת	admisie	צריך	admisie	N;FEM;SG	N;INDF;FEM;SG
צריכת	consumul	צריך	consum	N;FEM;SG	N;DEF;MASC;SG
צריכת	consum	צריך	consum	N;FEM;SG	N;INDF;MASC;SG
צריכת	consumului	צריך	consum	N;FEM;SG	N;DEF;MASC;SG
פרוטוקול	protocol	פרוטוקול	protocol	N;MASC;SG	N;INDF;MASC;SG
פרוטוקול	protocolul	פרוטוקול	protocol	N;MASC;SG	N;DEF;MASC;SG
פרסומת	reclamă	פרסומת	reclama	N;FEM;SG	N;INDF;FEM;SG
בהרחבה	extensiv	בהרחבה	extensiv	ADV	ADV
סערה	furtună	סערה	furtună	N;FEM;SG	N;INDF;FEM;SG
סערה	furtuna	סערה	furtună	N;FEM;SG	N;DEF;FEM;SG
סערה	storm	סערה	storm	N;FEM;SG	N;INDF;MASC;SG
מנגן	redarea	מנגן	redare	N;MASC;SG	N;DEF;FEM;SG
מנגן	mangan	מנגן	mangan	N;MASC;SG	N;INDF;MASC;SG
הומור	umorul	הומור	umor	N;MASC;SG	N;DEF;MASC;SG
הומור	umor	הומור	umor	N;MASC;SG	N;INDF;MASC;SG
הומור	umorul	הומור	umor	N;MASC;SG	N;DEF;MASC;SG
הומור	umor	הומור	umor	N;MASC;SG	N;INDF;MASC;SG
