का	de	का	de	ADP;NOM;MASC;SG	ADP
है	está	है	estar	V;IND;SG;3;PRS;FIN;ACT	V
श्रेणी	categoría	श्रेणी	categoría	N;NOM;FEM;SG;3	N
श्रेणी	serie	श्रेणी	serie	N;NOM;FEM;SG;3	N
यह	isto	यह	isto	PRO;NOM;SG;3	PRO
किया	fixo	कर	facer	V;PFV;MASC;SG;V.PTCP;ACT	V
किया	fixen	कर	facer	V;PFV;MASC;SG;V.PTCP;ACT	V
किया	fixemos	कर	facer	V;PFV;MASC;SG;V.PTCP;ACT	V
किया	facer	कर	facer	V;PFV;MASC;SG;V.PTCP;ACT	V
किया	fixeches	कर	fixeche	V;PFV;MASC;SG;V.PTCP;ACT	V
इस	esta	यह	este	DET;ACC;SG;3	DET
इस	este	यह	este	DET;ACC;SG;3	DET
हैं	están	है	estar	V;IND;PL;3;PRS;FIN;ACT	V
जो	quen	जो	quen	PRO;NOM;SG;3	PRO
जो	que	जो	que	PRO;NOM;SG;3	PRO
रूप	forma	रूप	forma	N;NOM;MASC;SG;3	N
रूप	xeito	रूप	xeito	N;NOM;MASC;SG;3	N
नहीं	non	नहीं	non	PART;NEG	PART
नहीं	non	नहीं	non	PART;NEG	PART
नहीं	non	नहीं	non	PART;NEG	PART
या	ou	या	ou	CONJ	CONJ
हो	ser	हो	ser	V;ACT	V
हो	estar	हो	estar	V;ACT	V
हो	veña	हो	vir	V;ACT	V
गया	foi	जा	ser	V;PFV;MASC;SG;V.PTCP;ACT	V
बाद	despois	बाद	despois	ADV;NOM;MASC;SG;3	ADV
बाद	máis	बाद	máis	ADV;NOM;MASC;SG;3	ADV
बाद	logo	बाद	logo	ADV;NOM;MASC;SG;3	ADV
बाद	despois	बाद	despois	ADV;NOM;MASC;SG;3	ADV
बाद	logo	बाद	logo	ADV;NOM;MASC;SG;3	ADV
अपने	túa	अपना	teu	PRO;NOM;MASC	PRO
था	era	था	ser	V;MASC;IND;SG;PST;FIN;ACT	V
था	estaba	था	estar	V;MASC;IND;SG;PST;FIN;ACT	V
राज्य	estados	राज्य	estado	N;NOM;MASC;SG;3	N
राज्य	estado	राज्य	estado	N;NOM;MASC;SG;3	N
कुछ	algúns	कुछ	algún	DET	DET
कुछ	algunhas	कुछ	algún	DET	DET
कुछ	un	कुछ	un	DET	DET
ईसा	xesucristo	ईसा	xesucristo	N;NOM;MASC;SG;3	N
ईसा	xesús	ईसा	xesús	N;NOM;MASC;SG;3	N
ईसा	cristo	ईसा	cristo	N;NOM;MASC;SG;3	N
ईसा	hostia	ईसा	hostia	N;NOM;MASC;SG;3	N
ईसा	dios	ईसा	dio	N;NOM;MASC;SG;3	N
ईसा	deus	ईसा	daus	N;NOM;MASC;SG;3	N
गाँव	aldea	गाँव	aldea	N;NOM;MASC;PL;3	N
गाँव	pobo	गाँव	pobo	N;NOM;MASC;PL;3	N
गाँव	vila	गाँव	vila	N;NOM;MASC;PL;3	N
सरकार	goberno	सरकार	goberno	N;NOM;FEM;SG;3	N
कड़ियाँ	cadeas	कड़ी	cadea	N;NOM;FEM;PL;3	N
कड़ियाँ	enlaces	कड़ी	enlace	N;NOM;FEM;PL;3	N
कड़ियाँ	ligazóns	कड़ी	ligazón	N;NOM;FEM;PL;3	N
प्रदेश	rexión	प्रदेश	rexión	N;NOM;MASC;SG;3	N
दिया	dado	दे	dar	V;PFV;MASC;SG;V.PTCP;ACT	V
दिया	deume	दे	deume	V;PFV;MASC;SG;V.PTCP;ACT	V
दिया	deu	दे	dar	V;PFV;MASC;SG;V.PTCP;ACT	V
वह	el	वह	el	PRO;NOM;SG;3	PRO
वह	que	वह	que	PRO;NOM;SG;3	PRO
वर्ष	anos	वर्ष	ano	N;NOM;MASC;SG;3	N
वर्ष	ano	वर्ष	ano	N;NOM;MASC;SG;3	N
समय	momento	समय	momento	N;NOM;MASC;SG;3	N
समय	tempo	समय	tempo	N;NOM;MASC;SG;3	N
समय	vez	समय	vez	N;NOM;MASC;SG;3	N
समय	hora	समय	hora	N;NOM;MASC;SG;3	N
नाम	nome	नाम	nome	N;NOM;MASC;SG;3	N
वे	que	वह	que	PRO;NOM;SG;3	PRO
वे	eles	वह	el	PRO;NOM;SG;3	PRO
प्रकार	tipo	प्रकार	tipo	N;NOM;MASC;SG;3	N
प्रकार	clase	प्रकार	clase	N;NOM;MASC;SG;3	N
प्रकार	tipo	प्रकार	tipo	N;NOM;MASC;SG;3	N
प्रकार	clase	प्रकार	clase	N;NOM;MASC;SG;3	N
प्रकार	tipos	प्रकार	tipo	N;NOM;MASC;SG;3	N
किसी	alguén	कोई	alguén	PRO;ACC;SG;3	PRO
क्षेत्र	área	क्षेत्र	área	N;NOM;MASC;SG;3	N
क्षेत्र	zona	क्षेत्र	zona	N;NOM;MASC;SG;3	N
क्षेत्र	rexión	क्षेत्र	rexión	N;NOM;MASC;SG;3	N
क्षेत्र	zonas	क्षेत्र	zona	N;NOM;MASC;SG;3	N
क्षेत्र	áreas	क्षेत्र	área	N;NOM;MASC;SG;3	N
कई	moitos	कई	moito	DET	DET
कई	cantas	कई	canto	DET	DET
कई	moitas	कई	moito	DET	DET
कई	varios	कई	varios	DET	DET
कई	varias	कई	varios	DET	DET
आधिकारिक	oficial	आधिकारिक	oficial	ADJ	ADJ
कारण	razóns	कारण	razón	N;NOM;MASC;SG;3	N
कारण	polas	कारण	pola	N;NOM;MASC;SG;3	N
कारण	motivos	कारण	motivo	N;NOM;MASC;SG;3	N
कारण	razón	कारण	razón	N;NOM;MASC;SG;3	N
कारण	motivo	कारण	motivo	N;NOM;MASC;SG;3	N
कारण	pola	कारण	pola	N;NOM;MASC;SG;3	N
कारण	causa	कारण	causa	N;NOM;MASC;SG;3	N
कारण	causa	कारण	causa	N;NOM;MASC;SG;3	N
कारण	causas	कारण	causa	N;NOM;MASC;SG;3	N
होने	ser	हो	ser	V;MASC;NFIN;ACT	V
होने	estar	हो	estar	V;MASC;NFIN;ACT	V
जैसे	coma	जैसे	coma	CONJ	CONJ
करता	fai	कर	facer	V;IPFV;MASC;SG;V.PTCP;ACT	V
उनके	eles	वह	el	PRO;MASC;SG;3;FORM	PRO
पहले	antes	पहले	antes	ADV;NOM;MASC;SG;3	ADV
पहले	antes	पहले	antes	ADV;NOM;MASC;SG;3	ADV
पहले	máis	पहले	máis	ADV;NOM;MASC;SG;3	ADV
पहले	cedo	पहले	cedo	ADV;NOM;MASC;SG;3	ADV
जिला	distrito	जिला	distrito	N;NOM;MASC;SG;3	N
जब	cando	जब	cando	PRO;NOM	PRO
उन्होंने	que	वह	que	PRO;SG;3;FORM	PRO
उन्होंने	eles	वह	el	PRO;SG;3;FORM	PRO
जन्म	luz	जन्म	luz	N;NOM;MASC;SG;3	N
जन्म	nacemento	जन्म	nacemento	N;NOM;MASC;SG;3	N
जन्म	orixe	जन्म	orixe	N;NOM;MASC;SG;3	N
लेकिन	pero	लेकिन	pero	CONJ	CONJ
लेकिन	mais	लेकिन	mais	CONJ	CONJ
ये	isto	यह	isto	PRO;NOM;PL;3	PRO
कहा	dixo	कह	dicir	V;PFV;MASC;SG;V.PTCP;ACT	V
कहा	dixeron	कह	dacer	V;PFV;MASC;SG;V.PTCP;ACT	V
कहा	dixen	कह	dixir	V;PFV;MASC;SG;V.PTCP;ACT	V
लोग	xente	लोग	xente	N;NOM;MASC;PL;3	N
लोग	persoas	लोग	persoa	N;NOM;MASC;PL;3	N
लोग	pobo	लोग	pobo	N;NOM;MASC;PL;3	N
उसके	ela	वह	el	PRO;MASC;SG;3	PRO
प्राचीन	primitivos	प्राचीन	primitivo	ADJ;NOM	ADJ
प्राचीन	primitiva	प्राचीन	primitivo	ADJ;NOM	ADJ
प्राचीन	primitivo	प्राचीन	primitivo	ADJ;NOM	ADJ
प्राचीन	antiga	प्राचीन	antigo	ADJ;NOM	ADJ
प्राचीन	antigas	प्राचीन	antigo	ADJ;NOM	ADJ
देखें	ver	देख	ver	V;SBJV;PL;FIN;ACT	V
देखें	mirade	देख	mirade	V;SBJV;PL;FIN;ACT	V
देखें	ten	देख	ter	V;SBJV;PL;FIN;ACT	V
देखें	ver	देख	ver	V;SBJV;PL;FIN;ACT	V
देखें	vexo	देख	vexo	V;SBJV;PL;FIN;ACT	V
भाषा	idiomas	भाषा	idioma	N;NOM;FEM;SG;3	N
भाषा	linguaxes	भाषा	linguaxe	N;NOM;FEM;SG;3	N
भाषा	linguas	भाषा	lingua	N;NOM;FEM;SG;3	N
भाषा	idioma	भाषा	idioma	N;NOM;FEM;SG;3	N
भाषा	linguaxe	भाषा	linguaxe	N;NOM;FEM;SG;3	N
भाषा	lingua	भाषा	lingua	N;NOM;FEM;SG;3	N
जाने	ir	जा	ir	V;SG;FIN;ACT	V
प्रयोग	experimentos	प्रयोग	experimento	N;NOM;MASC;SG;3	N
प्रयोग	experimento	प्रयोग	experimento	N;NOM;MASC;SG;3	N
प्रयोग	experimentos	प्रयोग	experimento	N;NOM;MASC;SG;3	N
उन्हें	eles	वह	el	PRO;SG;3;FORM	PRO
स्थान	lugares	स्थान	lugar	N;NOM;MASC;SG;3	N
स्थान	sitios	स्थान	sitio	N;NOM;MASC;SG;3	N
स्थान	lugares	स्थान	lugar	N;NOM;MASC;SG;3	N
स्थान	lugar	स्थान	lugar	N;NOM;MASC;SG;3	N
स्थान	casa	स्थान	casa	N;NOM;MASC;SG;3	N
स्थान	sitio	स्थान	sitio	N;NOM;MASC;SG;3	N
प्रमुख	xefe	प्रमुख	xefar	N;NOM;MASC;SG;3	N
गए	marchou	जा	marchar	V;PFV;MASC;PL;V.PTCP;ACT	V
गए	foi	जा	ser	V;PFV;MASC;PL;V.PTCP;ACT	V
थी	era	था	ser	V;FEM;IND;SG;PST;FIN;ACT	V
थी	estaba	था	estar	V;FEM;IND;SG;PST;FIN;ACT	V
उसे	el	वह	el	PRO;SG;3	PRO
उसे	lle	वह	lle	PRO;SG;3	PRO
उसे	ela	वह	el	PRO;SG;3	PRO
कार्य	tarefas	कार्य	tarefa	N;NOM;MASC;SG;3	N
कार्य	traballo	कार्य	traballo	N;NOM;MASC;SG;3	N
कार्य	traballo	कार्य	traballo	N;NOM;MASC;SG;3	N
कार्य	traballos	कार्य	traballo	N;NOM;MASC;SG;3	N
कार्य	traballo	कार्य	traballo	N;NOM;MASC;SG;3	N
कार्य	tarefa	कार्य	tarefa	N;NOM;MASC;SG;3	N
नगर	cidade	नगर	cidade	N;NOM;MASC;SG;3	N
नगर	pobo	नगर	pobo	N;NOM;MASC;SG;3	N
नगर	vila	नगर	vila	N;NOM;MASC;SG;3	N
नगर	aldea	नगर	aldea	N;NOM;MASC;SG;3	N
नगर	cidade	नगर	cidade	N;NOM;MASC;SG;3	N
उपयोग	uso	उपयोग	uso	N;NOM;MASC;SG;3	N
लोगों	xente	लोग	xente	N;ACC;MASC;PL;3	N
लोगों	persoas	लोग	persoa	N;ACC;MASC;PL;3	N
लोगों	pobo	लोग	pobo	N;ACC;MASC;PL;3	N
आधार	base	आधार	base	N;NOM;MASC;SG;3	N
आधार	premisa	आधार	premisar	N;NOM;MASC;SG;3	N
आधार	base	आधार	base	N;NOM;MASC;SG;3	N
काम	traballo	काम	traballo	N;NOM;MASC;SG;3	N
जीवन	vida	जीवन	vida	N;NOM;MASC;SG;3	N
विश्व	mundo	विश्व	mundo	N;NOM;MASC;SG;3	N
निर्माण	creación	निर्माण	creación	N;NOM;MASC;SG;3	N
निर्माण	construción	निर्माण	construción	N;NOM;MASC;SG;3	N
निर्माण	construcción	निर्माण	construcción	N;NOM;MASC;SG;3	N
निर्माण	construtora	निर्माण	construtor	N;NOM;MASC;SG;3	N
गई	foi	जा	ser	V;PFV;FEM;SG;V.PTCP;ACT	V
दोनों	dúas	दो	dous	N;ACC;MASC;PL;3	N
दोनों	dous	दो	dous	N;ACC;MASC;PL;3	N
जानकारी	información	जानकारी	información	N;NOM;FEM;SG;3	N
शहर	los	शहर	lo	N;NOM;MASC;SG;3	N
शहर	centro	शहर	centro	N;NOM;MASC;SG;3	N
शहर	cidade	शहर	cidade	N;NOM;MASC;SG;3	N
शहर	cidades	शहर	cidade	N;NOM;MASC;SG;3	N
बार	reixas	बार	reixa	N;NOM;FEM;SG;3	N
बार	pola	बार	pola	N;NOM;FEM;SG;3	N
बार	taberna	बार	taberno	N;NOM;FEM;SG;3	N
बार	bar	बार	bar	N;NOM;FEM;SG;3	N
बार	veces	बार	vez	N;NOM;FEM;SG;3	N
बार	tempos	बार	tempo	N;NOM;FEM;SG;3	N
फिल्म	película	फिल्म	película	N;NOM;FEM;SG;3	N
फिल्म	filme	फिल्म	filme	N;NOM;FEM;SG;3	N
फिल्म	cine	फिल्म	cinir	N;NOM;FEM;SG;3	N
फिल्म	cinema	फिल्म	cinema	N;NOM;FEM;SG;3	N
फिल्म	película	फिल्म	película	N;NOM;FEM;SG;3	N
फिल्म	filme	फिल्म	filme	N;NOM;FEM;SG;3	N
प्रसिद्ध	famoso	प्रसिद्ध	famoso	ADJ	ADJ
प्रसिद्ध	famosos	प्रसिद्ध	famoso	ADJ	ADJ
प्रसिद्ध	famosa	प्रसिद्ध	famor	ADJ	ADJ
