एक	один	एक	один	NUM	NUM;NOM;MASC
श्रेणी	категория	श्रेणी	категория	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;SG
श्रेणी	серия	श्रेणी	серия	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;SG
भी	даже	भी	даже	PART	PART
भी	тоже	भी	тоже	PART	PART
यह	это	यह	это	PRO;NOM;SG;3	PRO;INAN;NOM;NEUT;SG
किया	сделал	कर	делать	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
किया	сделала	कर	делать	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;FEM;IND;SG;PST;FIN;ACT
जो	кто	जो	кто	PRO;NOM;SG;3	PRO;NOM
ही	хи	ही	хи	PART	PART
रूप	форма	रूप	форма	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
रूप	бланк	रूप	бланк	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
रूप	формуляр	रूप	формуляр	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
रूप	появление	रूप	появление	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
रूप	внешность	रूप	внешность	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
नहीं	не	नहीं	не	PART;NEG	PART
गया	пошла	जा	пойти	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;FEM;IND;SG;PST;FIN;ACT
साथ	вместе	साथ	вместе	ADV;NOM;MASC;SG;3	ADV
बाद	позднее	बाद	поздно	ADV;NOM;MASC;SG;3	ADV;CMPR
बाद	позже	बाद	поздно	ADV;NOM;MASC;SG;3	ADV;CMPR
था	была	था	быть	V;MASC;IND;SG;PST;FIN;ACT	V;IPFV;FEM;IND;SG;PST;FIN;ACT
राज्य	штат	राज्य	штат	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
राज्य	состояние	राज्य	состояние	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
राज्य	государство	राज्य	государство	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
बाहरी	внешняя	बाहरी	внешний	ADJ;NOM	ADJ;NOM;FEM;SG
बाहरी	внешний	बाहरी	внешний	ADJ;NOM	ADJ;NOM;MASC;SG
बाहरी	внешнее	बाहरी	внешний	ADJ;NOM	ADJ;NOM;NEUT;SG
बाहरी	внешние	बाहरी	внешний	ADJ;NOM	ADJ;NOM;PL
बाहरी	внешняя	बाहरी	внешний	ADJ;NOM	ADJ;NOM;FEM;SG
बाहरी	внешний	बाहरी	внешний	ADJ;NOM	ADJ;NOM;MASC;SG
कुछ	некоторых	कुछ	некоторый	DET	DET;GEN;PL
कुछ	некоторые	कुछ	некоторый	DET	DET;NOM;PL
ईसा	иисус	ईसा	иисус	N;NOM;MASC;SG;3	N;ANIM;NOM;MASC;SG
सरकार	правительство	सरकार	правительство	N;NOM;FEM;SG;3	N;INAN;NOM;NEUT;SG
कड़ियाँ	цепи	कड़ी	цепь	N;NOM;FEM;PL;3	N;INAN;NOM;FEM;PL
कड़ियाँ	цепочки	कड़ी	цепочка	N;NOM;FEM;PL;3	N;INAN;NOM;FEM;PL
कड़ियाँ	связи	कड़ी	связь	N;NOM;FEM;PL;3	N;INAN;NOM;FEM;PL
कड़ियाँ	ссылки	कड़ी	ссылка	N;NOM;FEM;PL;3	N;INAN;NOM;FEM;PL
