egy	eine	egy	ein	DET;INDF	DET;NOM;INDF;FEM;SG
ben	ben	ben	ben		
volt	hatte	van	haben	V;INDF;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;PST;FIN
magyar	ungarisch	magyar	ungarisch	ADJ;NOM;SG	ADJ
magyar	ungarischer	magyar	ungarisch	ADJ;NOM;SG	ADJ
első	erster	első	erst	ADJ;NOM;SG	ADJ;NOM;MASC;SG
csak	lediglich	csak	lediglich	ADV	ADV
csak	nur	csak	nur	ADV	ADV
csak	gerade	csak	gerade	ADV	ADV
csak	eben	csak	eben	ADV	ADV
csak	nur	csak	nur	ADV	ADV
csak	einfach	csak	einfach	ADV	ADV
még	überhaupt	még	überhaupt	ADV	ADV
még	selbst	még	selbst	ADV	ADV
még	sogar	még	sogar	ADV	ADV
még	auch	még	auch	ADV	ADV
még	noch	még	noch	ADV	ADV
még	trotzdem	még	trotzdem	ADV	ADV
település	dorf	település	dorf	N;NOM;SG	N;NOM;NEUT;SG
település	abrechnung	település	abrechnung	N;NOM;SG	N;NOM;FEM;SG
település	ansiedlung	település	ansiedlung	N;NOM;SG	N;SG
település	gemeinde	település	gemeinde	N;NOM;SG	N;NOM;FEM;SG
település	kommune	település	kommun	N;NOM;SG	N;NOM;FEM;SG
már	schon	már	schon	ADV	ADV
már	bereits	már	bereits	ADV	ADV
között	zwischen	között	zwischen	ADP	ADP
után	nach	után	nach	ADP	ADP
nagy	groß	nagy	groß	ADJ;NOM;SG	ADJ
nagy	großer	nagy	groß	ADJ;NOM;SG	ADJ
nagy	groß	nagy	groß	ADJ;NOM;SG	ADJ
nagy	großes	nagy	groß	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
személyek	personen	személy	Person	N;NOM;PL	N;NOM;FEM;PL
klub	club	klub	club	N;NOM;SG	N;NOM
klub	klub	klub	klub	N;NOM;SG	N;NOM;MASC;SG
született	geboren	születik	gebären	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
született	geb	születik	geb	V;INDF;IND;SG;3;PST;FIN;ACT	V;V.PTCP
vita	diskussion	vita	diskussion	N;NOM;SG	N
vita	diskussion	vita	diskussion	N;NOM;SG	N
itt	hierher	itt	hierher	ADV	ADV
itt	hier	itt	hier	ADV	ADV
akkor	dann	akkor	dann	ADV	ADV
akkor	damals	akkor	damals	ADV	ADV
akkor	danach	akkor	danach	ADV	ADV
fájl	akten	fájl	akt	N;NOM;SG	N
amerikai	amerikaner	amerikai	amerikaner	ADJ;NOM;SG	ADJ
amerikai	amerikanisches	amerikai	amerikanisch	ADJ;NOM;SG	ADJ;NOM;NEUT;SG
amerikai	amerikanisch	amerikai	amerikanisch	ADJ;NOM;SG	ADJ
német	deutschen	német	deutsch	ADJ;NOM;SG	ADJ
német	deutscher	német	deutsch	ADJ;NOM;SG	ADJ
német	deutsch	német	deutsch	ADJ;NOM;SG	ADJ
kell	benötigen	kell	benötigen	V;INDF;IND;SG;3;PRS;FIN;ACT	V;NFIN
kell	benötigt	kell	benötigen	V;INDF;IND;SG;3;PRS;FIN;ACT	V;V.PTCP
kell	brauchen	kell	brauchen	V;INDF;IND;SG;3;PRS;FIN;ACT	V;NFIN
kell	brauch	kell	brauch	V;INDF;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
kell	braucht	kell	brauchen	V;INDF;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
kell	benötigt	kell	benötigen	V;INDF;IND;SG;3;PRS;FIN;ACT	V;V.PTCP
kell	bedürfnissen	kell	bedürfnissen	V;INDF;IND;SG;3;PRS;FIN;ACT	V;NFIN
csapat	team	csapat	team	N;NOM;SG	N;NOM;NEUT;SG
sem	noch	sem	noch	ADV	ADV
alatt	unterhalb	alatt	unterhalb	ADP	ADP
alatt	unter	alatt	unter	ADP	ADP
második	sekunde	második	sekunde		
mert	weil	mert	weil	CONJ	CONJ
később	nachher	későn	nachher	ADV	ADV
cikkek	satzung	cikk	satzung	N;NOM;PL	N
három	drei	három	drei	NUM;NOM;SG	NUM
nemzetközi	international	nemzetközi	international	ADJ;NOM;SG	ADJ
nemzetközi	internationaler	nemzetközi	international	ADJ;NOM;SG	ADJ
díj	auszeichnung	díj	auszeichnung	N;NOM;SG	N;NOM;FEM;SG
található	gelegen	található	liegen	ADJ;NOM;SG	ADJ;V.PTCP
mellett	neben	mellett	neben	ADP	ADP
től	vom	től	vom		
http	http	http	http		
lásd	see	lásd	see		
király	geile	király	geil		
külső	aussen	külső	außenßen		
külső	externe	külső	extern		
külső	außenhandel	külső	außenhandel		
külső	aussen	külső	außenßen		
előtt	vor	előtt	vor	ADP	ADP
nemzeti	nationaler	nemzeti	national	ADJ;NOM;SG	ADJ
nemzeti	nationalen	nemzeti	national	ADJ;NOM;SG	ADJ;NOM
