csak	ちょうど	csak	ちょうど	ADV	ADV
még	まだ	még	まだ	ADV	ADV
település	村落	település	村落	N;NOM;SG	N
település	ヴィレッジ	település	ヴィレッジ	N;NOM;SG	N
település	決済	település	決済	N;NOM;SG	N
település	集落	település	集落	N;NOM;SG	N
település	市町村	település	市町村	N;NOM;SG	N
már	すでに	már	すでに	ADV	ADV
már	既に	már	既に	ADV	ADV
nagy	大きい	nagy	大きい	ADJ;NOM;SG	ADJ
nagy	大きな	nagy	大きな	ADJ;NOM;SG	ADJ
nagy	大きい	nagy	大きい	ADJ;NOM;SG	ADJ
ország	国名	ország	国名	N;NOM;SG	N
ország	カントリー	ország	カントリー	N;NOM;SG	N
évek	年数	év	年数	N;NOM;PL	N
klub	クラブ	klub	クラブ	N;NOM;SG	N
információk	情報	információ	情報	N;NOM;PL	N
információk	情報	információ	情報	N;NOM;PL	N
vita	ディスカッション	vita	ディスカッション	N;NOM;SG	N
vita	ディベート	vita	ディベート	N;NOM;SG	N
ezt	これ	ez	これ	PRO;ACC;SG;3	PRO
fájl	ファイル	fájl	ファイル	N;NOM;SG	N
azonban	しかし	azonban	しかし	CONJ	CONJ
május	五月	május	五月	N;NOM;SG	N
csapat	チーム	csapat	チーム	N;NOM;SG	N
március	マーチ	március	マーチ	N;NOM;SG	N
március	行進	március	行進	N;NOM;SG	N
szeptember	九月	szeptember	九月	N;NOM;SG	N
június	六月	június	六月	N;NOM;SG	N
október	十月	október	十月	N;NOM;SG	N
február	二月	február	二月	N;NOM;SG	N
cikkek	記事	cikk	記事	N;NOM;PL	N
cikkek	冠詞	cikk	冠詞	N;NOM;PL	N
április	四月	április	四月	N;NOM;SG	N
város	タウン	város	タウン	N;NOM;SG	N
város	都市	város	都市	N;NOM;SG	N
díj	手数	díj	手数	N;NOM;SG	N
díj	料金	díj	料金	N;NOM;SG	N
kép	画像	kép	画像	N;NOM;SG	N
kép	写真	kép	写真	N;NOM;SG	N
kép	画像	kép	画像	N;NOM;SG	N
kép	イメージ	kép	イメージ	N;NOM;SG	N
kép	フォト	kép	フォト	N;NOM;SG	N
kép	写真	kép	写真	N;NOM;SG	N
ezek	これら	ez	これら	PRO;NOM;PL;3	PRO
ezek	これら	ez	これら	PRO;NOM;PL;3	PRO
század	会社	század	会社	N;NOM;SG	N
század	戦隊	század	戦隊	N;NOM;SG	N
század	世紀	század	世紀	N;NOM;SG	N
század	センチュリー	század	センチュリー	N;NOM;SG	N
hivatalos	公式	hivatalos	公式	ADJ;NOM;SG	ADJ
