pilih	διάλεξε	pilih	διαλώ	V;SG;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
impor	εισαγωγή	impor	εισαγωγή	N;SG;ACT	N;NOM;FEM;SG
impor	εισαγωγής	impor	εισαγωγή	N;SG;ACT	N;GEN;FEM;SG
kesan	εντύπωση	kesan	εντύπωση	N;SG	N;NOM;FEM;SG
acak	τυχαίος	acak	τυχαίος	ADJ;SG	ADJ;NOM;MASC;SG
acak	τυχαίο	acak	τυχαίος	ADJ;SG	ADJ;NOM;NEUT;SG
botol	μπουκάλι	botol	μπουκάλι	N;SG	N;NOM;NEUT;SG
botol	φιάλη	botol	φιάλος	N;SG	N;NOM;FEM;SG
syuting	γυρίσματα	syuting	γύρισμα	N	N;NOM;NEUT;PL
syuting	γύρισμα	syuting	γύρισμα	N	N;NOM;NEUT;SG
syuting	γυρισμάτων	syuting	γύρισμα	N	N;GEN;NEUT;PL
kehancuran	ερείπιο	kehancuran	ερείπιο	N;SG	N;NOM;NEUT;SG
kehancuran	καταστροφή	kehancuran	καταστροφή	N;SG	N;ACC;FEM;SG
kenangan	αναδρομή	kenangan	αναδρομή	N;SG	N;NOM;FEM;SG
kenangan	ανάμνηση	kenangan	ανάμνηση	N;SG	N;ACC;FEM;SG
kenangan	μνημη	kenangan	μνημη	N;SG	N;ACC;FEM;SG
kenangan	μνήμη	kenangan	μνήμη	N;SG	N;ACC;FEM;SG
ditembak	πυροβολήθηκε	ditembak	πυροβολώ	V;SG;PASS	V;PFV;IND;SG;3;PST;FIN;PASS
pukulan	γροθιά	pukulan	γροθιά	N;SG	N;ACC;FEM;SG
pukulan	μπουνιά	pukulan	μπουνιά	N;SG	N;NOM;FEM;SG
pukulan	παντς	pukulan	παντς	N;SG	N
romantis	ειδύλλιο	romantis	ειδύλλιο	N;SG	N;NOM;NEUT;SG
romantis	ρομάντζο	romantis	ρομάντζο	N;SG	N;NOM;NEUT;SG
