dan	et	dan	et	CONJ	CONJ
dari	de	dari	de	ADP	ADP
dari	depuis	dari	depuis	ADP	ADP
ini	cette	ini	ce	DET	DET;FEM;SG
dengan	avec	dengan	avec	ADP	ADP
adalah	sont	adalah	être	V	V;IND;PL;3;PRS;FIN
untuk	pour	untuk	pour	ADP	ADP
tahun	annee	tahun	annee	N;SG	N;FEM;SG
tahun	an	tahun	an	N;SG	N;MASC;SG
tahun	année	tahun	année	N;SG	N;FEM;SG
juga	également	juga	également	ADV	ADV
juga	aussi	juga	aussi	ADV	ADV
juga	egalement	juga	egalement	ADV	ADV
menjadi	etre	menjadi	être	V;SG;ACT	V;NFIN
menjadi	deviens	menjadi	devenir	V;SG;ACT	V;IND;SG;2;PRS;FIN
menjadi	devenir	menjadi	devenir	V;SG;ACT	V;NFIN
menjadi	devenant	menjadi	devenir	V;SG;ACT	V;PRS;V.PTCP
menjadi	devenir	menjadi	devenir	V;SG;ACT	V;NFIN
bagian	section	bagian	section	N;SG	N;FEM;SG
bagian	partie	bagian	partie	N;SG	N;FEM;SG
spesies	espèce	spesies	espèce	N;SG	N;FEM;SG
orang	personne	orang	personne	N;SG	N;FEM;SG
luar	exterieur	luar	exterieur	ADJ;SG	ADJ;MASC;SG
mereka	eux	mereka	soi	PRO;PL;3	PRO;MASC;PL;3
mereka	elles	mereka	il	PRO;PL;3	PRO;FEM;PL;3
mereka	ils	mereka	il	PRO;PL;3	PRO;MASC;PL;3
mereka	eux	mereka	soi	PRO;PL;3	PRO;MASC;PL;3
memiliki	avoir	menmiliki	avoir	V;SG;ACT	V;NFIN
kota	ville	kota	ville	N;SG	N;FEM;SG
kota	ville	kota	ville	N;SG	N;FEM;SG
seperti	comme	seperti	comme	ADP	ADP
pranala	lien	pranala	lien	N;SG	N;MASC;SG
pranala	hyperlien	pranala	hyperlien	N;SG	N;MASC;SG
pranala	hypertexte	pranala	hypertexte	N;SG	N;MASC;SG
desa	village	desa	village	N;SG	N;MASC;SG
ada	existe	ada	exister	V;SG	V;IND;SG;3;PRS;FIN
lebih	davantage	lebih	davantage	ADV	ADV
lebih	plus	lebih	plus	ADV	ADV
nama	nom	nama	nom	N;SG	N;MASC;SG
nama	dénomination	nama	dénomination	N;SG	N;FEM;SG
kayu	bois	kayu	bois	N;SG	N;MASC;SG
kayu	bois	kayu	bois	N;SG	N;MASC;SG
bahwa	que	bahwa	que	CONJ	CONJ
setelah	après	setelah	après	ADP	ADP
bahasa	langue	bahasa	langue	N;SG	N;FEM;SG
bahasa	langage	bahasa	langage	N;SG	N;MASC;SG
asteroid	astéroïdes	asteroid	astéroïde	N	N;MASC;PL
asteroid	astéroïde	asteroid	astéroïde	N	N;MASC;SG
asteroid	astéroïdes	asteroid	astéroïde	N	N;MASC;PL
asteroid	astéroïde	asteroid	astéroïde	N	N;MASC;SG
besar	grande	besar	grand	ADJ;SG	ADJ;FEM;SG
besar	grand	besar	grand	ADJ;SG	ADJ;MASC;SG
besar	gros	besar	gros	ADJ;SG	ADJ;MASC;SG
besar	grosse	besar	gros	ADJ;SG	ADJ;FEM;SG
besar	grande	besar	grand	ADJ;SG	ADJ;FEM;SG
besar	grand	besar	grand	ADJ;SG	ADJ;MASC;SG
besar	grande	besar	grand	ADJ;SG	ADJ;FEM;SG
besar	génial	besar	génial	ADJ;SG	ADJ;MASC;SG
besar	grand	besar	grand	ADJ;SG	ADJ;MASC;SG
film	film	film	film	N;SG	N;MASC;SG
film	film	film	film	N;SG	N;MASC;SG
film	cinéma	film	cinéma	N;SG	N;MASC;SG
film	ciné	film	ciné	N;SG	N;MASC;SG
kelas	classe	kelas	classe	N;SG	N;FEM;SG
kecamatan	district	kecamatan	district	N;SG	N;MASC;SG
salah	tort	salah	tort	N;SG	N;MASC;SG
salah	false	salah	false	N;SG	N;MASC;SG
negara	pays	negara	pays	N;SG	N;MASC;SG
negara	etat	negara	etat	N;SG	N;MASC;SG
negara	état	negara	état	N;SG	N;MASC;SG
negara	pays	negara	pays	N;SG	N;MASC;SG
biasanya	habituellement	biasanya	habituellement	ADV	ADV
biasanya	généralement	biasanya	généralement	ADV	ADV
biasanya	typiquement	biasanya	typiquement	ADV	ADV
biasanya	habituellement	biasanya	habituellement	ADV	ADV
biasanya	généralement	biasanya	généralement	ADV	ADV
biasanya	normalement	biasanya	normalement	ADV	ADV
kemudian	ensuite	kemudian	ensuite	ADV	ADV
kemudian	alors	kemudian	alors	ADV	ADV
banyak	beaucoup	banyak	beaucoup	ADV	ADV
banyak	beaucoup	banyak	beaucoup	ADV	ADV
kabupaten	régence	kabupaten	régence	N;SG	N;FEM;SG
kabupaten	regency	kabupaten	regency	N;SG	N;MASC;SG
kabupaten	comté	kabupaten	comté	N;SG	N;MASC;SG
kabupaten	district	kabupaten	district	N;SG	N;MASC;SG
kumbang	coccinelle	kumbang	coccinel	N	N;FEM;SG
kumbang	coccinelle	kumbang	coccinel	N	N;FEM;SG
kumbang	scarabée	kumbang	scaraber	N	N;MASC;SG
lalat	mouche	lalat	mouche	N;SG	N;FEM;SG
genus	genre	genus	genre	N	N;MASC;SG
isi	remplissage	isi	remplissage	N;SG	N;MASC;SG
daftar	liste	daftar	liste	N;SG	N;FEM;SG
baru	nouveau	baru	nouveau	ADJ;SG	ADJ;MASC;SG
baru	nouvelle	baru	nouveau	ADJ;SG	ADJ;FEM;SG
antara	entre	antara	entre	ADP	ADP
barat	occident	barat	occident	N;SG	N;MASC;SG
barat	ouest	barat	ouest	N;SG	N;MASC;SG
barat	ouest	barat	ouest	N;SG	N;MASC;SG
barat	western	barat	western	N;SG	N;MASC;SG
wilayah	région	wilayah	région	N;SG	N;FEM;SG
wilayah	zone	wilayah	zone	N;SG	N;FEM;SG
wilayah	domaine	wilayah	domaine	N;SG	N;MASC;SG
wilayah	région	wilayah	région	N;SG	N;FEM;SG
wilayah	territoire	wilayah	territoire	N;SG	N;MASC;SG
tanggal	date	tanggal	date	N;SG;ACT	N;FEM;SG
dunia	monde	dunia	monde	N;SG	N;MASC;SG
timur	orient	timur	orier	N;SG	N;MASC;SG
tempat	place	tempat	place	N;SG	N;FEM;SG
tempat	endroit	tempat	endroit	N;SG	N;MASC;SG
tempat	lieu	tempat	lieu	N;SG	N;MASC;SG
dua	deux	dua	deux	NUM	NUM
selatan	sud	selatan	sud	N;SG	N;MASC;SG
filum	phylum	filum	phylum	N;SG	N;MASC;SG
september	septembre	september	septembre	N;SG	N;MASC;SG
anak	fils	anak	fils	N;SG	N;MASC;SG
anak	fiston	anak	fiston	N;SG	N;MASC;SG
anak	enfant	anak	enfant	N;SG	N;MASC;SG
anak	enfant	anak	enfant	N;SG	N;MASC;SG
species	espèces	species	espèce	N	N;FEM;PL
species	espèce	species	espèce	N	N;FEM;SG
hidup	vie	hidup	vie	N;SG	N;FEM;SG
hidup	alive	hidup	alive	N;SG	N;MASC;SG
lagu	chant	lagu	chant	N;SG	N;MASC;SG
lagu	chanson	lagu	chanson	N;SG	N;FEM;SG
lagu	chanson	lagu	chanson	N;SG	N;FEM;SG
daerah	district	daerah	district	N;SG	N;MASC;SG
daerah	région	daerah	région	N;SG	N;FEM;SG
daerah	zone	daerah	zone	N;SG	N;FEM;SG
daerah	domaine	daerah	domaine	N;SG	N;MASC;SG
daerah	région	daerah	région	N;SG	N;FEM;SG
daerah	comté	daerah	comté	N;SG	N;MASC;SG
daerah	section	daerah	section	N;SG	N;FEM;SG
sekolah	école	sekolah	école	N;SG	N;FEM;SG
sekolah	ecole	sekolah	ecole	N;SG	N;FEM;SG
sekolah	école	sekolah	école	N;SG	N;FEM;SG
sekolah	scolarité	sekolah	scolarité	N;SG	N;FEM;SG
hanya	uniquement	hanya	uniquement	ADV	ADV
hanya	seulement	hanya	seulement	ADV	ADV
hanya	simplement	hanya	simplement	ADV	ADV
hanya	juste	hanya	juste	ADV	ADV
air	eau	air	eau	N;SG	N;FEM;SG
air	air	air	air	N;SG	N;MASC;SG
terletak	située	terletak	situer	V;SG;PASS	V;FEM;SG;PST;V.PTCP
terletak	localisé	terletak	localiser	V;SG;PASS	V;MASC;SG;PST;V.PTCP
terletak	situé	terletak	situer	V;SG;PASS	V;MASC;SG;PST;V.PTCP
terletak	située	terletak	situer	V;SG;PASS	V;FEM;SG;PST;V.PTCP
terletak	situé	terletak	situer	V;SG;PASS	V;MASC;SG;PST;V.PTCP
hari	journée	hari	journée	N;SG	N;FEM;SG
hari	jour	hari	jour	N;SG	N;MASC;SG
hari	journee	hari	journee	N;SG	N;FEM;SG
digunakan	utilisé	digunakan	utiliser	V;SG;PASS	V;MASC;SG;PST;V.PTCP
digunakan	utilisée	digunakan	utiliser	V;SG;PASS	V;FEM;SG;PST;V.PTCP
kali	temps	kali	temps	N;SG	N;MASC;SG
kali	heure	kali	heure	N;SG	N;FEM;SG
kali	fois	kali	fois	N;SG	N;FEM;SG
sama	égal	sama	égal	ADJ;SG	ADJ;MASC;SG
sama	égale	sama	égal	ADJ;SG	ADJ;FEM;SG
ketika	lorsque	ketika	lorsque	CONJ	CONJ
ketika	quand	ketika	quand	CONJ	CONJ
sangat	très	sangat	très	ADV	ADV
sangat	trés	sangat	trés	ADV	ADV
sangat	fortement	sangat	fortement	ADV	ADV
sangat	extrêmement	sangat	extrêmement	ADV	ADV
album	album	album	album	N;SG	N;MASC;SG
hal	truc	hal	truc	N;SG	N;MASC;SG
hal	chose	hal	chose	N;SG	N;FEM;SG
panjang	longue	panjang	long	ADJ;SG	ADJ;FEM;SG
panjang	long	panjang	long	ADJ;SG	ADJ;MASC;SG
anggota	membre	anggota	membre	N;SG	N;MASC;SG
selama	durant	selama	durant	ADP	ADP
selama	pendant	selama	pendant	ADP	ADP
sejak	depuis	sejak	depuis	ADP	ADP
menggunakan	utiliser	mengunakan	utiliser	V;SG;ACT	V;NFIN
menggunakan	utilisant	mengunakan	utiliser	V;SG;ACT	V;PRS;V.PTCP
menggunakan	utiliser	mengunakan	utiliser	V;SG;ACT	V;NFIN
menggunakan	utilise	mengunakan	utiliser	V;SG;ACT	V;IND;SG;3;PRS;FIN
menggunakan	utilise	mengunakan	utiliser	V;SG;ACT	V;IND;SG;3;PRS;FIN
utama	principal	utama	principal	ADJ;SG	ADJ;MASC;SG
utama	principale	utama	principal	ADJ;SG	ADJ;FEM;SG
utama	primaire	utama	primaire	ADJ;SG	ADJ;MASC;SG
disebut	mentionnée	disebut	mentionner	V;SG;PASS	V;FEM;SG;PST;V.PTCP
disebut	mentionné	disebut	mentionner	V;SG;PASS	V;MASC;SG;PST;V.PTCP
disebut	appelée	disebut	appeler	V;SG;PASS	V;FEM;SG;PST;V.PTCP
disebut	appelé	disebut	appeler	V;SG;PASS	V;MASC;SG;PST;V.PTCP
kembali	retourner	kembali	retourner	V;SG;ACT	V;NFIN
kembali	revenir	kembali	revenir	V;SG;ACT	V;NFIN
kembali	revenir	kembali	revenir	V;SG;ACT	V;NFIN
sudah	déjà	sudah	déjà	ADV;SG;ACT	ADV
menyebabkan	causant	mensebabkan	causer	V;SG;ACT	V;PRS;V.PTCP
masih	encore	masih	encore	ADV	ADV
masih	toujours	masih	toujours	ADV	ADV
lihat	voir	lihat	voir	V;SG;ACT	V;NFIN
lihat	vois	lihat	vois	V;SG;ACT	V;IND;SG;2;PRS;FIN
lihat	regarde	lihat	regarder	V;SG;ACT	V;IND;SG;3;PRS;FIN
lihat	afficher	lihat	afficher	V;SG;ACT	V;NFIN
lihat	vue	lihat	voir	V;SG;ACT	V;FEM;SG;PST;V.PTCP
lihat	voir	lihat	voir	V;SG;ACT	V;NFIN
lihat	visualiser	lihat	visualiser	V;SG;ACT	V;NFIN
tinggi	haut	tinggi	haut	ADJ;SG	ADJ;MASC;SG
tinggi	haute	tinggi	haut	ADJ;SG	ADJ;FEM;SG
tinggi	élevé	tinggi	élevé	ADJ;SG	ADJ;MASC;SG
tinggi	supérieur	tinggi	supérieur	ADJ;SG	ADJ;MASC;SG
waktu	temps	waktu	temps	N;SG	N;MASC;SG
waktu	heure	waktu	heure	N;SG	N;FEM;SG
jenis	type	jenis	type	N;SG	N;MASC;SG
bulan	lune	bulan	lune	N;SG	N;FEM;SG
bulan	mois	bulan	mois	N;SG	N;MASC;SG
bulan	mois	bulan	mois	N;SG	N;MASC;SG
departemen	département	departemen	département	N;SG	N;MASC;SG
situs	site	situs	site	N;SG	N;MASC;SG
dikenal	reconnu	dikenal	reconnaître	V;SG;PASS	V;MASC;SG;PST;V.PTCP
dikenal	reconnue	dikenal	reconnaître	V;SG;PASS	V;FEM;SG;PST;V.PTCP
dikenal	reconnu	dikenal	reconnaître	V;SG;PASS	V;MASC;SG;PST;V.PTCP
dikenal	reconnue	dikenal	reconnaître	V;SG;PASS	V;FEM;SG;PST;V.PTCP
dikenal	connue	dikenal	connaître	V;SG;PASS	V;FEM;SG;PST;V.PTCP
dikenal	connu	dikenal	connaître	V;SG;PASS	V;MASC;SG;PST;V.PTCP
laba	profit	laba	profit	N;SG	N;MASC;SG
laba	bénéfice	laba	bénéfice	N;SG	N;MASC;SG
membuat	créer	menbuat	créer	V;SG;ACT	V;NFIN
membuat	crée	menbuat	créer	V;SG;ACT	V;FEM;SG;PST;V.PTCP
membuat	créer	menbuat	créer	V;SG;ACT	V;NFIN
membuat	faire	menbuat	faire	V;SG;ACT	V;NFIN
mulai	démarrer	mulai	démarrer	V;SG;ACT	V;NFIN
mulai	commencer	mulai	commencer	V;SG;ACT	V;NFIN
