melampaui	transcende	menlampaui	transcend	V;SG;ACT	V;IND;SG;3;PRS;FIN
skema	schemă	skema	schemă	N;SG	N;INDF;FEM;SG
skema	schema	skema	schemă	N;SG	N;DEF;FEM;SG
uzbekistan	uzbec	uzbekistan	uzbec	N	N;INDF;MASC;SG
mendefinisikan	defineste	mendefinisikan	definest	V;SG;ACT	V;IND;SG;3;PRS;FIN
mendefinisikan	definește	mendefinisikan	defini	V;SG;ACT	V;IND;SG;3;PRS;FIN
mendefinisikan	defini	mendefinisikan	defini	V;SG;ACT	V;IND;SG;3;PRS;FIN
mendefinisikan	definește	mendefinisikan	defini	V;SG;ACT	V;IND;SG;3;PRS;FIN
sumbu	fitil	sumbu	fitil	N;SG	N;INDF;MASC;SG
sumbu	axă	sumbu	axă	N;SG	N;INDF;FEM;SG
sumbu	axa	sumbu	axa	N;SG	N;DEF;FEM;SG
lidah	limba	lidah	limbă	N;SG	N;DEF;FEM;SG
lidah	limbă	lidah	limbă	N;SG	N;INDF;FEM;SG
sup	ciorbă	sup	ciorbă	N;SG	N;INDF;FEM;SG
sup	supa	sup	supă	N;SG	N;DEF;FEM;SG
sup	ciorba	sup	ciorbă	N;SG	N;DEF;FEM;SG
sup	supă	sup	supă	N;SG	N;INDF;FEM;SG
demam	febra	demam	febră	N;SG	N;DEF;FEM;SG
demam	febră	demam	febră	N;SG	N;INDF;FEM;SG
pengujian	test	penujian	test	N;SG	N;INDF;MASC;SG
pengujian	testul	penujian	test	N;SG	N;DEF;MASC;SG
pengujian	încercarea	penujian	încercare	N;SG	N;DEF;FEM;SG
pengujian	încercare	penujian	încercare	N;SG	N;INDF;FEM;SG
pengujian	testare	penujian	testare	N;SG	N;INDF;FEM;SG
pengujian	testare	penujian	testare	N;SG	N;INDF;FEM;SG
pengujian	testarea	penujian	testare	N;SG	N;DEF;FEM;SG
hilangnya	disparitia	hilang	disparitie	N;SG	N;DEF;FEM;SG
hilangnya	dispariția	hilang	dispariție	N;SG	N;DEF;FEM;SG
hilangnya	disparitie	hilang	disparitie	N;SG	N;INDF;FEM;SG
email	email	email	email	N	N;INDF;MASC;SG
email	emailuri	email	email	N	N;INDF;FEM;PL
sertifikat	certificat	sertifikat	certificat	N;SG	N;INDF;MASC;SG
sertifikat	certificatul	sertifikat	certificat	N;SG	N;DEF;MASC;SG
paralel	paralela	paralel	paralelă	N	N;DEF;FEM;SG
kuburan	graves	kuburan	graves	N;SG	N;INDF;MASC;SG
kuburan	cimitirul	kuburan	cimitir	N;SG	N;DEF;MASC;SG
kuburan	cimitir	kuburan	cimitir	N;SG	N;INDF;MASC;SG
kuburan	cimitirul	kuburan	cimitir	N;SG	N;DEF;MASC;SG
kuburan	cimitir	kuburan	cimitir	N;SG	N;INDF;MASC;SG
kuburan	mormant	kuburan	mormant	N;SG	N;INDF;MASC;SG
kuburan	mormânt	kuburan	mormânt	N;SG	N;INDF;MASC;SG
benih	sămânță	benih	sămânță	N;SG	N;INDF;FEM;SG
penolakan	respingerea	pentolakan	respingere	N;SG	N;DEF;FEM;SG
penolakan	respingere	pentolakan	respingere	N;SG	N;INDF;FEM;SG
interior	interior	interior	interior	N;SG	N;INDF;MASC;SG
enterprise	întreprindere	enterprise	întreprindere	N	N;INDF;FEM;SG
enterprise	întreprinderea	enterprise	întreprindere	N	N;DEF;FEM;SG
integrasi	integrare	integrasi	integrare	N;SG	N;INDF;FEM;SG
integrasi	integrarea	integrasi	integrare	N;SG	N;DEF;FEM;SG
staff	personalul	staff	personal	N	N;DEF;MASC;SG
staff	staff	staff	staff	N	N;INDF;MASC;SG
output	ieșire	output	ieșire	N	N;INDF;FEM;SG
output	iesire	output	iesire	N	N;INDF;FEM;SG
output	ieșiri	output	ieșire	N	N;INDF;FEM;PL
fisiologi	fiziologia	fisiologi	fiziologie	N	N;DEF;FEM;SG
dinamis	dinamică	dinamis	dinamic	ADJ;SG	ADJ;INDF;FEM;SG
dinamis	dinamic	dinamis	dinamic	ADJ;SG	ADJ;INDF;MASC;SG
animation	animație	animation	animație	N	N;INDF;FEM;SG
cacing	viermele	cacing	viermă	N;SG	N;DEF;MASC;SG
cacing	vierme	cacing	viermă	N;SG	N;INDF;MASC;SG
highland	highland	highland	highland	N	N;INDF;MASC;SG
digit	cifra	digit	cifră	N;SG	N;DEF;FEM;SG
digit	cifră	digit	cifră	N;SG	N;INDF;FEM;SG
krim	crema	krim	cremă	N;SG	N;DEF;FEM;SG
krim	smântână	krim	smântână	N;SG	N;INDF;FEM;SG
krim	crem	krim	crem	N;SG	N;INDF;MASC;SG
krim	cremă	krim	cremă	N;SG	N;INDF;FEM;SG
cerah	luminos	cerah	luminos	ADJ;SG	ADJ;INDF;MASC;SG
cerah	însorită	cerah	însori	ADJ;SG	ADJ;INDF;FEM;SG
cerah	însorit	cerah	însori	ADJ;SG	ADJ;INDF;MASC;SG
berikan	dă	berrikan	da	V;SG;ACT	V;IND;SG;3;PRS;FIN
transformasi	transformarea	transformasi	transformare	N;SG	N;DEF;FEM;SG
transformasi	transformare	transformasi	transformare	N;SG	N;INDF;FEM;SG
kekacauan	haosul	kekacauan	haos	N;SG	N;DEF;MASC;SG
kekacauan	haos	kekacauan	haos	N;SG	N;INDF;MASC;SG
mengenang	amintindu	menkenang	aminti	V;SG;ACT	V;V.MSDR
pilih	selectează	pilih	selecta	V;SG;ACT	V;IND;3;PRS;FIN
impor	importul	impor	import	N;SG;ACT	N;DEF;MASC;SG
impor	import	impor	import	N;SG;ACT	N;INDF;MASC;SG
kesan	impresie	kesan	impresie	N;SG	N;INDF;FEM;SG
botol	sticlă	botol	sticlă	N;SG	N;INDF;FEM;SG
botol	sticla	botol	sticlă	N;SG	N;DEF;FEM;SG
botol	flacon	botol	flacon	N;SG	N;INDF;MASC;SG
syuting	filmarea	syuting	filmare	N	N;DEF;FEM;SG
syuting	filmare	syuting	filmar	N	N;INDF;FEM;SG
kehancuran	devastare	kehancuran	devastare	N;SG	N;INDF;FEM;SG
kehancuran	ruină	kehancuran	ruină	N;SG	N;INDF;FEM;SG
kehancuran	ruina	kehancuran	ruină	N;SG	N;DEF;FEM;SG
kehancuran	distrugere	kehancuran	distrugere	N;SG	N;INDF;FEM;SG
kehancuran	distrugerea	kehancuran	distrugere	N;SG	N;DEF;FEM;SG
kenangan	memorie	kenangan	memorie	N;SG	N;INDF;FEM;SG
kenangan	memoria	kenangan	memorie	N;SG	N;DEF;FEM;SG
kenangan	amintirea	kenangan	amintire	N;SG	N;DEF;FEM;SG
kenangan	amintire	kenangan	amintire	N;SG	N;INDF;FEM;SG
dam	dam	dam	da		
pukulan	pumn	pukulan	pumn	N;SG	N;INDF;MASC;SG
pukulan	punch	pukulan	punch	N;SG	N;INDF;MASC;SG
romantis	romantism	romantis	romantism	N;SG	N;INDF;MASC;SG
beri	dă	beri	da	V;SG;ACT	V;IND;SG;3;PRS;FIN
mendatang	viitoare	mendatang	viitor	ADJ;SG	ADJ;INDF;FEM
agregat	agregare	agregat	agregare	N;SG	N;INDF;FEM;SG
perlombaan	rasa	perlombaan	rasă	N;SG	N;DEF;FEM;SG
perlombaan	cursa	perlombaan	cursă	N;SG	N;DEF;FEM;SG
perlombaan	cursă	perlombaan	cursă	N;SG	N;INDF;FEM;SG
serigala	lupii	serigala	lupe	N	N;DEF;MASC;PL
serigala	lupi	serigala	lupă	N	N;INDF;MASC;PL
serigala	lup	serigala	lup	N	N;INDF;MASC;SG
serigala	lupul	serigala	lup	N	N;DEF;MASC;SG
taksi	taxi	taksi	taxi	N;SG	N;INDF;MASC;SG
taksi	taxiul	taksi	taxiu	N;SG	N;DEF;MASC;SG
taksi	taxi	taksi	taxi	N;SG	N;INDF;MASC;SG
taksi	taxiul	taksi	taxiu	N;SG	N;DEF;MASC;SG
wabah	focar	wabah	focar	N;SG	N;INDF;MASC;SG
wabah	epidemie	wabah	epidemie	N;SG	N;INDF;FEM;SG
wabah	ciumă	wabah	ciumă	N;SG	N;INDF;FEM;SG
wabah	ciuma	wabah	ciumă	N;SG	N;DEF;FEM;SG
wabah	plagă	wabah	plagă	N;SG	N;INDF;FEM;SG
wabah	epidemie	wabah	epidemie	N;SG	N;INDF;FEM;SG
wabah	epidemia	wabah	epidemie	N;SG	N;DEF;FEM;SG
financial	financial	financial	financial	N	N;INDF;MASC;SG
lilin	lumânarea	lilin	lumânare	N;SG	N;DEF;FEM;SG
lilin	lumânare	lilin	lumânar	N;SG	N;INDF;FEM;SG
lilin	ceara	lilin	ceară	N;SG	N;DEF;FEM;SG
laras	butoi	laras	butoi	N	N;INDF;MASC;SG
patroli	patrulă	patroli	patrulă	N;SG	N;INDF;FEM;SG
patroli	patrula	patroli	patrulă	N;SG	N;DEF;FEM;SG
patroli	patrulare	patroli	patrular	N;SG	N;INDF;FEM;SG
mutlak	absolută	mutlak	absolut	ADJ;SG	ADJ;INDF;FEM;SG
plasma	plasma	plasma	plasmă	N	N;DEF;FEM;SG
plasma	plasmă	plasma	plasmă	N	N;INDF;FEM;SG
produktif	productiv	produktif	productiv	ADJ;SG	ADJ;INDF;MASC;SG
produktif	productivă	produktif	productivă	ADJ;SG	ADJ;INDF;FEM;SG
bandingkan	compară	bandingkan	compara	V;SG;ACT	V;IND;SG;3;PST;FIN
bandingkan	compara	bandingkan	compara	V;SG;ACT	V;IND;SG;3;IPFV;FIN
pelaut	sailor	penlaut	sau	N;SG	N;INDF;MASC
pelaut	marinar	penlaut	marinar	N;SG	N;INDF;MASC;SG
pelaut	marinar	penlaut	marinar	N;SG	N;INDF;MASC;SG
pelaut	seamăn	penlaut	seamăn	N;SG	N;INDF;MASC;SG
perkantoran	oficiu	perkantoran	oficiu	N;SG	N;INDF;MASC;SG
perkantoran	biroul	perkantoran	birou	N;SG	N;DEF;MASC;SG
perkantoran	oficiul	perkantoran	oficiu	N;SG	N;DEF;MASC;SG
perkantoran	birou	perkantoran	birou	N;SG	N;INDF;MASC;SG
utang	datorie	utang	datorie	N;SG	N;INDF;FEM;SG
pecinta	iubitul	pecinta	iubit	N;SG	N;DEF;MASC;SG
pecinta	amant	pecinta	amant	N;SG	N;INDF;MASC;SG
tayangan	impresie	tayangan	impresie	N;SG	N;INDF;FEM;SG
hikayat	saga	hikayat	sagă	N	N;DEF;FEM;SG
kelanjutan	continuarea	kelanjutan	continuare	N;SG	N;DEF;FEM;SG
kelanjutan	continuare	kelanjutan	continuare	N;SG	N;INDF;FEM;SG
menyelidiki	investighez	menselidiki	investighez	V;SG;ACT	V;IND;SG;1;PRS;FIN
menyelidiki	investiga	menselidiki	investiga	V;SG;ACT	V;IND;SG;3;IPFV;FIN
menyelidiki	investighează	menselidiki	investighea	V;SG;ACT	V;IND;3;PRS;FIN
orientasi	orientare	orientasi	orientare	N;SG	N;INDF;FEM;SG
orientasi	orientarea	orientasi	orientare	N;SG	N;DEF;FEM;SG
bir	bere	bir	bere	N;SG	N;INDF;FEM;SG
bir	berea	bir	bere	N;SG	N;DEF;FEM;SG
rusa	cerb	rusa	cerb	N	N;INDF;MASC;SG
rusa	elan	rusa	elan	N	N;INDF;MASC;SG
rusa	elanul	rusa	elan	N	N;DEF;MASC;SG
rusa	cerbi	rusa	cerb	N	N;INDF;MASC;PL
rusa	căprioare	rusa	căprioară	N	N;INDF;FEM;PL
rusa	cerb	rusa	cerb	N	N;INDF;MASC;SG
rusa	căprioară	rusa	căprioară	N	N;INDF;FEM;SG
bahu	umăr	bahu	umăr	N;SG	N;INDF;MASC;SG
bahu	umar	bahu	umar	N;SG	N;INDF;MASC;SG
bahu	umărul	bahu	umăr	N;SG	N;DEF;MASC;SG
berlari	rulează	berlari	rula	V;SG;ACT	V;IND;3;PRS;FIN
berlari	alergând	berlari	alerga	V;SG;ACT	V;V.MSDR
residen	locuitor	residen	locuitor	N	N;INDF;MASC;SG
residen	rezident	residen	rezident	N	N;INDF;MASC;SG
residen	rezidentă	residen	rezident	N	N;INDF;FEM;SG
residen	prefect	residen	prefect	N	N;INDF;MASC;SG
residen	prefectul	residen	prefect	N	N;DEF;MASC;SG
referendum	referendumul	referendum	referendum	N	N;DEF;MASC;SG
referendum	referendum	referendum	referendum	N	N;INDF;MASC;SG
sindrom	sindromul	sindrom	sindrom	N	N;DEF;MASC;SG
sindrom	sindrom	sindrom	sindrom	N	N;INDF;MASC;SG
sajak	rima	sajak	rimă	N	N;DEF;FEM;SG
sajak	rimă	sajak	rimă	N	N;INDF;FEM;SG
sajak	rime	sajak	rimă	N	N;INDF;FEM;PL
kejayaan	triumful	kejayaan	triumf	N;SG	N;DEF;MASC;SG
kejayaan	triumf	kejayaan	triumf	N;SG	N;INDF;MASC;SG
elit	elita	elit	elita	N;SG	N;DEF;FEM;SG
elit	elită	elit	elită	N;SG	N;INDF;FEM;SG
jujur	onest	jujur	onest	ADJ;SG	ADJ;INDF;MASC;SG
jujur	cinstit	jujur	cinsti	ADJ;SG	ADJ;INDF;MASC;SG
instalasi	instalație	instalasi	instalație	N;SG	N;INDF;FEM;SG
instalasi	montare	instalasi	montare	N;SG	N;INDF;FEM;SG
instalasi	instalarea	instalasi	instalare	N;SG	N;DEF;FEM;SG
instalasi	instalare	instalasi	instalare	N;SG	N;INDF;FEM;SG
instalasi	instalarea	instalasi	instalare	N;SG	N;DEF;FEM;SG
lencana	insigna	lencana	insigna	N;SG	N;DEF;FEM;SG
lencana	ecuson	lencana	ecuson	N;SG	N;INDF;MASC;SG
lencana	insignă	lencana	insigna	N;SG	N;INDF;FEM;SG
lembar	foaie	lembar	foaie	N;SG	N;INDF;FEM;SG
kelautan	marin	kelautan	marin	N;SG	N;INDF;MASC;SG
kelautan	marină	kelautan	marină	N;SG	N;INDF;FEM;SG
kelautan	nautic	kelautan	nautic	N;SG	N;INDF;MASC;SG
bayangan	shadow	bayangan	shadow	N;SG	N;INDF;MASC;SG
bayangan	umbră	bayangan	umbră	N;SG	N;INDF;FEM;SG
bayangan	umbra	bayangan	umbră	N;SG	N;DEF;FEM;SG
keberadaannya	existenta	keberadaan	existent	N;SG	N;DEF;FEM;SG
keberadaannya	existența	keberadaan	existență	N;SG	N;DEF;FEM;SG
keberadaannya	existență	keberadaan	existență	N;SG	N;INDF;FEM;SG
waris	moștenitor	waris	moștenitor	N;SG	N;INDF;MASC;SG
waris	mostenitor	waris	mostenitor	N;SG	N;INDF;MASC;SG
keterbatasan	limitare	keterbatasan	limitare	N;SG	N;INDF;FEM;SG
keterbatasan	limitarea	keterbatasan	limitare	N;SG	N;DEF;FEM;SG
mitsubishi	mitsubishi	mitsubishi	mitsubish	N	N;INDF;MASC;SG
torpedo	torpila	torpedo	torpilă	N	N;DEF;FEM;SG
torpedo	torpilă	torpedo	torpil	N	N;INDF;FEM;SG
torpedo	torpilele	torpedo	torpil	N	N;DEF;FEM;PL
torpedo	torpile	torpedo	torp	N	N;INDF;FEM;PL
busur	arc	busur	arc	N;SG	N;INDF;MASC;SG
busur	arc	busur	arc	N;SG	N;INDF;MASC;SG
busur	plecăciune	busur	plecăciune	N;SG	N;INDF;FEM;SG
busur	arcul	busur	arc	N;SG	N;DEF;MASC;SG
persenjataan	armament	persenjataan	armament	N;SG	N;INDF;MASC;SG
kantong	buzunar	kantong	buzunar	N;SG	N;INDF;MASC;SG
kantong	buzunarul	kantong	buzunar	N;SG	N;DEF;MASC;SG
kantong	sac	kantong	sac	N;SG	N;INDF;MASC;SG
kantong	punga	kantong	pungă	N;SG	N;DEF;FEM;SG
kantong	pungă	kantong	pungă	N;SG	N;INDF;FEM;SG
kantong	geanta	kantong	geantă	N;SG	N;DEF;FEM;SG
kelayakan	eligibilitatea	kelayakan	eligibilitate	N;SG	N;DEF;FEM;SG
kelayakan	eligibilitate	kelayakan	eligibilitate	N;SG	N;INDF;FEM;SG
kelayakan	fezabilitate	kelayakan	fezabilitate	N;SG	N;INDF;FEM;SG
fisikawan	fizicianul	fisikawan	fizician	N;MASC;SG	N;DEF;MASC;SG
fisikawan	fizician	fisikawan	fizician	N;MASC;SG	N;INDF;MASC;SG
robinson	robinson	robinson	robinson	N	N;INDF;MASC;SG
depresi	depresie	depresi	depresie	N;SG	N;INDF;FEM;SG
depresi	depresia	depresi	depresie	N;SG	N;DEF;FEM;SG
pembaruan	reînnoire	penbaruan	reînnoire	N;SG	N;INDF;FEM;SG
pembaruan	reînnoirea	penbaruan	reînnoire	N;SG	N;DEF;FEM;SG
pembaruan	actualizarea	penbaruan	actualizare	N;SG	N;DEF;FEM;SG
pembaruan	actualizare	penbaruan	actualizare	N;SG	N;INDF;FEM;SG
pengecualian	excepție	pengecualian	excepție	N;SG	N;INDF;FEM;SG
pengecualian	exceptie	pengecualian	exceptie	N;SG	N;INDF;FEM;SG
pengecualian	excluderea	pengecualian	excludere	N;SG	N;DEF;FEM;SG
