まで	bis	まで	bis	ADP	ADP
大学	hochschule	大学	hochschule	N	N;NOM;FEM;SG
大学	hochschulen	大学	hochschulen	N	N;NOM;FEM;PL
大学	universitäten	大学	universitäten	N	N;NOM;PL
大学	hochschule	大学	hochschule	N	N;NOM;FEM;SG
大学	universitäten	大学	universitäten	N	N;NOM;PL
大学	hochschule	大学	hochschule	N	N;NOM;FEM;SG
大学	fachhochschulen	大学	fachhochschulen	N	N;NOM;FEM;PL
大学	hochschulen	大学	hochschulen	N	N;NOM;FEM;PL
大学	universitäten	大学	universitäten	N	N;NOM;PL
放送	übertragung	放送	übertragung	V	V;IND;SG;3;PRS;FIN
放送	übertragen	放送	übertragen	V	V;V.PTCP
削除	gelöscht	削除	löschen	V	V;V.PTCP
削除	gestrichen	削除	gestrechen	V	V;V.PTCP
削除	löschen	削除	löschen	V	V;NFIN
削除	löschen	削除	löschen	V	V;NFIN
削除	entfernen	削除	entfernen	V	V;NFIN
削除	entferne	削除	entfernen	V	V;SG;FIN
削除	löschen	削除	löschen	V	V;NFIN
削除	entfernen	削除	entfernen	V	V;NFIN
削除	lösche	削除	lösche	V	V;SG;FIN
学校	schule	学校	schule	N	N;NOM;FEM;SG
学校	schule	学校	schule	N	N;NOM;FEM;SG
これ	dieser	これ	dies	PRO	PRO;NOM;MASC;SG
これ	diese	これ	dies	PRO	PRO;NOM;FEM;SG
これ	das	これ	der	PRO	PRO;NOM;NEUT;SG
世界	welt	世界	welt	N	N;NOM;FEM;SG
でも	aber	でも	aber	CONJ	CONJ
について	über	について	über	ADP	ADP
作品	bauleistungen	作品	bauleistung	N	N;NOM;FEM;PL
作品	werke	作品	werk	N	N;NOM;NEUT;PL
時代	ära	時代	ära	N	N;NOM;FEM;SG
映画	kino	映画	kino	N	N;NOM;NEUT;SG
映画	kino	映画	kino	N	N;NOM;NEUT;SG
映画	kino	映画	kino	N	N;NOM;NEUT;SG
監督	betreuung	監督	betreuung	N	N;SG
監督	überwachung	監督	überwachung	N	N;SG
鉄道	eisenbahnen	鉄道	eisenbahnen	N	N;NOM;FEM;PL
鉄道	bahnlinie	鉄道	bahnlinie	N	N;NOM;SG
鉄道	schiene	鉄道	schienen	N	N
鉄道	eisenbahnen	鉄道	eisenbahnen	N	N;NOM;FEM;PL
鉄道	eisenbahnen	鉄道	eisenbahnen	N	N;NOM;FEM;PL
使用	benutzen	使用	benutzen	V	V;NFIN
使用	verwenden	使用	verwenden	V	V;NFIN
出演	auftritte	出演	auftritten	V	V;IND;SG;3;PST;FIN
出演	auftritten	出演	auftreten	V	V;IND;PL;3;FIN
