この	این	この	این	DET	DET
まで	تا	まで	تا	ADP	ADP
まで	تا	まで	تا	ADP	ADP
また	همچنین	また	همچنین	CONJ	CONJ
もの	اوضاع	もの	وضع	N	N;PL
もの	چیز	もの	چیز	N	N;SG
もの	چیزها	もの	چیز	N	N;PL
大学	دانشگاههای	大学	دانشگاه	N	N;PL
大学	دانشگاهها	大学	دانشگاه	N	N;PL
大学	دانشگاه	大学	دانشگاه	N	N;SG
大学	qom	大学	qom	N	N;SG
大学	کالج	大学	None	N	N;SG
大学	دانشکده	大学	دانشکده	N	N;SG
大学	دانشگاه	大学	دانشگاه	N	N;SG
大学	دانشگاهی	大学	دانشگاهی	N	N;SG
テレビ	تلویزیون	テレビ	تلویزیون	N	N;SG
現在	جریان	現在	جریان	N	N;SG
現在	هدیه	現在	هدیه	N	N;SG
学校	مدارس	学校	None	N	N;PL
学校	مدرسه	学校	مدرسه	N	N;SG
学校	مکتب	学校	مکتب	N	N;SG
世界	جهان	世界	جهان	N	N;SG
世界	دنیا	世界	دنیا	N	N;SG
世界	جهانی	世界	جهانی	N	N;SG
でも	ولی	でも	ولی	CONJ	CONJ
でも	اما	でも	اما	CONJ	CONJ
について	درباره	について	درباره	ADP	ADP
について	دربارۀ	について	دربارۀ	ADP	ADP
時代	دوران	時代	دوره	N	N;SG
時代	عصری	時代	عصری	N	N;SG
映画	فیلمی	映画	فیلم	N	N;SG
映画	فیلم	映画	فیلم	N	N;SG
映画	سینما	映画	سینما	N	N;SG
映画	سینمای	映画	سینما	N	N;SG
映画	cinema	映画	cinema	N	N;SG
映画	فیلم	映画	فیلم	N	N;SG
映画	سینما	映画	سینما	N	N;SG
映画	فیلمهایی	映画	فیلم	N	N;PL
映画	فیلم	映画	فیلم	N	N;SG
映画	فیلمها	映画	فیلم	N	N;PL
監督	director	監督	director	N	N;SG
監督	کارگردان	監督	کارگردان	N	N;SG
監督	نظارت	監督	نظارت	N	N;SG
監督	سرپرستی	監督	سرپرستی	N	N;SG
出演	بیندازید	出演	None	V	V;SBJV;PL;2;PRS
明治	میجی	明治	میجی	N	N;SG
時間	ساعتها	時間	ساعت	N	N;PL
時間	ساعتهای	時間	ساعت	N	N;PL
時間	ساعات	時間	ساعت	N	N;PL
時間	ساعت	時間	ساعت	N	N;SG
時間	ساعتی	時間	ساعت	N	N;SG
時間	ساعت	時間	ساعت	N	N;SG
時間	زمان	時間	زمان	N	N;SG
時間	تایم	時間	تایم	N	N;SG
シリーズ	سری	シリーズ	سری	N	N;SG
記事	مطلب	記事	مطلب	N	N;SG
記事	مقالۀ	記事	مقالۀ	N	N;SG
記事	مقاله	記事	مقاله	N	N;SG
記事	داستان	記事	داستان	N	N;SG
記事	داستانی	記事	داستان	N	N;SG
記事	قصه	記事	None	N	N;SG
記事	داستان	記事	داستان	N	N;SG
記事	داستانها	記事	داستان	N	N;PL
記事	مقالات	記事	مقاله	N	N;PL
記事	مقاله	記事	مقاله	N	N;SG
選手	بازیکنان	選手	بازیکن	N	N;PL
選手	بازیکن	選手	بازیکن	N	N;SG
選手	ورزشکاران	選手	ورزشکار	N	N;PL
しかし	ولی	しかし	ولی	CONJ	CONJ
しかし	اما	しかし	اما	CONJ	CONJ
大会	کنوانسیون	大会	کنوانسیون	N	N;SG
大会	همایش	大会	همایش	N	N;SG
チーム	تیمهای	チーム	تیم	N	N;PL
チーム	تیم	チーム	تیم	N	N;SG
チーム	تیمی	チーム	تیم	N	N;SG
作詞	شعر	作詞	شعر	N	N;SG
作詞	شعرای	作詞	شاعر	N	N;PL
国際	اینترنشنال	国際	اینترنشنال	N	N;SG
国際	بینالمللی	国際	بینالمللی	N	N;SG
国際	جهانی	国際	جهانی	N	N;SG
一部	بعضیها	一部	بعضی	N	N;PL
結果	نتیجه	結果	نتیجه	N	N;SG
結果	حاصل	結果	حاصل	N	N;SG
結果	نتایج	結果	نتیجه	N	N;PL
結果	نتیجه	結果	نتیجه	N	N;SG
