この	這	この	這	DET	DET
まで	直到	まで	直到	ADP	ADP
もの	事情	もの	事情	N	N
大学	大學	大学	大學	N	N
大学	大學	大学	大學	N	N
大学	學院	大学	學院	N	N
大学	書院	大学	書院	N	N
大学	大學	大学	大學	N	N
大学	學院	大学	學院	N	N
大学	院校	大学	院校	N	N
テレビ	電視	テレビ	電視	N	N
テレビ	電視	テレビ	電視	N	N
テレビ	電視	テレビ	電視	N	N
放送	直播	放送	直播	V	V
放送	播放	放送	播放	V	V
放送	播出	放送	播出	V	V
放送	放送	放送	放送	V	V
削除	刪除	削除	刪除	V	V
削除	刪除	削除	刪除	V	V
削除	刪除	削除	刪除	V	V
削除	刪除	削除	刪除	V	V
削除	移除	削除	移除	V	V
削除	刪除	削除	刪除	V	V
削除	刪去	削除	刪去	V	V
現在	電流	現在	電流	N	N
現在	現任	現在	現任	N	N
現在	目前	現在	目前	N	N
現在	目前	現在	目前	N	N
現在	現任	現在	現任	N	N
学校	學校	学校	學校	N	N
学校	學校	学校	學校	N	N
これ	這	これ	這	PRO	PRO
世界	世界	世界	世界	N	N
について	關於	について	關於	ADP	ADP
作品	工程	作品	工程	N	N
作品	作品	作品	作品	N	N
映画	電影	映画	電影	N	N
映画	影片	映画	影片	N	N
映画	電影	映画	電影	N	N
映画	電影	映画	電影	N	N
映画	戲院	映画	戲院	N	N
映画	電影	映画	電影	N	N
映画	膠片	映画	膠片	N	N
映画	影片	映画	影片	N	N
映画	電影	映画	電影	N	N
監督	主任	監督	主任	N	N
監督	司長	監督	司長	N	N
監督	監督	監督	監督	N	N
監督	監管	監督	監管	N	N
監督	督導	監督	督導	N	N
鉄道	鐵路	鉄道	鐵路	N	N
鉄道	鐵路	鉄道	鐵路	N	N
鉄道	鐵道	鉄道	鐵道	N	N
鉄道	鐵路	鉄道	鐵路	N	N
鉄道	鐵道	鉄道	鐵道	N	N
鉄道	鐵路	鉄道	鐵路	N	N
鉄道	鐵道	鉄道	鐵道	N	N
使用	利用	使用	利用	V	V
使用	使用	使用	使用	V	V
時間	小時	時間	小時	N	N
時間	時辰	時間	時辰	N	N
時間	小時	時間	小時	N	N
時間	時光	時間	時光	N	N
時間	時間	時間	時間	N	N
シリーズ	系列	シリーズ	系列	N	N
のみ	只有	のみ	只有	ADP	ADP
記事	動態	記事	動態	N	N
記事	故事	記事	故事	N	N
記事	故事	記事	故事	N	N
記事	動態	記事	動態	N	N
記事	文章	記事	文章	N	N
選手	球員	選手	球員	N	N
選手	玩家	選手	玩家	N	N
研究	研究	研究	研究	V	V
研究	研究	研究	研究	V	V
チーム	團隊	チーム	團隊	N	N
チーム	球隊	チーム	球隊	N	N
チーム	隊伍	チーム	隊伍	N	N
チーム	團隊	チーム	團隊	N	N
チーム	球隊	チーム	球隊	N	N
チーム	隊伍	チーム	隊伍	N	N
存在	存在	存在	存在	V	V
作詞	歌詞	作詞	歌詞	N	N
所属	隸屬	所属	隸屬	V	V
国際	國際	国際	國際	N	N
一部	局部	一部	局部	N	N
一部	部分	一部	部分	N	N
結果	結果	結果	結果	N	N
結果	成果	結果	成果	N	N
結果	結果	結果	結果	N	N
アルバム	相簿	アルバム	相簿	N	N
アルバム	專輯	アルバム	專輯	N	N
アルバム	相簿	アルバム	相簿	N	N
アルバム	專輯	アルバム	專輯	N	N
ゲーム	比賽	ゲーム	比賽	N	N
ゲーム	遊戲	ゲーム	遊戲	N	N
ゲーム	遊戲	ゲーム	遊戲	N	N
問題	問題	問題	問題	N	N
リーグ	聯盟	リーグ	聯盟	N	N
リーグ	同盟	リーグ	同盟	N	N
リーグ	聯賽	リーグ	聯賽	N	N
利用	兌換	利用	兌換	V	V
開発	發展	開発	發展	V	V
事業	企業	事業	企業	N	N
事業	業務	事業	業務	N	N
事業	商業	事業	商業	N	N
事業	商務	事業	商務	N	N
決定	決定	決定	決定	V	V
