par	אודות	par	אודות		
bija	היה	būt	היה	V;FH;IND;3;POS;PST;FIN;ACT	V;MASC;SG;3;POS;PST
bija	הייתה	būt	היה	V;FH;IND;3;POS;PST;FIN;ACT	V;FEM;SG;3;POS;PST
bija	היתה	būt	היה	V;FH;IND;3;POS;PST;FIN;ACT	V;FEM;SG;3;POS;PST
pēc	אחרי	pēc	אחרי	ADP	ADP
pēc	לאחר	pēc	לאחר	ADP	ADP
bet	אך	bet	אך	CONJ	CONJ
bet	אבל	bet	אבל	CONJ	CONJ
saites	עניבות	saite	עניבות	N;NOM;FEM;PL	N;FEM;PL
saites	קישורים	saite	קישורים	N;NOM;FEM;PL	N;MASC;PL
tas	זה	tas	זה	PRO;NOM;MASC;SG	PRO;MASC;SG;3
tas	זה	tas	זה	PRO;NOM;MASC;SG	PRO;MASC;SG;3
dzimis	נולדת	dzimt	נולדת	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;FEM;SG;V.PTCP;MID
dzimis	נולדתי	dzimt	נולדתי	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;SG;1;PST;MID
dzimis	נולד	dzimt	נולד	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;MASC;SG;3;PST;MID
dzimis	נולדה	dzimt	נולד	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;FEM;SG;3;PST;MID
valsts	מדינה	valsts	מדינה	N;NOM;FEM;SG	N;FEM;SG
valsts	ארץ	valsts	ארץ	N;NOM;FEM;SG	N;FEM;SG
valsts	מדינה	valsts	מדינה	N;NOM;FEM;SG	N;FEM;SG
viņa	היא	viņa	הוא	PRO;NOM;FEM;SG;3	PRO;FEM;SG;3
kad	מתי	kad	מתי	ADV	ADV
gadu	שנת	gads	שנה	N;ACC;MASC;SG	N;PSSD;FEM;SG
gadu	שנה	gads	שנה	N;ACC;MASC;SG	N;FEM;SG
pilsētas	ערים	pilsēta	עיר	N;NOM;FEM;PL	N;FEM;PL
pilsētas	עיירות	pilsēta	עיירה	N;NOM;FEM;PL	N;FEM;PL
pilsētas	ערים	pilsēta	עיר	N;NOM;FEM;PL	N;FEM;PL
kur	לאן	kur	לאן	ADV	ADV
kur	איפה	kur	איפה	ADV	ADV
kur	היכן	kur	היכן	ADV	ADV
vieta	מקום	vieta	מקום	N;NOM;FEM;SG	N;MASC;SG
vieta	מקום	vieta	מקום	N;NOM;FEM;SG	N;MASC;SG
vieta	המיקום	vieta	המיקום	N;NOM;FEM;SG	N;MASC;SG
vieta	מיקום	vieta	מיקום	N;NOM;FEM;SG	N;MASC;SG
vieta	אתר	vieta	אתר	N;NOM;FEM;SG	N;MASC;SG
kara	מלחמה	karš	מלחמה	N;NOM;MASC;SG	N;FEM;SG
iela	רחוב	iela	רחוב	N;NOM;FEM;SG	N;MASC;SG
jau	כבר	jau	כבר	ADV	ADV
miris	נפטר	mirt	נפטר	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;MASC;SG;3;PST;MID
miris	נפטרה	mirt	נפטר	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;FEM;SG;3;PST;MID
kopā	יחד	kopā	יחד	ADV	ADV
kopā	יחדיו	kopā	יחדיו	ADV	ADV
attēls	תמונה	attēls	תמונה	N;NOM;MASC;SG	N;FEM;SG
attēls	תדמית	attēls	תדמית	N;NOM;MASC;SG	N;FEM;SG
attēls	תמונה	attēls	תמונה	N;NOM;MASC;SG	N;FEM;SG
attēls	הגזרה	attēls	הגזרה	N;NOM;MASC;SG	N;FEM;SG
attēls	דמות	attēls	דמות	N;NOM;MASC;SG	N;FEM;SG
starp	בין	starp	בין	ADP	ADP
pilsēta	עיירה	pilsēta	עיירה	N;NOM;FEM;SG	N;FEM;SG
pilsēta	עיר	pilsēta	עיר	N;NOM;FEM;SG	N;FEM;SG
pilsēta	עיר	pilsēta	עיר	N;NOM;FEM;SG	N;FEM;SG
pilsēta	סיטי	pilsēta	סיטי	N;NOM;FEM;SG	N;FEM;SG
viens	אחת	viens	אחת	NUM;NOM;MASC;SG	NUM;FEM;SG
viens	אחד	viens	אחד	NUM;NOM;MASC;SG	NUM;MASC;SG
pret	כנגד	pret	כנגד	ADP	ADP
pret	נגד	pret	נגד	ADP	ADP
taču	אך	taču	אך	CONJ	CONJ
taču	אבל	taču	אבל	CONJ	CONJ
tomēr	אולם	tomēr	אולם	CONJ	CONJ
ļoti	מאוד	ļoti	מאוד	ADV	ADV
vācu	גרמני	vāci	גרמני	N;NOM;MASC;SG	N;MASC;SG
vēl	עדיין	vēl	עדיין	ADV	ADV
viena	אחת	viena	אחת	NUM;NOM;FEM;SG	NUM;FEM;SG
viena	אחד	viena	אחד	NUM;NOM;FEM;SG	NUM;MASC;SG
vairāk	עוד	daudz	עוד	ADV;CMPR	ADV
vairāk	יותר	daudz	יותר	ADV;CMPR	ADV
daļa	חלק	daļa	חלק	N;NOM;FEM;SG	N;MASC;SG
daļa	שיתוף	daļa	שיתוף	N;NOM;FEM;SG	N;MASC;SG
notika	אירעה	notikt	אירע	V;FH;IND;3;POS;PST;FIN;ACT	V;FEM;SG;3;PST;ACT
notika	קרה	notikt	קרה	V;FH;IND;3;POS;PST;FIN;ACT	V;MASC;SG;3;PST
notika	קרתה	notikt	קרה	V;FH;IND;3;POS;PST;FIN;ACT	V;FEM;SG;3;PST
pirms	לפני	pirms	לפני	ADP	ADP
šaha	שחמט	šahs	שחמט	N;NOM;MASC;SG	N;MASC;SG
centrs	מרכז	centrs	מרכז	N;NOM;MASC;SG	N;MASC;SG
centrs	מרכז	centrs	מרכז	N;NOM;MASC;SG	N;MASC;SG
viņu	אותו	viņš	None	PRO;ACC;MASC;SG;3	PRO;ACC;MASC;SG;3
parasti	הרגיל	parasti	הרגיל	ADV	ADV
spēles	משחקים	spēle	משחק	N;NOM;FEM;PL	N;MASC;PL
sezonas	עונות	sezona	עונה	N;NOM;FEM;PL	N;FEM;PL
grupas	קבוצות	grupa	קבוצה	N;NOM;FEM;PL	N;FEM;PL
vienu	אחת	viens	אחת	NUM;ACC;MASC;SG	NUM;FEM;SG
vienu	אחד	viens	אחד	NUM;ACC;MASC;SG	NUM;MASC;SG
ieguva	רכשה	iegūt	רכש	V;FH;IND;3;POS;PST;FIN;ACT	V;FEM;SG;3;PST;ACT
ieguva	זכה	iegūt	זכה	V;FH;IND;3;POS;PST;FIN;ACT	V;MASC;SG;3;PST;ACT
ieguva	ניצח	iegūt	ניצח	V;FH;IND;3;POS;PST;FIN;ACT	V;MASC;SG;3;PST;ACT
ieguva	ניצחו	iegūt	ניצח	V;FH;IND;3;POS;PST;FIN;ACT	V;PL;3;PST;ACT
laika	מזג	laiks	מזג	N;GEN;MASC;SG	N;MASC;SG
laika	זמן	laiks	זמן	N;GEN;MASC;SG	N;MASC;SG
laika	עת	laiks	עת	N;GEN;MASC;SG	N;FEM;SG
gads	שנת	gads	שנה	N;NOM;MASC;SG	N;PSSD;FEM;SG
gads	שנה	gads	שנה	N;NOM;MASC;SG	N;FEM;SG
skatīt	רואה	skatīt	ראה	V;POS;NFIN	V;MASC;SG;V.PTCP;ACT
skatīt	ראה	skatīt	ראה	V;POS;NFIN	V;MASC;SG;3;PST;ACT
centra	מרכז	centrs	מרכז	N;GEN;MASC;SG	N;MASC;SG
padomju	לוחות	padome	לוח	N;GEN;FEM;PL	N;MASC;PL
krievu	רוסי	krievs	רוסי	N;ACC;MASC;SG	N;MASC;SG
profils	פרופיל	profils	פרופיל	N;NOM;MASC;SG	N;MASC;SG
bez	מבלי	bez	מבלי	ADP	ADP
bez	ללא	bez	ללא	ADP	ADP
bez	בלי	bez	בלי	ADP	ADP
tautas	עמים	tauta	עם	N;NOM;FEM;PL	N;MASC;PL
apmēram	בקירוב	apmēram	בקירוב	ADV	ADV
daudz	הרבה	daudz	הרבה	ADV	ADV
daudz	הרבה	daudz	הרבה	ADV	ADV
daudz	הרבה	daudz	הרבה	ADV	ADV
divas	שני	divas	שני	NUM;NOM;FEM;PL	NUM;MASC;PL
divas	שניים	divas	שניים	NUM;NOM;FEM;PL	NUM;MASC;PL
komandas	פקודות	komanda	פקודה	N;NOM;FEM;PL	N;FEM;PL
komandas	קבוצות	komanda	קבוצה	N;NOM;FEM;PL	N;FEM;PL
komandas	צוותי	komanda	צוות	N;NOM;FEM;PL	N;FEM;PL
komandas	צוותים	komanda	צוות	N;NOM;FEM;PL	N;FEM;PL
pils	טירה	pils	טירה	N;NOM;FEM;SG	N;FEM;SG
pils	הטירה	pils	הטירה	N;NOM;FEM;SG	N;FEM;SG
pils	טירת	pils	טירה	N;NOM;FEM;SG	N;PSSD;FEM;SG
pils	ארמון	pils	ארמון	N;NOM;FEM;SG	N;MASC;SG
vietas	מיקומים	vieta	מיקומים	N;NOM;FEM;PL	N;MASC;PL
vietas	מקומות	vieta	מקום	N;NOM;FEM;PL	N;MASC;PL
valodas	שפות	valoda	שפה	N;NOM;FEM;PL	N;FEM;PL
pašlaik	כרגע	pašlaik	כרגע	ADV	ADV
pašlaik	כיום	pašlaik	כיום	ADV	ADV
sezonā	עונה	sezona	עונה	N;ESS;FEM;SG	N;FEM;SG
novads	עירייה	novads	עירייה	N;NOM;MASC;SG	N;FEM;SG
novads	עיריית	novads	עירייה	N;NOM;MASC;SG	N;PSSD;FEM;SG
