voor	priekš	voor	priekš	ADP	ADP
met	ar	met	ar	ADP	ADP
dat	tas	dat	tas	PRO;3	PRO;NOM;MASC;SG
werd	kļuva	worden	kļūt	V;SG;PST;FIN	V;FH;IND;3;POS;PST;FIN;ACT
was	tika	zijn	tikt	V;SG;PST;FIN	V;FH;IND;3;POS;PST;FIN;ACT
ook	pārāk	ook	pārāk	ADV	ADV
naam	vārds	naam	vārds	N;MASC+FEM;SG	N;NOM;MASC;SG
naam	nosaukums	naam	nosaukums	N;MASC+FEM;SG	N;NOM;MASC;SG
soort	tips	soort	tips	N;SG	N;NOM;MASC;SG
soort	veids	soort	veids	N;SG	N;NOM;MASC;SG
soort	suga	soort	suga	N;SG	N;NOM;FEM;SG
familie	saime	familie	saime	N;MASC+FEM;SG	N;NOM;FEM;SG
familie	ģimene	familie	ģimene	N;MASC+FEM;SG	N;NOM;FEM;SG
familie	ģimenē	familie	ģimene	N;MASC+FEM;SG	N;ESS;FEM;SG
eerst	vispirms	eerst	vispirms	ADV	ADV
deze	šī	deze	šī	PRO	PRO;NOM;FEM;SG
deze	šo	deze	šis	PRO	PRO;ACC;MASC;SG
deze	šis	deze	šis	PRO	PRO;NOM;MASC;SG
deze	tas	deze	tas	PRO	PRO;NOM;MASC;SG
deze	šīs	deze	šī	PRO	PRO;NOM;FEM;PL
deze	šie	deze	šis	PRO	PRO;NOM;MASC;PL
maar	bet	maar	bet	CONJ	CONJ
maar	taču	maar	taču	CONJ	CONJ
gepubliceerd	publicēts	publiceren	publicēt	V;V.PTCP	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
gepubliceerd	publicēta	publiceren	publicēt	V;V.PTCP	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
wordt	kļūt	worden	kļūt	V;SG;PRS;FIN	V;POS;NFIN
geldig	derīgs	geldig	derīgs	ADJ	ADJ;NOM;MASC;SG
geldig	derīga	geldig	derīga	ADJ	ADJ;NOM;FEM;SG
worden	kļūt	worden	kļūt	V;PL;PRS;FIN	V;POS;NFIN
dit	šī	dit	šī	PRO;3	PRO;NOM;FEM;SG
dit	šo	dit	šis	PRO;3	PRO;ACC;MASC;SG
dit	šis	dit	šis	PRO;3	PRO;NOM;MASC;SG
dit	tas	dit	tas	PRO;3	PRO;NOM;MASC;SG
over	pār	over	pār	ADP	ADP
dan	tad	dan	tad	ADV	ADV
plaats	vieta	plaats	vieta	N;MASC+FEM;SG	N;NOM;FEM;SG
onder	zem	onder	zem	ADP	ADP
onder	zem	onder	zem	ADP	ADP
team	vadu	team	vads	N;NEUT;SG	N;ACC;MASC;SG
team	komanda	team	komanda	N;NEUT;SG	N;NOM;FEM;SG
nog	vēl	nog	vēl	ADV	ADV
nog	joprojām	nog	joprojām	ADV	ADV
eerste	pirmais	één	pirmais	ADJ	ADJ;NOM;DEF;MASC;SG
eerste	pirmā	één	pirmā	ADJ	ADJ;NOM;DEF;FEM;SG
eerste	pirmās	één	pirmā	ADJ	ADJ;NOM;DEF;FEM;PL
eerste	pirmie	één	pirmais	ADJ	ADJ;NOM;DEF;MASC;PL
eerste	pirma	één	pirma	ADJ	ADJ;NOM;FEM;SG
andere	pārējie	ander	pārējs	ADJ	ADJ;NOM;MASC;PL
andere	pārējie	ander	pārējs	ADJ	ADJ;NOM;MASC;PL
kan	varētu	kunnen	varēt	V;SG;PRS;FIN	V;COND;POS;FIN;ACT
kan	var	kunnen	varēt	V;SG;PRS;FIN	V;FH;IND;3;POS;PRS;FIN;ACT
wel	labi	wel	labi	ADV	ADV
jaar	gadu	jaar	gads	N;NEUT;SG	N;ACC;MASC;SG
jaar	gads	jaar	gads	N;NEUT;SG	N;NOM;MASC;SG
twee	divas	twee	divas	NUM	NUM;NOM;FEM;PL
twee	divus	twee	divi	NUM	NUM;ACC;MASC;PL
twee	divi	twee	divi	NUM	NUM;NOM;MASC;PL
inwoners	iedzīvotāji	inwoner	iedzīvotājs	N;PL	N;NOM;MASC;PL
inwoners	rezidenti	inwoner	rezidents	N;PL	N;NOM;MASC;PL
inwoners	iedzīvotāji	inwoner	iedzīvotājs	N;PL	N;NOM;MASC;PL
wat	kas	wat	kas	PRO;3	PRO;NOM
wat	kāda	wat	kāda	PRO;3	PRO;NOM;FEM;SG
wat	kāds	wat	kāds	PRO;3	PRO;NOM;MASC;SG
wat	ko	wat	kas	PRO;3	PRO;ACC
deel	daļa	deel	daļa	N;NEUT;SG	N;NOM;FEM;SG
deel	akcija	deel	akcija	N;NEUT;SG	N;NOM;FEM;SG
deel	daļa	deel	daļa	N;NEUT;SG	N;NOM;FEM;SG
werden	kļuva	worden	kļūt	V;PL;PST;FIN	V;FH;IND;3;POS;PST;FIN;ACT
externe	ārējais	extern	ārējs	ADJ	ADJ;NOM;MASC;SG
externe	ārējs	extern	ārējs	ADJ	ADJ;NOM;MASC;SG
externe	ārējā	extern	ārēja	ADJ	ADJ;NOM;FEM;SG
overleg	apspriešana	overleg	apspriešana	N;NEUT;SG	N;NOM;FEM;SG
tussen	starp	tussen	starp	ADP	ADP
