van	de	van	de	ADP	ADP
het	os	het	o	PRO;3	PRO;ACC;MASC;PL;3
voor	por	voor	por	ADP	ADP
voor	para	voor	para	ADP	ADP
met	com	met	com	ADP	ADP
zijn	são	zijn	ser	V;PL;PRS;FIN	V;IND;PL;3;PRS;FIN
zijn	estão	zijn	estar	V;PL;PRS;FIN	V;IND;PL;3;PRS;FIN
uit	de	uit	de	ADP	ADP
dat	essa	dat	esse	PRO;3	PRO;FEM;SG
dat	isso	dat	isso	PRO;3	PRO;MASC;SG
ook	igualmente	ook	igualmente	ADV	ADV
ook	também	ook	também	ADV	ADV
ook	também	ook	também	ADV	ADV
ook	demais	ook	demais	ADV	ADV
score	pontuação	score	pontuação	N;MASC+FEM;SG	N;FEM;SG
score	placar	score	placar	N;MASC+FEM;SG	N;MASC;SG
naam	nome	naam	nome	N;MASC+FEM;SG	N;MASC;SG
soort	tipo	soort	tipo	N;SG	N;MASC;SG
soort	type	soort	type	N;SG	N;MASC;SG
soort	tipo	soort	tipo	N;SG	N;MASC;SG
soort	espécie	soort	espécie	N;SG	N;FEM;SG
familie	família	familie	família	N;MASC+FEM;SG	N;FEM;SG
familie	familia	familie	familia	N;MASC+FEM;SG	N;FEM;SG
eerst	primeiramente	eerst	primeiramente	ADV	ADV
eerst	primeiro	eerst	primeiro	ADV	ADV
deze	esta	deze	este	PRO	PRO;FEM;SG
deze	isso	deze	isso	PRO	PRO;MASC;SG
deze	isto	deze	isto	PRO	PRO;MASC;SG
deze	essa	deze	esse	PRO	PRO;FEM;SG
deze	essas	deze	esse	PRO	PRO;FEM;PL
deze	estas	deze	este	PRO	PRO;FEM;PL
maar	mas	maar	mas	CONJ	CONJ
gepubliceerd	publicados	publiceren	publicar	V;V.PTCP	V;MASC;PL;V.PTCP
gepubliceerd	publicou	publiceren	publicar	V;V.PTCP	V;IND;SG;3;PST;FIN
gepubliceerd	publicadas	publiceren	publicar	V;V.PTCP	V;FEM;PL;V.PTCP
gepubliceerd	publicada	publiceren	publicar	V;V.PTCP	V;FEM;SG;V.PTCP
gepubliceerd	publicado	publiceren	publicar	V;V.PTCP	V;MASC;SG;V.PTCP
