van	從	van	從	ADP	ADP
uit	從	uit	從	ADP	ADP
ook	還	ook	還	ADV	ADV
ook	也	ook	也	ADV	ADV
ook	太	ook	太	ADV	ADV
score	分數	score	分數	N;MASC+FEM;SG	N
score	得分	score	得分	N;MASC+FEM;SG	N
tot	直到	tot	直到	ADP	ADP
naam	名字	naam	名字	N;MASC+FEM;SG	N
naam	名稱	naam	名稱	N;MASC+FEM;SG	N
naam	姓名	naam	姓名	N;MASC+FEM;SG	N
soort	善良	soort	善良	N;SG	N
soort	型態	soort	型態	N;SG	N
soort	類型	soort	類型	N;SG	N
soort	魚種	soort	魚種	N;SG	N
soort	物種	soort	物種	N;SG	N
familie	家人	familie	家人	N;MASC+FEM;SG	N
familie	家屬	familie	家屬	N;MASC+FEM;SG	N
familie	家庭	familie	家庭	N;MASC+FEM;SG	N
deze	這	deze	這	PRO	PRO
gepubliceerd	出版	publiceren	出版	V;V.PTCP	V
gepubliceerd	發表	publiceren	發表	V;V.PTCP	V
dit	這	dit	這	PRO;3	PRO
over	關於	over	關於	ADP	ADP
dan	然後	dan	然後	ADV	ADV
dan	那麼	dan	那麼	ADV	ADV
plaats	地方	plaats	地方	N;MASC+FEM;SG	N
plaats	地點	plaats	地點	N;MASC+FEM;SG	N
team	班長	team	班長	N;NEUT;SG	N
team	小隊	team	小隊	N;NEUT;SG	N
team	團隊	team	團隊	N;NEUT;SG	N
team	球隊	team	球隊	N;NEUT;SG	N
team	隊伍	team	隊伍	N;NEUT;SG	N
nog	仍然	nog	仍然	ADV	ADV
nog	依然	nog	依然	ADV	ADV
haar	她	haar	她	PRO;ACC;3	PRO;3
jaar	歲	jaar	歲	N;NEUT;SG	N
jaar	年份	jaar	年份	N;NEUT;SG	N
jaar	年度	jaar	年度	N;NEUT;SG	N
jaar	年份	jaar	年份	N;NEUT;SG	N
jaar	年	jaar	年	N;NEUT;SG	N
twee	兩	twee	兩	NUM	NUM
twee	兩	twee	兩	NUM	NUM
twee	二	twee	二	NUM	NUM
inwoners	居民	inwoner	居民	N;PL	N
overleg	諮詢	overleg	諮詢	N;NEUT;SG	N
zie	見	zien	見	V;SG;PRS;FIN	V
geslacht	性別	geslacht	性別	N;NEUT;SG	N
geslacht	性別	geslacht	性別	N;NEUT;SG	N
geslacht	性	geslacht	性	N;NEUT;SG	N
geslacht	性	geslacht	性	N;NEUT;SG	N
geslacht	性	geslacht	性	N;NEUT;SG	N
bar	酒吧	bar	酒吧	N;MASC+FEM;SG	N
aantal	數字	aantal	數字	N;NEUT;SG	N
aantal	數	aantal	數	N;NEUT;SG	N
aantal	號碼	aantal	號碼	N;NEUT;SG	N
aantal	編號	aantal	編號	N;NEUT;SG	N
nieuwe	新	nieuw	新	ADJ	ADJ
zij	她	zij	她	PRO;NOM;3	PRO;3
zij	她們	zij	她	PRO;NOM;3	PRO;PL;3
zij	他們	zij	他	PRO;NOM;3	PRO;PL;3
zij	它們	zij	它	PRO;NOM;3	PRO;PL;3
jaren	歲	jaar	歲	N;PL	N
jaren	年份	jaar	年份	N;PL	N
via	通過	via	通過	ADP	ADP
via	經	via	經	ADP	ADP
gebied	區	gebied	區	N;NEUT;SG	N
gebied	區域	gebied	區域	N;NEUT;SG	N
gebied	面積	gebied	面積	N;NEUT;SG	N
gebied	地區	gebied	地區	N;NEUT;SG	N
gebied	區域	gebied	區域	N;NEUT;SG	N
gebied	區	gebied	區	N;NEUT;SG	N
echter	然而	echter	然而	ADV	ADV
alle	全部	al	全部	DET	DET
alle	所有	al	所有	DET	DET
stad	城鎮	stad	城鎮	N;MASC+FEM;SG	N
stad	鎮	stad	鎮	N;MASC+FEM;SG	N
stad	城市	stad	城市	N;MASC+FEM;SG	N
stad	市	stad	市	N;MASC+FEM;SG	N
stad	城	stad	城	N;MASC+FEM;SG	N
lijst	名單	lijst	名單	N;MASC+FEM;SG	N
lijst	清單	lijst	清單	N;MASC+FEM;SG	N
tijd	時光	tijd	時光	N;MASC+FEM;SG	N
tijd	時間	tijd	時間	N;MASC+FEM;SG	N
drie	三	drie	三	NUM	NUM
drie	三	drie	三	NUM	NUM
vanaf	從	vanaf	從	ADP	ADP
jpg	jpg	jpg	jpg	N;MASC+FEM;SG	N
provincie	省	provincie	省	N;MASC+FEM;SG	N
provincie	省省	provincie	省省	N;MASC+FEM;SG	N
provincie	省份	provincie	省份	N;MASC+FEM;SG	N
gebruikt	使用	gebruiken	使用	V;V.PTCP	V
alleen	只	alleen	只	ADV	ADV
eeuw	世紀	eeuw	世紀	N;MASC+FEM;SG	N
vlinder	蝴蝶	vlinder	蝴蝶	N;MASC+FEM;SG	N
keversoort	甲蟲	keversoort	甲蟲	N;MASC+FEM;SG	N
bekend	熟悉	bekend	熟悉	ADJ	ADJ
club	幫會	club	幫會	N;MASC+FEM;SG	N
club	俱樂部	club	俱樂部	N;MASC+FEM;SG	N
één	一	één	一	NUM	NUM
één	一	één	一	NUM	NUM
moet	應	moeten	應	V;SG;PRS;FIN	V
moet	必須	moeten	必須	V;SG;PRS;FIN	V
maken	創建	maken	創建	V;NFIN	V
verschillende	不同	verschillend	不同	ADJ	ADJ
seizoen	季	seizoen	季	N;NEUT;SG	N
