com	avec	com	avec	ADP	ADP
para	pour	para	pour	ADP	ADP
por	pour	por	pour	ADP	ADP
como	comment	como	comment	ADV	ADV
dos	dos	dos	dos	N;MASC;SG	N;MASC;SG
mais	davantage	mais	davantage	ADV	ADV
mais	plus	mais	plus	ADV	ADV
sua	sa	seu	son	DET;FEM;SG	DET;FEM;SG
sua	son	seu	son	DET;FEM;SG	DET;MASC;SG
sua	votre	seu	son	DET;FEM;SG	DET;MASC;SG
sua	sa	seu	son	DET;FEM;SG	DET;FEM;SG
sua	son	seu	son	DET;FEM;SG	DET;MASC;SG
utc	utc	utc	utc	N;MASC;SG	N;MASC;SG
são	sont	ser	être	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
seu	sa	seu	son	DET;MASC;SG	DET;FEM;SG
seu	son	seu	son	DET;MASC;SG	DET;MASC;SG
seu	sa	seu	son	DET;MASC;SG	DET;FEM;SG
seu	son	seu	son	DET;MASC;SG	DET;MASC;SG
seu	votre	seu	son	DET;MASC;SG	DET;MASC;SG
também	également	também	également	ADV	ADV
também	aussi	também	aussi	ADV	ADV
também	egalement	também	egalement	ADV	ADV
também	trop	também	trop	ADV	ADV
ser	être	ser	être	V;NFIN	V;NFIN
ele	lui	ele	lui	PRO;NOM;MASC;SG;3	PRO;SG;3
mas	mais	mas	mais	CONJ	CONJ
discussão	discussion	discussão	discussion	N;FEM;SG	N;FEM;SG
discussão	débat	discussão	débat	N;FEM;SG	N;MASC;SG
entre	entre	entre	entre	ADP	ADP
anos	années	ano	année	N;MASC;PL	N;FEM;PL
anos	ans	ano	an	N;MASC;PL	N;MASC;PL
era	etait	ser	etever	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;IPFV;FIN
cidade	ville	cidade	ville	N;FEM;SG	N;FEM;SG
cidade	ville	cidade	ville	N;FEM;SG	N;FEM;SG
janeiro	janvier	janeiro	janvier	N;MASC;SG	N;MASC;SG
mesmo	même	mesmo	même	ADV	ADV
grande	grande	grande	grand	ADJ;MASC;SG	ADJ;FEM;SG
grande	grand	grande	grand	ADJ;MASC;SG	ADJ;MASC;SG
grande	gros	grande	gros	ADJ;MASC;SG	ADJ;MASC;SG
grande	grosse	grande	gros	ADJ;MASC;SG	ADJ;FEM;SG
grande	grande	grande	grand	ADJ;MASC;SG	ADJ;FEM;SG
grande	grand	grande	grand	ADJ;MASC;SG	ADJ;MASC;SG
grande	grande	grande	grand	ADJ;MASC;SG	ADJ;FEM;SG
grande	génial	grande	génial	ADJ;MASC;SG	ADJ;MASC;SG
grande	grand	grande	grand	ADJ;MASC;SG	ADJ;MASC;SG
grande	grande	grande	grand	ADJ;MASC;SG	ADJ;FEM;SG
brasil	brésil	brasil	brésil	N;MASC;SG	N;MASC;SG
rio	río	rio	río	N;MASC;SG	N;MASC;SG
rio	fleuve	rio	fleuve	N;MASC;SG	N;MASC;SG
rio	rivière	rio	rivière	N;MASC;SG	N;FEM;SG
depois	ensuite	depois	ensuite	ADV	ADV
depois	alors	depois	alors	ADV	ADV
estado	état	estado	état	N;MASC;SG	N;MASC;SG
estado	statut	estado	statut	N;MASC;SG	N;MASC;SG
estado	etat	estado	etat	N;MASC;SG	N;MASC;SG
estado	état	estado	état	N;MASC;SG	N;MASC;SG
estado	état	estado	état	N;MASC;SG	N;MASC;SG
estado	condition	estado	condition	N;MASC;SG	N;FEM;SG
ano	annee	ano	annee	N;MASC;SG	N;FEM;SG
ano	an	ano	an	N;MASC;SG	N;MASC;SG
ano	année	ano	année	N;MASC;SG	N;FEM;SG
após	après	após	après	ADP	ADP
pode	peut	poder	pouvoir	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
