категория	kategorie	категория	kategorie	N;INAN;NOM;FEM;SG	N;NOM;FEM;SG;POS
что	co	что	co	PRO;NOM	PRO;INAN;NOM
для	pro	для	pro	ADP	ADP;ACC
для	za	для	za	ADP	ADP;ACC
как	jako	как	jako	CONJ	CONJ
был	bylo	быть	být	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;NEUT;SG;POS;PST;V.PTCP;ACT
был	byl	быть	být	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;MASC;SG;POS;PST;V.PTCP;ACT
его	ho	он	on	PRO;ACC;MASC;SG;3	PRO;ACC;SG;3
также	rovněž	также	rovněž	ADV	ADV
также	také	также	také	ADV	ADV
также	též	также	též	ADV	ADV
также	taky	также	také	ADV	ADV
области	plochy	область	plocha	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL;POS
области	oblasti	область	oblast	N;INAN;NOM;FEM;PL	N;NOM;FEM;PL;POS
год	rok	год	rok	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
год	ročník	год	ročník	N;INAN;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
было	bylo	быть	být	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;NEUT;SG;POS;PST;V.PTCP;ACT
было	byl	быть	být	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;MASC;SG;POS;PST;V.PTCP;ACT
время	čas	время	čas	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;SG;POS
время	doba	время	doba	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;POS
время	time	время	time	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;SG;POS
состав	složení	состав	složení	N;INAN;NOM;MASC;SG	N;NOM;NEUT;SG;POS
место	spot	место	spot	N;INAN;NOM;NEUT;SG	N;INAN;NOM;MASC;SG;POS
место	místo	место	místo	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
место	misto	место	misto	N;INAN;NOM;NEUT;SG	N;NOM;MASC;SG;POS
место	místo	место	místo	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
место	poloha	место	poloha	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;POS
место	umístění	место	umístění	N;INAN;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
место	lokalita	место	lokalita	N;INAN;NOM;NEUT;SG	N;NOM;FEM;SG;POS
были	byli	быть	být	V;IPFV;IND;PL;PST;FIN;ACT	V;ANIM;MASC;PL;POS;PST;V.PTCP;ACT
