категория	kategori	категория	kategori	N;INAN;NOM;FEM;SG	N;INDF;MASC+FEM;SG
что	hvad	что	hvad	PRO;NOM	PRO;SG
для	for	для	for	ADP	ADP
был	var	быть	være	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IND;PST;FIN;ACT
был	blev	быть	blive	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IND;PST;FIN;ACT
его	ham	он	han	PRO;ACC;MASC;SG;3	PRO;ACC;MASC+FEM;SG;3
также	også	также	også	ADV	ADV
это	dette	это	denne	PRO;INAN;NOM;NEUT;SG	PRO;NEUT;SG
это	denne	это	denne	PRO;INAN;NOM;NEUT;SG	PRO;MASC+FEM;SG
области	områder	область	område	N;INAN;NOM;FEM;PL	N;INDF;NEUT;PL
области	arealer	область	areal	N;INAN;NOM;FEM;PL	N;INDF;NEUT;PL
год	aars	год	aars	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
год	året	год	år	N;INAN;NOM;MASC;SG	N;DEF;NEUT;SG
год	år	год	år	N;INAN;NOM;MASC;SG	N;INDF;NEUT;SG
было	var	быть	være	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;IND;PST;FIN;ACT
было	blev	быть	blive	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;IND;PST;FIN;ACT
время	tid	время	tid	N;INAN;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
время	tidspunkt	время	tidspunkt	N;INAN;NOM;NEUT;SG	N;INDF;NEUT;SG
время	gang	время	gang	N;INAN;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
время	klokkeslæt	время	klokkeslæt	N;INAN;NOM;NEUT;SG	N;INDF;NEUT;SG
время	tiden	время	tid	N;INAN;NOM;NEUT;SG	N;DEF;MASC+FEM;SG
состав	komposition	состав	komposition	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
состав	sammensætning	состав	sammensætning	N;INAN;NOM;MASC;SG	N;INDF;MASC+FEM;SG
место	plet	место	plet	N;INAN;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
место	spot	место	spot	N;INAN;NOM;NEUT;SG	N;INDF;NEUT;SG
место	stedet	место	sted	N;INAN;NOM;NEUT;SG	N;DEF;NEUT;SG
место	sted	место	sted	N;INAN;NOM;NEUT;SG	N;INDF;NEUT;SG
место	plads	место	plads	N;INAN;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
место	lokalisering	место	lokalisering	N;INAN;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
место	beliggenhed	место	beliggenhed	N;INAN;NOM;NEUT;SG	N;INDF;MASC+FEM;SG
место	sted	место	sted	N;INAN;NOM;NEUT;SG	N;INDF;NEUT;SG
