kategória	kategorie	kategória	kategorie	N;NOM;FEM;SG	N;NOM;FEM;SG
ako	inwiefern	ako	inwiefern	ADV	ADV
pozri	sehen	pozrieť	sehen	V;PFV;IMP;SG;2;POS;FIN	V;NFIN
pozri	siehe	pozrieť	sehen	V;PFV;IMP;SG;2;POS;FIN	V;IMP;SG;FIN
pozri	ansehen	pozrieť	ansehen	V;PFV;IMP;SG;2;POS;FIN	V;NFIN
pozri	schauen	pozrieť	schauen	V;PFV;IMP;SG;2;POS;FIN	V;NFIN
obce	gemeinden	obec	gemeinden	N;NOM;FEM;PL	N;NOM;FEM;PL
obce	gemeinden	obec	gemeinden	N;NOM;FEM;PL	N;NOM;FEM;PL
obec	gemeinde	obec	gemeinde	N;NOM;FEM;SG	N;NOM;FEM;SG
obec	kommune	obec	kommun	N;NOM;FEM;SG	N;NOM;FEM;SG
obec	gemeinde	obec	gemeinde	N;NOM;FEM;SG	N;NOM;FEM;SG
obec	kommune	obec	kommun	N;NOM;FEM;SG	N;NOM;FEM;SG
obec	dorf	obec	dorf	N;NOM;FEM;SG	N;NOM;NEUT;SG
pre	für	pre	für	ADP;ACC	ADP
jeho	seine	jeho	sein	DET;NOM;NEUT;SG;3	DET;NOM;FEM;SG
jeho	sein	jeho	sein	DET;NOM;NEUT;SG;3	DET;NOM;MASC;SG
jeho	seiner	jeho	sein	DET;NOM;NEUT;SG;3	DET;NOM;MASC;SG
jeho	ihre	jeho	ihr	DET;NOM;NEUT;SG;3	DET;NOM;FEM;SG
jeho	seine	jeho	sein	DET;NOM;NEUT;SG;3	DET;NOM;FEM;SG
jeho	seiner	jeho	sein	DET;NOM;NEUT;SG;3	DET;NOM;MASC;SG
zoznam	liste	zoznam	lassen	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
zoznam	aufstellung	zoznam	aufstellingen	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
externé	externen	externý	extern	ADJ;NOM;NEUT;SG	ADJ
ale	aber	ale	aber	CONJ	CONJ
počet	anzahl	počet	anzahl	N;INAN;NOM;MASC;SG	N;SG
počet	zahl	počet	zahl	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
podľa	unter	podľa	unter	ADP;GEN	ADP
miesto	ort	miesto	ort	N;NOM;NEUT;SG	N;NOM;MASC;SG
miesto	ort	miesto	ort	N;NOM;NEUT;SG	N;NOM;MASC;SG
miesto	standorte	miesto	standort	N;NOM;NEUT;SG	N;NOM
miesto	ort	miesto	ort	N;NOM;NEUT;SG	N;NOM;MASC;SG
miesto	website	miesto	websit	N;NOM;NEUT;SG	N;SG
miesto	seite	miesto	seit	N;NOM;NEUT;SG	N
medzi	zwischen	medzi	zwischen	ADP;INS	ADP
najvyšší	höchster	vysoký	hoch	ADJ;ANIM;NOM;RL;MASC;SG	ADJ
najvyšší	oberstes	vysoký	ober	ADJ;ANIM;NOM;RL;MASC;SG	ADJ;NOM;NEUT;SG
najvyšší	obersten	vysoký	ober	ADJ;ANIM;NOM;RL;MASC;SG	ADJ
najvyšší	oberste	vysoký	ober	ADJ;ANIM;NOM;RL;MASC;SG	ADJ;NOM
najvyšší	höchstes	vysoký	hoch	ADJ;ANIM;NOM;RL;MASC;SG	ADJ;NOM;NEUT;SG
najvyšší	höchster	vysoký	hoch	ADJ;ANIM;NOM;RL;MASC;SG	ADJ
pod	unterhalb	pod	unterhalb	ADP;INS	ADP
pod	unter	pod	unter	ADP;INS	ADP
pred	vor	pred	vor	ADP;INS	ADP
pred	vor	pred	vor	ADP;INS	ADP
vývoj	entwicklung	vývoj	entwicklung	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
