kategória	kategoria	kategória	kategoria	N;NOM;FEM;SG	N;NOM;FEM;SG
roku	roku	rok	rok	N;INAN;GEN;MASC;SG	N;GEN;MASC;SG
bol	bol	byť	bol	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
bol	była	byť	być	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;IPFV;FEM;IND;SG;PST;FIN;ACT
bol	był	byť	być	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
bol	było	byť	być	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
pozri	zobacz	pozrieť	zobaczyć	V;PFV;IMP;SG;2;POS;FIN	V;PFV;IMP;SG;2;FIN;ACT
obyvateľov	mieszkańców	obyvateľ	mieszkaniec	N;ANIM;ACC;MASC;PL	N;ACC;MASC;PL
obyvateľov	rezydentów	obyvateľ	rezydent	N;ANIM;ACC;MASC;PL	N;ACC;MASC;PL
obyvateľov	mieszkańców	obyvateľ	mieszkaniec	N;ANIM;ACC;MASC;PL	N;ACC;MASC;PL
obec	wioska	obec	wioska	N;NOM;FEM;SG	N;NOM;FEM;SG
obec	village	obec	village	N;NOM;FEM;SG	N;NOM;MASC;SG
obec	wieś	obec	wieś	N;NOM;FEM;SG	N;NOM;FEM;SG
pre	dla	pre	dla	ADP;ACC	ADP
bod	punkt	bod	punkt	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
bola	była	byť	być	V;IPFV;FEM;SG;POS;PST;V.PTCP	V;IPFV;FEM;IND;SG;PST;FIN;ACT
bola	był	byť	być	V;IPFV;FEM;SG;POS;PST;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
bola	było	byť	być	V;IPFV;FEM;SG;POS;PST;V.PTCP	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
zoznam	wykaz	zoznam	wykaz	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
zoznam	lista	zoznam	list	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
zoznam	spis	zoznam	spis	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
odkazy	referencje	odkaz	referencja	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL
odkazy	linki	odkaz	linka	N;INAN;NOM;MASC;PL	N;NOM;FEM;PL
externé	zewnętrzne	externý	zewnętrzny	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG
ale	ale	ale	ale	CONJ	CONJ
počet	numer	počet	numer	N;INAN;NOM;MASC;SG	N;NOM;MASC;SG
počet	liczba	počet	liczba	N;INAN;NOM;MASC;SG	N;NOM;FEM;SG
