kot	jako	kot	jako	CONJ	CONJ
team	mužstvo	teama	mužstvo	N;NOM;MASC;SG	N;NOM;NEUT;SG;POS
team	tým	teama	tým	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
team	team	teama	team	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
bil	bylo	biti	být	V;MASC;SG;V.PTCP	V;NEUT;SG;POS;PST;V.PTCP;ACT
bil	byl	biti	být	V;MASC;SG;V.PTCP	V;MASC;SG;POS;PST;V.PTCP;ACT
seznam	seznam	seznam	seznam	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
glej	sledovat	gledati	sledovat	V;IPFV;IMP;SG;2;FIN	V;IPFV;POS;NFIN
bila	bylo	biti	být	V;FEM;SG;V.PTCP	V;NEUT;SG;POS;PST;V.PTCP;ACT
bila	byl	biti	být	V;FEM;SG;V.PTCP	V;MASC;SG;POS;PST;V.PTCP;ACT
nova	nový	nov	nový	ADJ;NOM;FEM;SG	ADJ;INAN;NOM;MASC;SG;POS
nova	nová	nov	nový	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG;POS
socorro	socorro	socorra	socorro	N;NOM;MASC;SG	N;NOM;MASC;SG;POS
bgcolor	bgcolor	bgcolor	bgcolor	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
povezave	spoje	povezava	spoj	N;NOM;FEM;PL	N;INAN;NOM;MASC;PL;POS
povezave	odkazy	povezava	odkaz	N;NOM;FEM;PL	N;INAN;NOM;MASC;PL;POS
del	part	del	part	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
del	část	del	část	N;NOM;MASC;SG	N;NOM;FEM;SG;POS
del	dela	del	dela	N;NOM;MASC;SG	N;NOM;MASC;SG;POS
mesto	město	mesto	město	N;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
mesto	městečko	mesto	městečko	N;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
mesto	město	mesto	město	N;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
ima	má	imeti	mít	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IND;SG;3;POS;PRS;FIN;ACT
september	září	september	září	N;NOM;MASC;SG	N;NOM;NEUT;SG;POS
opombe	noty	opomba	nota	N;NOM;FEM;PL	N;NOM;FEM;PL;POS
opombe	poznámky	opomba	poznámka	N;NOM;FEM;PL	N;NOM;FEM;PL;POS
opombe	připomínky	opomba	připomínka	N;NOM;FEM;PL	N;NOM;FEM;PL;POS
opombe	komentáře	opomba	komentář	N;NOM;FEM;PL	N;INAN;NOM;MASC;PL;POS
opombe	poznámky	opomba	poznámka	N;NOM;FEM;PL	N;NOM;FEM;PL;POS
opombe	poznámky	opomba	poznámka	N;NOM;FEM;PL	N;NOM;FEM;PL;POS
ime	jméno	ime	jméno	N;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
ime	jmeno	ime	jmeno	N;NOM;NEUT;SG	N;NOM;MASC;SG;POS
ime	name	ime	můj	N;NOM;NEUT;SG	N;NOM;MASC;SG;POS
ime	název	ime	název	N;NOM;NEUT;SG	N;INAN;NOM;MASC;SG;POS
vse	všechno	ves	všechen	DET;NOM;NEUT;SG	DET;NOM;NEUT;SG
vse	vše	ves	všechen	DET;NOM;NEUT;SG	DET;NOM;NEUT;SG
vse	všechno	ves	všechen	DET;NOM;NEUT;SG	DET;NOM;NEUT;SG
vse	vše	ves	všechen	DET;NOM;NEUT;SG	DET;NOM;NEUT;SG
center	centrum	center	centrum	N;NOM;MASC;SG	N;NOM;NEUT;SG;POS
center	střed	center	střed	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
center	centrum	center	centrum	N;NOM;MASC;SG	N;NOM;NEUT;SG;POS
center	středisko	center	středisko	N;NOM;MASC;SG	N;NOM;NEUT;SG;POS
center	střed	center	střed	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
viri	zdroje	vir	zdroj	N;NOM;MASC;PL	N;INAN;NOM;MASC;PL;POS
viri	zdroje	vir	zdroj	N;NOM;MASC;PL	N;INAN;NOM;MASC;PL;POS
viri	prostředky	vir	prostředek	N;NOM;MASC;PL	N;INAN;NOM;MASC;PL;POS
proti	proti	proti	proti	ADP;DAT	ADP;DAT
oktober	říjen	oktober	říjen	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
vendar	ale	vendar	ale	CONJ	CONJ
let	let	leto	rok	N;GEN;NEUT;PL	N;GEN;NEUT;PL;POS
let	roků	leto	rok	N;GEN;NEUT;PL	N;INAN;GEN;MASC;PL;POS
let	let	leto	rok	N;GEN;NEUT;PL	N;GEN;NEUT;PL;POS
polk	regiment	polk	regiment	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
polk	pluk	polk	pluk	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
bili	byli	biti	být	V;MASC;PL;V.PTCP	V;ANIM;MASC;PL;POS;PST;V.PTCP;ACT
bili	byly	biti	být	V;MASC;PL;V.PTCP	V;INAN;PL;POS;PST;V.PTCP;ACT
zelo	velice	zelo	velice	ADV	ADV
zelo	velmi	zelo	velmi	ADV	ADV
marec	březen	marec	březen	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
marec	pochod	marec	pochod	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
veliko	mnoha	veliko	mnoho	DET	DET;INS
veliko	mnoho	veliko	mnoho	DET	DET;NOM
veliko	mnoho	veliko	mnoho	DET	DET;NOM
avgust	srpen	avgust	srpen	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
avgust	augustus	avgust	augustus	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
zato	tudíž	zato	tudíž	CONJ	CONJ
zato	proto	zato	proto	CONJ	CONJ
strani	strany	stran	strana	N;NOM;FEM;PL	N;NOM;FEM;PL;POS
strani	stránky	stran	stránka	N;NOM;FEM;PL	N;NOM;FEM;PL;POS
delo	zaměstnání	delo	zaměstnání	N;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
delo	práce	delo	práce	N;NOM;NEUT;SG	N;NOM;FEM;SG;POS
delo	práce	delo	práce	N;NOM;NEUT;SG	N;NOM;FEM;SG;POS
delo	prace	delo	prace	N;NOM;NEUT;SG	N;NOM;FEM;SG;POS
ker	protože	ker	protože	CONJ	CONJ
januar	leden	januar	leden	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
december	prosinec	december	prosinec	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
november	listopad	november	listopad	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
november	listopad	november	listopad	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
drugi	jiná	drug	jiný	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG;POS
drugi	jiné	drug	jiný	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG;POS
drugi	jiný	drug	jiný	ADJ;NOM;MASC;SG	ADJ;ANIM;NOM;MASC;SG;POS
drugi	jiné	drug	jiný	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG;POS
spada	patří	spadati	patřit	V;IPFV;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
april	duben	april	duben	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
druge	ostatní	drug	ostatní	ADJ;NOM;FEM;PL	ADJ;ANIM;NOM;MASC;PL;POS
druge	ostatní	drug	ostatní	ADJ;NOM;FEM;PL	ADJ;ANIM;NOM;MASC;PL;POS
druge	jiní	drug	jiný	ADJ;NOM;FEM;PL	ADJ;ANIM;NOM;MASC;PL;POS
vojne	války	vojna	válka	N;NOM;FEM;PL	N;NOM;FEM;PL;POS
vojne	války	vojna	válka	N;NOM;FEM;PL	N;NOM;FEM;PL;POS
število	číslo	število	číslo	N;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
število	počet	število	počet	N;NOM;NEUT;SG	N;INAN;NOM;MASC;SG;POS
februar	únor	februar	únor	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
samo	jen	samo	jen	PART	PART
samo	jenom	samo	jenom	PART	PART
samo	jen	samo	jen	PART	PART
samo	jenom	samo	jenom	PART	PART
okoli	okolo	okoli	okolo	ADP;GEN	ADP;GEN
okoli	kolem	okoli	kolem	ADP;GEN	ADP;GEN
zajema	zahrnuje	zajema	zahrnovat	V;IPFV;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
liga	liga	liga	liga	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
liga	ligy	liga	liga	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
liga	liga	liga	liga	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
kasneje	později	kasno	pozdě	ADV;CMPR	ADV;CMPR;POS
dela	díla	delo	dílo	N;NOM;NEUT;PL	N;NOM;NEUT;PL;POS
bolj	více	bolj	hodně	ADV;CMPR	ADV;CMPR;POS
bolj	víc	bolj	hodně	ADV;CMPR	ADV;CMPR;POS
danes	dneska	danes	dneska	ADV	ADV
danes	dnes	danes	dnes	ADV	ADV
skupaj	celkem	skupaj	celkem	ADV	ADV
skupaj	spolu	skupaj	spolu	ADV	ADV
skupaj	společně	skupaj	společně	ADV	ADV;POS
skupaj	dohromady	skupaj	dohromady	ADV	ADV
republike	republiky	republika	republika	N;NOM;FEM;PL	N;NOM;FEM;PL;POS
najbolj	nejvíc	najbolj	hodně	ADV;RL	ADV;RL;POS
najbolj	nejvíce	najbolj	hodně	ADV;RL	ADV;RL;POS
poleg	vedle	poleg	vedle	ADP;GEN	ADP;GEN
stran	strana	stran	strana	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
stran	stránka	stran	stránka	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
julij	julius	julij	julius	N;NOM;MASC;SG	N;ANIM;NOM;MASC;SG;POS
julij	červenec	julij	červenec	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
svetovno	celosvětový	svetoven	celosvětový	ADJ;NOM;NEUT;SG	ADJ;INAN;NOM;MASC;SG;POS
svetovno	celosvětové	svetoven	celosvětový	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG;POS
svetovno	celosvětová	svetoven	celosvětový	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG;POS
svetovno	world	svetoven	world	ADJ;NOM;NEUT;SG	ADJ;POS
svetovno	světový	svetoven	světový	ADJ;NOM;NEUT;SG	ADJ;INAN;NOM;MASC;SG;POS
svetovno	světová	svetoven	světový	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG;POS
svetovno	světové	svetoven	světový	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG;POS
svetovno	celosvětová	svetoven	celosvětový	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG;POS
svetovno	globální	svetoven	globální	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;SG;POS
leto	leto	leto	leto	N;NOM;NEUT;SG	N;INAN;NOM;MASC;SG;POS
leto	rok	leto	rok	N;NOM;NEUT;SG	N;INAN;NOM;MASC;SG;POS
leto	ročník	leto	ročník	N;NOM;NEUT;SG	N;INAN;NOM;MASC;SG;POS
imajo	mít	imeti	mít	V;IPFV;IND;PL;3;POS;PRS;FIN	V;POS;NFIN
prvenstvo	mistrovství	prvenstvo	mistrovství	N;NOM;NEUT;SG	N;NOM;NEUT;SG;POS
prvenstvo	šampionát	prvenstvo	šampionát	N;NOM;NEUT;SG	N;INAN;NOM;MASC;SG;POS
brez	bez	brez	bez	ADP;GEN	ADP;GEN
mesta	města	mesto	město	N;NOM;NEUT;PL	N;NOM;NEUT;PL;POS
mesta	velkoměsta	mesto	velkoměsto	N;NOM;NEUT;PL	N;NOM;NEUT;PL;POS
mesta	města	mesto	město	N;NOM;NEUT;PL	N;NOM;NEUT;PL;POS
vojno	válku	vojna	válka	N;ACC;FEM;SG	N;ACC;FEM;SG;POS
cerkev	kostel	cerkev	kostel	N;NOM;FEM;SG	N;INAN;NOM;MASC;SG;POS
cerkev	církev	cerkev	církev	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
primer	pouzdro	primer	pouzdro	N;NOM;MASC;SG	N;NOM;NEUT;SG;POS
primer	případ	primer	případ	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
primer	příklad	primer	příklad	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
dan	dane	dan	daň	N;NOM;MASC;SG	N;NOM;FEM;SG;POS
dan	den	dan	den	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
imena	názvy	ime	název	N;NOM;NEUT;PL	N;INAN;NOM;MASC;PL;POS
imena	jména	ime	jméno	N;NOM;NEUT;PL	N;NOM;NEUT;PL;POS
velika	velký	velik	velký	ADJ;NOM;FEM;SG	ADJ;INAN;NOM;MASC;SG;POS
velika	velká	velik	velký	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG;POS
velika	big	velik	big	ADJ;NOM;FEM;SG	ADJ;POS
velika	velký	velik	velký	ADJ;NOM;FEM;SG	ADJ;INAN;NOM;MASC;SG;POS
velika	velká	velik	velký	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG;POS
vedno	vždy	vedno	vždy	ADV	ADV
vedno	vždycky	vedno	vždycky	ADV	ADV
junij	červen	junij	červen	N;NOM;MASC;SG	N;INAN;NOM;MASC;SG;POS
observatorij	observatoř	observatorij	observatoř	N;NOM;MASC;SG	N;NOM;FEM;SG;POS
jpg	jpg	jpg	jpg	N;NOM;MASC;SG	N;NEUT;POS
občina	obec	občina	obec	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
drugo	jiná	drug	jiný	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG;POS
drugo	jiné	drug	jiný	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;SG;POS
drugo	jiný	drug	jiný	ADJ;NOM;NEUT;SG	ADJ;ANIM;NOM;MASC;SG;POS
vojna	válka	vojna	válka	N;NOM;FEM;SG	N;NOM;FEM;SG;POS
pesmi	básně	pesem	báseň	N;NOM;FEM;PL	N;NOM;FEM;PL;POS
pesmi	písně	pesem	píseň	N;NOM;FEM;PL	N;NOM;FEM;PL;POS
pesmi	písničky	pesem	písnička	N;NOM;FEM;PL	N;NOM;FEM;PL;POS
