team	ομαδα	teama	ομαδα	N;NOM;MASC;SG	N;NOM;FEM;SG
med	μεταξύ	med	μεταξύ	ADP;INS	ADP
med	μεταξυ	med	μεταξυ	ADP;INS	ADP
seznam	λίστα	seznam	λίστα	N;NOM;MASC;SG	N;NOM;FEM;SG
seznam	κατάλογος	seznam	κατάλογος	N;NOM;MASC;SG	N;NOM;MASC;SG
nova	νέος	nov	νέος	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
povezave	συνδέσεις	povezava	σύνδεση	N;NOM;FEM;PL	N;NOM;FEM;PL
povezave	διασυνδέσεις	povezava	διασύνδεση	N;NOM;FEM;PL	N;NOM;FEM;PL
povezave	δεσμοί	povezava	δεσμός	N;NOM;FEM;PL	N;NOM;MASC;PL
povezave	συνδέσεις	povezava	σύνδεση	N;NOM;FEM;PL	N;NOM;FEM;PL
del	μέρος	del	μέρος	N;NOM;MASC;SG	N;NOM;NEUT;SG
del	μεροσ	del	μεροσ	N;NOM;MASC;SG	N;NOM;NEUT;SG
mesto	πολη	mesto	πολη	N;NOM;NEUT;SG	N;NOM;FEM;SG
mesto	πόλη	mesto	πόλη	N;NOM;NEUT;SG	N;NOM;FEM;SG
mesto	πολη	mesto	πολη	N;NOM;NEUT;SG	N;NOM;FEM;SG
mesto	πόλη	mesto	πόλη	N;NOM;NEUT;SG	N;NOM;FEM;SG
ima	έχει	imeti	έχω	V;IPFV;IND;SG;3;POS;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
september	σεπτέμβριος	september	σεπτέμβριος	N;NOM;MASC;SG	N;NOM;MASC;SG
september	σεπτέμβριο	september	σεπτέμβριο	N;NOM;MASC;SG	N
opombe	νότες	opomba	νότος	N;NOM;FEM;PL	N;NOM;FEM;PL
opombe	σημειώσεις	opomba	σημείωση	N;NOM;FEM;PL	N;NOM;FEM;PL
opombe	σχολια	opomba	σχολια	N;NOM;FEM;PL	N;NOM;NEUT;PL
opombe	σχόλια	opomba	σχόλιο	N;NOM;FEM;PL	N;NOM;NEUT;PL
opombe	παρατηρήσεις	opomba	παρατήρηση	N;NOM;FEM;PL	N;NOM;FEM;PL
opombe	παρατηρήσεις	opomba	παρατήρηση	N;NOM;FEM;PL	N;NOM;FEM;PL
opombe	υποσημειώσεις	opomba	υποσημείωση	N;NOM;FEM;PL	N;NOM;FEM;PL
ime	ονομασία	ime	ονομασία	N;NOM;NEUT;SG	N;NOM;FEM;SG
ime	όνομα	ime	όνομα	N;NOM;NEUT;SG	N;NOM;NEUT;SG
ime	ονομα	ime	ονομα	N;NOM;NEUT;SG	N;NOM;NEUT;SG
center	κέντρο	center	κέντρο	N;NOM;MASC;SG	N;NOM;NEUT;SG
center	κεντρο	center	κεντρο	N;NOM;MASC;SG	N;NOM;NEUT;SG
center	κέντρο	center	κέντρο	N;NOM;MASC;SG	N;NOM;NEUT;SG
viri	πηγές	vir	πηγή	N;NOM;MASC;PL	N;NOM;FEM;PL
viri	πηγες	vir	πηγα	N;NOM;MASC;PL	N;NOM;FEM;PL
viri	πόροι	vir	πόρος	N;NOM;MASC;PL	N;NOM;MASC;PL
