con	مع	con	مَعَ	ADP	ADP;ACC
categoría	الفئة	categoría	فِئَة	N;FEM;SG	N;NOM;DEF;SG
categoría	فئة	categoría	فِئَة	N;FEM;SG	N;NOM;INDF;SG
también	ايضا	también	أَيضًا	ADV	ADV
también	ايضا	también	أَيضًا	ADV	ADV
entre	بين	entre	بَينَ	ADP	ADP;ACC
años	السنين	año	سَنَة	N;MASC;PL	N;NOM;DEF;PL
años	اعوام	año	عَام	N;MASC;PL	N;NOM;INDF;PL
años	سنين	año	سَنَة	N;MASC;PL	N;NOM;INDF;PL
años	السنوات	año	سَنَة	N;MASC;PL	N;NOM;DEF;PL
años	سنوات	año	سَنَة	N;MASC;PL	N;NOM;INDF;PL
dos	اثنين	dos	اِثنَان	NUM;PL	NUM;NOM;INDF;MASC
dos	اثنتان	dos	اِثنَان	NUM;PL	NUM;NOM;INDF;FEM
sobre	حول	sobre	حَولَ	ADP	ADP;ACC
sobre	عن	sobre	عَن	ADP	ADP
año	عام	año	عَام	N;MASC;SG	N;NOM;INDF;SG
año	العام	año	عَام	N;MASC;SG	N;NOM;DEF;SG
año	السنه	año	سَنه	N;MASC;SG	N;NOM;DEF;SG
año	سنة	año	سَنَة	N;MASC;SG	N;NOM;INDF;SG
año	سنه	año	سنه	N;MASC;SG	N;NOM;INDF;SG
año	السنة	año	سَنَة	N;MASC;SG	N;NOM;DEF;SG
desde	منذ	desde	مُنذُ	ADP	ADP
desde	من	desde	مِن	ADP	ADP
enlaces	الوصلات	enlace	وُصلَة	N;MASC;PL	N;NOM;DEF;PL
enlaces	الصلات	enlace	صَلَة	N;MASC;PL	N;NOM;DEF;PL
enlaces	روابط	enlace	روابط	N;MASC;PL	N;NOM;INDF;PL
enlaces	الروابط	enlace	رَابِطَة	N;MASC;PL	N;NOM;DEF;PL
enlaces	وصلات	enlace	وُصلَة	N;MASC;PL	N;NOM;INDF;PL
ciudad	بلدة	ciudad	بَلدَة	N;FEM;SG	N;NOM;INDF;SG
ciudad	المدينة	ciudad	مَدِينَة	N;FEM;SG	N;NOM;DEF;SG
ciudad	البلدة	ciudad	بَلدَة	N;FEM;SG	N;NOM;DEF;SG
ciudad	مدينة	ciudad	مَدِينَة	N;FEM;SG	N;NOM;INDF;SG
ciudad	المدينة	ciudad	مَدِينَة	N;FEM;SG	N;NOM;DEF;SG
parte	حفلة	parte	حَفلَة	N;FEM;SG	N;NOM;INDF;SG
parte	الطرف	parte	طَرَف	N;FEM;SG	N;NOM;DEF;SG
parte	حزب	parte	حِزب	N;FEM;SG	N;NOM;INDF;SG
parte	حفل	parte	حَفل	N;FEM;SG	N;NOM;INDF;SG
parte	الحزب	parte	حِزب	N;FEM;SG	N;NOM;DEF;SG
parte	جزء	parte	جُزء	N;FEM;SG	N;NOM;INDF;SG
parte	الجزء	parte	جُزء	N;FEM;SG	N;NOM;DEF;SG
durante	اثناء	durante	أَثنَاءَ	ADP	ADP;ACC
durante	خلال	durante	خِلَالَ	ADP	ADP;ACC
san	قديس	san	قِدِّيس	N;MASC;SG	N;NOM;INDF;SG
san	القديس	san	قِدِّيس	N;MASC;SG	N;NOM;DEF;SG
nacional	وطنية	nacional	وَطَنِيّ	ADJ;SG	ADJ;NOM;INDF;FEM;SG
nacional	وطني	nacional	وَطَنِيّ	ADJ;SG	ADJ;NOM;INDF;MASC;SG
primera	اول	primero	أَوَّل	ADJ;FEM;SG	ADJ;NOM;INDF;MASC;SG
primera	اولا	primero	أَوَّل	ADJ;FEM;SG	ADJ;ACC;INDF;MASC;SG
primera	الاول	primero	أَوَّل	ADJ;FEM;SG	ADJ;NOM;DEF;MASC;SG
primera	الاولى	primero	أَوَّل	ADJ;FEM;SG	ADJ;NOM;DEF;FEM;SG
team	الفريق	team	فَرِيق	N	N;NOM;DEF;SG
team	فريق	team	فَرِيق	N	N;NOM;INDF;SG
nombre	اسم	nombre	اِسم	N;MASC;SG	N;NOM;INDF;SG
nombre	الاسم	nombre	اِسم	N;MASC;SG	N;NOM;DEF;SG
estados	دول	estado	دَولَة	N;MASC;PL	N;NOM;INDF;PL
estados	الولايات	estado	وِلَايَة	N;MASC;PL	N;NOM;DEF;PL
estados	الدول	estado	دَولَة	N;MASC;PL	N;NOM;DEF;PL
siglo	قرن	siglo	قَرن	N;MASC;SG	N;NOM;INDF;SG
siglo	القرن	siglo	قَرن	N;MASC;SG	N;NOM;DEF;SG
gran	الكبير	gran	كَبِير	ADJ;SG	ADJ;NOM;DEF;MASC;SG
gran	كبيرة	gran	كَبِير	ADJ;SG	ADJ;NOM;INDF;FEM;SG
gran	كبير	gran	كَبِير	ADJ;SG	ADJ;NOM;INDF;MASC;SG
gran	عظيم	gran	عظيم	ADJ;SG	ADJ;NOM;INDF;MASC;SG
gran	عظيمة	gran	عَظِيمَة	ADJ;SG	ADJ;NOM;INDF;FEM;SG
gran	العظيم	gran	عَظِيم	ADJ;SG	ADJ;NOM;DEF;MASC;SG
unidos	متحدين	unido	مُتَّحِد	ADJ;MASC;PL;V.PTCP	ADJ;ACC;INDF;MASC;PL
puede	يستطيع	poder	اِستَطَاع	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
puede	يمكن	poder	أَمكَن	V;IND;SG;3;PRS;FIN	V;IPFV;MASC;IND;SG;3;FIN;ACT
estado	الوضع	estado	وَضع	N;MASC;SG	N;NOM;DEF;SG
estado	الحالة	estado	حَالَة	N;MASC;SG	N;NOM;DEF;SG
estado	حالة	estado	حَالَة	N;MASC;SG	N;NOM;INDF;SG
estado	الولاية	estado	وِلَايَة	N;MASC;SG	N;NOM;DEF;SG
estado	دولة	estado	دَولَة	N;MASC;SG	N;NOM;INDF;SG
