que	että	que	että	CONJ	CONJ
categoría	kategoria	categoría	kategori	N;FEM;SG	N;NOM;SG
categoría	luokan	categoría	luokka	N;FEM;SG	N;GEN;SG
categoría	luokka	categoría	luokka	N;FEM;SG	N;NOM;SG
como	kuten	como	kuten	CONJ	CONJ
como	kuin	como	kuin	CONJ	CONJ
fue	oliko	ser	olla	V;IND;SG;3;PST;FIN	V;IND;SG;3;PST;FIN;ACT
más	lisää	más	lisää	ADV	ADV
más	enemmän	más	enemmän	ADV	ADV
también	lisäksi	también	lisäksi	ADV	ADV
también	myöskin	también	myöskin	ADV	ADV
también	myös	también	myös	ADV	ADV
también	liian	también	liian	ADV	ADV
este	tämän	este	tämä	PRO;MASC;SG	PRO;GEN;SG
este	tätä	este	tämä	PRO;MASC;SG	PRO;PRT;SG
este	tästä	este	tämä	PRO;MASC;SG	PRO;IN+ABL;SG
este	tämä	este	tämä	PRO;MASC;SG	PRO;NOM;SG
pero	mutta	pero	mutta	CONJ	CONJ
años	vuodet	año	vuosi	N;MASC;PL	N;NOM;PL
años	vuosien	año	vuosi	N;MASC;PL	N;GEN;PL
años	vuosia	año	vuosi	N;MASC;PL	N;PRT;PL
son	ovat	ser	olla	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN;ACT
son	ovatko	ser	olla	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN;ACT
año	vuoden	año	vuosi	N;MASC;SG	N;GEN;SG
año	vuosi	año	vuosi	N;MASC;SG	N;NOM;SG
año	vuonna	año	vuosi	N;MASC;SG	N;FRML;SG
esta	tämän	este	tämä	PRO;FEM;SG	PRO;GEN;SG
esta	tätä	este	tämä	PRO;FEM;SG	PRO;PRT;SG
esta	tästä	este	tämä	PRO;FEM;SG	PRO;IN+ABL;SG
esta	tämä	este	tämä	PRO;FEM;SG	PRO;NOM;SG
enlaces	linkit	enlace	linkki	N;MASC;PL	N;NOM;PL
enlaces	yhteydet	enlace	yhteys	N;MASC;PL	N;NOM;PL
enlaces	linkkejä	enlace	linkki	N;MASC;PL	N;PRT;PL
enlaces	linkkien	enlace	linkki	N;MASC;PL	N;GEN;PL
externos	ulkoiset	externo	ulkoinen	ADJ;MASC;PL	ADJ;NOM;PL
ciudad	kaupunki	ciudad	kaupunki	N;FEM;SG	N;NOM;SG
ciudad	kaupunki	ciudad	kaupunki	N;FEM;SG	N;NOM;SG
ciudad	paikkakunta	ciudad	paikka#kunta	N;FEM;SG	N;NOM;SG
parte	osapuoli	parte	osa#puoli	N;FEM;SG	N;NOM;SG
