sound	geluid	sound	geluid	N	N;NEUT;SG
novio	bruidegom	novio	bruidegom	N;MASC;SG	N;MASC+FEM;SG
novio	vriendje	novio	vriend	N;MASC;SG	N;NEUT;SG
rechazo	afwijzing	rechazo	afwijzing	N;MASC;SG	N;MASC+FEM;SG
rechazo	weigering	rechazo	weigering	N;MASC;SG	N;MASC+FEM;SG
rechazo	verwerping	rechazo	verwerping	N;MASC;SG	N;MASC+FEM;SG
rechazo	afwijzing	rechazo	afwijzing	N;MASC;SG	N;MASC+FEM;SG
parker	parker	parker	park	N;MASC;SG	N;MASC+FEM;SG
eligió	koos	elegir	kiezen	V;IND;SG;3;PST;FIN	V;SG;PST;FIN
firmar	ondertekenen	firmar	ondertekenen	V;NFIN	V;NFIN
firmar	onderteken	firmar	onderteken	V;NFIN	V;SG;PRS;FIN
firmar	ondertekenen	firmar	ondertekenen	V;NFIN	V;NFIN
firmar	tekenen	firmar	tekenen	V;NFIN	V;NFIN
describir	omschrijf	describir	omschrijf	V;NFIN	V;SG;PRS;FIN
describir	beschrijf	describir	beschrijf	V;NFIN	V;SG;PRS;FIN
describir	beschrijven	describir	beschrijven	V;NFIN	V;NFIN
describir	beschrijven	describir	beschrijven	V;NFIN	V;NFIN
expresiones	uitdrukkingen	expresión	uitdrukking	N;FEM;PL	N;PL
expresiones	expressies	expresión	expressie	N;FEM;PL	N;PL
songs	nummers	songs	nummer	N	N;PL
songs	liederen	songs	lied	N	N;PL
songs	songs	songs	songs	N	N;PL
songs	liedjes	songs	lied	N	N;PL
ruptura	breuk	ruptura	breuk	N;FEM;SG	N;MASC+FEM;SG
emisora	omroeporganisatie	emisora	omroeporganisatie	N;FEM;SG	N;MASC+FEM;SG
filósofos	filosofen	filósofo	filosoof	N;MASC;PL	N;PL
adolescente	teen	adolescente	teen	N;SG	N;MASC+FEM;SG
adolescente	tiener	adolescente	tiener	N;SG	N;MASC+FEM;SG
adolescente	adolescente	adolescente	adolescente	N;SG	N;MASC+FEM;SG
adolescente	puber	adolescente	puber	N;SG	N;MASC+FEM;SG
adolescente	puber	adolescente	puber	N;SG	N;MASC+FEM;SG
adolescente	tiener	adolescente	tiener	N;SG	N;MASC+FEM;SG
inés	inés	inés	inés	N;FEM;SG	N;MASC+FEM;SG
