den	میرا	den	میں	PRO;DEF;MASC+FEM;SG	PRO;NOM;SG;1
med	سے	med	سے	ADP	ADP
som	یعنی	som	یعنی	CONJ	CONJ
som	یعنی	som	یعنی	CONJ	CONJ
nederbörd	بارش	nederbörd	بارش	N;NOM;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
över	بعبور	över	بعبور	ADP	ADP
familjen	ذات	familj	ذات	N;NOM;DEF;MASC+FEM;SG	N;NOM;FEM;SG;3
för	بحوالہ	för	بحوالہ	ADP	ADP
för	بمناسبت	för	بمناسبت	ADP	ADP
för	بغرض	för	بغرض	ADP	ADP
delen	جزو	del	جزو	N;NOM;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
släktet	جنس	släkte	جنس	N;NOM;DEF;NEUT;SG	N;NOM;MASC;SG;3
life	زندگی	life	زندگی	N;NOM;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
life	موقع	life	موقع	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
life	اتفاق	life	اتفاق	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
life	اعمال	life	اعمال	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
life	زندگی	life	زندگی	N;NOM;INDF;MASC+FEM;SG	N;NOM;FEM;SG;3
life	موقع	life	موقع	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
life	اتفاق	life	اتفاق	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
life	اعمال	life	اعمال	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
life	حیات	life	شریک_حیات	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
landet	ملک	land	ملک	N;NOM;DEF;NEUT;SG	N;NOM;MASC;SG;3
landet	ملک	land	ملک	N;NOM;DEF;NEUT;SG	N;NOM;MASC;SG;3
havet	سمندر	hav	سمندر	N;NOM;DEF;NEUT;SG	N;NOM;MASC;SG;3
genomsnittlig	عام	genomsnittlig	عام	ADJ;NOM;INDF;MASC+FEM;SG	ADJ
per	فی	per	فی	ADP	ADP
vattendrag	چشمہ	vattendrag	چشمہ	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG;3
vid	پر	vid	پر	ADP	ADP
från	سے	från	سے	ADP	ADP
provinsen	صوبہ	provins	صوبہ	N;NOM;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
närheten	قربت	närhet	قربت	N;NOM;DEF;MASC+FEM;SG	N;NOM;MASC;SG;3
men	لیکن	men	لیکن	CONJ	CONJ
augusti	گرامی	augusti	گرامی	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
läge	طور	läge	طور	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG;3
läge	انداز	läge	انداز	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG;3
läge	طور	läge	طور	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG;3
läge	شان	läge	شان	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG;3
läge	انداز	läge	انداز	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG;3
under	زیر	under	زیر	ADP	ADP;NOM;MASC;SG
eller	لیکن	eller	لیکن	CONJ	CONJ
sjö	سمندر	sjö	سمندر	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
kommun	بلدیہ	kommun	بلدیہ	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
växer	بڑھنا	växa	بڑھ	V;IND;PRS;FIN;ACT	V;MASC;SG;NFIN;ACT
efter	مابعد	efter	مابعد	ADP	ADP
efter	بعد	efter	بعد	ADP	ADP;NOM;MASC;SG;3
efter	مابعد	efter	مابعد	ADP	ADP
provins	صوبہ	provins	صوبہ	N;NOM;INDF;MASC+FEM;SG	N;NOM;MASC;SG;3
berg	تودہ	berg	تودہ	N;NOM;INDF;NEUT;SG	N;NOM;MASC;SG;3
