abhazya	abkhazie	abhazya	abkhazie	N;NOM;SG;3	N;FEM;SG
istatistiksel	statistique	istatistiksel	statistique	ADJ	ADJ;MASC;SG
kabilesi	tribu	kabile	tribu	N;NOM;SG;3	N;FEM;SG
temsilcileri	représentants	temsilci	représentant	N;NOM;PL;3	N;MASC;PL
temsilcileri	représentants	temsilci	représentant	N;NOM;PL;3	N;MASC;PL
imar	zonage	imar	zonage	N;NOM;SG;3	N;MASC;SG
bireyler	particuliers	birey	particulier	N;NOM;PL;3	N;MASC;PL
bireyler	individus	birey	individu	N;NOM;PL;3	N;MASC;PL
mezarlık	cimetière	mezarlık	cimetière	N;NOM;SG;3	N;MASC;SG
mezarlık	cimetière	mezarlık	cimetière	N;NOM;SG;3	N;MASC;SG
sakinleri	habitants	sakin	habitant	N;ACC;PL;3	N;MASC;PL
sakinleri	résidents	sakin	résident	N;ACC;PL;3	N;MASC;PL
detayları	détails	detay	détail	N;NOM;PL;3	N;MASC;PL
halı	moquette	hal	moquette	N;NOM;SG;3	N;FEM;SG
halı	tapis	hal	tapis	N;NOM;SG;3	N;MASC;SG
halı	tapis	hal	tapis	N;NOM;SG;3	N;MASC;SG
halı	moquette	hal	moquette	N;NOM;SG;3	N;FEM;SG
halı	tapis	hal	tapis	N;NOM;SG;3	N;MASC;SG
sıkıntısı	ennui	sıkıntı	ennui	N;NOM;SG;3	N;MASC;SG
sıkıntısı	pénurie	sıkıntı	pénurie	N;NOM;SG;3	N;FEM;SG
amaçları	objectifs	amaç	objectif	N;ACC;PL;3	N;MASC;PL
nişancı	tireur	nişancı	tireur	N;NOM;SG;3	N;MASC;SG
nişancı	tireur	nişancı	tireur	N;NOM;SG;3	N;MASC;SG
nişancı	sniper	nişancı	sniper	N;NOM;SG;3	N;MASC;SG
tamamlanmış	complété	tamamla	compléter	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V;MASC;SG;PST;V.PTCP
tamamlanmış	terminée	tamamla	terminer	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V;FEM;SG;PST;V.PTCP
tamamlanmış	achevé	tamamla	achever	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V;MASC;SG;PST;V.PTCP
tamamlanmış	terminé	tamamla	terminer	V;PFV;NFH;IND;SG;3;POS;PST;PASS	V;MASC;SG;PST;V.PTCP
kayıtlar	enregistrements	kayıt	enregistrement	N;NOM;PL;3	N;MASC;PL
kayıtlar	inscriptions	kayıt	inscription	N;NOM;PL;3	N;FEM;PL
kayıtlar	enregistrements	kayıt	enregistrement	N;NOM;PL;3	N;MASC;PL
kayıtlar	records	kayıt	record	N;NOM;PL;3	N;MASC;PL
parçacıkların	particules	parçacık	particule	N;GEN;PL;3	N;FEM;PL
gösteriler	performances	göster	performance	N;NOM;PL;3	N;FEM;PL
gösteriler	spectacles	göster	spectacle	N;NOM;PL;3	N;MASC;PL
gösteriler	représentations	göster	représentation	N;NOM;PL;3	N;FEM;PL
gösteriler	présentoirs	göster	présentoir	N;NOM;PL;3	N;MASC;PL
gösteriler	affichages	göster	affichage	N;NOM;PL;3	N;MASC;PL
gösteriler	démonstrations	göster	démonstration	N;NOM;PL;3	N;FEM;PL
gösteriler	manifestations	göster	manifestation	N;NOM;PL;3	N;FEM;PL
nedenleri	raisons	neden	raison	N;ACC;PL;3	N;FEM;PL
nedenleri	causes	neden	cause	N;ACC;PL;3	N;FEM;PL
dosyaları	fichiers	dosya	fichier	N;NOM;PL;3	N;MASC;PL
dosyaları	dossiers	dosya	dossier	N;NOM;PL;3	N;MASC;PL
paketi	paquetage	paket	paquetage	N;NOM;SG;3	N;MASC;SG
paketi	forfait	paket	forfait	N;NOM;SG;3	N;MASC;SG
paketi	paquet	paket	paquet	N;NOM;SG;3	N;MASC;SG
paketi	colis	paket	colis	N;NOM;SG;3	N;MASC;SG
