ve	そして	ve	そして	CONJ	CONJ
daha	もっと	daha	もっと	ADV	ADV
yer	会場	yer	会場	N;NOM;SG;3	N
yer	場所	yer	場所	N;NOM;SG;3	N
yer	スポット	yer	スポット	N;NOM;SG;3	N
yer	所在	yer	所在	N;NOM;SG;3	N
yer	ロケーション	yer	ロケーション	N;NOM;SG;3	N
yer	場所	yer	場所	N;NOM;SG;3	N
of	uff	of	uff		
center	センター	center	センター	N;NOM;SG;3	N
center	中央	center	中央	N;NOM;SG;3	N
center	中心	center	中心	N;NOM;SG;3	N
yeni	新しい	yeni	新しい	ADJ	ADJ
yeni	新規	yeni	新規	ADJ	ADJ
aynı	同じ	aynı	同じ	ADJ	ADJ
madde	物質	madde	物質	N;NOM;SG;3	N
madde	条項	madde	条項	N;NOM;SG;3	N
madde	素材	madde	素材	N;NOM;SG;3	N
madde	材料	madde	材料	N;NOM;SG;3	N
madde	マテリアル	madde	マテリアル	N;NOM;SG;3	N
madde	物質	madde	物質	N;NOM;SG;3	N
madde	事柄	madde	事柄	N;NOM;SG;3	N
madde	記事	madde	記事	N;NOM;SG;3	N
madde	冠詞	madde	冠詞	N;NOM;SG;3	N
sağlık	ウェルネス	sağlık	ウェルネス	N;NOM;SG;3	N
sağlık	医学	sağlık	医学	N;NOM;SG;3	N
adı	名前	ad	名前	N;NOM;SG;3	N
adı	氏名	ad	氏名	N;NOM;SG;3	N
adı	名称	ad	名称	N;NOM;SG;3	N
ama	でも	ama	でも	CONJ	CONJ
ama	しかし	ama	しかし	CONJ	CONJ
karşı	反対	karşı	反対		
üniversitesi	大学	üniversitesi	大学	N;NOM;SG;3	N
zaman	タイム	zaman	タイム	N;NOM;SG;3	N
zaman	時間	zaman	時間	N;NOM;SG;3	N
aralık	間隔	aralık	間隔	N;NOM;SG;3	N
aralık	音程	aralık	音程	N;NOM;SG;3	N
aralık	インターバル	aralık	インターバル	N;NOM;SG;3	N
aralık	区間	aralık	区間	N;NOM;SG;3	N
yüksek	高い	yüksek	高い	ADJ	ADJ
sadece	ちょうど	sadece	ちょうど	ADV	ADV
şekilde	ウェイ	şekil	ウェイ	N;ESS;SG;3	N
bilgi	情報	bilgi	情報	N;NOM;SG;3	N
bilgi	情報	bilgi	情報	N;NOM;SG;3	N
bilgi	知識	bilgi	知識	N;NOM;SG;3	N
devlet	都道府県	devlet	都道府県	N;NOM;SG;3	N
devlet	状態	devlet	状態	N;NOM;SG;3	N
devlet	政府	devlet	政府	N;NOM;SG;3	N
tarihi	デート	tarih	デート		
küçük	小さな	küçük	小さな	ADJ	ADJ
küçük	小さい	küçük	小さい	ADJ	ADJ
küçük	小さい	küçük	小さい	ADJ	ADJ
gelen	受信	gel	受信	V;PFV;IND;POS;PRS;V.PTCP	V
kabul	賛成	kabul	賛成	N;NOM;SG;3	N
kupası	カップ	kupa	カップ	N;NOM;SG;3	N
kupası	コップ	kupa	コップ	N;NOM;SG;3	N
okulu	学校	okul	学校	N;NOM;SG;3	N
okulu	スクール	okul	スクール	N;NOM;SG;3	N
aldı	受け取り	al	受け取る	V;PFV;IND;SG;3;POS;PST	V
aldı	受信	al	受信	V;PFV;IND;SG;3;POS;PST	V
doğru	正解	doğru	正解		
biri	誰	biri	誰	PRO;NOM;SG;3	PRO
alanı	フィールド	alan	フィールド	N;NOM;SG;3	N
alanı	面積	alan	面積	N;NOM;SG;3	N
alanı	領域	alan	領域	N;NOM;SG;3	N
alanı	エリア	alan	エリア	N;NOM;SG;3	N
uzun	高い	uzun	高い	ADJ	ADJ
uzun	長い	uzun	長い	ADJ	ADJ
elektrik	電力	elektrik	電力	N;NOM;SG;3	N
elektrik	電気	elektrik	電気	N;NOM;SG;3	N
elektrik	エレクトリック	elektrik	エレクトリック	N;NOM;SG;3	N
elektrik	電気	elektrik	電気	N;NOM;SG;3	N
merkezi	中央	merkez	中央	N;ACC;SG;3	N
merkezi	センター	merkez	センター	N;ACC;SG;3	N
merkezi	中央	merkez	中央	N;ACC;SG;3	N
merkezi	中心	merkez	中心	N;ACC;SG;3	N
merkezi	中央	merkez	中央	N;ACC;SG;3	N
merkezi	センター	merkez	センター	N;ACC;SG;3	N
merkezi	中心	merkez	中心	N;ACC;SG;3	N
kısa	短い	kısa	短い	ADJ	ADJ
kişi	人物	kişi	人物	N;NOM;SG;3	N
çeşitli	品種	çeşitli	品種		
açıklama	説明	açıkla	説明	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
açıklama	解説	açıkla	解説	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
açıklama	説明	açıkla	説明	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
açıklama	解説	açıkla	解説	V;PFV;NOM;IND;POS;PRS;V.MSDR	V
bilgileri	情報	bilgi	情報	N;ACC;PL;3	N
el	ハンド	el	ハンド	N;NOM;SG;3	N
yok	なし	yok	なす		
gol	ゴール	gol	ゴール	N;NOM;SG;3	N
gol	ゴール	gol	ゴール	N;NOM;SG;3	N
gol	目標	gol	目標	N;NOM;SG;3	N
suyu	ジュース	su	ジュース	N;ACC;SG;3	N
ilköğretim	小学校	ilköğretim	小学校	N;NOM;SG;3	N
ödülü	報酬	ödül	報酬	N;ACC;SG;3	N
altyapı	インフラストラクチャー	altyap	インフラストラクチャー		
yerine	置換	yer	置換	N;DAT;SG;3	N
gün	一日	gün	一日	N;NOM;SG;3	N
süre	タイム	süre	タイム	N;NOM;SG;3	N
süre	時間	süre	時間	N;NOM;SG;3	N
süre	期間	süre	期間	N;NOM;SG;3	N
eğitim	トレーニング	eğitim	トレーニング	N;NOM;SG;3	N
eğitim	講習	eğitim	講習	N;NOM;SG;3	N
eğitim	教育	eğitim	教育	N;NOM;SG;3	N
eğitim	学歴	eğitim	学歴	N;NOM;SG;3	N
eğitim	チュートリアル	eğitim	チュートリアル	N;NOM;SG;3	N
yaklaşık	おおよそ	yaklaşık	おおよそ		
yaklaşık	おおよそ	yaklaşık	おおよそ		
görev	義務	görev	義務	N;NOM;SG;3	N
görev	タスク	görev	タスク	N;NOM;SG;3	N
görev	代入	görev	代入	N;NOM;SG;3	N
görev	ミッション	görev	ミッション	N;NOM;SG;3	N
yine	再び	yine	再び	ADV	ADV
ekonomisi	経済	ekonomi	経済	N;NOM;SG;3	N
telefon	電話	telefon	電話	N;NOM;SG;3	N
telefon	電話	telefon	電話	N;NOM;SG;3	N
telefon	電話	telefon	電話	N;NOM;SG;3	N
yeniden	再び	yeniden	再び	ADV	ADV
nedeniyle	締切	neden	締切	N;INS;SG;3	N
savaş	バトル	savaş	バトル	N;NOM;SG;3	N
savaş	戦争	savaş	戦争	N;NOM;SG;3	N
savaş	ファイト	savaş	ファイト	N;NOM;SG;3	N
elde	後	el	後	N;ESS;SG;3	N
kullanıcı	ユーザー	kullanıcı	ユーザー	N;NOM;SG;3	N
kullanıcı	ユーザ	kullanıcı	ユーザ	N;NOM;SG;3	N
kullanıcı	ユーザー	kullanıcı	ユーザー	N;NOM;SG;3	N
kullanıcı	ユーザ	kullanıcı	ユーザ	N;NOM;SG;3	N
birliği	ユニオン	birlik	ユニオン	N;NOM;SG;3	N
kanalizasyon	下水道	kanalizasyon	下水道	N;NOM;SG;3	N
kanalizasyon	下水道	kanalizasyon	下水道	N;NOM;SG;3	N
kanalizasyon	下水	kanalizasyon	下水	N;NOM;SG;3	N
maç	ゲーム	maç	ゲーム	N;NOM;SG;3	N
maç	マッチ	maç	マッチ	N;NOM;SG;3	N
nüfusu	人口	nüfus	人口	N;ACC;SG;3	N
nüfusu	人口	nüfus	人口	N;ACC;SG;3	N
uygun	便利	uygun	便利	ADJ	ADJ
stadyumu	スタジアム	stadyum	スタジアム	N;NOM;SG;3	N
bar	バール	bar	バール	N;NOM;SG;3	N
bar	バー	bar	バー	N;NOM;SG;3	N
bar	パブ	bar	パブ	N;NOM;SG;3	N
sonunda	ついに	sonunda	ついに	ADV	ADV
sonunda	やっと	sonunda	やっと	ADV	ADV
sonunda	遂に	sonunda	遂にる	ADV	ADV
verilen	与え	ver	与える	V;PFV;IND;POS;PRS;V.PTCP;PASS	V
çünkü	だっ	çünkü	だ	CONJ	CONJ
insan	人物	insan	人物	N;NOM;SG;3	N
insan	男性	insan	男性	N;NOM;SG;3	N
insan	ヒト	insan	ヒト	N;NOM;SG;3	N
insan	ヒューマン	insan	ヒューマン	N;NOM;SG;3	N
insan	人間	insan	人間	N;NOM;SG;3	N
stadyum	スタジアム	stadyum	スタジアム	N;NOM;SG;3	N
an	瞬間	an	瞬間	N;NOM;SG;3	N
an	モーメント	an	モーメント	N;NOM;SG;3	N
iş	職業	iş	職業	N;NOM;SG;3	N
iş	仕事	iş	仕事	N;NOM;SG;3	N
iş	ジョブ	iş	ジョブ	N;NOM;SG;3	N
iş	作業	iş	作業	N;NOM;SG;3	N
iş	仕事	iş	仕事	N;NOM;SG;3	N
iş	ワーク	iş	ワーク	N;NOM;SG;3	N
iş	ジョブ	iş	ジョブ	N;NOM;SG;3	N
iş	求人	iş	求人	N;NOM;SG;3	N
iş	営業	iş	営業	N;NOM;SG;3	N
iş	事業	iş	事業	N;NOM;SG;3	N
iş	ビジネス	iş	ビジネス	N;NOM;SG;3	N
bölümü	セクション	bölüm	セクション	N;NOM;SG;3	N
bölümü	部署	bölüm	部署	N;NOM;SG;3	N
bölümü	学科	bölüm	学科	N;NOM;SG;3	N
bölümü	部門	bölüm	部門	N;NOM;SG;3	N
bunu	これ	bu	これ	PRO;ACC;SG;3	PRO
güzel	美しい	güzel	美しい	ADJ	ADJ
güzel	良い	güzel	良い	ADJ	ADJ
güzel	素敵	güzel	素敵	ADJ	ADJ
güzel	可愛い	güzel	可愛い	ADJ	ADJ
