daha	mais	daha	mais	ADV	ADV
sonra	então	sonra	então	ADV	ADV
sonra	depois	sonra	depois	ADV	ADV
sonra	depois	sonra	depois	ADV	ADV
sonra	depois	sonra	depois	ADV	ADV
yer	local	yer	local	N;NOM;SG;3	N;MASC;SG
yer	lugar	yer	lugar	N;NOM;SG;3	N;MASC;SG
yer	place	yer	place	N;NOM;SG;3	N;MASC;SG
yer	local	yer	local	N;NOM;SG;3	N;MASC;SG
yer	sítio	yer	sítio	N;NOM;SG;3	N;MASC;SG
yer	localização	yer	localização	N;NOM;SG;3	N;FEM;SG
bağlantılar	conexões	bağlantı	conexão	N;NOM;PL;3	N;FEM;PL
bağlantılar	ligações	bağlantı	ligação	N;NOM;PL;3	N;FEM;PL
bağlantılar	ligações	bağlantı	ligação	N;NOM;PL;3	N;FEM;PL
bağlantılar	links	bağlantı	link	N;NOM;PL;3	N;MASC;PL
bağlantılar	contactos	bağlantı	contacto	N;NOM;PL;3	N;MASC;PL
bağlantılar	contatos	bağlantı	contato	N;NOM;PL;3	N;MASC;PL
center	centro	center	centro	N;NOM;SG;3	N;MASC;SG
center	center	center	center	N;NOM;SG;3	N;MASC;SG
yeni	novo	yeni	novo	ADJ	ADJ;MASC;SG
yeni	novas	yeni	novo	ADJ	ADJ;FEM;PL
yeni	novos	yeni	novo	ADJ	ADJ;MASC;PL
yeni	nova	yeni	novo	ADJ	ADJ;FEM;SG
her	cada	her	cada	DET	DET;FEM;SG
aynı	mesma	aynı	mesmo	ADJ	ADJ;FEM;SG
aynı	mesmos	aynı	mesmo	ADJ	ADJ;MASC;PL
ilgili	pertinente	ilgili	pertinente	ADJ	ADJ;MASC;SG
ilgili	relevante	ilgili	relevante	ADJ	ADJ;MASC;SG
ilgili	pertinentes	ilgili	pertinente	ADJ	ADJ;MASC;PL
ilgili	relevantes	ilgili	relevante	ADJ	ADJ;MASC;PL
ilgili	interessada	ilgili	interessado	ADJ	ADJ;FEM;SG
ilgili	interessado	ilgili	interessado	ADJ	ADJ;MASC;SG
madde	substância	madde	substância	N;NOM;SG;3	N;FEM;SG
madde	cláusula	madde	cláusula	N;NOM;SG;3	N;FEM;SG
madde	material	madde	material	N;NOM;SG;3	N;MASC;SG
madde	matéria	madde	matéria	N;NOM;SG;3	N;FEM;SG
madde	artigo	madde	artigo	N;NOM;SG;3	N;MASC;SG
sağlık	wellness	sağlık	wellness	N;NOM;SG;3	N;MASC;SG
sağlık	médica	sağlık	médico	N;NOM;SG;3	N;FEM;SG
sağlık	medico	sağlık	medico	N;NOM;SG;3	N;MASC;SG
sağlık	medicina	sağlık	medicina	N;NOM;SG;3	N;FEM;SG
sağlık	saude	sağlık	saude	N;NOM;SG;3	N;FEM;SG
sağlık	saúde	sağlık	saúde	N;NOM;SG;3	N;FEM;SG
genel	genérica	genel	genérico	ADJ	ADJ;FEM;SG
genel	genéricas	genel	genérico	ADJ	ADJ;FEM;PL
genel	genérico	genel	genérico	ADJ	ADJ;MASC;SG
adı	nome	ad	nome	N;NOM;SG;3	N;MASC;SG
ama	mas	ama	mas	CONJ	CONJ
ikinci	segunda	ikinci	segundo	ADJ	ADJ;FEM;SG
içinde	dentro	içinde	dentro	ADV	ADV
üniversitesi	university	üniversitesi	university	N;NOM;SG;3	N;MASC;SG
üniversitesi	universidade	üniversitesi	universidade	N;NOM;SG;3	N;FEM;SG
zaman	hora	zaman	hora	N;NOM;SG;3	N;FEM;SG
zaman	horário	zaman	horário	N;NOM;SG;3	N;MASC;SG
zaman	tempo	zaman	tempo	N;NOM;SG;3	N;MASC;SG
zaman	time	zaman	time	N;NOM;SG;3	N;MASC;SG
bazı	algum	bazı	algum	DET	DET;MASC;SG
aralık	dezembro	aralık	dezembro	N;NOM;SG;3	N;MASC;SG
aralık	dezembro	aralık	dezembro	N;NOM;SG;3	N;MASC;SG
aralık	intervalo	aralık	intervalo	N;NOM;SG;3	N;MASC;SG
yüksek	altas	yüksek	alto	ADJ	ADJ;FEM;PL
yüksek	superior	yüksek	alto	ADJ	ADJ;MASC;SG
sadece	só	sadece	só	ADV	ADV
sadece	apenas	sadece	apenas	ADV	ADV
sadece	somente	sadece	somente	ADV	ADV
sadece	unicamente	sadece	unicamente	ADV	ADV
sadece	só	sadece	só	ADV	ADV
sadece	apenas	sadece	apenas	ADV	ADV
şekilde	maneira	şekil	maneira	N;ESS;SG;3	N;FEM;SG
şekilde	way	şekil	way	N;ESS;SG;3	N;MASC;SG
bilgi	informação	bilgi	informação	N;NOM;SG;3	N;FEM;SG
bilgi	conhecimento	bilgi	conhecimento	N;NOM;SG;3	N;MASC;SG
devlet	state	devlet	state	N;NOM;SG;3	N;MASC;SG
devlet	estado	devlet	estado	N;NOM;SG;3	N;MASC;SG
devlet	governo	devlet	governo	N;NOM;SG;3	N;MASC;SG
üç	tres	üç	tres	NUM	NUM
üç	três	üç	três	NUM	NUM
başladı	iniciado	başla	iniciar	V;PFV;IND;SG;3;POS;PST	V;MASC;SG;V.PTCP
başladı	começou	başla	começar	V;PFV;IND;SG;3;POS;PST	V;IND;SG;3;PST;FIN
başladı	iniciou	başla	iniciar	V;PFV;IND;SG;3;POS;PST	V;IND;SG;3;PST;FIN
başladı	iniciado	başla	iniciar	V;PFV;IND;SG;3;POS;PST	V;MASC;SG;V.PTCP
başladı	iniciada	başla	iniciar	V;PFV;IND;SG;3;POS;PST	V;FEM;SG;V.PTCP
başladı	começou	başla	começar	V;PFV;IND;SG;3;POS;PST	V;IND;SG;3;PST;FIN
küçük	pequenos	küçük	pequeno	ADJ	ADJ;MASC;PL
küçük	pequeno	küçük	pequeno	ADJ	ADJ;MASC;SG
küçük	pequena	küçük	pequeno	ADJ	ADJ;FEM;SG
küçük	pequenas	küçük	pequeno	ADJ	ADJ;FEM;PL
küçük	pequeno	küçük	pequeno	ADJ	ADJ;MASC;SG
küçük	pequena	küçük	pequeno	ADJ	ADJ;FEM;SG
gelen	recebidas	gel	receber	V;PFV;IND;POS;PRS;V.PTCP	V;FEM;PL;V.PTCP
kabul	aceitação	kabul	aceitação	N;NOM;SG;3	N;FEM;SG
kupası	xícara	kupa	xícara	N;NOM;SG;3	N;FEM;SG
kupası	copa	kupa	copa	N;NOM;SG;3	N;FEM;SG
kupası	taça	kupa	taça	N;NOM;SG;3	N;FEM;SG
kupası	chávena	kupa	cháveno	N;NOM;SG;3	N;FEM;SG
kupası	copo	kupa	copo	N;NOM;SG;3	N;MASC;SG
okulu	escola	okul	escola	N;NOM;SG;3	N;FEM;SG
aldı	tirada	al	tirar	V;PFV;IND;SG;3;POS;PST	V;FEM;SG;V.PTCP
aldı	tomado	al	tomar	V;PFV;IND;SG;3;POS;PST	V;MASC;SG;V.PTCP
aldı	levado	al	levar	V;PFV;IND;SG;3;POS;PST	V;MASC;SG;V.PTCP
aldı	levou	al	levar	V;PFV;IND;SG;3;POS;PST	V;IND;SG;3;PST;FIN
aldı	tirou	al	tirar	V;PFV;IND;SG;3;POS;PST	V;IND;SG;3;PST;FIN
aldı	demorou	al	demorar	V;PFV;IND;SG;3;POS;PST	V;IND;SG;3;PST;FIN
aldı	recebida	al	receber	V;PFV;IND;SG;3;POS;PST	V;FEM;SG;V.PTCP
aldı	recebido	al	receber	V;PFV;IND;SG;3;POS;PST	V;MASC;SG;V.PTCP
aldı	recebeu	al	receber	V;PFV;IND;SG;3;POS;PST	V;IND;SG;3;PST;FIN
farklı	diferente	farklı	diferente	ADJ	ADJ;MASC;SG
farklı	diferentes	farklı	diferente	ADJ	ADJ;MASC;PL
özel	exclusivo	özel	exclusivo	ADJ	ADJ;MASC;SG
özel	exclusiva	özel	exclusivo	ADJ	ADJ;FEM;SG
özel	exclusivas	özel	exclusivo	ADJ	ADJ;FEM;PL
özel	exclusivos	özel	exclusivo	ADJ	ADJ;MASC;PL
özel	privada	özel	privado	ADJ	ADJ;FEM;SG
özel	privado	özel	privado	ADJ	ADJ;MASC;SG
özel	especial	özel	especial	ADJ	ADJ;MASC;SG
özel	especiais	özel	especial	ADJ	ADJ;MASC;PL
biri	alguém	biri	alguém	PRO;NOM;SG;3	PRO;MASC;SG
biri	alguém	biri	alguém	PRO;NOM;SG;3	PRO;MASC;SG
alanı	field	alan	field	N;NOM;SG;3	N;MASC;SG
alanı	campo	alan	campo	N;NOM;SG;3	N;MASC;SG
alanı	area	alan	area	N;NOM;SG;3	N;FEM;SG
alanı	área	alan	área	N;NOM;SG;3	N;FEM;SG
uzun	altas	uzun	alto	ADJ	ADJ;FEM;PL
uzun	longa	uzun	longo	ADJ	ADJ;FEM;SG
uzun	longos	uzun	longo	ADJ	ADJ;MASC;PL
elektrik	eletricidade	elektrik	eletricidade	N;NOM;SG;3	N;FEM;SG
elektrik	electricidade	elektrik	electricidade	N;NOM;SG;3	N;FEM;SG
elektrik	elétrica	elektrik	elétrico	N;NOM;SG;3	N;FEM;SG
elektrik	elétrico	elektrik	elétrico	N;NOM;SG;3	N;MASC;SG
elektrik	eléctrica	elektrik	eléctrico	N;NOM;SG;3	N;FEM;SG
elektrik	elétrica	elektrik	elétrico	N;NOM;SG;3	N;FEM;SG
elektrik	elétrico	elektrik	elétrico	N;NOM;SG;3	N;MASC;SG
ardından	depois	ardından	depois	ADV	ADV
merkezi	central	merkez	central	N;ACC;SG;3	N;FEM;SG
merkezi	centro	merkez	centro	N;ACC;SG;3	N;MASC;SG
merkezi	center	merkez	center	N;ACC;SG;3	N;MASC;SG
merkezi	centro	merkez	centro	N;ACC;SG;3	N;MASC;SG
merkezi	centre	merkez	centre	N;ACC;SG;3	N;MASC;SG
kısa	curto	kısa	curto	ADJ	ADJ;MASC;SG
kısa	curtas	kısa	curto	ADJ	ADJ;FEM;PL
kısa	curta	kısa	curto	ADJ	ADJ;FEM;SG
kişi	pessoa	kişi	pessoa	N;NOM;SG;3	N;FEM;SG
el	mão	el	mão	N;NOM;SG;3	N;FEM;SG
el	hand	el	hand	N;NOM;SG;3	N;MASC;SG
gol	lago	gol	lago	N;NOM;SG;3	N;MASC;SG
gol	gol	gol	gol	N;NOM;SG;3	N;MASC;SG
gol	objetivo	gol	objetivo	N;NOM;SG;3	N;MASC;SG
gol	golo	gol	golo	N;NOM;SG;3	N;MASC;SG
gol	baliza	gol	baliza	N;NOM;SG;3	N;FEM;SG
gol	meta	gol	meta	N;NOM;SG;3	N;FEM;SG
sağlayan	permitindo	sağla	permitir	V;PFV;IND;POS;PRS;V.PTCP	V;V.MSDR
sağlayan	possibilitando	sağla	possibilitar	V;PFV;IND;POS;PRS;V.PTCP	V;V.MSDR
sağlayan	proporcionando	sağla	proporcionar	V;PFV;IND;POS;PRS;V.PTCP	V;V.MSDR
sağlayan	fornecendo	sağla	fornecer	V;PFV;IND;POS;PRS;V.PTCP	V;V.MSDR
suyu	sumo	su	sumo	N;ACC;SG;3	N;MASC;SG
suyu	juice	su	juice	N;ACC;SG;3	N;MASC;SG
suyu	suco	su	suco	N;ACC;SG;3	N;MASC;SG
ilköğretim	elementar	ilköğretim	elementar	N;NOM;SG;3	N;MASC;SG
ödülü	recompensa	ödül	recompensar	N;ACC;SG;3	N;FEM;SG
ödülü	prémio	ödül	prémio	N;ACC;SG;3	N;MASC;SG
ödülü	premio	ödül	premio	N;ACC;SG;3	N;MASC;SG
ödülü	prêmio	ödül	prêmio	N;ACC;SG;3	N;MASC;SG
ödülü	prémio	ödül	prémio	N;ACC;SG;3	N;MASC;SG
ödülü	prêmio	ödül	prêmio	N;ACC;SG;3	N;MASC;SG
yerine	substituição	yer	substituição	N;DAT;SG;3	N;FEM;SG
gün	dia	gün	dia	N;NOM;SG;3	N;MASC;SG
süre	hora	süre	hora	N;NOM;SG;3	N;FEM;SG
süre	horário	süre	horário	N;NOM;SG;3	N;MASC;SG
süre	tempo	süre	tempo	N;NOM;SG;3	N;MASC;SG
süre	time	süre	time	N;NOM;SG;3	N;MASC;SG
süre	duração	süre	duração	N;NOM;SG;3	N;FEM;SG
eğitim	formação	eğitim	formação	N;NOM;SG;3	N;FEM;SG
eğitim	treinamento	eğitim	treinamento	N;NOM;SG;3	N;MASC;SG
eğitim	treino	eğitim	treino	N;NOM;SG;3	N;MASC;SG
eğitim	educação	eğitim	educação	N;NOM;SG;3	N;FEM;SG
eğitim	ensino	eğitim	ensino	N;NOM;SG;3	N;MASC;SG
eğitim	educação	eğitim	educação	N;NOM;SG;3	N;FEM;SG
eğitim	tutorial	eğitim	tutorial	N;NOM;SG;3	N;MASC;SG
az	pouco	az	pouco	ADV	ADV
az	menos	az	menos	ADV	ADV
evi	evi	ev	evi	N;ACC;SG;3	N;MASC;SG
kullanılan	utilizada	kullan	utilizar	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;FEM;SG;V.PTCP
kullanılan	usada	kullan	usar	V;PFV;IND;POS;PRS;V.PTCP;PASS	V;FEM;SG;V.PTCP
