табори	kampen	табір	kamp	N;INAN;NOM;MASC;PL	N;PL
рядки	rijen	рядок	rij	N;INAN;NOM;MASC;PL	N;PL
рядки	lijnen	рядок	lijn	N;INAN;NOM;MASC;PL	N;PL
рядки	koorden	рядок	koord	N;INAN;NOM;MASC;PL	N;PL
рядки	touwtjes	рядок	touw	N;INAN;NOM;MASC;PL	N;PL
рядки	snaren	рядок	snaar	N;INAN;NOM;MASC;PL	N;PL
рядки	strings	рядок	string	N;INAN;NOM;MASC;PL	N;PL
інвестицій	beleggingen	інвестиція	belegging	N;INAN;GEN;FEM;PL	N;PL
інвестицій	investeringen	інвестиція	investering	N;INAN;GEN;FEM;PL	N;PL
взято	genomen	взяти	nemen	V;PFV;IND;0;FIN	V;V.PTCP
взято	meegenomen	взяти	meenemen	V;PFV;IND;0;FIN	V;V.PTCP
екранізації	aanpassingen	екранізація	aanpassing	N;INAN;NOM;FEM;PL	N;PL
сутність	essentie	сутність	essentie	N;INAN;NOM;FEM;SG	N;MASC+FEM;SG
сутність	entiteit	сутність	entiteit	N;INAN;NOM;FEM;SG	N;MASC+FEM;SG
личинки	larven	личинка	larven	N;ANIM;NOM;FEM;PL	N;PL
документа	document	документ	document	N;INAN;GEN;MASC;SG	N;NEUT;SG
професії	beroepen	професія	beroepen	N;INAN;NOM;FEM;PL	N;PL
морів	zeeën	моріти	zeeën	N;INAN;GEN;MASC;PL	N;PL
компонент	bestanddeel	компонент	bestanddeel	N;INAN;NOM;MASC;SG	N;NEUT;SG
компонент	onderdeel	компонент	onderdeel	N;INAN;NOM;MASC;SG	N;NEUT;SG
компонент	component	компонент	component	N;INAN;NOM;MASC;SG	N;MASC+FEM;SG
єврейський	joodse	єврейський	joods	ADJ;NOM;MASC;SG	ADJ
єврейський	joods	єврейський	joods	ADJ;NOM;MASC;SG	ADJ
напади	aanslagen	напади	aanslaan	N;INAN;NOM;MASC;PL	N;PL
напади	aanvallen	напади	aanval	N;INAN;NOM;MASC;PL	N;PL
напади	aanvallen	напади	aanval	N;INAN;NOM;MASC;PL	N;PL
напади	convulsies	напади	convulsie	N;INAN;NOM;MASC;PL	N;PL
квартал	kwart	квартал	kwart	N;INAN;NOM;MASC;SG	N;NEUT;SG
квартал	kwartaal	квартал	kwartaal	N;INAN;NOM;MASC;SG	N;NEUT;SG
квартал	kwartje	квартал	kwartje	N;INAN;NOM;MASC;SG	N;NEUT;SG
математичний	wiskundige	математичний	wiskundig	ADJ;NOM;MASC;SG	ADJ
математичний	wiskundig	математичний	wiskundig	ADJ;NOM;MASC;SG	ADJ
математичний	mathematische	математичний	mathematisch	ADJ;NOM;MASC;SG	ADJ
маленька	kleine	маленький	klein	ADJ;NOM;FEM;SG	ADJ
маленька	klein	маленький	klein	ADJ;NOM;FEM;SG	ADJ
контакт	contact	контакт	contact	N;INAN;NOM;MASC;SG	N;NEUT;SG
контакт	contactpersoon	контакт	contactpersoon	N;INAN;NOM;MASC;SG	N;MASC+FEM;SG
лад	modus	лад	modus	N;INAN;NOM;MASC;SG	N;MASC+FEM;SG
лад	mode	лад	mode	N;INAN;NOM;MASC;SG	N;MASC+FEM;SG
хмари	wolken	хмара	wolk	N;INAN;NOM;FEM;PL	N;PL
популярна	populaire	популярний	populair	ADJ;NOM;FEM;SG	ADJ
популярна	populair	популярний	populair	ADJ;NOM;FEM;SG	ADJ
запобігти	voorkomen	запобігти	voorkomen	V;PFV;NFIN	V;NFIN
запобігти	voorkom	запобігти	voorkom	V;PFV;NFIN	V;SG;PRS;FIN
глядачі	doelgroepen	глядач	doelgroep	N;ANIM;NOM;MASC;PL	N;PL
глядачі	toeschouwers	глядач	toeschouwer	N;ANIM;NOM;MASC;PL	N;PL
глядачі	kijkers	глядач	kijker	N;ANIM;NOM;MASC;PL	N;PL
хліба	brood	хліб	brood	N;INAN;GEN;MASC;SG	N;NEUT;SG
продано	verkocht	продати	verkopen	V;PFV;IND;0;FIN	V;V.PTCP
продано	verkochte	продати	verkopen	V;PFV;IND;0;FIN	V;SG;PST;FIN
описано	beschrijft	описати	beschrijven	V;PFV;IND;0;FIN	V;SG;PRS;FIN
описано	beschreven	описати	beschrijven	V;PFV;IND;0;FIN	V;V.PTCP
