структурні	estructurales	структурний	estructural	ADJ;NOM;PL	ADJ;PL
вирок	sentencia	вирка	sentencia	N;INAN;NOM;MASC;SG	N;FEM;SG
вирок	frase	вирка	frase	N;INAN;NOM;MASC;SG	N;FEM;SG
вирок	sentencia	вирка	sentencia	N;INAN;NOM;MASC;SG	N;FEM;SG
гітлер	hitler	гітлер	hitler	N;INAN;NOM;MASC;SG	N;MASC;SG
інспектор	inspector	інспектор	inspector	N;ANIM;NOM;MASC;SG	N;MASC;SG
інспектор	inspectora	інспектор	inspector	N;ANIM;NOM;MASC;SG	N;FEM;SG
інспектор	comisario	інспектор	comisario	N;ANIM;NOM;MASC;SG	N;MASC;SG
інспектор	supervisora	інспектор	supervisora	N;ANIM;NOM;MASC;SG	N;FEM;SG
інспектор	supervisor	інспектор	supervisor	N;ANIM;NOM;MASC;SG	N;MASC;SG
друзями	friends	друг	friends	N;ANIM;INS;MASC;PL	N
друзями	amigos	друг	amigo	N;ANIM;INS;MASC;PL	N;MASC;PL
друзями	amigas	друг	amiga	N;ANIM;INS;MASC;PL	N;FEM;PL
довкола	alrededor	довкола	alrededor	ADV	ADV
унікальний	único	унікальний	único	ADJ;NOM;MASC;SG	ADJ;MASC;SG
унікальний	única	унікальний	único	ADJ;NOM;MASC;SG	ADJ;FEM;SG
всесвіт	universo	всесвіт	universo	N;INAN;NOM;MASC;SG	N;MASC;SG
довга	largo	довга	largo	ADJ;NOM;FEM;SG	ADJ;MASC;SG
довга	larga	довга	largo	ADJ;NOM;FEM;SG	ADJ;FEM;SG
експеримент	experimentación	експеримент	experimentación	N;INAN;NOM;MASC;SG	N;FEM;SG
експеримент	experimento	експеримент	experimento	N;INAN;NOM;MASC;SG	N;MASC;SG
реакцій	reacciones	реакція	reacción	N;INAN;GEN;FEM;PL	N;FEM;PL
водій	controlador	водій	controlador	N;ANIM;NOM;MASC;SG	N;MASC;SG
водій	driver	водій	driver	N;ANIM;NOM;MASC;SG	N;MASC;SG
водій	chofer	водій	chofer	N;ANIM;NOM;MASC;SG	N;MASC;SG
водій	conductor	водій	conductor	N;ANIM;NOM;MASC;SG	N;MASC;SG
водій	chófer	водій	chófer	N;ANIM;NOM;MASC;SG	N;MASC;SG
обрав	eligió	обрати	elegir	V;PFV;MASC;IND;SG;PST;FIN	V;IND;SG;3;PST;FIN
обрав	elegí	обрати	elegir	V;PFV;MASC;IND;SG;PST;FIN	V;IND;SG;1;PST;FIN
рядків	hileras	рядок	hilera	N;INAN;GEN;MASC;PL	N;FEM;PL
рядків	filas	рядок	fila	N;INAN;GEN;MASC;PL	N;FEM;PL
рядків	líneas	рядок	línea	N;INAN;GEN;MASC;PL	N;FEM;PL
рядків	lines	рядок	lín	N;INAN;GEN;MASC;PL	N
рядків	lineas	рядок	linea	N;INAN;GEN;MASC;PL	N;FEM;PL
рядків	cuerdas	рядок	cuerda	N;INAN;GEN;MASC;PL	N;FEM;PL
рядків	cadenas	рядок	cadena	N;INAN;GEN;MASC;PL	N;FEM;PL
чисто	claro	чисто	claro	ADV	ADV
користується	utiliza	користуватися	utilizar	V;IPFV;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
податки	impuestos	податок	impuesto	N;INAN;NOM;MASC;PL	N;MASC;PL
податки	impuestos	податок	impuesto	N;INAN;NOM;MASC;PL	N;MASC;PL
театрів	teatros	театр	teatro	N;INAN;GEN;MASC;PL	N;MASC;PL
театрів	cines	театр	cine	N;INAN;GEN;MASC;PL	N;MASC;PL
театрів	teatros	театр	teatro	N;INAN;GEN;MASC;PL	N;MASC;PL
експлуатація	explotación	експлуатація	explotación	N;INAN;NOM;FEM;SG	N;FEM;SG
турніри	torneos	турнір	torneo	N;INAN;NOM;MASC;PL	N;MASC;PL
традиційний	tradicional	традиційний	tradicional	ADJ;NOM;MASC;SG	ADJ;SG
спостерігати	observar	спостерігати	observar	V;IPFV;NFIN	V;NFIN
спостерігати	observe	спостерігати	observar	V;IPFV;NFIN	V;IMP;SG;3;FIN
спостерігати	observen	спостерігати	observar	V;IPFV;NFIN	V;IMP;PL;3;FIN
спостерігати	observa	спостерігати	observar	V;IPFV;NFIN	V;IND;SG;3;PRS;FIN
спостерігати	mirar	спостерігати	mirar	V;IPFV;NFIN	V;NFIN
спостерігати	mira	спостерігати	mirar	V;IPFV;NFIN	V;IMP;SG;2;FIN
спостерігати	monitorear	спостерігати	monitorear	V;IPFV;NFIN	V;NFIN
спостерігати	supervisar	спостерігати	supervisar	V;IPFV;NFIN	V;NFIN
принципово	esencialmente	принципово	esencialmente	ADV	ADV
принципово	básicamente	принципово	básicamente	ADV	ADV
принципово	fundamentalmente	принципово	fundamentalmente	ADV	ADV
принципово	fundamentalmente	принципово	fundamentalmente	ADV	ADV
