ابتر	miserábel	ابتر	miserábel	ADJ	ADJ
ابجد	comezo	ابجد	comezo	N;NOM;MASC;SG;3	N
ابجد	principio	ابجد	principio	N;NOM;MASC;SG;3	N
ابواب	impostos	ابواب	imposto	N;NOM;MASC;PL;3	N
ابواب	portas	ابواب	porta	N;NOM;MASC;PL;3	N
ابواب	porta	ابواب	porta	N;NOM;MASC;PL;3	N
اُبھارنا	erguen	اُبھارنا	erguir	V;NFIN;ACT	V
اُبھارنا	subir	اُبھارنا	subir	V;NFIN;ACT	V
اُبھرنا	crecen	اُبھرنا	crecer	V;SG;NFIN;ACT	V
اُبھرنا	medrar	اُبھرنا	medrar	V;SG;NFIN;ACT	V
اُبھرنا	medran	اُبھرنا	medrar	V;SG;NFIN;ACT	V
اُبھرنا	cultivar	اُبھرنا	cultivar	V;SG;NFIN;ACT	V
اُبھرنا	crecer	اُبھرنا	crecer	V;SG;NFIN;ACT	V
اپن	min	اپن	min		
اُتار	diminución	اُتار	diminución	N;NOM;MASC;SG;3	N
اُتار	caída	اُتار	caída	N;NOM;MASC;SG;3	N
اُتار	outono	اُتار	outono	N;NOM;MASC;SG;3	N
اُتار	redución	اُتار	redución	N;NOM;MASC;SG;3	N
اُتار	declive	اُتار	declivir	N;NOM;MASC;SG;3	N
اُتارنا	revelar	اُتار	revelar	V;NFIN;ACT	V
اُتارنا	revelan	اُتار	revelar	V;NFIN;ACT	V
اُتارنا	revelar	اُتار	revelar	V;NFIN;ACT	V
اُتارنا	revelan	اُتار	revelar	V;NFIN;ACT	V
اُترنا	diminúe	اُتر	diminuír	V;MASC;SG;ACT	V
اُترنا	cruzar	اُتر	cruzar	V;MASC;SG;ACT	V
اُترنا	atravesar	اُتر	atravesar	V;MASC;SG;ACT	V
اُتھلنا	caer	اُتھلنا	caer	V;SG;NFIN;ACT	V
اٹکلنا	supoño	اٹکل	supor	V;NFIN;ACT	V
اٹکلنا	creo	اٹکل	creo	V;NFIN;ACT	V
اٹکنا	deter	اٹک	deter	V;NFIN;ACT	V
اٹکنا	parar	اٹک	parar	V;NFIN;ACT	V
اٹکنا	deixa	اٹک	deixar	V;NFIN;ACT	V
اُٹھانا	erguen	اُٹھا	erguir	V;MASC;SG;NFIN;ACT	V
اُٹھانا	subir	اُٹھا	subir	V;MASC;SG;NFIN;ACT	V
اُٹھانا	quitar	اُٹھا	quitar	V;MASC;SG;NFIN;ACT	V
اُٹھانا	quitamos	اُٹھا	quitar	V;MASC;SG;NFIN;ACT	V
اُٹھانا	roubar	اُٹھا	roubar	V;MASC;SG;NFIN;ACT	V
اُٹھانا	levar	اُٹھا	levar	V;MASC;SG;NFIN;ACT	V
اُٹھنا	deixar	اُٹھ	deixar	V;MASC;SG;NFIN;ACT	V
اُٹھنا	recuperar	اُٹھ	recuperar	V;MASC;SG;NFIN;ACT	V
اُٹھنا	esperta	اُٹھ	esperta	V;MASC;SG;NFIN;ACT	V
اثاثہ	bens	اثاثہ	ben	N;NOM;MASC;SG;3	N
اثاثہ	luxo	اثاثہ	luxo	N;NOM;MASC;SG;3	N
اثاثہ	efectos	اثاثہ	efecto	N;NOM;MASC;SG;3	N
اثاثہ	riqueza	اثاثہ	riqueza	N;NOM;MASC;SG;3	N
اثاثہ	riquezas	اثاثہ	riqueza	N;NOM;MASC;SG;3	N
اثاثہ	propiedade	اثاثہ	propiedade	N;NOM;MASC;SG;3	N
اِثبات	recoñecemento	اِثبہ	recoñecemento	N;NOM;MASC;PL;3	N
اثر	efecto	اثر	efecto	N;NOM;MASC;SG;3	N
اثر	efectos	اثر	efecto	N;NOM;MASC;SG;3	N
اثر	influencia	اثر	influencia	N;NOM;MASC;SG;3	N
اثر	consecuencia	اثر	consecuencia	N;NOM;MASC;SG;3	N
اثرورسوخ	influencia	اثرورسوخ	influencia	N;NOM;MASC;SG;3	N
اثنا	momento	اثنا	momento	N;NOM;MASC;SG;3	N
اثنا	tempo	اثنا	tempo	N;NOM;MASC;SG;3	N
اثنا	vez	اثنا	vez	N;NOM;MASC;SG;3	N
اثنا	hora	اثنا	hora	N;NOM;MASC;SG;3	N
اثنا	período	اثنا	período	N;NOM;MASC;SG;3	N
اثنا	periodo	اثنا	periodo	N;NOM;MASC;SG;3	N
اثنا	tempo	اثنا	tempo	N;NOM;MASC;SG;3	N
اثنا	adolescencia	اثنا	adolescencia	N;NOM;MASC;SG;3	N
اثنا	momento	اثنا	momento	N;NOM;MASC;SG;3	N
اثنا	tempo	اثنا	tempo	N;NOM;MASC;SG;3	N
اثنا	vez	اثنا	vez	N;NOM;MASC;SG;3	N
اثنا	hora	اثنا	hora	N;NOM;MASC;SG;3	N
اثنا	na	اثنا	na	N;NOM;MASC;SG;3	N
اثنا	período	اثنا	período	N;NOM;MASC;SG;3	N
اثنا	periodo	اثنا	periodo	N;NOM;MASC;SG;3	N
اثنا	tempo	اثنا	tempo	N;NOM;MASC;SG;3	N
اثنا	adolescencia	اثنا	adolescencia	N;NOM;MASC;SG;3	N
اُجاڑنا	destrúen	اُجاڑنا	destruír	V;SG;NFIN;ACT	V
اُجاڑنا	destruír	اُجاڑنا	destruír	V;SG;NFIN;ACT	V
اُجاڑنا	destrúe	اُجاڑنا	destruír	V;SG;NFIN;ACT	V
اِجازت	permiso	اِجازت	permiso	N;NOM;MASC;SG;3	N
اِجازت	liberdade	اِجازت	liberdade	N;NOM;MASC;SG;3	N
اِجازت	libertade	اِجازت	libertade	N;NOM;MASC;SG;3	N
اِجتماعی	colectiva	اِجتماعی	colectivo	ADJ	ADJ
اجر	recompensa	اجر	recompensa	N;NOM;MASC;SG;3	N
اجرام	corpos	اجرام	corpo	N;NOM;MASC;SG;3	N
اجرام	corpo	اجرام	corpo	N;NOM;MASC;SG;3	N
اُجرت	recompensa	اُجرت	recompensa	N;NOM;MASC;SG;3	N
اُجرت	salarios	اُجرت	salario	N;NOM;MASC;SG;3	N
اجزا	elementos	اجزا	elemento	N;NOM;MASC;SG;3	N
اجزا	partes	اجزا	parte	N;NOM;MASC;SG;3	N
اجزا	ingredientes	اجزا	ingrediente	N;NOM;MASC;SG;3	N
اِجمالاً	brevemente	اِجمالاً	brevementar	ADV	ADV
اجناس	bens	جنس	ben	N;NOM;MASC;PL;3	N
اجناس	luxo	جنس	luxo	N;NOM;MASC;PL;3	N
اجناس	tipo	جنس	tipo	N;NOM;MASC;PL;3	N
اجناس	tipos	جنس	tipo	N;NOM;MASC;PL;3	N
اجناس	caste	جنس	caste	N;NOM;MASC;PL;3	N
اجناس	especie	جنس	especie	N;NOM;MASC;PL;3	N
اجناس	especies	جنس	especie	N;NOM;MASC;PL;3	N
اجناس	tipo	جنس	tipo	N;NOM;MASC;PL;3	N
اجناس	tipos	جنس	tipo	N;NOM;MASC;PL;3	N
اجیرن	difícil	اجیرن	difícil	ADJ	ADJ
اجیرن	dificil	اجیرن	dificil	ADJ	ADJ
اُچانا	erguen	اُچا	erguir	V;MASC;SG;NFIN;ACT	V
اُچانا	subir	اُچا	subir	V;MASC;SG;NFIN;ACT	V
اچانک	repente	اچانک	repente	ADV	ADV
اُچلنا	separar	اُچل	separar	V;MASC;SG;NFIN;ACT	V
