پُف	puff	پُف	puff		
پُکار	płacz	پُکار	płaczyć		
پُکار	skargi	پُکار	skarga		
پُکارنا	błagać	پُکار	błagać	V;NFIN;ACT	V;IPFV;NFIN;ACT
پکانا	gotować	پکانا	gotować	V;MASC;SG;V.PTCP;ACT	V;IPFV;NFIN;ACT
پکڑ	schwytać	پکڑ	schwytać	V;ACT	V;PFV;NFIN;ACT
پکڑ	uchwycić	پکڑ	uchwycić	V;ACT	V;PFV;NFIN;ACT
پکڑ	schwytać	پکڑ	schwytać	V;ACT	V;PFV;NFIN;ACT
پکڑ	uchwycić	پکڑ	uchwycić	V;ACT	V;PFV;NFIN;ACT
پکڑانا	powierzyć	پکڑانا	powierzyć	V;MASC;SG;NFIN;ACT	V;PFV;NFIN;ACT
پکڑائی	schwytać	پکڑائی	schwytać	V;PFV;FEM;SG;V.PTCP;ACT	V;PFV;NFIN;ACT
پکڑائی	uchwycić	پکڑائی	uchwycić	V;PFV;FEM;SG;V.PTCP;ACT	V;PFV;NFIN;ACT
پکڑنا	złap	پکڑ	złap	V;MASC;SG;NFIN;ACT	V;PFV;IMP;SG;2;FIN;ACT
پکڑنا	złapać	پکڑ	złapać	V;MASC;SG;NFIN;ACT	V;PFV;NFIN;ACT
پکڑنا	łap	پکڑ	łap	V;MASC;SG;NFIN;ACT	V;IPFV;IMP;SG;2;FIN;ACT
پکڑنا	otrzymywać	پکڑ	otrzymywać	V;MASC;SG;NFIN;ACT	V;IPFV;NFIN;ACT
پکڑنا	odbierać	پکڑ	odbierać	V;MASC;SG;NFIN;ACT	V;IPFV;NFIN;ACT
پکڑنا	otrzymać	پکڑ	otrzymać	V;MASC;SG;NFIN;ACT	V;PFV;NFIN;ACT
پکڑنا	wyprzedzić	پکڑ	wyprzedzić	V;MASC;SG;NFIN;ACT	V;PFV;NFIN;ACT
پکڑنا	wykrywa	پکڑ	wykrywać	V;MASC;SG;NFIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
پکڑنا	wykryć	پکڑ	wykryć	V;MASC;SG;NFIN;ACT	V;PFV;NFIN;ACT
پکڑنا	odkryć	پکڑ	odkryć	V;MASC;SG;NFIN;ACT	V;PFV;NFIN;ACT
